start	end	text
0	8540	大家好 歡迎來到好味小姐開束縛 我還你原型
8540	9160	我是Tutui
9160	9960	大家好 我是Tutui
9960	10840	大家好 我是聖梵
10840	12760	本集有預錄的廣告喔
12760	14840	本集節目由Yoshi贊助播出
14840	18460	其實我們家大部分出門的時候是自己開車比較多啦
18460	19540	對 畢竟有小孩嘛
19540	22260	但是有時候呢 就會需要叫車 叫計程車
22260	24660	比如說我們小夥伴聚餐的時候覺得
24660	26460	好像可以喝一點酒的時候
26460	28960	或是我們兩個要偷跑出去約會的時候
28960	30000	對對對對
30000	31760	車還在 人不在
31760	32300	對對對對
32300	33460	我們就用叫車的
33460	35460	或是有時候我預期我要去的地方
35460	37120	感覺就找不到停車位
37120	37920	喔
37920	40000	我就覺得叫車很方便
40000	40500	喔
40500	44160	那他們Yoshi呢 就是打造Your Bag's Taxi的理念
44160	44500	喔
44500	47460	置地創造於個人化以及最便利的乘車體驗
47460	49860	夜夜夏日Yoshi載你涼爽出行
49860	53120	喔 他現在要來講一下Yoshi有什麼不同之處
53120	53560	嗯
53560	54520	我覺得很棒
54520	55260	嗯
55260	57100	好 首先呢 是他們APP的設計很簡潔
57100	58660	然後操作起來是滿直覺的
58660	58920	嘿
58920	61760	有趣的是他們有很多客製的服務可以點選喔
61760	64220	首先像是你有常用旅行的一鍵叫車
64220	66560	就是你可能平常固定要通勤的位置
66560	68020	嘿 你有一鍵叫車服務
68020	70320	然後再來呢 車上會有手機的充電服務
70320	72920	然後有寵物友善 然後搭健行李的需求
72920	74420	那如果你今天
74420	76420	剛下班 這個地方我覺得最棒了
76420	78020	你很累 你很疲倦
78020	81920	你可以勾選不要交台不要音樂的乘車體驗
81920	82980	不要音樂好讚喔
82980	84180	真的喔 不要音樂
84180	86120	有時候你怕歌單你聽不懂
86120	87660	不要交台已經不錯了
87660	88220	對
88220	88620	不要音樂又更棒了
88620	90620	要更深入的滿足你的需求
90620	93620	就是你真的可以超級安靜
93620	95620	哇 我覺得這個真的很棒欸
95620	97720	以前常常在大家一群
97720	100020	大約是去搭那個艦車的時候
100020	101420	有時候已經抽獎的感覺你知道嗎
101420	102820	怎樣 我說抽司機嗎
102820	104020	對 有時候車門一打開
104020	107020	發現說裡面在聽政論節目的那個廣播
107020	108620	也會不知道就是
108620	110520	這時候就要推一個人去坐前座
110520	112720	因為司機一定會跟你聊
112720	113220	欸 之類的
113220	114220	對對對
114220	116920	我覺得這個服務真的對那種內向人非常的友善
116920	117920	像我們之前不是去寵物展
117920	118420	就是寵物館結束的時候
118420	118520	就是寵物館結束的時候
118520	119220	就是寵物館結束的時候
