start	end	text
0	9280	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
9280	9980	我是翠翠
9980	11500	大家好 我是傑尼沙端
11500	12860	大家好 我是尼森凡
12860	16420	好 又要到我最喜歡的口播部分了
16420	17560	好 來
17560	21460	本集節目由一語有花三頁文設計
21460	25820	洗手合作推出的一年生植物之力贊助播出
25820	28940	這集好長喔 剛練很久 練得很順
28940	32260	好 這個日曆呢 我們現在目前手上有哪一本
32260	34460	它其實我覺得蠻美的
34460	36960	我覺得有點文青 然後又有點生活感
36960	39400	就是女生會很喜歡的日曆型態
39400	42260	對 它就是每一天要撕一頁的那一種
42260	45540	然後它每一頁上面呢 都會有一些生活指南啊
45540	46840	然後一個心情小語
46840	51080	然後上面呢 也會每一頁都有一個手繪的圖的植物
51080	53500	有時候是植物 有時候是花 這樣子
53500	57200	然後每一張呢 都是他們自己親手畫的喔
57200	58320	然後上面的每一句話呢
58320	58920	都是他們自己寫的喔
58940	59700	然後上面的每一句話呢 都是他們自己寫的喔
59700	60700	非常有才華的人
60700	61700	畫了365頁
61700	63100	對 畫了365頁
63100	65440	而且他們有特別講說 他們每個禮拜一
65440	68280	介紹的那個植物都是台灣原生種
68280	70580	是有追求在裡面的
70580	73200	但像我們家就是不太能種花
73200	75040	還是養什麼植物在家裡面
75040	76240	因為有貓嘛
76240	78680	所以可以買一本放在桌上
78680	81380	靠北 這就是你想的梗嗎
81380	84340	這就是你推薦的理由嗎
84340	86380	這理由淡薄不行欸
86380	87620	空洞都有剩欸
87620	88320	不是啊
88320	90040	就很美啊 對不對
90040	92360	像我們辦公室小夥伴就有人買去年的啊
92360	93560	喔對 講到這個
93560	96120	就是我原本一直認為
96120	98320	日曆這種東西
98320	99680	就是個廢物
99680	101320	怎麼會 真的有人在用
101320	103080	不是你 不是你的受眾
103080	104160	喔不是受眾
104160	106800	我是覺得 因為那個執行難度太高了
106800	107800	每天撕
107800	110000	對啊 你隨便露個三天
110000	111840	那怎麼辦 你三天你是要一次把它撕掉嗎
111840	113320	我們已經上集討論過了
113320	115200	女生就是有儀式主導的生物
115200	115840	欸真的
115840	117680	每天坐著泡一杯咖啡
117680	117880	每天坐著泡一杯咖啡 撕衣衫
117880	118160	每天坐著泡一杯咖啡 撕衣衫衫
118160	118840	每天坐著泡一杯咖啡 撕衣衫衫
118840	119160	每天坐著泡一杯咖啡 撕衣衫衫
119160	119920	就開始了
119920	121360	開始今天的那個
121360	122360	對 但是我不行
122360	123760	我很容易突然忘記什麼
123760	125560	所以我一直都認為這個東西是沒有用的
125560	126360	你如果三天沒有撕
126360	127880	你就不知道你該拿那本怎麼辦
127880	128440	對
128440	129760	而且當初那個
129760	131560	就是其實就是攝影師的老婆買的啦
131560	131880	對啊
131880	133000	當初她買的時候她就
133000	134880	蛤 你真的會每天撕嗎
134880	136720	然後結果她那天又收到第二本的時候
136720	137960	她就跑去她的桌子上說
137960	138520	你真的有每天撕
138520	139960	真的是在當天
139960	141840	所以真的有在用
141840	142240	對啊
142240	145000	就真的變成她一天的一個工作的起點
145000	146680	對 我覺得很適合做辦公室的人
146680	147880	因為他們每天都
147880	149160	其實都會去那裡
149160	151160	然後都要寫今天要幹嘛要幹嘛
151160	152640	然後要知道今天是幾號
152640	154840	像我們這種過得不知道今天是明天的那種
154840	155640	就還好
155640	155960	喔
155960	157880	但是辦公室的人我覺得應該蠻適合的
157880	159000	生活規律的人
159000	159400	對
159400	160320	喔
160320	162120	定期上下班的人
162120	163280	需要一點療癒
163280	163960	好像一語有話
163960	166040	他們其實是一個做
166040	166800	有點像是
166800	168400	訂閱制花店的感覺
168400	169480	他本業是花店
169480	170480	嘿 花店
170480	172200	然後所以來做那個
172200	172760	日曆
172760	174760	我覺得大家可以追一下他們的IG
174760	174960	喔
174960	177120	也是非常有情調的一個IG
177120	177720	這樣子
177720	179200	每天打開那個文我都讀不完
179200	181160	真的很長
181160	182760	但是就是有時候你
182760	184600	自己一個人住外面的時候
184600	186200	我覺得有時候滑他們IG會有點
186200	188240	有點朋友在跟你聊天的感覺
188240	189320	有療癒感就對了
189320	190000	有療癒感
190000	190960	然後照片又很美
190960	191840	女生漂亮的花
191840	192240	嗯
192240	193240	人喜歡漂亮的花
193240	193720	對啊
193720	194200	喔
194200	195640	覺得是還不錯的一個體驗
195640	196680	好 你覺得不錯就好
196680	197520	嗯
197520	198720	我才是他們的受眾
198720	198960	對 沒錯
198960	199640	對我這個
199640	200560	我們兩個臭職男
200560	201560	我們兩個臭職男來說
201560	204360	你們兩個臭職男就是要買來送給女朋友啊
204360	204920	懂不懂
204920	205920	喔
205920	206560	喔
206560	207120	對啊
207120	208280	欸 經理這麼一講
208280	208720	嗯
208720	209920	因為我覺得
209920	210320	喔
210320	211120	欸我們
211120	213160	日曆很適合用來送禮欸
213160	214080	為什麼
214080	215560	你又不知道他會不會每天撕
215560	216120	不是
216120	216920	不能說用來送禮
216920	218600	就是日曆很適合用
218600	221000	就是來送給女生
221000	222440	或送給你的女朋友等等
222440	223040	喔
223040	224480	這是一個送給女朋友的禮物
224480	226120	是全世界最困難的事情
226120	228880	跟時間有關係的東西
228880	230520	比如說鑽石
230520	230920	喔
230920	231880	很久遠
231880	232560	很久遠
232560	233640	你是從這個角度
233640	234480	我覺得是這樣
234480	234880	要有時間
234880	235440	時間性
235440	236040	時間感
236040	238640	我就覺得時間感本身就是一個
238640	239440	噱頭
