start	end	text
0	8500	哈嘍大家好 歡迎來到好味小姐開束縛 我還你原型
8500	10500	我的JJ 沙長撿沙盾 導師人身分
10500	12020	本集有預錄的廣告喔
12020	15780	本集節目由 INUSO 蘇紫陽抑菌噴霧贊助播出
15780	18420	你有聽過添加好菌成分的噴霧嗎
18420	20360	這個抑生菌的噴霧是什麼呢
20360	23800	它其實就是一個專門為肌膚所設計的舒緩噴霧
23800	25960	除了可以幫助舒緩乾癢 泛紅
25960	28460	從頭皮 臉 手 腳
28460	29260	只要哪裡不怪
29260	30360	哪裡都可以噴一下
30360	31160	配方的部分呢
31160	32460	是營養師特地調配的
32460	33260	複合益生菌
33260	35060	不含類固醇中西藥酒精成分
35060	35960	所以寶寶的肌膚
35960	37260	也可以安心使用喔
37660	39160	他這罐其實寄來超級久
39160	40860	大概夏天一開始熱的時候
40860	41660	他就寄來了
41660	41960	嘿
41960	42360	然後他就說
42360	43560	喔 你們試用一段時間
43560	44260	感受一下
44260	45960	他知道接下來我們會開爆冷氣
45960	47260	然後所有人都會乾癢
48060	49360	沒錯 就是在那邊腦
49660	50360	這罐其實我覺得
50360	52360	我跟夢夢都還蠻喜歡的
52560	54660	因為其實我桌上有很多瓶瓶罐罐
54660	54960	對
54960	56360	然後他都會很想要
56660	57060	體驗
57060	57660	想要
57660	58560	但其實不行
58860	59260	對
59260	60660	但其實大部分的保養品
60660	61860	對他來說都太負擔
61860	62160	嘿
62160	63160	然後這一罐寄來
63160	63360	我說
63360	64560	欸 這個你可以噴
64560	66060	他超開心的
66360	67560	然後他現在最常噴的時間
67560	68160	就是現在
68160	69160	比如說天氣很熱
69160	70760	他放水的時候臉頰都會有點
71060	72260	被曬得紅彤彤的
72260	72660	對對對
72660	72960	對對對
72960	73960	我就會稍微幫他噴一下
73960	74660	舒緩一下
74860	75760	然後有的時候呢
75760	77460	是一整天就是準備要睡覺前
77460	78660	就是會吹冷氣嘛
78960	80160	所以也會稍微幫他噴一下
80160	82160	這樣就比較不會皮膚癢癢在那邊抓
82160	82560	嘿
82560	83360	我覺得這罐最
83360	84560	感受最明顯的地方就是
84560	85460	他噴上去的時候
85460	86560	其實那個鎮定的效果
86560	87760	還蠻快速的
87760	88060	嘿
88060	89060	如果你癢癢的時候噴
89060	90760	他會有點冰冰涼涼的嗎
90760	91460	一開始的時候
91460	91960	對對對
91960	93460	所以我覺得還蠻舒服
93460	94760	阿重點是他不會黏黏的喔
94760	95360	喔 對
95360	95860	對 所以
95860	97460	萌萌很不能接受黏黏的
97460	98760	這一點上他很滿意
99160	100460	阿我個人的使用方法
100460	101360	比較奢侈一點
101360	101660	嗯
101660	102960	我主要是拿來噴腳
102960	104660	你腳超大一片的欸
104660	105360	對
105360	106360	結果他也發了一罐給我
106360	106760	對
106760	107560	說是可以保濕
107560	108360	然後針對一些
108360	109660	吹冷氣的乾癢這些問題
109660	110060	嗯
110060	112160	後來我這個在冷氣房的時候
112160	112760	嘿
112760	113660	我腳上不是都很多
113660	114660	那個破破爛爛的
114660	114960	對
114960	115760	腳上很多傷口
115760	116060	嗯
116060	117160	一部分是因為蚊子咬
117160	117460	對
117460	118360	另外一部分就是因為
118360	120160	我晚上睡覺如果乾癢的話
120160	121260	喔 你是不是連
121260	122860	就是睡著你都會抓
122860	124260	我會本人的一直抓一直抓
124260	124560	沒錯
124560	126060	阿有時候真的被癢醒之後呢
126060	126460	嗯
126460	127260	我會有點
127260	128460	就是有點不知道怎麼辦
128460	129060	喔
129060	130160	我如果我現在睡覺
130160	130360	嗯
130360	131060	穿短褲
131060	132560	我如果去擦一些乳液什麼之類的
132560	134160	喔 會覺得會黏住那個
134160	134660	對對對
134660	135560	會沾到被子什麼之類的
135560	136360	對對對
136360	137660	欸 他這罐我就放在床邊
137660	137960	嗯
137960	139460	我早覺得說喔 哪有癢癢的
139460	140560	我就拿來腳噴一下
140560	140960	嗯
140960	143160	然後就很快速的舒緩這個乾癢的問題
143160	143660	沒錯
143660	145460	欸 使用量非常的
145460	146960	巨大 劇烈
146960	148360	然後另外我要多提一下
148360	150160	就是我覺得他的味道其實蠻舒服的
150160	150360	欸
150360	152460	他其實是一個淡淡的植萃香
152460	153960	就是植物草本的味道
153960	154360	嘿嘿
154360	155860	所以阿夢也還蠻喜歡的
155860	157160	再來這個INUSO呢
157160	160060	他們的獨創益膚植癢技術選用的是
160060	160960	PREMIX
160960	163960	複合益菌和益生質提供肌膚好菌營養
163960	165360	培養好菌維生態
165360	166160	那他們另外呢
166160	168160	還加入了山芙蓉萃取
168160	170060	加強補給舒緩鎮定
170060	173360	還有小分子玻尿酸做完整的保濕
173360	175560	產品呢全部都是經由皮膚科醫生認證
175560	177460	並且通過皮膚刺激性的測試
177460	178560	敏弱劑或是酒招劑
178560	180360	或是你剛好做完醫美
180360	182860	你知道做完醫美會比較敏感一點
182860	183360	對
183360	184460	都可以使用
184460	185360	大家都可以放心
185360	186660	喔 聽起來好像不是
186660	188160	太適合用來噴腳的東西
188160	189360	哈哈哈
189360	191660	你太奢侈了 果然是奢侈了一點
191660	193360	好 最後呢是我們的優惠資訊
193360	194360	現在在公網下單版
194360	195360	4000元就會載送
195360	195860	蘇志揚
195860	197060	易峻噴霧一瓶
197060	198860	原價是1200元喔
198860	200560	然後7月1號到8月31號
200560	201460	在他們的官網消費
201460	203060	而且在官方的LINE登錄
203060	204460	就有機會再抽中
204460	207960	韓國首爾雙人來回機票
207960	208660	最後呢
208660	210160	還有好位聽眾的專屬優惠碼
210160	211860	是LADY95
211860	213360	下單就會再講95折
213360	214660	以上優惠資訊分享給大家
214660	216460	有興趣的人一定要點開看看喔
216460	218860	現在時間是7月23號
218860	220360	禮拜二
220360	221560	這個
221560	222660	應該轉中午了
222660	224960	11點40分
224960	225860	哇 今天有點休息
225860	226860	好久都晚
226860	228060	沒有 我們上個禮拜
228060	230160	經歷了我覺得是
230160	231360	今年以來
231360	232360	地獄週
232360	233260	真的
233260	235060	我已經很久沒有過這樣子的
235060	236060	作息的日常了
236060	238560	不是 是地獄創作週
238560	239360	我覺得我們上個禮拜的這個
239360	241660	很像在大一還是大二那種
241660	242560	我們在趕畢業
242560	243760	包括還是什麼之類
243760	245860	反正我們這個上禮拜創作的這個
245860	247060	濃度啊
247060	248960	已經高到我覺得可以
248960	249560	怎麼講
249560	250860	蓬蔽生輝的程度
