start	end	text
0	8560	大家好 歡迎來到好味小姐開束縛 我還你原型
8560	9100	我是翠翠
9100	9600	大家好 我是翠翠
9600	9960	我是阿鑽
9960	11040	大家好 我是聖聖梵
11040	13960	本期節目由2025解開束縛冒日曆
13960	15760	找鳥預購開跑路
15760	17460	贊助播出
18360	21840	我們這次大家看到那個找鳥開跑之後
21840	22960	然後開始逛了官網
22960	25300	才發現我們真的準備超多東西耶
25300	27440	對 我們準備了四個組合
27440	29560	就算我們是最基本的那個日曆組
29560	30460	天天開心組
30460	31200	天天開心組
31200	32520	我們的內容也非常的豐富
32520	32820	沒錯
32820	34860	因為好 我們不是說上面有一則笑話嗎
34860	35260	沒錯
35260	37900	然後他有配一張我們家的貓咪的照片
37900	40060	然後我們把那個笑話的答案
40060	42100	藏在那個貓照的一個小角落
42100	42460	對
42460	43620	小小字的這樣子
43620	45360	稍微要仔細找一下才找到位置
45360	46160	沒錯
46160	48060	所以說我們還有附了一個放大鏡書籤嘛
48060	48460	沒錯
48460	50160	讓你查找這樣子
50160	52860	然後甚至還包含了一張晒太陽年曆海報
52860	54460	對 因為我們知道那個日曆
54460	56860	它就是你要找未來的某一天的時候
56860	58220	你是要翻很多頁
58220	59360	沒有很好找
59360	59400	所以我們就想說
59400	59460	所以我們就想說
59460	60760	所以我們就幫大家出一張
60760	62760	一整張的海報的年曆
62760	64560	完整的覆蓋你整個這個
64560	66060	查找日曆的使用體驗
66060	66660	沒錯
66660	68260	再來 華麗收藏組
68260	69500	裡面還有包含這個
69500	71160	蜜香探頭便利貼
71160	73060	就是跟日曆配合的一個便利貼
73060	74060	也是一樣 日曆很難計時
74060	75560	超可愛 超可愛
75560	77260	我們做了一個會讓貓探出頭來的便利貼
77260	78660	你可以貼在那個
78660	79760	未來的某一天
79760	80460	對
80460	82460	然後還有貓會探出頭來提醒你說
82460	84460	你這邊有一個計時貼在這裡
84460	87060	對 還有這個最重要的日曆收集車
87060	89300	這個我真的是覺得是我們這個組合的
89300	90200	精華
90200	90700	精華
90700	92400	因為我們怕我們想出來的笑話太精采
92400	93500	太好笑了
93500	94200	太經典了
94200	96000	你很想要收藏起來怎麼辦
96000	96600	怎麼辦
96600	97000	對啊
97000	98400	所以我們特別準備了一個
98400	100300	像相冊一樣的日曆收集車
100300	101300	就是日曆的大小
101300	101700	對
101700	104100	一共可以收160張
104100	105200	直接給它收個半年
105200	107100	半年
107100	108200	然後就算不是笑話
108200	110100	你有時候發生一些特別事情
110100	111700	你可以把它自己當成像日記一樣
111700	112600	沒錯沒錯
112600	114600	你可以把自己那天的一些
114600	115900	經歷或是心情
115900	118000	收納起來 特別的事件收起來
118000	118400	再來
118400	119140	解開速播
119140	119200	解開速播
119200	119300	解開速播
119300	119600	解開速播組
119600	121100	解開速播組跟真愛秋規組
121100	121500	哇
121500	122500	解開束縛組呢
122500	125200	裡面包含了一個解開束縛片頭吊飾
125200	126300	我跟你講
126300	127200	這是我的idea
127200	129200	因為我很想要
129200	130200	那個真的超讚的
130200	131700	我們就做了一個deco的
131700	133500	手手的一個貓包
133500	133700	對
133700	135300	然後它是可以掛在你的包包
135300	136800	或是配件上面的
136800	137400	然後呢
137400	139400	裡面有一個音樂按鈕
139400	140200	按下去
140200	141200	就會播放我們
141200	143000	Podcast的片頭曲
143000	144000	就可以讓你勾起
144000	146100	你聽Podcast這個悠閒的那個
146100	147200	心境這樣子
147200	149200	音樂類型或是這種東西
149200	151200	都特別容易產生制約
151200	152200	就是你一聽到那個音樂
152200	153000	你就會突然覺得
153000	153400	哇
153400	154400	心情都放鬆了
154400	155200	沒錯
155200	158500	然後還有一個解開束縛貓刺繡T-shirt
158500	160800	上面就有一個我們那個Podcast logo上
160800	162700	完整的deco的貓咪刺繡
162700	163000	沒錯
163000	163900	超級巨大喔
163900	164300	超可愛
164300	166700	然後最後還有真愛秋葵組
166700	167000	好
167000	168200	大家都想說為什麼是秋葵
168200	168700	沒錯
168700	169000	因為呢
169000	170600	秋葵是我們自己搜索之後呢
170600	174300	發現我們的Podcast跟好位組頻道
174300	175400	交集處嗎
175400	177200	唯一的交集
177200	178900	相切那個點
178900	179100	這樣子
179100	180900	所以就一個秋葵主題的套組
180900	181600	沒錯
181600	182800	然後裡面就是華麗收藏組
182800	184100	加上兩個限定商品
184100	186800	摸度秋葵公仔跟秋葵刺繡T-shirt
186800	187300	沒錯
187300	188600	摸度秋葵公仔就是一個秋葵
188600	189800	他四腳朝天
189800	190200	對
190200	191200	然後躺在地上
191200	192800	曬太陽的一個造型
192800	194500	基本上就是他每天的樣子
194500	194700	對
194700	195400	就是每天看到秋葵
195400	196600	他就是這個樣子
196600	198600	然後大家都可以戳他的肚子這樣子
198600	200200	然後就是一個非常可愛的秋葵公仔
200200	202600	然後非常的放鬆的秋葵公仔
202600	203000	沒錯
203000	204100	可以天真你這個
204100	205300	桌上的一個療癒感
205300	206800	然後當個指證
206800	207300	這個感覺
207300	207800	沒錯
207800	208300	秋葵刺繡
208300	210400	跟他的公仔是一脈相承
210400	212100	就是當秋葵這樣躺在地上的時候
212100	213100	你只要靠近他
213100	214300	他就會突然一個抬頭
214300	215200	然後一個
215200	215600	你要幹嘛
215600	215900	對
215900	216500	一個
216500	217900	一個肥宅臉
217900	219300	他是肥宅臉沒錯
219300	220700	認住的表情
220700	222300	就是有點笨笨呆呆的
222300	223200	我們因為這個表情
223200	224500	富含了非常多的情緒
224500	225300	對
225300	226500	的臉
226500	227800	然後我們是昨天中午的時候
227800	228400	開始這個
228400	229400	招鳥預購的活動
229400	229900	沒錯
229900	231900	那大家聽到這個Podcast的時候
231900	233600	可能某些組合
233600	235100	已經賣完這樣子
235100	236600	然後雖然它是預購
236600	237600	但是我們這個
237600	238300	所有的商品
238300	239400	跟這個
239400	239900	印刷廠
239900	241100	他們的產量有限
241100	241500	對
241500	243200	然後我們一定要在年底前
243200	244300	寄給大家嘛
244300	244700	對
244700	245300	所以它其實
245300	245900	雖然是預購
245900	248200	但是也有一點限量的感覺
248200	249000	對
249000	250600	大家好好把握機會
250600	251200	沒錯
251200	252100	而且現在呢
252100	253100	是招鳥預購價
253100	253500	沒錯
253500	256200	所以就是最最最最最優惠的時候
256200	256500	對
256500	258000	然後我們到9月6號之後
258000	259400	就會恢復成預購價了嘛
259400	261800	所以大家如果你還在觀望的人
261800	262500	趁現在
262500	263000	趕快下手就對了
263000	264500	不然已經沒有什麼觀望的機會了
264500	266100	沒錯沒錯
266100	266800	好那連結
266800	268200	我們幫大家放在資訊欄裡面
268200	269900	然後大家一定要點開來看看喔
271700	273600	現在時間是8月6號的
273600	274600	走運知識早上
274600	275000	嗯
275000	276200	然後不瞞各位說啊
276200	277000	我昨天這個
277000	279200	經歷了失眠的一夜
279200	279700	怎麼了
279700	280800	欸你跟我上次一樣嗎
280800	282300	東西上架在失眠嗎
282300	282700	不是
282700	283100	啊不是
283100	283900	哈哈哈
283900	285900	不是我這個非常複雜的狀況
285900	287600	啊這個有點難解釋喔
287600	288300	首先啊
288300	289800	我們這個禮拜的腦波肉
289800	290800	會停更一週
290800	291300	沒錯
291300	291600	對
291600	292300	為什麼呢
292300	294100	剛提到我們這個貓日曆上架
294100	294500	沒錯
294500	295200	所以理論上啊
295200	297200	我們這禮拜的腦波肉應該要就是
297200	297900	來個大便
297900	298700	來做個宣傳
298700	299300	嗯
299300	300000	的感覺
300000	300500	好
300500	301700	所以呢我在
301700	302100	呃
302100	303000	大概一個月前吧
303000	303300	嗯哼
303300	304800	我有選定了一個
304800	306500	有點實現我的一點
306500	308200	小夢想
308200	308800	的主題
308800	310500	你的夢想都很大好不好
310500	311000	沒有沒有沒有
311000	312300	這是我的夢想一小部分
312300	312900	嗯哼
312900	313400	嗯哼
313400	314300	啊因為我們
314300	314900	不能破梗
314900	316400	所以不能跟大家說我們到底在拍什麼
316400	317000	對
317000	317700	走運知識是這樣
317700	318300	然後呢
318300	319300	真的拍下去之後發現說
319300	321000	這個規模比想像中的還要
321000	322500	大很多
322500	323500	然後還要複雜
323500	323900	對啊
323900	324900	然後發現是個
324900	325700	體力活
325700	326400	對啊
326400	327800	欸所以我們就拍不完
327900	328400	對啊
328400	329400	然後我們本來還是想說
329400	330500	我們要把他趕出來
330500	331000	嗯
331000	332600	欸這個週末拼死拼活把他趕出來
332600	334100	然後這個禮拜三上線這樣子
334100	334600	對
334600	335500	後來想想
335500	337500	就是這麼辛苦拍這支片這樣
337500	338600	虎頭蛇尾
338600	340500	就是最後如果剪出來沒有進山進北
340500	342000	我們就覺得前面的努力
342000	342500	白費的感覺
342500	343200	白費的感覺
343200	343600	對啊
343600	345300	所以我們就覺得我們不要為了檔期
345300	345600	齁
345600	345900	嗯
345900	347300	犧牲我們成片的品質
347300	347700	對
347700	348700	我們就延後一個禮拜
348700	349300	嗯
349300	350500	欸雖然說延後一個禮拜啦
350500	351900	但是我現在還是
351900	352900	蠻蠻抖的
352900	353700	哈哈哈
353700	354500	蠻抖的
354500	356100	走運知識就是因為這個原因
357900	359900	都是在趕工拍這支片
359900	361100	異常的辛苦
361100	361700	異常的辛苦
361700	362000	嘿
362000	363000	全身痠痛
363000	363400	嗯
363400	363800	這樣
363800	365600	然後在禮拜天的時候呢
365600	366300	我就
366300	367600	那天早上起來齁
367600	368500	然後到外面齁
368500	369200	曬太陽
369200	369600	嗯
369600	371000	大概曬了有沒有三秒鐘吧
371000	371300	嗯
371300	372200	我就覺得我中暑
372200	373200	哈哈哈
373200	374400	因為你太虛了啦
374400	375000	有一點這個感覺
375000	375700	對啊
375700	376700	我會覺得說這個
376700	377300	不知道什麼
377300	378300	什麼東西入體了
378300	379400	然後出不來這樣子
379400	380600	然後覺得頭暈腦脹
380600	381100	嗯
381100	382000	所以
382000	383500	我就先觀察一下
383500	383800	對
383800	384200	欸
384200	384900	我爸不在
384900	385300	對
385300	385900	喔
385900	386900	我去找我媽刮痧
386900	387700	哈哈哈
387700	389600	我先判斷我爸不在
389600	390600	免得你爸說我要來
390600	391500	我要來我要來
391500	392800	那我就很痛
392800	393100	對
393100	393900	我就跟我媽說
393900	394900	欸幫我刮痧這樣子
394900	395600	嗯
395600	396200	不得不說啊
396200	398100	就是刮完當下真的會有一種
398100	398600	就是
398600	399900	神清氣爽的感覺
399900	401000	真的假的
401000	402500	然後我就又午睡了一下之後
402500	402900	嘿
402900	403900	欸大概就恢復了
403900	404300	喔
404300	405100	然後
405100	405800	禮拜天嘛
405800	406900	禮拜一嘛
406900	408200	過了一天也沒什麼事情
408200	408900	嗯哼
408900	410400	結果這個昨天晚上啊
410400	411000	對
411000	411660	我就有點那種
411660	413400	延遲痠痛的感覺
413400	414200	就是我突然啊
414200	416400	全身上下的這個關節肌肉
416400	417200	都開始痠痛起來
417200	417500	有點
417500	418300	內退
418300	419700	就是有的時候就是你前面
419700	421200	比如說你在爬山的時候
421200	421300	嗯
421300	423200	沒有特覺得身體哪裡特別來痠痛
423200	423800	過了兩天
423800	424500	對對對
424500	425200	你就會開始覺得
425200	426500	哇全身哪裡都不對勁
426500	427500	好像說聽說齁
427500	428500	就是你比較年輕的時候
428500	429000	嗯
429000	430300	就是你今天爬
430300	431800	明天就會開始痠痛
431800	432200	對
432200	434100	啊越老之後他會炎痢越久
434100	435100	真的假的
435100	435700	越老越久
435700	436300	你是恐龍嗎
436300	437100	一個月那麼久啊
437100	438000	突然跑一個月
438000	439400	我好痠著我會死
439400	440300	我聽說的
440300	441100	我聽說的
441100	441600	好
441600	442900	所以說我是這次過了兩天
442900	444200	太久了吧
444200	445000	這次過了兩天
445000	445200	嗯
445200	446000	我昨天晚上
446000	446200	對
446200	446700	才突然覺得
446700	447500	喔全身痠痛
447500	448000	嗯
448000	449300	然後全身痠痛已經
449300	450400	也很難睡覺了
450400	450900	你知道嗎
450900	452300	就很難翻身什麼都會痠痛
452300	452600	嗯
452600	453800	然後同時
453800	455700	這個我刮痧的那個
455700	456800	刮痧之後不是有一點
456800	458600	有一點瘀青破皮的感覺
458600	459800	也昨天才開始痛
459800	460500	哇
460500	461600	所以昨天我是
461600	462400	晚上有一個
462400	463200	怎麼樣
463200	463800	有一種
463800	465300	外交理論的感覺你知道嗎
465300	465700	就是
465700	466400	外交理論
466400	467800	感覺不錯啊
467800	468400	喔
468400	469200	就是全身都
469200	470000	要一直翻就對了
470000	470700	哈哈哈哈
470700	471400	一直翻
471400	472700	哈哈哈
472700	473600	全身都
473600	475400	都脆脆鬆鬆這樣
475400	476000	喔
476000	477400	怕他停太久會焦掉
477400	478200	很煩
478200	479500	就是怎麼樣都躺不好
479500	481100	就是某個地方壓太久就會痛
481100	481700	壓太久就會痛的感覺
481700	482200	對
482200	483500	我不敢躺任何姿勢
483500	484300	我都覺得
484300	485000	有地方還痛
485000	485700	有地方還痠
485700	487100	你是懷孕九個月
487100	488400	只能坐著睡了嗎
488400	488700	沒比喔
488700	489500	這個感覺
489500	489700	沒比
489700	490300	所以我就
490300	491000	昨天晚上睡不著
491000	491700	嗯
491700	493200	所以我今天就來跟大家分享一些
493200	494400	我昨天晚上睡不著的時候
494400	495200	在想的事情呢
495200	496200	對一些想法
496200	497700	喔
497700	498900	我昨天就在想說齁
498900	499700	這個
500600	501600	呃
501600	502700	怎麼得到幸福
502700	504100	哈哈哈
504100	505200	你為什麼都要在
505200	506700	你就是這樣趕快失眠
506700	507300	對啊
507300	509400	你不要想一些很大的議題啊
509400	509900	其實就是
509900	510900	就是我好像胡思亂想
510900	512900	想一些明天要吃什麼之類的
512900	514500	欸明天要吃什麼也很難好不好
514500	514900	欸
514900	516000	我就在想齁
516000	517400	就是昨天剛好
517400	518100	這個
518100	518800	台灣啊
518800	519700	股市動盪
519700	520100	不台灣
520100	520800	全世界
520800	521300	全世界
521300	522200	股市動盪
522200	522600	對
522600	523700	大的那個資產啊
523700	524600	上上下下的
524600	525000	嗯
525000	527200	一定有很多人都很揪心緊張
527200	527700	對
527700	528600	我覺得啊
528600	529400	錢這玩意
529400	530100	財富
530100	530800	嗯
530800	532400	真的會造成大家很大的困擾
532400	534100	喔你說他不是幸福的來源
534100	535700	對對對對對對對
535700	537200	欸大家不是說錢要拿來投資幹嘛
537200	538000	沒錯沒錯
538000	539500	沒辦法給你帶來幸福
539500	540200	啊
540200	541800	造成你生活中的一些
541800	542400	騷擾
542400	542900	嗯
542900	543500	反而
543500	544500	徒生焦慮
544500	545000	對對對對對
545000	545700	好
545700	546300	那
546300	547300	錢你就是
547300	548000	你把
548000	549100	什麼都不幹
549100	550600	放在銀行的戶頭裡面
550600	550900	對
550900	551600	也很奇怪
551600	551900	嗯
551900	553300	大家都說他會被通膨吃掉
553300	553500	對啊
553500	554300	慢慢越變越小
554300	555500	對啊你不會覺得就是
555500	556900	莫名其妙錢一直不見嗎
556900	557400	對對對
557400	558600	每天都是一個
558600	559500	慢慢的在損失這樣子
559500	560200	對啊對啊
560200	561200	也會造成你的焦慮
561200	561500	沒錯
561500	562100	那怎麼辦那怎麼辦
562100	563200	我們錢到底要把它放哪裡去
563200	563700	嗯
563700	564200	對不對
564200	565800	我就想到一句話
565800	567100	就是啊
567200	568100	錢沒有不見
568100	569800	哦他只是變成你喜歡的樣子
569800	571400	對啊變成你喜歡的樣子
571400	573300	這樣你就會幸福快樂了
573300	573900	對
573900	575500	對我就在想就是
575500	576400	我們是不是應該
576400	577100	把錢
577100	578700	都變成自己喜歡的樣子
578700	579400	都嗎
579400	580400	不一定要都啦
580400	581200	留一些
581200	582500	吃飯之類的
582500	582900	對
582900	584200	生病看醫生之類的
584200	585000	生病看醫生之類的
585000	585400	對
585400	586000	那把錢變成喜歡的
586000	587100	說不定你就會
587100	588100	哦更幸福
588100	589400	得到開心了
589400	590100	對
590100	591300	然後這回過頭來
591300	591800	嗯
591800	592700	我在想哦
592700	594200	我要把錢變成怎麼樣
594200	596200	才會是我喜歡的樣子
596200	596500	哦
596500	597200	就把錢變成什麼樣
597200	598100	這樣子我會開心
598100	599100	嗯哼
599100	600700	哦這個問題也很困難
600700	602500	我到底喜歡什麼
602500	603100	對
603100	603500	哇
603500	603900	哇
603900	604700	一個比一個大
604700	605200	對啊
605200	606100	因為我發現說
606100	608100	我不是個太有什麼物慾的人
608100	608700	欸沒錯
608700	609900	我們身材好像都還好
609900	610300	都還好
610300	610900	比如說什麼
610900	611700	跑車
611700	612700	也不會
612700	613500	什麼奢侈品
613500	613700	對對
613700	614900	你如果說你喜歡跑車
614900	616100	你就把你的錢買來跑車
616100	618500	你一次就解決錯問題
618500	618900	沒錯
618900	619600	可能還不夠
619600	620300	還要計
620300	621300	問題都解決了嘛
621300	621600	對
621600	622100	對不對
622100	623100	或者說什麼
623100	624300	名牌包
624300	625500	什麼這些奢侈品
625500	626300	對但好像我們
626300	626500	買個三四顆就搞定了
626500	627500	買個三四顆就搞定了
627500	628600	對好像沒這個
628600	629800	沒有這個興趣
629800	630300	對啊
630300	631100	對
631100	632000	對就是這個
632000	632200	哇
632200	633000	興趣
633000	633600	好慘
633600	634500	興趣的問題
634500	635000	陳穿
635000	635600	興趣
635600	636500	興趣怎麼了
636500	637300	我就在聯想
637300	638000	我在失眠嘛
638000	639200	我在想到我們之前
639200	640400	討論的一個問題
640400	641100	哼哼
641100	642000	就是
642000	642700	我們啊
642700	644000	夫妻或情侶之間
644000	644400	是
644400	647300	需不需要有共同的興趣
647300	649000	需不需要有共同
649000	650900	我以我自己的人生經驗
650900	652700	你的那個夢境跑得太快
652700	653400	我跟不上
653400	655200	我們先討論說幸福是什麼
655200	655700	對
655700	656200	好啦
656200	657900	我來跟你理一下邏輯
657900	659400	就是我的邏輯是這樣子
659400	660400	我先想說
660400	661400	幸福是什麼
661400	661900	對
661900	662800	然後我發現說
662800	663900	錢我們這樣子
663900	665000	拿來投資或是幹嘛
665000	665800	放著都不行
665800	666200	對
666200	667900	我們必須把它變成喜歡的樣子
667900	670100	我們的心情才會安定
670100	671200	心靈才會平靜
671200	671600	是
671600	672500	才能得到幸福
672500	673000	對
673000	674600	那你等下要先知道你喜歡什麼
674600	674800	對
674800	676200	你才能把錢變成你喜歡的樣子
676200	676700	沒錯
676700	677600	對變錯怎麼辦
677600	678200	嘿嘿
678200	679200	目前邏輯正確
679200	679800	對嘛
679800	680200	再來
680200	681400	我就發現說
681400	683800	你必須對什麼東西有向往
683800	683900	對
683900	685100	或是有興趣
685100	685700	至少要有
685700	686700	有基本的慾望嘛
686700	687000	對嘛
687000	688200	你才會有那個喜歡的東西嘛
688200	688700	對
688700	689000	好
689000	689700	那我們就在想說
689700	690000	欸
690000	690700	那我
690700	691900	我有沒有什麼
691900	692800	興趣
692800	694000	我有沒有什麼喜歡的東西
694000	694400	對
694400	694900	這樣子
694900	695800	然後我就突然聯想到說
695800	696500	欸
696500	697900	陳翠安是不是有跟我有什麼
697900	699000	共同的興趣或喜歡的東西
699000	700500	因為我們是夫妻
700500	701800	我們是couple你知道嗎
701800	703100	我剛本來想要說
703100	704300	為什麼你什麼事都要想到我
704300	705200	後來又覺得說
705200	706400	好像也有點幸福
706400	707200	就是他
707200	708400	思考所有問題的時候
708400	709400	有把我放在裡面
709400	710800	我會擔心一個狀況
710800	711500	哪天
711500	711700	對
711700	712600	陳翠安
712600	714200	把他的錢
714200	715100	不是包括我們的錢
715100	715400	對
715400	716900	都變成他喜歡的樣子
716900	717500	然後呢
717500	718900	然後不是我喜歡的樣子
718900	719500	怎麼辦
719500	720000	蛤
720000	721400	原來是擔心這個
721400	723700	他擔心說我把他錢花完
723700	724200	對不對
724200	724700	那不就
724700	725600	那不就毀了嗎
725600	726900	那我不就很痛苦了嗎
726900	728100	我不就很不平靜
728100	729300	我不就很不幸福嗎
729300	730700	那我們可以切割財產
730700	732300	買很多帶來幸福的花瓶
732300	733400	對
733400	734400	對對對
734400	735700	所以我的邏輯是這樣
735700	737000	我們必須有一個
737000	738200	共同的興趣
738200	739500	這樣子花在這上面
739500	740600	我們兩個人都會開心
740600	741700	都會開心
741700	743400	不會有任何人感到
743400	744600	不平衡或什麼的
744600	745400	因為錢都變成
745400	746600	這種爸爸對你媽媽說
746600	747600	你不要再衝什麼
747600	748500	對
748500	749000	對不對
749000	751000	這個情境是互相的
751000	752400	他也有可能把所有錢變成
752400	753200	他喜歡的樣子
