start	end	text
0	8700	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8700	9580	我是翠翠
9580	11160	大家好 我是錦琳 我是阿斷
11160	12360	大家好 我是林聖凡
12360	15940	先預告一下 雷夢現在在我身上 隨時有可能爆起喔
15940	21400	沒錯 不只在你身上 而且她現在是一個眼睛圓滾滾 捲捲有神的狀態
21400	24720	等一下嘴唇一掉就會開始爆哭
24720	27660	沒錯 而且她嘴唇現在是處在一個非常 怎麼說呢
27660	28580	不穩定的
28580	29000	微柔狀態
29000	30160	不穩定的狀態
30160	31000	隨時會掉
31000	32580	隨時會鬆脫 有錯啦
32580	39960	好 然後就是今天發生一件很突然的 發生一件讓我很驚訝的事情
39960	41320	可是沒有很突然 是只有你不知道吧
41320	42180	攝影師老婆
42180	44320	她前幾天就跟我講啦
44320	44920	喔 真的假的
44920	48080	對啊 可是她覺得你不會感興趣 她不需要跟你講吧
48080	49300	喔 反正她今天突然翹班
49300	51920	她沒有翹班 她請特休
51920	53040	喔 她今天
53040	57800	老婆 那個太太有特休的嗎 太太這個職位是有特休的嗎
57800	58840	她是我們的正職
58840	58980	她是我們的正職
58980	61740	她不是你的太太好不好 你這什麼垃圾發言
61740	63740	對啊
63740	66980	所以 就是 好 你來說明她到底發生什麼事情
66980	69540	她就去找她台北的朋友
69540	70660	沒錯
70660	71300	幹嘛
71300	72660	要看演唱會
72660	73700	看什麼演唱會
73700	74940	線上演唱會
74940	75900	誰的線上演唱會
75900	77820	阿拉喜的線上演唱會
77820	80820	她老婆是資深阿拉喜粉
80820	82500	非常的厲害 而且她
82500	86180	她是因為阿拉喜的關係 所以才去學日文的嗎
86180	88180	有一種 有這種正常因素在吧
88180	88820	對啊 因為她老婆是
88820	93580	她老婆日文蠻好的 是可以去日本旅遊 然後正常對話都OK的那種
93580	95580	是嗎 有學起來嗎
95580	96260	她說可以
96260	97260	沒有學起來吧
97260	98100	日常
98100	99900	沒有吧 我記得當初就是因為
99900	102380	是因為她老婆說要學日語
102380	103220	所以
103220	105420	逼尤也凡去訂的那個
105420	107260	就是訂日語的頻道
107260	110900	不是不是 是我鼓勵她去學日語
110900	112780	是因為你想叫她去考檢定考吧
112780	113500	對對對
113500	114420	對啊
114420	115100	為什麼要買那個日文的
115100	116620	為什麼要逼她去考檢定考
116620	117580	因為她就平常上班上一上就好
117580	118580	因為她就平常上班上一上就好
118580	119780	因為她就平常上班上就好
119780	120820	她上一個工作
120820	122420	上一個工作
122420	125020	上一個就是沒有什麼人生沒什麼目標
125020	128180	那我說那你就考個日檢啊
128180	129620	因為她日文還不錯
129620	130740	她考過三級啦
130740	132420	對
132420	134100	三級是什麼意思
134100	137660	她日文大概分四三二一這樣
137660	138260	越來越厲害這樣
138260	138940	已經不錯了啊
138940	139900	一是比較厲害的
139900	140860	N1這樣
140860	141500	也沒有啊
141500	143020	那三級應該是很普通吧
143020	146020	就是我覺得是口語的生活對話還可以吧
146020	146980	然後就鼓勵她去考個N2這樣啊
146980	148180	然後就鼓勵她去考個N2這樣啊
148580	149540	然後就鼓勵她去考個N2這樣啊
149540	150940	欸
150940	152620	我們那個大學的室友
152620	154580	就是上次說那個有點潔癖的學生
154580	155420	他是N1
155420	156380	對啊
156380	157820	但他沒有學啊
157820	158900	他有啦
158900	160180	他有去上課嗎
160180	162420	他認真在看一些
162420	165420	他就是單純因為喜歡
165420	166300	AKB48
166300	167260	對喜歡AKB48
167260	169460	然後再來他喜歡Pokémon
169460	171660	對就憑著這兩個興趣
171660	173340	就把日文學起來
173340	173740	沒錯
173740	175700	像我老婆去找的那個朋友
175700	177420	也是我朋友
177420	178420	那會員就是她的嘛
178420	179540	你說
179540	182060	我們現在解釋一下這件事情
182060	185780	總之他是一個線上的演唱會
185780	187020	那是因為現在有疫情
187020	188380	他是Live的嗎
188380	188980	Live的
188980	189740	看的時候是Live的
189740	190660	應該是Live的
190660	191180	是嗎
191180	192340	你怎麼知道
192340	193860	我認為他要做到這個程度
193860	194340	應該是Live
194340	194940	應該要Live
194940	195460	我認為
195460	196300	對啊不然有什麼feel
196300	197100	我可能講錯
197100	198940	但是我認為應該是Live
198940	200060	他就是錄好了
200060	202060	所以跟你說是Live你也不知道
202060	203140	應該是可以互動的吧
203140	203660	不行嗎
203660	205700	反正就是他們阿拉席有演唱會
205700	207300	但是因為現在有疫情的關係
207300	208260	所以只能線上的 所以只能線上的
208260	208820	所以只能線上的
208820	209500	線上就是說他們人
209500	212220	不是因為他們這是他們最後解散前
212220	213300	他們已經解散了嗎
213300	213820	已經宣布
213820	214940	不是解散 休團
214940	215980	宣布休團
215980	217020	你會引發眾多
217020	217660	沒錯
217660	218820	對不起
218820	220300	他們宣布休團了
220300	221700	這是休團前的演唱會
221700	222460	最後的
222460	223340	他們還沒休團
223340	224100	還沒
224100	224980	我已經
224980	226620	他們說我們幾歲就在啊
226620	228100	開這個玩笑已經開了會半年了
228100	229220	他們還沒休完
229220	229700	還沒休團
229700	232700	具體怎麼樣的狀況其實我不太知道
232700	234300	總之這個演唱會
234300	237380	總之這個演唱會需要有他後援會的會員
237380	238080	才能夠參與
238260	239740	就是他們的粉絲後援會
239740	241900	後援會員是要交錢的
241900	242620	你老婆沒有
242620	243340	我老婆沒有
243340	244300	怎麼那麼爛
244300	245660	這樣還敢說人家是粉絲
245660	248540	要是會員你要有日本當地的地址
248540	249100	蛤
249100	250380	對
250380	251620	不能有海外會員
251620	251940	這個我不曉得
251940	252700	他們沒有
252700	253740	我已經問過他老婆了
253740	255420	我有問過他為什麼你不加會員
255420	256580	不是像是可以買票嗎
256580	258660	他說要有當地的地址
258660	259460	他朋友有
259460	261260	他應該是跟人家借的
261260	261900	哇
261900	262500	沒錯
262500	264260	無所不用其極的程度
264260	265500	那個有會員的朋友
265500	266780	他就是N1
266780	267660	我
267660	268180	也是因為
268180	268860	真的這樣嗎
268860	270620	所以熱情夠就是N1
270620	271820	哦
271820	273220	所以他也沒有去補習什麼的
273220	275180	沒有他就是看日中這樣
275180	276500	哦
276500	277700	好猛哦
277700	278700	我真的覺得好難
278700	281100	就像以前我們剛開始在流行說
281100	283260	小學生也要開始學英文的時候
283260	285900	就是有各種人會講說什麼英文要怎麼學
285900	289180	說看美劇跟聽英文歌學嗎
289180	290500	我覺得完全沒辦法
290500	291060	是嗎
291060	292380	我真的覺得看美劇有用
292380	293140	真的嗎
293140	294780	我覺得我的口語有變好
294780	295580	你的口語有變好
295580	296780	你什麼時候用得到
296780	297580	你什麼時候用得到
297580	300700	用不到但是我覺得我可以就是抓得到的詞比較多
300700	302340	以前國高中的時候
