start	end	text
0	9860	哈嘍 大家好 歡迎來到好味小姐開束縛 我是好味小姐翠翠
9860	12000	又少了一段
12000	12900	欸 是什麼
12900	15080	喔 我要玩你原型
15080	17200	喔 很難記欸
17200	19220	大家好 我是尖尖沙端
19220	20520	大家好 我是尖尖沙端
20520	22500	你不要講大家都不會發現
22500	23300	屁咧
23300	26980	屁咧 每次當你忘記講之後 下面的留言十個
26980	29300	五個留言以後 三個都是在講說 喔 忘記一段
29300	30200	是嗎
30200	34200	欸 沒錯 整個留言的多樣性都被你降低了
34200	37400	其實我們這一半難得有在平日跑出去玩欸
37400	38400	喔 你說我們
38400	39500	我們兩個
39500	42200	就是因為我們剛好這個禮拜六日都有在工作
42200	42900	對 然後
42900	43900	其實沒有放到假
43900	45700	然後看到那個誰啊
45700	46800	攝影師他老婆
46800	48800	去重點 翹班跑去
48800	50400	去演唱會 有羨慕
50400	53300	就覺得說 欸 她都可以 為什麼我們不行
53300	54300	嗯
54300	56100	然後我們就約要去
56100	57000	要去台南玩
57000	58700	對 我們本來是約禮拜二
58700	59100	對
59100	59700	禮拜二
59700	62900	對 我們禮拜一很認真就把這個禮拜要拍的那個片
62900	64500	就把努力把它拍完
64500	66300	然後他就說 好 那我們就禮拜二去
66300	68700	結果禮拜一不是要發那個Podcast的嗎
68700	70500	禮拜二啦 禮拜二要發Podcast
70500	71600	所以我們禮拜一晚上錄
71600	75200	對 然後剪到完的時候已經早上了
75200	76500	其實應該不用剪那麼久
76500	78000	因為我們那次
78000	79500	上一集好像
79500	81100	說為什麼大家講話比較大聲吧
81100	81800	嗯
81800	83100	就很常常就是
83100	84800	你能不能收到我的音啊 什麼之類的
84800	85700	互相干擾
85700	87300	對對對 所以我就
87300	88500	對 我就認真的剪了
88500	90000	結果我剪完之後
90000	90500	嗯
90500	91500	因為Podcast
91500	93200	每次都會錄一個多小時吧
93200	93700	對 差不多
93700	94700	剪完還是一個多小時嘛
94700	95200	嗯
95200	96200	你要再聽一遍
96200	98200	對 所以我全部剪完之後就三四點了
98200	98700	嗯
98700	100400	然後我就再聽一遍
100400	101300	就五點了
101300	102200	對 然後
102200	104700	喔 這個過程中發生一件事情
104700	105500	怎樣
105500	106700	就是
106700	108600	我跟你說 吃宵夜的事情
108600	109500	喔 對對對
109500	110700	他後來跟我說他隔天
110700	112600	他晚上太餓跑去吃宵夜了
112600	114800	就是我那個 我剪完之後想說
114800	116200	欸 其實以前
116200	117800	如果沒有這種就是
117800	119300	串音之類的問題
119300	119900	嗯
119900	121400	我剪完會有點
121400	122600	懶得聽
122600	123600	喔 懶得聽
123600	124900	對 因為因為一個多小時
