start	end	text
0	3000	我還你原型
3000	4000	他就講我是翠翠
5000	6000	我是翠翠
6000	7000	大家好 我是經濟差段
7000	8000	大家好 我是聯盛凡
9000	11000	為什麼我每次都可以把開頭講的這麼的
11000	12000	驚險刺激
12000	13000	精彩絕倫
14000	15000	無與倫比
17000	20000	我們今天要講的那個呢是
20000	22000	為什麼我們在這個時刻
22000	24000	我們也要有一個很重要的思維
24000	26000	這個是我們在這個時刻
26000	29000	我们今天要讲这个呢
29000	29360	是
29360	31700	因为我今天早上做了一个梦
31700	34780	因为我昨天自己一个人睡
34780	35540	昨天是那个
35540	38080	那个剪辑师跟雷梦睡觉
38080	40280	我隔天早上起来的时候
40280	42340	因为其实我做梦整天半梦半醒
42340	44580	就是他早上进来房间上厕所
44580	46460	然后他好像想要出去吃早餐
46460	47880	他本来想来揪我
47880	49160	那天是
49160	50860	今天是我
50860	52300	昨天是我跟雷梦睡
52300	52500	对
52500	55520	好像也自己在房间跟猫睡
55520	57380	所以隔天那天早上起来之后
57380	58600	就是雷梦被我妈抱走了
58600	60680	我就想回来找好位小姐去
60680	62440	就是吃饭什么的
62440	63920	然后结果我看她就是
63920	65760	就是睡着一个衣服
65760	67720	就是像往生的一样
67720	68700	夸张
68700	69180	真的
69180	70960	然后我就稍微戳了两下没有反应
70960	71560	我就想说算了
71560	72480	那我去买回来好了
72480	73820	然后我就去买
73820	76000	但是殊不知她进来的时候
76000	76920	其实我有感觉
76920	77680	我有醒
77680	79160	就是半梦半醒
79160	80040	然后我就想说
80040	81780	她不知道会不会来跟我讲话
81780	83060	结果她就去上厕所
83060	83400	我想说
83400	85280	竟然是回来上厕所的
85280	86520	其实我有过去
86520	88720	她在这个时候她想象
88720	89920	她根本就已经睡死了
89920	91080	她根本就没有醒来
91080	91540	对
91540	94040	然后我以为我还醒着你知道吗
94040	94300	然后
94300	96380	结果其实我已经开始进入了
96380	97340	做梦的阶段
97340	98600	我以为我还醒着
98600	99520	然后我就问
99520	100780	她就说什么
100780	102900	又很含糊的说了一句说
102900	105280	她要去吃早餐还是什么之类的
105280	106280	然后我就说
106280	107460	好啊那你等我一下
107460	108700	我起来我一起去这样
108700	110920	以下片段都是做梦
110920	112380	我说好那你等我一下
112380	114000	此时此刻我已经出门了
114000	115120	对她其实已经出门了
115280	116920	对然后她说那我一起去
116920	118520	我就说她就说
118520	119240	啊你不要去啊
119240	120960	你在家里泡烟麦就好
120960	122320	然后讲得很含糊
122320	123000	所以我当下
123000	125200	因为我梦里面我还是躺在床上
125200	125840	我就说
125840	126920	你说什么我没听到
126920	128680	她说
128680	129400	你不要去啊
129400	131160	我在你自己在家里泡烟麦就好
131160	132520	这样还是很含糊
132520	133520	我说你到底在说什么
133520	134880	我真的听不到
134880	135480	然后我
135480	136840	但是我隐隐约约觉得
136840	139340	好像在讲什么泡烟麦什么之类的
139340	140420	然后就想说
140420	142500	她可能是不想要我跟她一起去这样
142500	144220	然后她就是一点很纠结
144220	144780	就是这
145280	146840	梅头紧皱想说
146840	147560	她很想要
147560	148840	她不想让我跟
148840	150840	但是她又不想直接讲
150840	151340	哦
151340	151840	对
151840	153200	然后她最后就坐下
153200	154240	然后梅头紧皱说
154240	155280	啊算了啦
155280	156360	算了那你
156360	158360	你要吃什么我去做早餐这样
158360	159120	然后我就说
159120	160000	嗯
160000	162040	你如果真的不想要我跟你一起吃早餐的话
162040	163160	那我就不要去啊
163160	164720	你就自己去这样
164720	166040	然后她就
166040	166440	真的吗
166440	166840	真的吗
166840	168240	我可以自己去吃早餐吗
168240	169080	她就很开心
169080	169920	系上眉梢这样
169920	170920	对她就很开心
170920	173320	然后她就说她要打扮一下要去吃早餐
173320	174640	然后我就想说
174640	175280	为什么
175280	177520	其实看起来就是有心事的样子
177520	178520	但不让我跟
178520	179560	不想让我知道
179560	182520	然后就打扮了一副cosplay的样子
182520	185560	她说我打扮了一副
185560	187320	穿着一个就是
187320	190040	军装的那种西装外套
190040	191440	然后穿着一条短裤
191440	191920	然后
191920	193200	跟黑色的裤袜
193200	194940	对黑色的透服裤袜
194940	196460	跟一只一双军靴
196460	197280	creepy
197280	198260	什么东西好恶心
198260	199320	creepy超恶心
199320	200460	我听的时候我觉得超恶心
200460	203260	我从来没有任何类似的这种打扮
203260	205020	非一所思
205280	207040	你看少女革命那个
207040	209560	蔷薇少女革命里面那个样子
209560	211200	里面那些少女的样子
211200	212960	然后她就说她要去吃早餐
212960	214280	同时
214280	216920	她的器座副驾做了另外一个
216920	218760	做了另外一个女生
218760	219240	蛤
219240	220160	已经有另外一个女生
220160	221120	鼻目张胆
221120	222840	突然冒出来另外一个女生
222840	224920	然后那个时候当下我
224920	226960	我内心其实也会跟那个
226960	228080	没有做梦的人一样想说
228080	229080	这女生哪里来的
229080	229680	对不对
229680	230920	所以我的内心呢
230920	232480	把那个梦马上
232480	234880	转移到了稍早之前的画面
234880	235280	那种感觉
235280	237000	马上她的梦马上做了一个那个
237000	237920	前行提要
237920	238400	对对对
238400	238920	做一个转移
238920	240080	梦自己的一个前行提要
240080	240920	自己脑补
240920	241560	对对对
241560	242800	马上就变另外一个场景
242800	244320	就是我们不知道为什么
244320	246880	是大学生待在高中里面
246880	249000	就是好像就是重修这样
249000	249980	对有时候常常会想
249980	251640	梦里面的时间都会错乱啊
251640	253200	然后我们在一个高中里面
253200	254160	但是我们是大学生
254160	255700	然后我们就在上课的时候
255700	257160	她一个以前的同学
257160	258760	突然来到我们学校
258760	259660	然后落水
259660	260600	她是转学生哦
260600	261520	对对对转学生
261520	262140	好强哦
262140	262700	然后落水
262700	264440	转学生一定会变女主角的啊
265280	267620	落水之后就被她救起来
267620	268960	落水之后被她救起来
268960	270420	对反正就是在磁场落水
270420	270780	什么之类的
270780	271920	她其实只是要一个
271920	272980	因为她后面有理由
272980	273480	需要一个理由
273480	273940	对对对
273940	275860	需要让我自己这个逻辑通顺
275860	277000	后面说我把她
277000	279480	那个女的抱进浴缸里面
279480	281020	一个热水浴缸里面
281020	281820	然后把她擦澡
281820	283000	但是穿着衣服
283000	283880	对对对
283880	284940	然后我也带
284940	286320	她只是想要这个画面
286320	287760	所以随便让那女的落水
287760	289220	就是剧情需要
289220	289840	她跟那女的
289840	291060	有一个亲密接触
291060	291880	对对对
291880	292620	然后我就觉得
292620	294180	那时候当下其实有点不爽
294180	294740	但是我觉得
294740	294940	嗯
294940	295900	人家落水嘛
295900	297280	表达一点善意
297280	298420	她又是在这个学校里面
298420	299340	她唯一认识的人
299340	300420	可以理解
300420	301760	就在热水里面擦澡
301760	303280	所以那个女的是我的
303280	305560	就是以前的青梅竹马
305560	306380	然后分开了之后
306380	307340	又转学进来
307340	307980	然后回到这个学校
307980	309140	哇这就是女竹桥
309140	310340	这是女竹桥
310340	311300	对然后我就觉得
311300	312160	有点不高兴
312160	313060	然后后来之后
313060	313940	她又要去吃早餐
313940	314980	又带她女儿去
314980	315600	那你就是那个
315600	316740	平手平手
316740	317440	我是你老婆
317440	319440	但是你今天有心事
319440	321100	要跟别人倾吐的时候
321100	322960	竟然不想要跟我讲
322960	323860	因为你是女二啊
323860	324540	你在这个故事里面
324540	325080	是女二
325080	326720	是那个
326720	327020	你在讲一次
327020	329300	你在讲一次
329300	330540	你在讲一次
330540	331220	我就要重温
331220	332200	我早上起床的时候
332200	333220	那个气氛感
333220	334280	你在讲一次
334280	336760	好anyway就这样
336760	338300	然后她就早餐
338300	339620	吃完回来之后
339620	340660	我就觉得很不爽
340660	340900	嗯
340900	342200	我想说凭什么
342200	342720	嗯
342720	344060	然后我们就在课堂
344060	345340	那课堂坐的位置
345340	346440	就像小组座位
346440	347080	就是五个人
347080	348100	一桌并桌这样
348100	348860	嗯
348860	350140	锅小的座位
350140	351240	锅小的座位
351240	352220	锅小的这样坐
352220	353340	然后我跟她中间
353340	354280	隔着另外一个女生
354280	354520	这样
354520	355600	就是
355600	356600	就是我就说
356600	357440	什么
357440	358180	那是
358180	360000	你早上为什么跟那谁谁谁
360000	360660	去吃早餐
360660	361140	嗯
361140	362260	然后你就没讲话
362260	363400	然后旁边那个女生
363400	364660	就看我们气氛不太对
364660	365680	就是在我们中间
365680	365980	那个女生
365980	366520	就看我们气氛不太对
366520	366700	她说
366700	367660	啊是哦
367660	368780	啊你为什么跟那个女生
368780	369320	去吃早餐
369320	370000	然后我就回头
370000	371120	我就回头很凶
371120	371620	我对她说
371620	372400	关你屁事啊
372400	372640	这样
372640	373300	嗯
373300	374620	我就把
374620	375080	迁怒
375080	375600	迁怒
375600	376220	对对对
376220	377300	迁怒另外一个女性
377300	378320	还是嫉妒性
378320	379180	很重那种女二
379180	380220	是因为我在生气
380220	381000	这个
381000	382600	这个新出现的女性角色
382600	384060	是属于女二
384060	385160	是女二的好朋友
385160	386320	女二的闺蜜
386320	387280	就是那个怀闺蜜
387280	387600	哦
387600	388480	不是怀闺蜜
388480	389220	她是好闺蜜
389220	389760	对
389760	390660	然后她就是有点
390660	391660	哦对不起这样
391660	392360	她就她就说
392360	392840	哦对不起
392840	394380	然后就没有参与我们的对话
394380	396360	然后之后中间下课时间呢
396360	397100	大家就去上厕所
397100	397960	我去上厕所
397960	398680	然后那个女生
398680	399740	就跟我一起去上厕所
399740	401120	然后走在路上的时候
401120	401980	我就越想越觉得
401980	403600	刚刚迁怒她很不好意思
403600	405080	我就转头跟她说
405080	405740	哦对不起
405740	407200	我刚刚其实是在气头上
407200	408940	然后就发泄在你身上
408940	409820	很抱歉
409820	411280	我就很认真跟她道歉
411280	411480	这样
411480	412340	然后她说
412340	412920	哦没有啦
412920	414100	你们怎么能骂她这样
414100	415360	然后她就开始担任一个
415360	416280	好闺蜜
416280	418320	倾听你的难处的一个角色
418320	418660	哦
418660	419280	对
419280	420340	你就是那种
420340	421420	富家千金
421420	422880	追不到男主角
422880	423620	然后呢
423620	424900	对自己稍微比较
424900	426280	家境没那种好的闺蜜
426280	427280	以一指气势
427280	428100	那种女儿
428100	429120	可是我在那个
429120	429800	不是
429800	431140	我在那个梦里面设定
431140	432220	感觉那个女生是一个
432220	433300	很有气质功课
433300	433940	又好家境
433940	435740	又好一个状态的女生啊
435740	436760	又长发
436760	437600	然后很温柔这样
437600	438460	哦那你就是
438460	439280	另外一种类型
439280	440200	二八类型的
440200	441160	什么二八类型
441160	441460	就是那个
441460	442480	二八类型旁边有一个
442480	442880	大街头
442880	443520	大街头
443520	444760	旁边有个关学生
444760	445220	成绩很好的
445220	445840	关学生
445840	447520	以一指气势
447520	448540	所以不是女儿
448540	449520	你是女反派
449520	450060	对对
450060	452600	你闺蜜才是女儿
452600	456040	对对对
456040	458140	然后我就跟她抱怨说
458140	459480	就是早上这整件事情
459480	460100	她说哈
460100	460620	怎么这样
460620	461300	类似像这样
461300	462460	然后我们在那个
462460	463580	小组课堂上呢
463580	464840	其实还是有一些对话
464840	465940	那个我帮她说
465940	467080	干你屁事之后
467080	468360	那个你就说
468360	469520	你干嘛这样啊
469520	470480	人家没有惹到你
470480	471000	什么之类的
471000	471320	嗯嗯嗯
471320	471660	然后我说
471660	472460	你才过分吧
472460	474040	你早上跟别人去吃早餐耶
474040	474660	嗯嗯嗯
474660	475480	竟然不是找我
475480	476340	我是医疗婆耶
476340	477300	然后你就说
477300	478940	你在废话
478940	479780	我就要把这张
479780	481000	手上的纸撕碎
481000	481660	什么之类的
481660	482540	她手上就拿了一张
482540	483920	不知道是烤箱还是什么的
483920	486020	完全没有道理
486020	487160	没有道理的威胁
487160	488080	她说
488080	489580	你就要把纸撕碎
489580	489840	我就说
489840	490780	那你就撕啊
490780	491780	我心里就在想说
491780	492740	对啊那又怎么样
492740	494380	的确是
494380	494980	那又怎么样
494980	495640	你就撕
495640	495960	对
495960	496580	然后她就说
496580	497480	我说那你就撕啊
497480	498040	然后你就说
498040	498840	那我要撕碎
498840	499280	然后还要
499280	500380	砸在你身上
500380	500540	哦
500540	501860	对
501860	503460	所以我发现
503460	504500	我的攻击都已经
504500	505620	我把我的攻击都已经
505620	506760	先讲给大家听了
506760	507140	对对对
507140	508900	不是因为是做梦嘛
508900	510160	然后我就说
510160	511000	我就说
511000	511920	好啊你砸啊
511920	512460	好你砸啊
512460	512620	对
512620	514020	然后你没有砸
514020	514620	哦没有砸
514620	514820	对
514820	515780	然后你就冷暴力
515780	517300	我冷暴力
517300	518340	就讲一些说什么
518340	519940	真是莫名其妙啊
519940	520900	神经死死
520900	521980	神经怎么样啊
521980	522560	之类的女生
522560	522580	对对对
522580	523920	神经是一个傲娇男主角
523920	523940	没有
523940	524640	她这本就是
524640	525920	她这本书就是那个
525920	526540	女性的
526540	527280	女性漫画
527280	529020	女性漫画是
529020	530540	会有这种激烈打斗场面的
530540	532220	都会在言语中解决
532220	532660	对对对
532660	533060	对对
533060	534500	然后我就说
534500	535900	好不然就离婚啊
535900	537180	然后你就说好啊
537180	537680	好啊
537680	539500	哦原来是结婚证书
539500	540620	不是那是考卷
540620	541360	考卷
541360	541980	普通废纸
541980	542980	这是废纸
542980	544220	好所以就离婚了
544220	545240	你就说好啊
545240	545880	但是我们没有
545880	546400	没有没有
546400	547500	没有做到就是去
547500	548400	去那个名证
548400	549060	去那个
549060	549880	那个什么
549880	551120	护身事务所吧
551120	551980	对啊没有啦
551980	552520	你就做完了
552520	553480	对然后你就
553480	554360	你就那个啊
554360	555060	你就说什么
555060	555660	好啊随便
555660	556440	然后我们两个就
556440	557600	我就跟那女生去上
557600	558940	上这种剧情
558940	559680	是后面的
559680	560280	然后
560280	561560	然后那个你身边
561560	562440	那个斗水
562440	563160	那个绿茶婊
563160	563860	他就
563860	565860	他就一副
565860	566880	他为什么这样
566880	568240	我们之间都没什么
568240	571840	OKOK
571840	573340	我是不是让他误会了
573340	574120	对对对
574120	575020	标准绿茶婊
575020	575900	气不气
575900	577160	气气气
577160	579720	然后他就打电话来
579720	580240	他就打电话
580240	581740	现实世界里面的
581740	582820	现实世界的我
582820	583520	对
583520	584340	我那个时候
584340	585120	为什么打电话回来
585120	586000	我问他吃什么
586000	586500	对
586500	588220	因为我本来想去买午餐
588220	588760	哦
588760	588920	我刚才就
588920	588940	我刚才就
588940	589720	我刚才就出去绕一圈的时候
589720	590460	我不知道买什么
590460	590920	对
590920	592080	然后他打电话来说
592080	594140	那个我在外面
594140	594980	你早餐要吃什么
594980	595500	然后我就
595500	596560	因为我那时候刚做完梦
596560	597120	我很气
597120	597480	我就说
597480	598600	你为什么在外面
598600	604120	你那时候感觉到
604120	605380	我就是有一点不爽吗
605380	605900	有一点点
605900	607500	但是我觉得你应该是起床气
607500	608360	对
608360	610080	他说你为什么在外面
610080	611300	我就说你为什么在外面
611300	611680	他说
611680	612500	我说没有啊
612500	613920	我出来吃午饭
613920	615800	我说那你为什么没有叫我
