start	end	text
0	7900	大家好 歡迎來到好味小姐開束縛 我是翠翠
7900	9420	大家好 我是金金聖亞斷
9420	10980	大家好 我是林聖凡
10980	12820	我還你原型 對不起
12820	14640	難怪我覺得你今天怎麼變那麼壞
14640	18900	本集節目由 喔他明早上
18900	24360	稻草法救星 魅尚軒 完美修復 護法精油 贊助播出
24360	26220	我剛才想說我要在哪裡換氣
26220	27920	喔 所以今天是護法精油嗎
27920	28460	對對對對
28460	29700	那怎麼知道你的髮質很爛
29700	30960	你好煩
30960	34400	為什麼這些頭髮產品的好精準喔
34400	37100	他們都眼睛很賴欸 受不了
37100	40100	那這個品牌那時候邀請的時候我記得好像是
40100	42000	那時候你們還在說那什麼鬼啊
42000	42800	講那個名字
42800	44800	因為你們平常沒有在關注這些東西啊
44800	46720	然後後來發現就是我平常在用的東西
46720	47720	我就決定要截了
47720	48340	喔是喔
48340	49880	對 因為我發現他就在我桌子上
49880	50820	而且我已經
50820	53260	我在用了 我生之前就在用
53260	55160	然後現在生完之後繼續用
55160	56420	喔 對 我覺得還不錯
56420	58220	所以覺得值得推薦一下
58220	58460	然後
58460	61860	然後接下來就是廠商需求
61860	65900	飛上軒他是韓國銷售第一名的護法精油品牌
65900	70100	然後據說他們的現在的全球銷量已經超過6000萬瓶
70100	72240	我在當中有貢獻個幾瓶
72240	73540	就是那個
73540	75080	我桌上直舉那個
75080	76240	他的Logo是一個
76240	76840	黑色的那個
76840	79680	拍得有點亂的那個
79680	82220	怪人家吧 怎麼樣
82220	85360	然後他說他們主打的就是髮油裡面有添加珍貴的
85360	88420	黃金摩洛哥堅果油跟七種
88460	90020	植萃金油
90020	91660	你就可以改善受損的頭髮
91660	93300	恢復光澤亮麗
93300	93840	哎唷
93840	94400	沒有錯
94400	96260	你自己的使用
96260	98440	我剛剛不是說我就是還用蠻久了嗎
98440	103840	因為我大概從大學高跟研究所時期的時候比較常就是有在染燙
103840	105040	對 就生小孩之前
105040	106680	然後有一陣子就是很熱衷染燙
106680	108280	而且我還漂過頭髮
108280	109680	然後就是一個不歸路
109680	110920	欸 真的
110920	112280	他們說頭髮真的是
112280	113180	把哪一根頭髮起來
113180	114720	用力你也可以斷了八段
114720	117420	對 他就說你頭髮是可以變成粉末
117420	119320	頭髮可以像猴子一樣你知道嗎
119320	121620	就是花一整天的時間在那邊拔自己的髮尾
121620	122360	對對對
122360	123920	就跟猴子在剪眼一樣
123920	126060	好像薩諾斯彈一個手指
126060	127060	那頭髮就會
127060	127820	蛤
128540	129900	頭髮就這麼爛
129900	130860	對 就這麼爛
130860	131360	精神爛
131360	132660	對 就是因為我漂了一次
132660	133780	然後那時候就是
133780	134700	年紀小
134700	135380	不知道
135380	136140	不知悔改
136140	137300	我就去漂
137300	138980	然後漂完之後就發現
138980	142240	所有的那個護髮乳都沒有辦法
142240	145220	足夠去讓我頭髮恢復原本的光澤
145220	145780	然後我才想說
145780	146940	我是不是應該要就是
146940	147420	吹完頭髮之後
147420	148300	所以要插点什么
148300	149860	然后我就去问我身边
149860	151420	所有在插这些东西的
151420	152540	少女们朋友
152540	154000	然后他们就叫我去买这个
154000	154520	真的
154520	155580	他们是直接说
155580	157520	你就去宝雅什么什么
157520	158920	屈臣氏买什么什么什么
158920	159840	就直接这样跟我讲
159840	161740	然后他们也想不起来
161740	162400	他的名字叫什么
162400	163340	然后就跟我说
163340	165140	他说就是橘色一瓶
165140	166120	然后一个人就是logo
166120	167520	上面写英文字乱乱的
167520	169820	对就叫我去找那个
169820	170620	就是因为他logo乱乱的
170620	171460	所以拼字度很高
171460	175260	对所以我那时候就开始买了
175260	175880	然后他们就说
175880	176840	你就去架上找
176840	178020	小橘瓶
178020	179420	然后如果你知道不知道
179420	180540	就问那个店家
180540	181160	他应该知道
181160	182220	然后就去找
182220	183100	这么有名
183100	184580	对好像是真的超级有名
184580	185080	然后他
185080	186580	因为我后来有自己上网
186580	188060	查那种网路的排行榜
188060	190060	就是有那种专门做化妆品
190060	191160	评价的排行榜
191160	193200	他们也在非常的前面
193200	195680	就觉得很放心我就去买
195680	196840	然后用到现在
196840	198800	所以是真的有用就对了
198800	199500	对真的有用
199500	200560	是针对像你那种
200560	202260	就是毁灭镜的打击
202260	204120	没有因为我那时候
204120	205800	其实我真的没有在研究这个
205800	206820	然后大家说有用
206820	207340	我就去买
207340	208820	然后才发现
208820	210980	它有超级多不同颜色
210980	212800	小橘瓶只是它的经典款
212800	213980	就是像我这种入手
213980	214840	我就买小橘瓶
214840	216300	然后等到后面
216300	217300	可能像它还有什么
217300	219020	红色的是什么
219020	221780	粗硬染烫的受损法质
221780	223160	我后来想我应该要买这个
223160	225060	对然后还有一个什么粉红色
225060	228460	是什么修护跟造型记忆之类的
228460	228660	这样
228660	230960	然后反正我现在都还是用橘色
230960	232020	因为我很喜欢它的味道
232020	234880	好以上就是这次这个护发油分享
234880	236380	那想知道更多讯息的话
236820	238100	可以上网搜寻妹上轩
238100	238700	好
238700	239760	他有特别交代
239760	240500	常常可能也觉得
240500	242640	大家会忘记他的名字是哪一个
242640	244000	他说妹呢
244000	244840	就是魅力的妹
244840	246460	时尚上草头轩
246460	248000	然后在Momo PC Home
248000	248800	屈臣氏宝雅
248800	250260	许多通路都可以找到哦
250260	251600	就是我觉得大家直接去
251600	252620	然后认小橘瓶
252620	254000	我觉得会蛮好找的
254000	255120	然后这次不是收到这个
255120	256400	什么护发油邀请吗
256400	257280	我就有跟我妈讲说
257280	257940	我收到一个
257940	259260	我平常就有在用的东西的邀请
259260	259460	这样
259460	260400	然后我就说
260400	261600	我还讲到说
261600	263340	就是因为我头发瓢坏吧
263340	264620	然后我就开始用这个
264620	265420	然后妈就说
265420	266660	可是你以前烫头发
266660	267820	都不会那么夸张啊
267820	268560	然后我才知道
268560	270380	我三岁就开始烫头发
270380	271700	看我妈多下巴
271700	272660	烫头发
272660	273320	烫头发
273320	273960	三岁
273960	274260	对
274260	276100	因为我小时候头发很长
276100	277360	然后我妈就说
277360	279580	我头发就属于那种细软发嘛
279580	282560	三岁可以长多长头发
282560	284120	三岁很长了吧
284120	285520	三岁都不剪的话
285520	286500	可以多长吗
286500	287200	对啊
287200	288220	可以挤腰吧
288220	289100	雷某现在四个月
289100	290880	头发大概才两公分
290880	293200	这样子的话
293200	294320	你这样子叫做逻辑
294320	295260	三岁不是也差不多
295260	296460	十几公分而已吗
296460	297180	只有多长
297180	297680	没有耶
297680	298380	越长越快吧
298380	299020	越长越快啊
299020	300280	没有雷某现在是因为
