start	end	text
0	2000	脆脆 我 我是
2000	4000	什麼東西
4000	6000	我真的想著脆脆而已
6000	8000	換你 換你
8000	10000	我是脆脆嘛
10000	12000	大家好 我是剪接師阿段
12000	14000	大家好 我是顏色凡
14000	16000	反正不會有人聽不出來這個是我
16000	18000	難不成偷好換另外一個人
18000	20000	偷好解構
22000	24000	今天喔 是這個
24000	26000	今天喔 是這個
26000	28000	今天喔 是這個
28000	30000	今天喔 是這個
30000	32000	今天是禮拜一
32000	34000	是2020年
34000	36000	應該是2020年最後一次錄Podcast了吧
36000	38000	2020年最後一個禮拜一
38000	40000	沒錯 沒錯
40000	42000	下禮拜一就是2021年了
42000	44000	好快喔 我覺得今年過得很快
44000	46000	因為事件很多吧
46000	48000	就是因為事件很多所以過得很漫長阿
48000	50000	就是因為事件很多所以過得很漫長阿
50000	52000	你們的心那個時間沒有同步
52000	54000	對啊 可是我覺得
54000	56000	突然有種一恍神覺得
56000	58000	好多事情發生了喔 然後覺得時間過得很快
58000	60000	好多事情發生了喔 然後覺得時間過得很快
60000	62000	生過很快嗎 連莫說真的時候都覺得時間過得很慢
62000	64000	你又沒有真的說多累多累
64000	66000	你明明就有後緣
66000	68000	不是阿 但是就是一天一天的過阿
68000	70000	一天一天的過
70000	72000	對不起喔 明天就18歲了
72000	74000	之類的
74000	76000	明天就要再要去上大學住宿舍
76000	78000	看時間不能過得更快的那種
78000	80000	看時間不能過得更快的那種
80000	82000	後天就要嫁人了
82000	84000	好 那我們今天呢
84000	86000	我們錄Podcast是今年開始錄的嘛
86000	88000	所以是過了一年了
88000	90000	沒有欸 其實我們沒有過了一年
90000	92000	我們七八月開始錄的嘛
92000	94000	半年 其實才錄半年而已
94000	96000	然後就是
96000	98000	我們就回顧一下我們
98000	100000	不是回顧一下 我們就去看了一下我們之前的
100000	102000	一些留言 突然發現
102000	104000	因為我們剛開始錄的時候
104000	106000	就是Apple Podcast留言很
106000	108000	怎麼說 它留言是評價不是留言
108000	110000	所以就是很難
110000	112000	留言就對了啦 對
112000	114000	然後我們就說那你在不同的地方啊
114000	116000	比如說我們在那個FB
116000	118000	會PO文嘛 YouTube社團
118000	120000	會PO文嘛 然後
120000	122000	像是那個我們還有
122000	124000	後來還有出精華
124000	126000	所以精華會有留言 所以說
126000	128000	原本我們是想說大家都沒有地方留言
128000	130000	那你們可以去以下這些地方留言
130000	132000	到最後發現就是
132000	134000	太多地方留言了
134000	136000	所以我們就是都沒有辦法
136000	138000	好好看大家到底留了什麼
138000	140000	所以我們就是
140000	142000	看了一些
142000	144000	我們本來想說去把全部留言都看一看
144000	146000	後來發現
146000	148000	做不太到
148000	150000	太多地方了
150000	152000	而且又有好幾集
152000	154000	每一集留言在不一樣的地方
154000	156000	所以我們就看了一些留言
156000	158000	然後我們想跟大家就是
158000	160000	在年底來跟大家分享一下
160000	162000	大家有趣的留言 然後回覆一下大家留言
162000	164000	這種感覺
164000	166000	有點像Q&A
166000	168000	比較像是一個回顧啦
168000	170000	因為通常都跟我們的主題有關係嘛
170000	172000	那我們以前剛開始的時候
172000	174000	這是我們一個壞習慣
174000	176000	剛開始的時候比如說我們就是
176000	178000	就是設定一個
178000	180000	主題 聊一會兒岔題
180000	182000	然後就在說我們下次
182000	184000	把這個主題講完
184000	186000	也不是這樣就是說
186000	188000	這件事情可能原本可以有很多可以聊
188000	190000	但是因為你是岔題出去的
190000	192000	所以就是只講一點點
192000	194000	可能沒有聊得很完整
194000	196000	反正就是回顧一下
196000	198000	我也不知道到底會看到什麼
198000	200000	首先我看到一個
200000	202000	最近的一支影片
202000	204000	Louis的留言
204000	206000	這個是在什麼地方啊 社群吧
206000	208000	我不知道 不知道在哪裡
208000	210000	他說說就是解釋
210000	212000	上次剪輯師去
212000	214000	上次攝影師去澎湖婚宴的時候
214000	216000	就是我們不是很驚訝
216000	218000	為什麼澎湖婚宴會在晚上
218000	220000	他說
220000	222000	因為他應該是澎湖人
222000	224000	但是聽到這集很驚訝的澎湖粉絲
224000	226000	他說澎湖人的婚宴
226000	228000	一律都在晚上
228000	230000	為什麼啊 在黑黑的時候
230000	232000	我查一下好像是說
232000	234000	因為澎湖很多都是
234000	236000	可能是那個觀光之類的吧
236000	238000	觀光相關的
238000	240000	沒有分週六週日的感覺
240000	242000	也是有分
242000	244000	反而週六週日
244000	246000	早上比較忙
246000	248000	週末的早上比較忙
248000	250000	所以說婚宴通常都會在晚上
250000	252000	就是這樣子當地的人才有空來參加的感覺
252000	254000	對 比較像這樣子
254000	256000	所以說他去台灣吃朋友的喜宴
256000	258000	你一直以為都是晚上
258000	260000	覺得不習慣
260000	262000	結果前幾天突然發現說是中午
262000	264000	他嚇一跳
264000	266000	那不是跟你去之前一模一樣的反應嗎
266000	268000	反正你可以玩
268000	270000	然後掛包
270000	272000	真的他們都會有掛包耶
272000	274000	為什麼啊
274000	276000	通常上到掛包表示說菜都出完了
276000	278000	掛包在正中間
278000	280000	可能每個地方流派又不一樣
280000	282000	就不一樣流派
282000	284000	他們那邊出到掛包表示說
284000	286000	菜都出完了
286000	288000	澎湖的掛包都是包花生粉
288000	290000	然後
290000	292000	掛包出完之後
292000	294000	就是出甜點啊什麼的
294000	296000	然後炸物是讓你包回去的
296000	298000	那你外帶的
298000	300000	不是在那裡那邊吃
300000	302000	這樣子
302000	304000	幫大家科普一下
304000	306000	我那天有看到一個底下的延伸回覆
306000	308000	他說他很少看到冰淇淋耶
308000	310000	他說他在澎湖的喜宴
310000	312000	都看到布丁
312000	314000	這個看各個那個不一樣
314000	316000	各個主人家
316000	318000	比較習慣的東西
318000	320000	自己可以挑吧
320000	322000	然後有超多
322000	324000	就是做夢那集的留言
324000	326000	做夢發現大家的夢大家都記得很清楚耶
326000	328000	就是還是會有些深刻的啊
328000	330000	然後都在回就是
330000	332000	告訴我們他們自己夢到的夢
332000	334000	然後有些根本就是恐怖
334000	336000	就是鬼故事
336000	338000	鬼故事我們都不提了
338000	340000	然後就是挑了幾個
340000	342000	好像很多都是跟被追啊有關的東西
342000	344000	就是聽起來都很恐怖的
344000	346000	這個就是我所謂的就是
346000	348000	好像沒有聊到的
348000	350000	就是我們都很有默契的
350000	352000	迴避的尿床的話題
352000	354000	其實沒有迴避
354000	356000	這我們還沒聊到嗎?就是真的沒有聊到
356000	358000	然後我後來他一講之後我發現說
358000	360000	這是Lin Nana的留言
360000	362000	他說我們是不是有默契的
362000	364000	回憶的尿床的話題
364000	366000	小時候我總夢到醒來避尿床
366000	368000	我不會尿床
368000	370000	但是我超級常夢到
370000	372000	你不會尿床?你沒有尿床過?
372000	374000	應該沒有
374000	376000	我記憶中也沒有
376000	378000	你們兩個不要迴避這一段
378000	380000	所以你有記住你尿床
380000	382000	我媽有跟我講
382000	384000	她說我有一段時期很常尿床
384000	386000	就小時候很小吧
386000	388000	就是我沒有記憶的時候
388000	390000	但是我好像有印象中
390000	392000	我有記憶的時候
392000	394000	已經是我夢到
394000	396000	我在上廁所或是找廁所
396000	398000	的時候我就會醒來
398000	400000	因為我就知道我要去尿尿
400000	402000	就是因為你會一直被媽媽唸
402000	404000	然後媽媽就會問你
404000	406000	你就說沒有啊
406000	408000	我就夢到我在上廁所
408000	410000	然後之後媽媽就會說
410000	412000	那你以後夢到你一定要起來
412000	414000	這是什麼妖酒
414000	416000	這個邏輯不對啊
416000	418000	你以後夢到一定要起來
418000	420000	反正我後來沒有開始尿床
420000	422000	因為我媽說我後來就沒有尿床了
422000	424000	就是過了那段時間就是因為我自己做夢
424000	426000	我在找廁所或是想尿尿的時候
426000	428000	我會突然驚醒
428000	430000	對我就驚醒
430000	432000	我就在做夢然後趕快去尿尿
432000	434000	差不多是小
434000	436000	快小一中班大班的時候
436000	438000	你的意志力要強大
438000	440000	對啊因為我怕被媽媽罵
440000	442000	可以把自己弄醒耶
442000	444000	我一直到現在都做出一個非常大的困擾
444000	446000	就是我很愛喝飲料
446000	448000	很愛喝水飲料
448000	450000	我就一直喝一直喝
450000	452000	所以我超級常睡覺睡到一半我想上廁所
452000	454000	但是我已經睡著了
454000	456000	所以我會在睡夢中
456000	458000	我已經大到不會尿床了
458000	460000	你是說現在嗎
460000	462000	你一定要講一下我已經大到不會尿床了
462000	464000	我已經大到不會尿床了
464000	466000	所以我現在只要睡覺的時候想上廁所
466000	468000	我就會在夢裡面拼命的找廁所
468000	470000	然後而且都會找到廁所
470000	472000	比如說我現在在學校
472000	474000	那你怎麼尿都尿不完耶
474000	476000	可是我都上不出來
476000	478000	永遠上不出來
478000	480000	很痛苦
480000	482000	上不出來就糟糕了
482000	484000	像我之前不是有說過
484000	486000	我們之前不是聊過
486000	488000	如果說睡覺的時候突然想大便
488000	490000	會起來還是繼續躺
490000	492000	看便衣跟睡衣誰贏啊
492000	494000	看便衣跟睡衣誰贏啊
494000	496000	有時候我
496000	498000	通常會有這個印象
498000	500000	因為如果說睡衣不足的話
500000	502000	我就會起來上廁所
502000	504000	有時候我真的太想睡我就會直接睡覺
504000	506000	然後那個也是一樣
506000	508000	就是我會在睡夢中
508000	510000	不停的找廁所
510000	512000	所以你的便衣會以夢境的形式呈現
512000	514000	對 很痛苦
514000	516000	而且這種夢都一樣
516000	518000	因為不管你一開始夢到在哪裡
518000	520000	比如說在教室 學校
520000	522000	然後我就突然開始
522000	524000	是一個便秘的夢跟尿結石的夢
524000	526000	對 真的我就突然開始想尿尿
526000	528000	下秘尿到結石的夢
528000	530000	以小便來說我就突然開始想尿尿
530000	532000	然後我就去
532000	534000	就是不管幹嘛我就去上廁所
534000	536000	然後找到廁所了嘛
536000	538000	一定會找到廁所啊
538000	540000	然後找到廁所之後我就去上
540000	542000	但是上了之後就是有時候男生上廁所
542000	544000	不是一定會這麼順利
544000	546000	不是一直是說有時候
546000	548000	有時候你如果看個人啊
548000	550000	有的人要醞釀啊
550000	552000	如果說那個場面很
552000	554000	可是你不是想尿尿才去尿尿
554000	556000	為什麼要醞釀
556000	558000	有時候你憋太久會尿不出來
558000	560000	或是你有時候那個場面壓力很大
560000	562000	會讓你很緊張的話也會尿不出來
562000	564000	比如說是男生才會有
564000	566000	男生應該都會啦
566000	568000	因為我高中的時候有跟我們同學
568000	570000	交換過意見嗎
570000	572000	討論過這件事情
572000	574000	真的會這樣
574000	576000	比如說像我
576000	578000	如果說我今天去上廁所
578000	580000	公共廁所對不對
580000	582000	我左右都有人
582000	584000	後面還有人排隊
584000	586000	我覺得尿不出來
586000	588000	很多這樣子好不好
588000	590000	但是你屬於比較不脆弱
590000	592000	因為我們高中討論過這件事情
592000	594000	很多都這樣
594000	596000	一定比例是沒有差的
596000	598000	一定比例是像我這樣
598000	600000	就是如果旁邊很多人
600000	602000	在排隊有一個壓迫感
602000	604000	就尿不出來
604000	606000	有一兩個人是
606000	608000	有幾個人是他們對壓力的
608000	610000	承受度很低
610000	612000	就是說
612000	614000	像會尿到眼
614000	616000	有的人是他隔壁有人他就尿不出來
616000	618000	或者是說
618000	620000	他好像尿尿都要去廁所的那一種
620000	622000	有馬桶那一間
622000	624000	公共廁所都有那個
624000	626000	一個約定俗稱的
626000	628000	一個行為
628000	630000	就是一排空的
630000	632000	你只能尿一三五
632000	634000	不會站在人家隔壁這樣
634000	636000	就是大家會主動去間隔
636000	638000	或者離越遠越好
638000	640000	讓彼此有空間
640000	642000	如果說原本整排都空的
642000	644000	只有一個人在這邊
644000	646000	整排空的只有我一個人
646000	648000	突然有一個人在我旁邊尿
648000	650000	就很恐怖
650000	652000	不會停下來
652000	654000	整排都空了
654000	656000	他突然站到我旁邊來
656000	658000	我就會想要幹嘛
658000	660000	很可怕
660000	662000	我覺得我自己的經驗
662000	664000	好像比較
664000	666000	女生朋友討論過尿尿
666000	668000	可能遇到的問題
668000	670000	好像是
670000	672000	如果後面有人在等
672000	674000	會怕尿尿太大聲
674000	676000	會比較像這樣
676000	678000	我們好像不太會有尿不出來的問題
678000	680000	有時候尿尿會有點大聲
680000	682000	然後我們就會很用力的
682000	684000	就是練那個叫什麼
684000	686000	開隔嗎
686000	688000	就是會中斷
688000	690000	或者是想要讓他小數一點
690000	692000	你們不會嗎
692000	694000	不會啊
694000	696000	很大的時候不會噴濺
696000	698000	不會很不舒服嗎
698000	700000	不會啊
700000	702000	但是不會有太大聲音
702000	704000	在意聲音很大聲
704000	706000	因為我那時候高中讀女校嘛
706000	708000	發現大家在女校的時候
708000	710000	手上會拿著衛生棉在那邊甩
710000	712000	但是出去如果上公共廁所
712000	714000	或餐廳廁所
714000	716000	大家好像都會有一點點的困擾
716000	718000	就會想要小聲一點
718000	720000	不會有別尿的問題
720000	722000	然後我剛剛還沒講完
722000	724000	就是說我高中的時候有幾個同學
724000	726000	他們是在這方面比較脆弱的
726000	728000	旁邊有人他都上不出來
728000	730000	我們高中的時候有一次
730000	732000	有一個人
732000	734000	我們一群人負責掃廁所
734000	736000	就是掃男廁
736000	738000	男廁不是要裝飾嗎對不對
738000	740000	廁所都要裝飾啊
740000	742000	他們就很愛辦這種
742000	744000	廁所的比賽啊
744000	746000	校園整潔精彩之類的
746000	748000	廁所的環境什麼的
748000	750000	有時候就會有些
750000	752000	要布置什麼的
752000	754000	學校有嚴格
754000	756000	我們那個老師沒有要求
756000	758000	學校有要求
758000	760000	那聖誕節要掛燈嗎
760000	762000	沒那麼誇張啊
762000	764000	就是固定的
764000	766000	那是男廁嘛
766000	768000	貼一些標語這樣
768000	770000	我們就帶了一本A漫來
770000	772000	我們就把A漫的就是比較重點的那幾個段落
772000	774000	然後就是
774000	776000	一個小便斗一張這樣
776000	778000	所以他要每一個小便斗都尿過一天
778000	780000	對你要把它全部看完的話
780000	782000	你要每一個輪流去那個
782000	784000	不會被發現嗎
784000	786000	會被檢查的人發現嗎
786000	788000	如果他要比賽他就會來檢查
788000	790000	無所謂吧反正我們就貼而已
790000	792000	那一天就被撕掉了
792000	794000	我們那天下午我們早上的時候貼
794000	796000	下午老師來檢查的時候就被我撕掉了
796000	798000	那很酷耶我們就貼
798000	800000	那個你沒有看過一間廁所這麼受歡迎
800000	802000	你說大排長龍
802000	804000	對啊那一整天我們在廁所就
804000	806000	大排長龍
806000	808000	男廁是不是很少塞車啊
808000	810000	男廁還好
810000	812000	對不對男廁是不是很少塞車
812000	814000	就我們好像在廁所辦演唱會一樣
814000	816000	我們從早上貼完之後
816000	818000	一整天我們就絡繹不絕的都是人
818000	820000	因為大家都是正常臉色進去
820000	822000	紅著臉出來嗎
822000	824000	不會啊大家就是很開心啊
824000	826000	因為我們想像中的使用狀況是
826000	828000	今天來上第一間嘛
828000	830000	差不多第一格
830000	832000	你現在捷克來上第二格嘛
832000	834000	就大家不是啊大家都在那邊排隊把那個全部看完
834000	836000	然後廁所裡面就塞車了
836000	838000	你追劇的時候不是一晚上追完你是分天追的嗎
838000	840000	然後還有很受到
840000	842000	大家都不是去上廁所的
842000	844000	對啊都是去看漫畫的
844000	846000	我們都是去上廁所順便看
846000	848000	然後還收到很多回饋
848000	850000	就有人就告訴我們說
850000	852000	因為我們那個
852000	854000	馬桶那一間
854000	856000	牆壁有四面嘛
856000	858000	我們四面都有貼
858000	860000	背面的要怎麼看啊
860000	862000	所以他就說他長這麼大
862000	864000	第一次上廁所上到要轉向
864000	866000	要回頭
866000	868000	收到很多好評
868000	870000	有幾個同學就說
870000	872000	他們就是去上廁所的時候
872000	874000	因為太熱鬧了
874000	876000	太多人
876000	878000	所以他們那天沒辦法在那邊上廁所
878000	880000	你說比較敏感那幾個嗎
880000	882000	對壓力太大了
882000	884000	早晨變成困擾
884000	886000	老師就發現太多人
886000	888000	晚上就去檢查了就對了
888000	890000	就去檢查
890000	892000	你們這膽子很大耶
892000	894000	這樣貼不怕被罵喔
894000	896000	還好啊那個老師就老師嘛
896000	898000	我們班就是這樣啊
898000	900000	我們班就小校啊高中的時候
900000	902000	我不知道講這個
902000	904000	我只知道形容就是說
904000	906000	上廁所會上不出來這件事情
906000	908000	所以說我在
908000	910000	就是我不會尿床
910000	912000	所以我不能上出來
912000	914000	然後夢會把你的這個
914000	916000	就是把這件事情合理化
916000	918000	就是我在夢裡面想上廁所
918000	920000	我進廁所的時候
920000	922000	不是我去那邊站好之後
922000	924000	就會有超多人進來上廁所
924000	926000	就是他會把那個環境弄到
926000	928000	我沒辦法上他把我的壓力局限化
928000	930000	對就比如說就是
930000	932000	我突然旁邊就塞滿人很多人進來
932000	934000	我還以為是不是有人一直狂敲門什麼之類的
934000	936000	不然就是那個小便朵壞掉
936000	938000	整個滿的就是小便朵那個會滿
938000	940000	你知道嗎
940000	942000	再沖水就要流出來那種很可怕
942000	944000	就是都不能上就是全部都在維修
944000	946000	或者是裡面那個有個
946000	948000	他本來在掃廁所
948000	950000	那你在夢裡就很僵硬耶
950000	952000	他叫我出去
952000	954000	讓我把廁所關閉
954000	956000	然後到後來這個夢
956000	958000	因為我夢很久就是越來越奇幻
958000	960000	就是我這邊上不到廁所嘛
960000	962000	你就會找下一個廁所
962000	964000	對我就會找下一個廁所
964000	966000	他那個夢可能會一直跳到場景
966000	968000	所以有時候我就比如說我在教室上不了
968000	970000	我突然跳到場景一跳
970000	972000	我變成在游泳池
972000	974000	我就去游泳池的廁所
974000	976000	然後游泳池不是有那個淋浴間嗎什麼的
976000	978000	我就來找
978000	980000	結果打開每一間都是淋浴間
980000	982000	沒有廁所
982000	984000	怎麼找找不到廁所
984000	986000	我去廁所看到說是廁所
986000	988000	進去打開那個也是淋浴間
988000	990000	那你可以邊淋浴邊尿尿啊
990000	992000	那就糟糕了
992000	994000	他就是不讓你上嘛
994000	996000	就很累啊
996000	998000	找到起來就滿頭大汗
998000	1000000	邊尿還好
1000000	1002000	有時候如果是那種想上大號然後沒有上的
1002000	1004000	那個我就會在夢裡面去蹲耶
1004000	1006000	你說一直蹲到都蹲不出來
1006000	1008000	超可憐
1008000	1010000	這真的是一個便秘的夢耶
1010000	1012000	我覺得
1012000	1014000	在現實中便秘
1014000	1016000	已經很慘了
1016000	1018000	而且那個在夢裡面
1018000	1020000	那是不可能成功的
1020000	1022000	你不可能上出來的
1022000	1024000	為什麼啊?就是不會上啊
1024000	1026000	就糟糕了
1026000	1028000	所以就是在夢裡面
1028000	1030000	所以你印象中就是連你媽都沒有說過
1030000	1032000	你小時候尿床嗎
1032000	1034000	也許有吧沒有印象
1034000	1036000	有記憶來就沒尿過床
1036000	1038000	怎麼厲害
1038000	1040000	至少不會像大熊那樣會尿到
1040000	1042000	被媽媽罵的程度
1042000	1044000	沒有記憶啦
1044000	1046000	就是沒有那麼嚴重啦
1046000	1048000	我有印象耶
1048000	1050000	印象的畫面都是被媽媽唸的畫面
1050000	1052000	就是起來以後發現濕濕的
1052000	1054000	然後被我媽罵
1054000	1056000	後面印象
1056000	1058000	我有一個印象就是睡覺
1058000	1060000	造成最嚴重的後果
1060000	1062000	是我從床上掉下來
1062000	1064000	我那天
1064000	1066000	可能國中還是高中
1066000	1068000	我就早上去刷牙
1068000	1070000	刷洗臉
1070000	1072000	別人覺得為什麼我的
1072000	1074000	右邊臉痛痛的
1074000	1076000	一開始是痛痛的
1076000	1078000	後來洗臉的時候會鬧
1078000	1080000	然後我發現說好痛
1080000	1082000	然後我就認真看鏡子
1082000	1084000	就是我右邊臉整個都是瘀青的
1084000	1086000	睡一覺睡一睡
1086000	1088000	我媽也沒發現
