start	end	text
0	2000	嗯?
2000	4000	怎麼樣?我想要改變個語調不行嗎?
4000	6000	幹什麼好不習慣
6000	8000	你先說一聲啊
8000	10000	大家好我是剪輯師阿斷
10000	12000	大家好我是先生梵
12000	14000	這樣就不驚喜了
14000	16000	這樣你們就不會有正確天然的反應了
16000	18000	而且我在剛剛發出奇怪的聲音之前
18000	20000	我並沒有做這個決定
20000	22000	這是信手年來的事
22000	24000	你不是一個啪音然後就晃來晃去
24000	26000	然後就晃來晃去
26000	28000	然後就晃來晃去
28000	30000	你不是一個啪音然後就晃來晃去
30000	32000	然後就晃到三角下去
32000	34000	我是因為在這之前我在那邊
36000	38000	我在唱歌
38000	40000	所以就突然帶出了一個
40000	42000	好可以了
42000	44000	今天很突然
44000	46000	又突然
46000	48000	這個禮拜多更一更
48000	50000	為什麼你知道嗎?我覺得我們已經找一個節奏
50000	52000	隔週兩更
52000	54000	不是那麼明確的節奏
54000	56000	就是如果臨時有什麼事
56000	58000	或緊急的事想要講
58000	60000	或是想要蹭一個什麼東西的熱度
60000	62000	下禮拜再蹭就來不及了
62000	64000	下禮拜再蹭就來不及了
64000	66000	所以如果最近剛好有我們感興趣的議題的話
66000	68000	所以如果最近剛好有我們感興趣的議題的話
68000	70000	就會莫名多一個
70000	72000	下禮拜再蹭就太慢了
72000	74000	大家就忘記了
74000	76000	我們就趕快
76000	78000	所以我們今天就是要
78000	80000	臨時要講一件事跟蹭一件事
80000	82000	臨時要講一件事跟蹭一件事
82000	84000	兩個都含蓋在裡面了
84000	86000	厲害厲害
86000	88000	好先來你要講什麼事
88000	90000	怎麼會分心喔
90000	92000	捲捲今天跟我們一起在這裡啊
92000	94000	他現在被我們抱來倉庫這邊
94000	96000	他現在非常的
96000	98000	好奇跟躁動
98000	100000	因為是在倉庫
100000	102000	背景音可能有錄到他的聲音
102000	104000	好就是這樣
104000	106000	我們這個月
106000	108000	月底本來有一個
108000	110000	算合作吧
110000	112000	像一個公益的合作
112000	114000	跟那個相信動物
114000	116000	他們的計畫超可愛的
116000	118000	他們的計畫叫什麼
118000	120000	渣女養成機
120000	122000	渣女養成機就是結渣
122000	124000	是結渣渣不是渣
124000	126000	專注在渣女這件事情
126000	128000	研究顯示
128000	130000	他們跟外面的一些國外的機構交流顯示說
130000	132000	一個區域
132000	134000	一個蠻大的區域
134000	136000	像一個行政區
136000	138000	裡面如果80%的
138000	140000	流浪的母狗
140000	142000	都結渣完之後
142000	144000	就能有效控制環境的狗狗數量
144000	146000	就不會有那種
146000	148000	快過於結渣的數量
148000	150000	的狀況
150000	152000	或者是自然淘汰的數量
152000	154000	所以慢慢的流浪狗數量就會越來越少
154000	156000	就會穩定下來
156000	158000	所以他們是他們的目標
158000	160000	一直在做的事情
160000	162000	本來我們是想說我們去拍一支
162000	164000	他們工作的影片
164000	166000	來介紹這樣子
166000	168000	結果他們的工作蠻複雜的
168000	170000	而且他們工作的時間
170000	172000	我們最近剛好比較難配合
172000	174000	加上配合他們的那個
174000	176000	他們是在募資嘛
176000	178000	配合他們募資的時辰
178000	180000	來不及製作這個影片
180000	182000	可是又很想要
182000	184000	分享這件事情
184000	186000	所以我們現在就緊急來
186000	188000	講一下話
188000	190000	剛好又有要撐的事情
190000	192000	就是說
192000	194000	我們雖然說沒有要拍片
194000	196000	但是我們還是
196000	198000	去台北了一趟
198000	200000	因為他們這個
200000	202000	比較少見的一個
202000	204000	動保團體的行動方式
204000	206000	非常具體然後有具體的目標
206000	208000	有階段性跟規劃的
208000	210000	那種感覺
210000	212000	像他們簡單來說
212000	214000	他們做的事情就是把這個行政區
214000	216000	比如說台北市所有的路
216000	218000	先抽樣
218000	220000	先在電腦上面
220000	222000	然後把所有的路線都畫出來
222000	224000	把這個區域所有的路全部都畫出來
224000	226000	然後切成很多塊
226000	228000	比如說大安區好了
228000	230000	所有路都畫出來
230000	232000	然後把它切成很多份
232000	234000	比如20公里切一段
234000	236000	把它切成幾十段 五百段 沒那麼多啦 幾十段
236000	238000	然後抽樣
238000	240000	比如說我這個比較市區的抽幾個
240000	242000	比較偏遠的
242000	244000	人住比較少的地方抽幾段
244000	246000	然後去調查就是人現在去走
246000	248000	然後去數那個流浪狗的數量
248000	250000	他說要計時對不對
250000	252000	要限時的
252000	254000	反正就是有一套流程
254000	256000	然後去數說確認幾十之後
256000	258000	確認說這個區域這段路20公里
258000	260000	有多少流浪狗
260000	262000	流浪狗裡面有多少是有劫殺的
262000	264000	然後多少是沒有劫殺的
264000	266000	整個大安區有多少流浪狗
266000	268000	你就數出來嘛
268000	270000	比如說你現在數出了有一千隻流浪狗
270000	272000	然後你之前說了嘛
272000	274000	要扎80%
274000	276000	一千隻裡面就有一半隻母的嘛
276000	278000	就五百隻母的
278000	280000	裡面可能又有一半是沒扎的
280000	282000	那你就可以很明確的知道說你要
282000	284000	扎多少隻
284000	286000	就知道KPI了
286000	288000	就感覺好像這件事情沒有
288000	290000	不是沒有盡頭
290000	292000	他知道做到什麼程度是做完了
292000	294000	因為如果我長期在關注
294000	296000	這類的議題的話
296000	298000	都會有一種好像就是
298000	300000	無窮無盡
300000	302000	沒完沒了的感覺
302000	304000	走一走這邊有一堆
304000	306000	就是永遠做不完
306000	308000	但他們在做的事情就是用一個很科學化的方式
