start	end	text
0	5740	哈囉 大家好 歡迎來到好味小姐開束縛 我是翠翠
5740	6140	蛤?
6140	6640	怎麼了
6640	8700	再給你一次機會 再給你一次機會
8700	10560	我本來想裝死
11860	12840	可惡
12840	13440	好
13440	17100	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
17100	17740	我是翠翠
17740	18960	大家好 我是剪接師阿端
18960	19900	大家好 我是攝影師冷凡
19900	22660	你們剛不要停下來就過去了
22660	23260	不會過去
23260	24860	而且你會讓這集所有的留言都是
24860	26840	欸! 你們不要踢出我面子
26840	27860	沒有這樣
27860	28880	这一集说的留言都是
28880	30520	那个标题怎么没有讲对
30520	31280	好了
31280	33780	本期节目由
33780	35280	LALAMOVE 24小时
35280	37260	即时快递APP赞助播出
37260	39020	LALAMOVE就是可以
39020	40800	让你在任何需要寄东西的时候
40800	42140	帮你媒合快递司机
42140	44320	然后处理紧急的货运需求
44320	46200	他们有蛮多车种可以选的
46200	48360	就是机车 香洗车 货车
48360	49220	通通都有
49220	50640	而且大台北地区
50640	51820	大概一个小时内就会到货
51820	52320	超快
52320	53460	然后重点是
53460	54700	他们24小时都能交件
54700	57120	就跟7-11一样很方便
57120	59860	那像我们现在是好位商店
59860	61120	我们比较常用到
61120	62620	可能就是我们的电商部门
62620	63780	那有时候出货的时候
63780	65120	我们仓库不是跟我们办公室
65120	65860	分开的吗
65860	67620	然后你就是要常常尾翻
67620	68660	就是要来来回回
68660	70020	拿东西的时候
70020	71320	比如说我们常拍片
71320	72680	然后拍一拍就可能
72680	74020	少一个人换毛膏
74020	75920	然后家里这样翻翻翻都没有
75920	76700	然后尾翻就要
76700	78240	开车去很远的地方
78240	79420	大概来回一个小时
79420	80840	对 就你只有两个选择
80840	82820	要么就是派一个人去拿
82820	84000	然后去可能要半小时
84000	84720	来回一个小时
84720	86140	就是那边有一个人
86140	87480	特地从那里
87480	88900	拿过来给我们
88900	89920	对不对 拿过来
89920	90780	也是一个小时
90780	93400	对 就很麻烦
93400	94740	所以像我们经常
94740	95640	有时候在做包装
95640	96540	我们也不是还是要
96540	98120	会有一些比较附近的厂商
98120	98900	像是彰化
98900	100980	或者嘉义地区之类的厂商
100980	101900	他们可能就是工厂
101900	103280	比较远一点点
103280	104300	然后会给我们样品
104300	104620	有没有
