start	end	text
0	1320	怎麼覺得好像很久沒有錄Podcast
10320	11600	嘿 哈囉 大家好
11600	15320	歡迎來到好味小姐開束縛 我還你原型
15320	16120	我是翠翠
16120	17000	這誰戳了你一下
17000	17720	怎麼樣
17720	18480	怎麼了
18480	19320	因為他剛剛就說
19320	21120	嗯 怎麼覺得好像很久沒有錄Podcast
21120	22400	然後我就說
22400	23720	有啊 我們上禮拜才錄啊
23720	24920	然後你就已經按開錄
24920	27040	我就覺得 嗯 現在是怎樣
27040	28720	我覺得跟平常想像的不一樣
28720	29560	我覺得有點混亂
29560	30600	大家好 我是翠翠
30600	31760	大家好 我是林聖凡
31760	33000	你們是不是故意製造
33000	35000	讓我片頭永遠都講不好
35000	36040	沒有啊
36040	37280	最近 我今天啊
37280	38840	我今天聽那個古來
38840	39440	嘿
39440	41080	然後就是他就講說他
41080	42240	他片頭也講不好嗎
42240	43600	沒有 他前面
43600	44800	一開始都會講
44800	45680	反正就是大家好
45680	46640	我是古來什麼什麼什麼的
46640	47560	然後會爆死嘛
47560	48480	對不對
48480	49480	然後最近越來越少
49480	50720	因為他發現就是
50720	52280	要讓節奏變快啊什麼之類的
52280	53920	然後他前面那段可以
53920	54640	就是越講越快
54640	56800	跟那個關鍵時刻的保潔一樣
56800	57760	哦
57760	58720	我覺得那個太強了
58720	59480	你知道他保潔
59480	60640	你知道他前面是有講一句
60640	62840	他們的open的slogan嗎
62840	64520	他大概16個字
64520	66240	講什麼
66240	68160	新聞萬象什麼追緝
68160	69920	我是劉瑪潔
69920	70720	嗯
70720	71920	還16個字 超長的
71920	73560	我是覺得他每次都說
73560	74920	歡迎
74920	75480	然後就講完
75480	76360	我根本不知道他講誰
76360	77720	然後那個人知道他講他
77720	79920	對 然後我聽到那個
79920	81080	我就早上聽古來
81080	82400	聽到的時候我就說
82400	83440	那我們是不是也可以前面
83440	84600	不要講那麼多有的沒的
84600	85800	還是我要講很快
85800	86520	不行
86520	87320	為什麼不行
87320	89280	因為人家是講得很穩定
89480	90680	然後每次都是這樣
90680	91800	所以一成不變
91800	92680	哦
92680	94040	但是我們每次講都不一樣
94040	94680	哦
94680	96520	大家就期待這個梗
96520	97440	對 裡面一個內梗
97440	98840	我都是梗
98840	100480	我很想要完美啊
100480	101480	很辛苦欸
101480	102720	還搞得我每次要開場之前
102720	103920	我壓力都很大
105240	106280	我已經開完場了
106280	106960	嘿
106960	107640	好
107640	109560	今天也有贊助
109560	110280	今天有贊助
110280	110680	好
110680	111560	我們要放的
111560	112080	對
119480	120760	Coco數位銀行邀請
120760	121720	不知道是不是覺得
121720	123360	我們現在除了要養六隻貓
123360	124480	還要養小孩
124480	127480	應該是滿適合置入金融相關的議題的
127480	128080	那這次呢
128080	130680	要分享這個國泰世華的Coco數位銀行呢
130680	132480	他有一個手機的APP
