start	end	text
0	4000	欸 你原型 唉唷 還沒第四次
4000	6000	這是第四集還是第五集 第四集
6000	8000	好 我們看到底看 第十集的時候到底有沒有辦法一次把你玩完
8000	10000	完美的講對 我上一次講對了
10000	12000	你上一次 但是你有停頓
12000	14000	是嗎 要求太多了
14000	16000	算了 我把他錄進OP裡面好了
16000	18000	喔 對 這樣就不用講了
18000	20000	我上一次講對了
20000	22000	你上一次 但是你有停頓
22000	24000	是嗎 要求太多了
24000	26000	算了 我把他錄進OP裡面好了
26000	28000	喔 對 這樣就不用講了
28000	30000	喔 對 這樣就不用講了
30000	32000	好 看你幾次可以錄完一次
32000	34000	那 就是上次我們有邀請大家留言嗎
34000	36000	那 就是上次我們有邀請大家留言嗎
36000	38000	有
38000	40000	幹 為什麼沒有讓他理我三小
40000	42000	是我們上次有邀請大家留言
42000	44000	結果後來我們才發現說
44000	46000	沒有 我沒想到他會在那邊停頓
46000	48000	我以為他會繼續講下去
48000	50000	總而言之上次我們請大家留言
50000	52000	結果我沒想到Podcast留言系統
52000	54000	超級爛的
54000	56000	他就是APP的評價系統你只能評一次
56000	58000	對對對 其實他不是留言系統是評價系統
58000	60000	變成說很多人他如果要留言
60000	62000	要先把之前留言刪掉嗎
62000	64000	還是要怎麼樣 他只是修改
64000	66000	修改 對 但是修改完之後
66000	68000	好像會洗到上面來
68000	70000	所以你就會變得很麻煩啊
70000	72000	但是這樣其實也沒有說不行啦
72000	74000	就是會洗到上面來啊
74000	76000	果然也是用得好好的
76000	78000	好吧 那我們到底要繼續用還是要換地方
78000	80000	我覺得就是
80000	82000	這裡也可以 然後我們不是都會發文
82000	84000	在粉絲團或YouTube
84000	86000	說我們第幾集 第幾集上架
86000	88000	你也可以留在底下
88000	90000	就是我們都去看就對了
90000	92000	反正你就想辦法告訴我們
92000	94000	我們會想辦法
94000	96000	總而言之就是留言有點麻煩
96000	98000	大家見諒
98000	100000	就是因為留言很麻煩
100000	102000	所以我們還沒有去看那些留言
102000	104000	而且他Podcast留言那個底下
104000	106000	評論超久才會更新耶
106000	108000	對 都十幾個小時前的
108000	110000	對啊 他好像是15到16個小時前
110000	112000	結束他15個16個小時更新一次
112000	114000	對 所以我們就不知道說
114000	116000	到底是留言很少還是留言還沒跑出來
116000	118000	對啊 就算想要隔天都
