start	end	text
0	29980	哈囉 大家好 歡迎來到好味小姐開束縛 我是翠翠 我還你原型
30000	59900	哈囉 大家好 我是翠翠 我還你原型
60000	64660	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型 我是翠翠
64660	67860	大家好 我是錦吉斯阿頓 大家好 我是尹聖凡
67860	70740	用盡我餘生的力氣 好難
70740	74180	今天是下集嗎
74180	76580	對 上次上禮拜我們就講到
76580	78140	我的tips
78140	79520	當然五點嘛 對不對
79520	81980	其實上禮拜的狀況是我們已經先討論好
81980	82380	對
82380	83500	不過我先問翠翠說
83500	84760	妳覺得妳有什麼tips
84760	85240	對
85240	86340	然後去把它列出來
86340	88640	然後我自己後來 我自己有列
88640	89400	喔 真的假的
89400	89980	但是我自己列出來
90000	92360	我自己列的時候我沒有告訴大家我列了些什麼
92360	93800	你會不會列一些很過分的點
93800	95400	沒有 我覺得我列的就是各種
95400	96440	趁機抱怨
96440	97240	沒有
97240	98720	霞院報復
98720	100440	沒有 我覺得我是各種精闢
100440	103840	而且是 怎麼說 是十幾年的這個經驗的累積
103840	106120	他現在先把自己就是抬在那個高度
106120	107960	他等一下會不會拿磚頭砸自己的腳
107960	109760	沒有沒有 但是我要提醒大家
109760	110240	是
110240	112080	我這些字字跡距喔
112080	113960	都是去無存今後
113960	116160	剩下的那個純潔的產物
116160	119980	喔 你是說我一個slogan要花兩天兩月來解釋的那種
119980	120540	程度嗎
120540	121740	欸 不一定是這樣
121740	123100	就是 我的意思是說
123100	124380	欸 我就給你三個字
124380	125260	你回去慢慢想
125260	126940	想三年看你烏烏烏烏的到
126940	130140	什麼鬼
130140	131820	剪輯師阿斷tips1
131820	134700	欸 我如何維持長達十年的感情
134700	135060	是
135060	137460	欸 然後最後步入一個就是
137460	138220	完美的結局
138220	140420	我以為你要說 步入墳墓
140420	141460	沒有 這樣
141460	142020	首先第一點
142020	142940	我覺得這點很重要
142940	143180	嘿
143180	144500	我覺得可能是最重要的
144500	144780	是的
144780	145460	應該是我最
145460	146580	而且我這個體悟呢
146580	148260	是從十幾年歷史到最近
148260	149380	我覺得我今天會被罵
149380	149980	沒有沒有沒有
149980	152220	最近才真正體悟出來
152220	152860	喔
152860	153660	你到底要講了沒
153660	154620	你到底要講了
154620	155420	首先第一點
155420	156940	各位 這點是講給各位男士
156940	158780	好煩欸 到底要講了沒
158780	161020	更多 兩百多個前提
161020	162380	但是同時呢
162380	164140	各位 就是女生本人
164140	165740	應該也要有這個意識
165740	167460	也有可能有時候是角色交換啊
167460	168100	不一定
168100	169660	欸 首先第一點
169660	170900	欸 就是
170900	173580	要知道女生有生理期
173580	174820	什麼鬼
174820	176260	是不是 我都知道你是這個反應
176260	177300	對啊 什麼鬼
177300	178580	誰不知道女生有生理期
178580	179380	不 你要
179380	181540	意識到說你有生理期
181540	182260	嘿
182260	182740	大概這個感覺
182740	184980	你是要說我金錢正後期很討厭嗎
184980	186860	欸 不是 不是這個意思
186860	187300	不然
187300	188420	不是 就是
188420	189380	有時候齁
189380	190380	很多紛爭
190380	191780	或是很多那個
191780	193500	就是男生常常會覺得女生有時候
193500	194940	明明就 明明就沒怎麼樣
194940	195300	蛤
195300	196620	啊突然幹嘛反應那麼大
196620	197540	欸突然幹嘛反應那麼大
197540	198140	或是
198140	199820	或是今天就是工作回來
199820	201300	明明跟平常一模一樣
201300	201660	對
201660	202500	工作回來
202500	203660	突然就擺臭臉
203660	204500	喔
204500	205540	有沒有 講話很衝
205540	206980	但是你這時候絕對不能問他說
206980	208260	你是不是生理期
208260	209180	欸
209180	210580	不行 我會生氣
210580	211860	男生不會這樣子想
211860	212100	好 真的嗎
212100	213260	男生就會 就會覺得說
213260	213820	嗯
213820	214180	發什麼神經
214180	214820	你怎麼這麼臭
214820	215300	嘿
215300	216500	對 然後問你說你怎麼了
216500	217260	沒有啊
217260	217740	對啊
217740	218500	然後就 嗯
218500	219340	沒有臉幹嘛那麼臭
219340	220220	啊就沒有咩
220220	221060	就說沒有咩
221060	222180	對嘛 你這什麼態度啊
222180	222740	為什麼這樣
222740	223900	幹嘛老子說沒有
223900	225340	我上班回來都辛苦
225340	226660	為什麼要看你的臭臉
226660	226980	什麼之類的
226980	227620	對對對
227620	228380	對
228380	229220	好
229220	230060	所以說
230060	231140	男生這時候就要
231140	233060	打開你的手機小紅薯
233060	234300	不用 有經驗的男生
234300	234620	嘿
234620	235940	像像我到我到現在
235940	236340	嘿
236340	237780	大概五六年後
237780	238420	是
238420	239060	嘿 我就會突然
239060	240260	欸
240260	241780	該不會是要生理期了吧
241780	242620	喔
242620	243060	嘿
243060	244300	難怪你最近都會問我說
244300	245780	你最近有要生理期了嗎
245780	246460	是不是要生理期了
246460	247980	我最近就是真的有
