start	end	text
0	12440	大家好 歡迎來到好味小姐開束縛 我還你原型
12440	13200	我是翠翠
13200	13700	大家好
13700	16180	很標準
16180	17620	大家好 我是剪剪師阿斷
17620	19000	大家好 我是剪剪師很煩
19000	20720	很好 在今年的最後
20720	23460	沒錯 非常的完美的做了一個ending
23460	24180	很好
24180	27240	好了好了 趕快過去
27240	31760	這是我們剛剛討論了很久
31760	34880	到底要怎麼切入這個話題
34880	35640	然後
35640	37560	最後的結論是
37560	38320	就直接跟大家說
38320	41080	我們今天要來聊呢
41080	43720	沒有 我們只是討論到說
43720	45560	過年的時候都會被問很多問題
45560	48640	就是長輩們都很關心你
48640	51400	對 然後我就說我們今天沒在怕了
51400	52800	對 我們結婚了
52800	54240	所向無敵
54240	55800	還有擋箭牌
55800	57120	今年是豐收的一年
57120	57160	對 今年是豐收的一年
57160	59160	對 今年是豐收的一年
59160	60640	沒有 他那天還讀我說
60640	61800	你以為你就不會被問了嗎
61800	63680	馬上就會被問二胎的
63680	64840	二胎喔
64840	66000	二胎很好回答
66000	66880	怎麼回答
66880	68000	二胎你就說
68000	70480	就是等年末大一點啊
70480	71560	不用 我跟你講
71560	73120	小孩子就是要兩個一起帶
73120	74880	你一次累完這樣才可以
74880	78240	你這樣拖太久到時候你要重累一次
78240	78680	是嗎
78680	80280	對 怎麼辦
80280	81960	啞口無言
81960	83600	真的嗎
83600	84760	通常都是這樣啊
84760	87040	長輩就會想要催你趕快一起生一生啊
87040	88440	不是啊
88440	88880	真的嗎
88880	89760	真的會比較輕鬆嗎
89760	90760	如果真的比較輕鬆的話
90760	91680	不要亂
91680	94120	你為什麼老婆這麼弱就會說服
94120	94640	沒有
94640	97960	媽應該也沒有那麼想要趕快有第二個
97960	100280	他現在顧雷夢應該是感同身受了
100280	101880	所以說我一直聽你講那個紅包
101880	104200	所以說真的是不是第一胎
104200	105520	這個時候會收比較多紅包嗎
105520	105880	沒錯
105880	106800	對啊 第一胎啊
106800	107440	有規定喔
107440	108640	這個有規定喔
108640	110320	就是大家都一時一時啊
110320	112840	長輩看到那個新生兒就很開心啊
112840	113080	對
113080	114080	都會塞一點塞一點
114080	115880	這個有那個行情的嗎
115880	116920	沒有吧
116920	118680	我其實不知道新生兒的行情
118680	120800	應該是輩分差越多會給越大包吧
120800	122040	輩分差越多就越大包
122040	122520	真的假的
122520	123720	欸
123720	124480	啊
124480	126040	我們家好像都輩分很近欸
126040	126320	沒有啊
126320	126920	你那個
126920	127480	如果有阿祖
127480	128280	你奶奶那邊
128280	129280	阿祖就超大包
129280	130640	狗包什麼之類的
130640	132240	可是今年疫情不能串門
132240	133400	不能到處打紅包
133400	133960	真的假的
133960	135760	哇
135760	138600	突然變少很多虧大
138600	140320	欸 疫情年的寶寶
140320	141440	都找不到紅包欸
141440	143960	你意思是說就是本來就是大家會來我們這邊
143960	144400	串門啊
144400	144880	串門啊
144880	146760	然後看到哎呦那一隻夠可愛啊
146920	147680	就塞一個這樣
147680	148800	但是其實大家都不想啊
148800	149480	壓力很大
149480	149800	對
149800	150720	然後今年剛好
150720	151480	疫情
151480	153000	然後沒法度過去
153000	154520	然後就審一個紅包
154520	155920	啊
155920	156640	虧大
156640	157160	虧大
157160	158000	虧大
158000	159800	那我們只能期望老二的時候
159800	161240	可以審一波
161240	161920	深不逢時
161920	163720	對
163720	165640	所以那說我們今天就是來聊一下這個
165640	166160	嘿
166160	168000	嘿關於就是物問題這件事情
168000	170960	喔你說過年回家長輩最討厭的問題嗎
170960	172480	那我們就我們可以拓張一點
172480	172680	是
172680	175080	我們不用特別專注在過年回家
175080	175400	嗯
175400	176080	的狀況
176080	176360	喔
176360	178520	長輩各種善意的關心
178520	179360	要怎麼應對
179360	180520	你好會講話
180520	181280	大概是這樣子
181280	181840	嗯
181840	183080	因為我跟那個
183080	185200	崔崔我們兩個在催婚這個領域
185200	185960	喔
185960	186880	被催婚這個領域
186880	188040	被催婚這個領域
188040	189120	欸專家中文專家
189120	190520	應該是等級99啦
190520	190800	嘿
190800	191840	嘿嘿嘿
191840	192960	欸我們交往是幾年嘛
192960	193160	對
193160	194520	我們差不多第幾年開始被催
194520	196240	因為我們一開始還是大學生
196240	197640	大學生的時候還好
197640	198000	還好
198000	199480	差不多研究所第二年就吧
199480	200520	我當兵的時候有被催嗎
200520	201000	沒有吧
201000	201840	你當兵的時候
201840	203960	我你你爸媽比較少遇到我啊
203960	204280	欸
204280	206080	通常會等當完兵再說吧
206080	206440	對啊
206440	207320	喔當完兵之後
207320	207800	嗯
207800	210360	當完兵之後到我們結婚還過了
210360	211840	你當兵幾歲啊
211840	212920	我當過三
212920	213640	三四年有
213640	214400	三四年
214400	214600	欸
214600	215600	不只吧
215600	216120	四五
216120	217440	應該有五年多了
217440	218000	五年多
218000	218560	對對對
218560	219160	差不多
219160	220160	我們被催了
220160	222080	密集催婚的時候是在我
222080	224440	剛搬來一起創業第一年
224440	224960	喔
224960	226160	每一次的晚餐
226160	227480	媽媽都會跟我聊一個
227480	229400	他朋友的女兒的故事
229400	230080	喔真的假的
230080	230920	媽媽跟你聊說
230920	231840	比如說
231840	232320	嗯
232320	233360	一開始都會說
233360	235200	他朋友的女兒最近結婚了
235200	236000	什麼什麼什麼
236000	237800	喔那有好多人去參加
237800	238800	好熱鬧喔
238800	239880	喔家裡有多一個人
239880	240840	感覺多棒啊
240840	241920	就是這一種喔
241920	242520	就是這一種
242520	243040	就是這一種
243040	244000	對於這種呢
244000	246040	我們兩個就一直都是屬於一個
246040	247360	啊就是現在也跟
247360	248720	結婚後也是這樣啊
248720	249920	現在也是這樣啊
249920	250680	沒有差啊
250680	251480	嘿嘿嘿
251480	252080	就擋回去
252080	253840	空氣中間有ㄎㄧㄤㄎㄧㄤ兩聲
253840	254600	然後就回去了
254600	255160	嘿嘿嘿
255160	255680	嘿
255680	257440	對後來這個路線行不通
257440	257680	嗯
257680	258160	對不對
258160	259600	媽媽就開始進階到下一個
259600	260480	嘿
260480	262480	下一個就是媽跟姑姑一起
262480	262800	喔
262800	263360	喔對對對
263360	264800	我媽是那個大裙架的
264800	265320	對對對
265320	265960	不過這兩個
265960	266600	一起
266600	268280	然後就他們是會說
268280	268920	欸
268920	270480	Janna你吃午餐了沒
270480	271080	我說還沒
271080	272360	他說來來來來來
272360	273160	然後把我拉進廚房
273160	274560	好萌豔
274560	275600	好萌豔
276520	278400	現在想想就很可愛
278400	279440	然後我拉進廚房的時候
279440	281120	我坐下來準備要吃飯的時候
281120	281760	嗯
281760	282120	氣氛不對
282120	283240	不可以吃
283240	283560	氣氛不對
283560	284440	你不是來吃飯的
284440	285360	你搞懂沒有
285360	286000	對
286000	287320	然後我記得好像
287320	289240	有一個階段都是分享一些
289240	290240	比如說
290240	292080	某某某的朋友的女兒
292080	293560	一開始都不想結婚
293560	295480	結了結了婚之後發現真棒
295480	295920	不是不是
295920	298160	就是30歲之後才結
298160	299880	然後拖太久之後太晚結
299880	300440	喔
300440	301720	欸想生小孩生不出來
301720	303160	喔是一個負面教材
303160	303680	沒錯
303680	305240	開始各種說啊
305240	308080	她懷了就是辛苦了兩三年
308080	308600	對對對
308600	310000	如果你們有要生小孩的話
310000	311360	他會先問他會先問
311360	313520	啊你跟一姐以後有沒有打算生小孩
313520	314280	我說嗯
314280	315960	還在考慮應該會吧
315960	316880	他說齁我跟你結婚
316880	318880	中計了
318880	320200	有一個誰誰誰
320200	321560	然後他就是辛苦很多年
321560	322440	然後都生不出來
322440	322960	喔
322960	323640	為什麼呢
323640	324200	為什麼
324200	325120	高齡產婦
325120	325440	啊
325440	326080	太晚結婚
326080	327160	太晚結婚
327160	328200	作息又很亂
328200	329120	你們更危險
329120	329840	啊真的
329840	330240	沒
330240	332720	我不知道為什麼每個禮拜都有一個這樣子的人
332720	334880	就是可以跟我分享
334880	335800	不是是
335800	338480	這樣子的故事發生在不同人身上
338480	338920	嘿
338920	340360	然後這個舉例給我聽
340360	341600	然後是一個故事集
341600	342720	對對對對對
342720	343720	就是有
343720	345680	就跟一千零一夜一樣
345680	346920	每一個故事都不同
346920	348320	一千零一夜高齡產婦
348320	348880	沒錯
348880	350960	哈哈哈
350960	351480	對
351480	353400	然後後來姑姑
353400	355000	完之後就是被分越來越大
355000	355300	嗯
355300	356140	喔對對對對
356140	358020	然後後來有一個我的那個誰
358020	359060	後來
359060	359540	阿姆吧
359540	360140	阿姆
360140	360500	嗯
360500	361420	不是姑婆沒那麼大
361420	361940	喔阿姆
361940	362460	阿姆
362460	363980	那後來當我們的媒人
363980	364300	嗯
364300	364900	就是媒人
364900	365460	媒人集
365460	365940	媒人集
365940	366580	對媒人集
366580	367180	對對對
367180	368660	也是來我們家
368660	369540	就是
369540	370140	來玩吧
370140	370460	來玩吧
370460	371100	某個周末來玩
371100	371820	找我爸吧
371820	372420	不是
372420	373860	那一定不是純粹來玩
373860	374260	是啦
374260	375260	一定是被Call來的
375260	375980	沒有吧
375980	377020	絕對是被Call來的
377020	377540	真的嗎
377540	379460	因為因為這個這個阿姆呢
379460	381100	他做過很多的媒
381100	382300	他有點像你們皇
382300	383460	皇室中心的
383460	383900	對對對
383900	385140	專屬美人的那種
385140	385740	專屬美人
385740	386500	嘿對
386500	388660	所以你怎麼會覺得他來的時候很單純
388660	389300	對
389300	391300	那一天印象非常深刻
391300	392540	他一定是催婚狂沒
392540	392940	對對對
392940	394220	我們那一天印象非常深刻
394220	395180	我們兩個要出門
395180	395620	嘿
395620	397180	要去買東西還是要幹嘛吧
397180	398180	我忘了反正就是要出門
398180	399420	就是打扮好了要出門喔
399420	399700	嘿嘿
399700	401140	應該是去約會或什麼的
401140	401380	嗯
401380	402380	然後走到門口的時候
402380	402820	媽媽就說
402820	403900	欸你們要出門啦
403900	404620	我們說喔對啊
404620	405420	她說
405420	406620	喔啊什麼時候回來
406620	408780	我說可能吃完晚餐才會回來
408780	409020	嗯
409020	409740	然後他們就說
409740	410620	喔來來來來來
410620	411580	跟你講一下事情
411580	412620	很快很快
412620	413180	喔
413180	414300	把我們拖了半小時
414300	415100	呵呵呵
415100	415700	呵呵呵
415700	416820	你有印象嗎
416820	417860	我真的我印象是
417860	419620	因為我在穿鞋他很跌倒
419620	419740	嗯
419740	421140	就是突然一個急剎
421140	422020	然後就就默默的把鞋拖掉
422020	422700	你那麼久嗎
422700	423620	我有忘記了
423620	425020	你手無寸鐵
425020	425260	對
425260	425780	存檔都沒存
425780	426620	你就會打到很旺
426620	426820	沒錯
426820	427540	還不知道
427540	428380	還不知道
428380	429460	你這個雷包
429460	430540	呵呵呵
430540	432020	雷隊友
432020	433140	然後你那時候就說
433140	433820	喔我們
433820	435580	他說你那時候還一度說
435580	436420	啊很重要嗎
436420	437540	一定要現在講嗎
437540	437860	對啊
