start	end	text
0	9080	我可以 我可以 好
9080	11980	大家好 歡迎來到好味小姐開束縛 我還你原型
11980	13480	我是翠翠
13480	14500	大家好 我是阿段
14500	15740	大家好 我是安生凡
15740	17480	我覺得我充滿無比的自信
17480	18700	有什麼自信 自信是好的自信
18700	20260	這件事情本來就沒有很困難的
20260	21000	很困難
21000	21900	對 對大家來說
21900	23040	每個人都怕可以自得
23040	24720	你要先自我鼓勵給大家聽
24720	26720	嘿 很難耶
26720	28300	還是DECO叫聲有什麼魔力
28300	30800	對 很容易被吸進去
30800	33300	然後每次都要在叫與不叫中掙扎
33300	35720	叫完就忘了
35720	36900	對 叫完就忘了
36900	38140	好了 好了 可以了 可以了
38140	40220	我們開頭這段每次都越來越長
40220	40840	哪有
40840	42180	而且每次都是聊一樣的事情
42180	43940	好了好了
43940	44420	不行了
44420	46340	好 今天好
46340	47560	今天是
47560	49240	其實是過年前
49240	51680	但是我們這支Pocket發的時候應該是
51680	52800	這幾啊
52800	54240	初二嗎
54240	55960	好像是初一還初二吧
55960	56620	初一還初二吧
56620	58040	反正是因為過年的時間
58040	58280	嗯
58280	59820	然後理論上
59820	61360	我們的那個主頻道跟副頻道
61360	62320	都有休息
62320	63400	包括映亞社頻道
63400	65960	應該就是大家討論的時候覺得說
65960	68260	大家就過年吧
68260	68860	對
68860	70060	覺得好累喔
70060	70620	所以過年
70620	72240	反正過年大家應該也都
72240	73340	彈彈從上
73340	73900	不一定啊
73900	75400	跟家人打麻將啊
75400	76520	之類的啊
76520	77540	多陪陪家人
77540	78620	對 多陪陪家人
78620	79460	滑什麼手機
79460	80460	對 不要滑手機
80460	81840	幹什麼東西
81840	82280	對
82280	83240	像Pocket這種東西
83240	84400	你就放在背景音樂
84400	84900	對
84900	86240	大家打麻將的時候一起聽
86240	87320	尤其是我們這種的
87320	87920	你就是
87920	89020	不認真聽也不會怎麼樣
89020	89720	死不了的時間
89720	92020	而且很多人都要開長途車
92020	94020	就是過年的時候要開很多時間的車
94020	95820	喔 所以我們就特別抓初二
95820	96220	對
96220	97260	初二要回娘家對不對
97260	99420	對 很麻煩的日子
99420	100920	嘿 然後就塞車途中
100920	101420	嗯
101420	102960	對 然後剛好我們這時候更新
102960	103480	哎呀
103480	104720	然後這個
104720	107300	禮拜一那一節先存起來就不要聽了
107300	109880	不然我怕塞車時間不夠塞
109880	110640	嘿 太棒了
110640	111040	嗯
111040	112260	嗯 一下子就是
112260	113140	太貼心了
113140	114300	太貼心了
114300	116540	這時候不發影片就是一個貼心了
116540	116840	對
116840	117760	只要發了你又沒有時間看了
117760	117900	對 只要發了你又沒有時間看了
117920	118760	對啊
118760	120960	然後發Pockets又是另外一個貼心
120960	121320	對
121320	122720	對 這真正符合你的
122720	123520	需求 使用需求
123520	124020	沒錯
124020	125220	啊 因為那個
125220	127840	絕對不是兩個那個小剪輯
127840	128640	放假回家
128640	129680	所有片都要自己剪
129680	130920	沒有 沒有 沒有
130920	132760	沒有 純粹是我們體諒大家
132760	133160	對
133160	136000	我們想盡辦法給大家最美好的體驗
136000	136640	對
136640	138440	史上最貼心的團隊
138440	139040	對
139040	141280	然後因為攝影師他要回高雄嘛
141280	142920	所以我們就是有提早錄
142920	144240	所以現在其實 因為我們先錄起來
144240	145440	還在年前啦
145440	145940	對
145940	147580	欸 但其實我不太喜歡提早錄
147580	147760	為什麼
147760	150700	因為那個留言的回覆不太及時
150700	153700	喔 因為等於就是提早之前的留言了
153700	154640	嘿 對
154640	155500	好 沒關係啦
155500	156460	反正我們就是
156460	157500	因為這集
157500	158300	理論上啦
158300	159180	我們預設
159180	160600	現在大家都在猜測
160600	161600	嘿
161600	162540	啊 所以我們那個
162540	163840	最後面的留言的部分
163840	164280	嘿
164280	165440	啊 我們就講長一點
165440	166640	哈哈哈哈
166640	167440	大家可以聽久一點
167440	168380	預設 我們這集目標
168380	169780	我們錄個三個小時
169780	172020	三個小時
172020	173480	預計從台北到台中
173480	174320	大概要開三個小時
174320	174880	我知道了
174880	176120	我們自己回娘家的時候
176120	177600	要塞這麼久也可以聽
177600	178400	嘿 差不多嘛
178400	179260	對 差不多
179260	180100	喔 那個
180100	181380	塞 出貨塞車真可怕欸
181380	182340	我那個
182340	183200	不是
183200	184440	通常就是
184440	185800	都會高速公路都會塞車嘛
185800	186140	對
186140	187480	啊 塞車之後那個
187480	189180	景廣啊或什麼地方
189180	189780	都會跟你說
189780	190980	喔 即時路況
190980	191520	嘿 就會跟你說
191520	192520	喔 現在那個
192520	193320	哪裡到哪裡
193320	194380	回堵多少公里
194380	196020	平均時速只有5
196020	196680	嘿 只有5
196680	197580	基本上沒有動
197580	197780	對
197780	199080	這樣啊 你要趕快
199080	200020	換 走替代道路
200020	201020	替代道路 對
201020	202200	啊 如果說是
202200	203200	那個北邊
203200	204520	就會叫你走西濱嘛
204520	205060	對
205060	206400	然後我一個那個學長
206400	207600	研究所學長
207600	209300	他們家就住在西濱路上
209300	209840	嘿
209840	210060	嘿
210060	210900	啊 住海線是不是
210900	211840	啊 住海線 對
211840	212740	啊 西濱路上
212740	213580	原本都沒事
213580	213940	嗯
213940	215000	啊 那一天他們那邊
215000	216280	平常也沒什麼車
216280	216580	嘿
216580	218140	啊 每次想說就是
218140	218740	出餓了
218740	219920	家裡東西吃完了
219920	220320	呵呵呵
220320	221480	然後去家福補貨
221480	222340	呵呵呵
222340	222880	開
222880	223780	開住門兩個巷口
223780	224780	開兩個小時
224780	226160	我們家也是啊
226160	226880	啊 對 你家也是住西濱
226880	228180	我們家也在西濱隔壁啊
228180	228780	對 哎 靠
228780	230160	我覺得其實超水小的
230160	230720	真的超難
230720	232320	就是家裡門口那條巷子
232320	233360	變成替代道路超水小的
233360	234460	對 超討厭
234460	235200	我們家也是
237600	238340	在家裡
238340	239000	超可怕
239000	240940	因為那西濱就塞到炸掉
240940	242040	喔 而且你們家
242040	243200	因為他們家真的門口出去
243200	243640	就是西濱
243640	244240	對 對
244240	245100	那個地方是
245100	246500	沒有辦法過馬路的
246500	248080	對 然後我們家很有趣的是
248080	249980	我要進我們家那條巷子的時候
249980	250480	是我們
250480	251840	正在西濱路上對不對
251840	252080	嘿
252080	254180	我們要左轉
254180	255920	就等於是要跨過對向車道
255920	257480	才能進我家的巷子
257480	259020	喔 對啊 然後我每次要左轉的時候
259020	260020	就一直被對面
260020	261520	對向車道的人拔
261520	262460	就是按喇叭
262460	262700	喔
262700	263420	他就說你幹嘛
263420	265120	在那邊擾亂行車秩序
265120	266600	我就說我家就在那裡
266600	267600	我只是要轉彎
267600	268400	要進去
268400	269600	然後就在那邊塞15分鐘
269600	270360	到半小時
270360	271100	喔 真的很難
271100	271940	就是沒辦法轉彎
271940	272540	而且你轉彎
272540	274200	不是會打左轉燈停在那裡嗎
274200	274740	對啊 就停在路中間啊
274740	276400	就會瘋狂被後面的人拔
276400	276800	喔 對啊
276800	277400	因為後面要
277400	278620	你到左門就停在路中間
278620	279220	對
279220	280440	後面的人全都被你堵住
280440	281080	對
281080	282140	然後你就是很尷尬
282140	282820	然後你又想說
282820	283780	對向人讓你一下
283780	285020	我們全線都會通
285020	286220	你為什麼不讓
286220	287620	然後就會被堵在家門口
287620	288260	可怕
288260	288680	可怕
288680	289560	那邊怪怪的
289560	290620	對 那邊怪怪的
290620	291660	所以我們
291660	292600	喔 我們初一
292600	293700	我們不是初二回娘家
293700	295700	喔 我們是初一回娘家
297600	298840	不會有什麼返鄉的人潮
298840	299140	對
299140	300600	大家都除夕或除二
300600	302140	都會在家裡跟家人過
302140	302800	初一幹嘛
302800	303340	初一要幹嘛
303340	305240	初一要拜訪你那個
305240	306580	拜年啊
306580	307580	啊 拜年不用出門
307580	308680	但是現在就是都
308680	310520	因為大家可能過年要出門
310520	311380	或者是要
311380	312540	就是會塞車的關係
312540	313740	現在都會提早
313740	316180	像你爸媽也是提早送禮啊
316180	316760	喔
316760	317660	所以現在初一的時候
317660	318620	大家反而都待在家裡
318620	319560	一起吃那個
319560	320560	圍爐這樣
320560	321720	初一還吃圍爐
321720	323420	因為你前一天熟夜很累
323420	324560	第二天都要把前一天的
324560	325660	剩下的飯吃完了
325660	327060	對 初一到底在幹嘛
327060	327600	初一都需要
327600	328940	到中午啊
328940	330360	大年初一不可以叫人起床
330360	331100	你知道嗎
331100	332400	對
332400	333680	年初一不可以叫人起床
333680	334540	年初一不能叫人起床
334540	335100	叫他起床
335100	335940	年初一不能叫人起床
335940	336600	對
336600	337880	一年的年他都會很辛苦
337880	339080	那你去年為什麼要叫我起床
339080	341080	因為我們要改車回娘家
341080	342320	怎麼會這樣
342320	343480	那大家起床會怎麼樣
343480	344720	想必會一整年都
344720	345920	都會很辛勞
345920	347160	精神都沒什麼
347160	348120	難怪我今年
348120	349920	我都覺得肩膀重重
349920	351920	亂講
351920	352700	不行啦
352700	353720	這樣真的不行啦
353720	354800	不行啦
354800	356100	要回家啦
356100	357460	今年是你女兒
357460	360200	會用她天然的哭聲把你叫醒
360200	361240	所以我不會叫你
361240	363700	那她初一會陪我們守夜啊
363700	363960	欸
363960	365460	她初一一樣會睡到下午兩點啊
365460	367640	才不會你做夢
367640	368900	不是說守夜是那個
368900	369700	守的越長
369700	370740	父母越長壽嗎
370740	371480	對啊
371480	374080	好像說至少要過12點
374080	376580	是從幾點開始算守夜啊
376580	377740	就是一般以前
377740	380080	務農的時候可能7點睡完覺
380080	382060	7點天黑了之後就吃完晚飯
382060	383220	大家就要去睡覺啦
383220	383560	對
383560	385360	然後那個過年除夕那一天
385360	386780	就是要守到12點
386780	387360	過那個
387460	388260	除夜
388260	390560	到第二天這樣
390560	391860	所以你是說大概
391860	393700	晚上8點之後就算守夜了
393700	394640	好像是吧
394640	396000	就以前的標準的確是這樣
396000	397240	因為太陽下山就要睡覺了
397240	399340	我今天就在想這件事情
399340	400700	就是要守夜嘛
400700	401240	對
401240	402400	那依我們的標準
402400	404180	我們是不是要從天亮開始守
404180	405920	差不多
405920	407880	從3點開始守夜
407880	408380	不是啦
408380	409340	所以不是晚上不能睡覺
409340	411860	我們是早上不能睡覺
411860	413220	對好像是這樣欸
413220	414780	而且照這個邏輯
414780	416720	你可以完全不能讓雷夢睡覺
416720	417460	完全不能讓雷夢睡覺 為什麼
417460	418800	醒越久你越長壽
418800	419300	唉唷
420300	420960	唉唷
420960	421600	欸對不對
421600	422500	不行欸他醒著我就要爆欸
422500	423900	好創意喔
423900	424500	好創意喔
424500	424800	對不對
424800	425240	是嗎
425240	426900	三個是你可以控制的
426900	427900	喔
427900	428740	哇塞
428740	429300	我的
429300	431140	哎唷我的生命掌握在自己手裡了
431140	432740	對
432740	433400	這樣也好欸
433400	434880	這樣他隔天我們要回娘家的時候
434880	436520	他路上都會睡覺
436520	437220	不行啊
437220	437640	為什麼
437640	439140	因為他平常就是
439140	440520	3、4點睡啊
440520	441060	嘿
441060	441960	對啊
441960	443260	他平常就是跟著我們作戲
443260	445260	所以說他要守他就
445260	446480	要守一個早餐
446480	447460	對認真要守的話他就
447460	448800	他就要從就是
448800	450360	早上5點開始守啊
450360	451860	那我們可能要很熱鬧啦
451860	453360	就是因為他很好笑
453360	455540	他就是人多的時候他就捨不得睡覺
455540	457440	對就是有熱鬧有人在聊天
457440	458700	他就會醒著
458700	460280	雷夢現在是有點
460280	461640	可能大家會有點那個
461640	463240	看我們影片的時候會覺得有點
463240	463940	困惑
463940	464240	怎樣
464240	465280	因為以前
465280	466640	在幾個月之前
466640	467920	雷夢是我們拍影片啊
467920	468820	很吵啊幹嘛
468820	469980	他就是睡他的
469980	470780	喔對對對
470780	471480	吵不醒
471480	472420	因為那個時候
472420	473620	小嬰兒他的那個
473620	475120	聽力發育還不完全
475120	475580	對
475580	476860	所以說他吵不起來的
476860	477320	嗯
477320	478260	所以那個嬰兒房裡面
478260	479360	靠嬰兒房裡面
479360	480920	就是吵到一個不醒
480920	481820	就是驚天動地
481820	483060	但是小嬰兒都睡他們自己
483060	485320	所有的貓一起在嬰兒房舞重唱
485320	486120	他還是可以睡
486120	487200	對但現在不一樣
487200	487400	嗯
487400	489000	現在他的耳朵已經發育完全了
489000	489740	沒錯
489740	490160	對
490160	491500	DECO只要一直過來說
491500	493060	拍我屁屁
493060	494440	雷夢眼睛就會睜開
494440	494980	可怕
494980	495540	可怕
495540	496300	好可怕
496300	497980	夜黑夜中的探照燈
497980	498500	喔我
498500	499940	今天突然想到這件事情喔
499940	500280	嗯
500280	501920	就是隨著小孩的那個
