start	end	text
0	9000	大家好 大家好 歡迎來到好味小姐開束縛 我還你原型
9000	10000	我是翠翠
10000	11000	大家好 我是連尼沙頓
11000	12000	大家好 我是林聖帆
12000	16000	開工啦 我討厭啦
16000	18000	我不想開工
18000	22000	真的 身為就是全網最貼心的團隊
22000	24000	告訴各位 報時
24000	26000	我們現在是這個
26000	27000	初六
27000	29000	對 初六了
29000	32000	我們是在凌晨2點50分
32000	34000	開始錄這個podcast
34000	36000	為什麼呢
36000	37000	為什麼
37000	40000	因為大家明天開工第一天很辛苦啊
40000	41000	對啊
41000	45000	必須要podcast陪伴 不然同學路上會睡著
45000	47000	我們以身作則
47000	49000	雖然晚了一天
49000	51000	沒有沒有 我們是故意
51000	53000	選在開工這天
53000	54000	很多人都是在
54000	57000	我們現在發現很多人都是在睡覺之前
57000	58000	聽我們podcast
58000	59000	對
59000	60000	我們昨天發
60000	61000	對
61000	62000	人家睡覺前聽
62000	63000	隔天就起不來
63000	64000	睡眠不足
64000	65000	原本就已經
65000	66000	就是作息不正常
66000	67000	就睡不著了
67000	68000	你又聽podcast
68000	70000	想說今天要調整作息
70000	71000	早點睡
71000	72000	據留言所說
72000	73000	每次聽我們的podcast
73000	74000	都是3秒睡啊
74000	76000	不是很棒啊
76000	77000	是這樣子嗎
77000	78000	對啊
78000	80000	不管
80000	81000	反正
81000	82000	沒錯
82000	83000	以身作則
83000	84000	棒棒
84000	85000	全網最貼心
85000	86000	初六一大早開始工作
86000	87000	沒錯 刻意
87000	88000	刻意延後一天
88000	91000	好
91000	92000	首先先來公佈一下
92000	95000	上一集我們在初二
95000	97000	的時候發的那個podcast
97000	98000	片尾的歌
98000	100000	我覺得好像真的太紅了
100000	101000	太紅嗎
101000	102000	大家馬上就知道了
102000	103000	我就看那個留言
103000	104000	大概有
104000	106000	就是有兩個答案
106000	107000	兩種答案
107000	108000	為什麼
108000	109000	正確答案怎麼一種
109000	110000	為什麼會有兩種
110000	111000	真的嗎
111000	112000	正確答案是那個
112000	114000	愛奇魔法師嗎
114000	115000	不是
115000	117000	其實我本來以為是
117000	119000	我在哼的時候
119000	120000	你不是一直在問我說
120000	121000	是什麼嗎
121000	122000	答案是什麼
122000	123000	我就跟你說
123000	124000	你不知道嗎
124000	125000	是愛與理法的故事啊
125000	126000	然後你就說什麼鬼
126000	127000	我說是愛奇魔法師啊
127000	128000	然後你就說
128000	129000	那這首歌叫什麼
129000	131000	我說它叫迷魂記
131000	133000	結果它是王子變青蛙的
133000	135000	靠腰了
135000	137000	真的是迷魂記
137000	138000	但我
138000	139000	不是
139000	140000	它的主演都一樣啊
140000	141000	就是一段愛與
141000	142000	什麼什麼的故事的
142000	144000	那個時期有沒有
144000	146000	就是喬傑利的時期
146000	147000	那什麼時期
147000	150000	55566183club演戲的時期
150000	151000	你說那個是什麼時期
151000	153000	愛與XXX的
153000	154000	愛與XXX
154000	155000	什麼什麼的時期
155000	157000	就是它那時候每一部偶像劇都是
157000	159000	比如說愛與勇氣的故事
159000	162000	然後愛與什麼什麼的故事這樣啊
162000	163000	你不知道嗎
163000	164000	你知道嗎
164000	165000	愛與打籃球的時候的故事
165000	166000	你知道嗎
166000	167000	對啊
167000	168000	不是沒有這個打籃球的
168000	169000	你是知道的嗎
169000	170000	我不知道
170000	171000	就是跟那個
171000	173000	要打訓練舞的時期
173000	174000	打那個同一個時期啊
174000	175000	所以那是愛與跳捷舞的故事嗎
175000	176000	之類的吧
176000	177000	我不曉得
177000	178000	那個時候就是它的slogan
178000	180000	就是那個廣告
180000	181000	就是有一些那個
181000	183000	中場休息的廣告會出現
183000	185000	愛與什麼什麼的故事啊
185000	186000	有什麼有什麼故事
186000	187000	我好奇喔
187000	188000	很多啊
188000	189000	我看
189000	190000	愛與打籃球嘛
190000	191000	愛與跳捷舞嘛
191000	192000	對
192000	193000	愛與羽毛球有嗎
193000	195000	紫禁之巔是跳舞的嗎
195000	197000	還是西街少年
197000	198000	啊西街少年
198000	200000	西街少年是滑板的吧
200000	202000	是愛與滑板的故事嗎
202000	203000	不是boxy嗎
203000	204000	不是拳擊嗎
204000	205000	是拳擊嗎
205000	206000	不是拳擊嗎
206000	207000	不是打架嗎
207000	209000	他一開始是騎一台腳踏車啊
209000	210000	所以是愛與腳踏車
210000	211000	好多元素啊
211000	212000	愛與拳擊的故事
212000	213000	他到底是愛與什麼的故事
213000	214000	之前是一開始不是
214000	215000	騎腳踏車在那邊飛嗎
215000	216000	那不是西街少年第一幕嗎
216000	217000	好像是耶
217000	218000	好像是耶
218000	219000	好像是
219000	220000	是滑板還是腳踏車
220000	221000	你到底有沒有看過啊
221000	222000	有啦
222000	223000	但是那時候太多
223000	224000	每一部都長很像啊
224000	226000	這部長很像啊
226000	227000	所以你說
227000	228000	這一部是什麼
228000	229000	你哼的那個
229000	230000	王子變青蛙
230000	232000	啊這是王子與
232000	233000	那個生物學的故事
233000	235000	愛與青蛙的故事
235000	236000	愛與青蛙的故事
236000	237000	我也不曉得啊
237000	238000	反正就那個段時期
238000	239000	就是他們出品的
239000	240000	都是愛與什麼什麼的故事
240000	241000	王子變青蛙
241000	242000	對是那個
242000	244000	是愛與生物科技的故事
244000	246000	所以變成青蛙是明道嗎
246000	248000	對是明道啊
248000	249000	他真的變青蛙嗎
249000	250000	不是
250000	251000	他只是從有錢的人
251000	252000	變沒有錢的人這樣
252000	253000	啊
253000	254000	對
254000	255000	貧窮貴公子的感覺
255000	257000	那什麼叫王子變青蛙
257000	258000	那就是王子變成
258000	259000	變成普通人
259000	260000	對
260000	261000	差不多就這樣
261000	263000	是一個少女扛瓦斯桶的故事
263000	264000	蛤
264000	265000	蛤你不知道嗎
265000	266000	但是女主角是
266000	268000	一個就是送瓦斯的啊
268000	269000	蛤
269000	270000	對啊就是一個少女
270000	271000	在扛瓦斯桶的故事啊
271000	272000	然後呢
272000	273000	然後他就撿到
273000	274000	失憶的男主角
274000	275000	啊失憶了
275000	276000	對對對對對
276000	277000	哦
277000	278000	我還以為他去他家送瓦斯
278000	279000	然後
279000	280000	你不覺得是很像賭神的故事嗎
280000	281000	撿到失憶的故事
281000	282000	賭神的故事
282000	283000	對啊
283000	284000	嗯就是這樣的一個故事
284000	285000	哦
285000	286000	然後最後反正anyway
286000	287000	他最後男主角
287000	288000	都一定要跟女主角在一起
288000	289000	對
289000	290000	對
290000	291000	然後發現他超有錢
291000	292000	對對對
292000	293000	所以這是什麼
293000	294000	這是愛與什麼的故事
294000	295000	愛與青蛙的故事
295000	296000	我不記得了啦
296000	297000	大概是這樣
297000	298000	哦
298000	299000	對
299000	300000	然後他這首歌叫做
300000	301000	迷魂記
301000	302000	你上次哼什麼
302000	303000	命中一注定
303000	304000	是我看不清
304000	305000	嗯
305000	306000	我還想說
306000	307000	應該三個音
307000	308000	大家都認出來了
308000	309000	果然沒錯
309000	310000	太紅了
310000	311000	哦
311000	312000	所以你說你原本以為
312000	313000	那個是
313000	314000	愛與理髮的故事
314000	315000	愛與理髮甜的故事
315000	316000	對對對
316000	317000	結果不是
317000	318000	那男主角跟女主角
318000	319000	是同樣的人
319000	320000	蛤
320000	321000	對啊
321000	322000	他們那時候都這樣哦
322000	323000	那時候就同樣人
323000	324000	一直換戲啊
324000	325000	哦
325000	326000	酷弄魔法使那個一樣嗎
326000	327000	蛤
327000	328000	蛤
328000	329000	酷弄魔法使怎麼了
329000	330000	酷弄魔法使後來出的
330000	331000	不是都同樣
331000	332000	都是小狼跟小鷹
332000	333000	然後是不一樣的故事
333000	334000	你說翔那一部嗎
334000	335000	什麼翔那一部
335000	336000	就是一模一樣的角
336000	337000	那個男女主角的
337000	338000	你不知道那個工作室
338000	339000	後來出的每一部
339000	340000	男女主角都長得
340000	341000	跟小狼小鷹一模一樣
341000	342000	一模一樣
342000	343000	哦
343000	344000	好像有這麼一回事
344000	345000	哦
345000	346000	我一直以為是一樣的
346000	347000	然後出了一個就是
347000	348000	後傳或什麼之類
348000	349000	就不是了
349000	350000	沒有他是全新的故事
350000	351000	哇咧
351000	352000	這太偷懶了吧
352000	353000	這樣子人都一樣
353000	354000	對啊
354000	355000	我就沒看啊
355000	356000	蛤你沒看
356000	357000	我沒有看
357000	358000	你沒看人家學員在哼什麼
358000	359000	不是
359000	360000	完蛋了
360000	361000	你們剛剛兩個在那邊瞎聊
361000	362000	然後根本就不知道
362000	363000	根本就不知道
363000	364000	自己有沒有講對
364000	365000	我就說那酷弄魔法使
365000	366000	後面那個我沒看
366000	367000	哦
367000	368000	對那個愛語什麼什麼
368000	369000	我都有看
369000	370000	你都有看
370000	371000	但是我國小國中啊
371000	372000	那時候最紅的就是這個
372000	373000	那你不會覺得說
373000	374000	明道剛剛不是
374000	375000	有錢人怎麼跑來剪頭髮
375000	376000	不是他們是兩撥人
