start	end	text
0	8820	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8820	9340	我是翠翠
9340	10600	大家好 我今天是阿頓
10600	11580	大家好 我是林聖凡
11580	14900	我今天開場的時候就想說
14900	16440	欸 這集是不是有贊助
16440	18680	然後我就在前面一直在想說
18680	20700	完蛋完蛋完蛋 忘記這集的贊助是什麼
20700	21960	結果後來想到
21960	22980	啊 沒有贊助
22980	26400	所以我第一句出來的時候我就
26400	28720	吞了一口口水 卡了一下
28720	32540	嗯哼 這一集本來是應該是在什麼時候要錄啊
32540	36120	應該是今天禮拜假 今天禮拜四
36120	38400	我們應該是禮拜一就要錄了
38400	39020	三天前
39020	39580	沒錯
39580	42520	欸 我們原本就有先演了吧
42520	45360	我們原本 對啊 原本就有先演啦
45360	46800	喔 原本就先演了一天
46800	48480	因為228那天放假
48480	51820	因為我們去公園被抄到 被雷夢抄到
51820	53100	喔 這故事好長喔
53100	53380	沒錯
53380	55720	這個延後的這個整個歷程
55720	55740	賣弱
55740	57460	事情是這樣子喔
57460	58700	我們從後還是解釋
58700	60360	為什麼會演到這個 要多拖
60360	62360	蛤 從228之前開始啊
62360	63360	呵呵呵 果然
63360	66360	嘿 就是228連假嘛 放三天嘛
66360	68360	但是對我們來說齁
68360	69360	因為我們那個
69360	71360	就是我們的片一直都很趕
71360	73360	對 對 我們一直都沒有什麼存檔
73360	75360	基本上我們YouTube發片就跟Live一樣
75360	76360	剪完盲上
76360	77360	對 剪完盲上
77360	79360	差不多是這樣 我們剪輯很辛苦
79360	81360	今天上的片基本上是昨天發生的事情
81360	83360	嘿嘿嘿嘿 非常的Fresh
83360	85360	對 然後所以說剪輯很趕
85360	87360	所以放假對我們來說蠻慘的
87360	88640	就是多一個上 上一集的時候
88640	90640	少一個上半天差蠻多的
90640	92640	不是說 因為我們老闆很慘喔
92640	94640	剪輯師他們自己會 就是
94640	95640	不想放假
95640	97640	他們說什麼會有連假
97640	99640	這是騙了公使會被壓縮
99640	101640	對 所以大家壓力都很大
101640	102640	所以好不容易那個
102640	103640	真的放假了
103640	105640	就是一開始就覺得很
105640	106640	很累
106640	107640	嗯哼
107640	108640	然後我們就
108640	109640	前兩天在幹嘛
109640	110640	前兩天都躺在
110640	111640	躺在地上啊
111640	112640	喔
112640	113640	在家裡顧臉
113640	116640	因為剛好媽這個禮拜那個比較多活動
116640	117640	喔 對對對
117640	118640	她都不在家
118640	120640	然後我們就開始就是
120640	122640	發現說她偶爾就是
122640	123640	去放個假啊
123640	124640	偶爾去
124640	125640	就是週末的時候
125640	127640	找姑姑去逛個街啊什麼的
127640	128640	療癒
128640	129640	好像也死不了人的樣子
129640	130640	所以
130640	131640	我想說啊放假啦
131640	133640	你們就放假不用上班了
133640	134640	對她每天都出去玩
134640	135640	嗯
135640	137640	所以我們早上都在家裡顧小孩
137640	138640	對
138640	139640	她也沒什麼事
139640	140640	那顧小孩你又
140640	141640	就
141640	142640	說實在沒什麼事
142640	143640	沒什麼事
143640	144640	但是你又不能離開她
144640	145640	對
145640	147640	然後你也沒辦法認真的
147640	148640	去做別的事
148640	149640	你也沒辦法好好看劇
149640	151640	打電動你也沒辦法好好打電動
151640	152640	因為她會在你身上
152640	153640	一直扭來扭去這樣
153640	154640	對基本上就是這樣子
154640	155640	就好像是被一個什麼
155640	156640	惡靈附身
156640	158640	然後什麼事都做不好
158640	159640	覺得肩膀重重的
159640	160640	肩膀重重的
160640	162640	對全身都重重的這樣
162640	163640	然後連續過了兩天
163640	164640	對
164640	165640	然後之後呢
165640	167640	第三天媽還是不在
167640	169640	對我們還是去逛街幹嘛的
169640	170640	她們催催就在
170640	171640	還是悶到不行了
171640	172640	她們炸
172640	173640	我覺得要發霉了
173640	174640	真的是不行
174640	176640	她們那天還比較早起
176640	177640	因為這幾天一直都
177640	178640	那個坐鞋混亂
178640	180640	她那天剛好比較中午就起來了
180640	182640	因為蕾夢那天睡比較久
182640	184640	所以她中午大概11點她就醒了
184640	185640	而且精神不錯
185640	187640	對所以早上那個催催一起來
187640	188640	就說不行
188640	190640	我們今天一定要出門
190640	191640	她說不管
191640	192640	就是帶蕾夢出門
192640	193640	一定要出門
193640	194640	快死掉了悶死了
194640	196640	後來變成一缸醬菜了
197640	198640	真的
198640	199640	一定要出門
199640	201640	然後天氣又還不錯
201640	203640	然後所以我們那天就決定說
203640	204640	我們就帶蕾夢出門
204640	206640	這應該是我們
207640	209640	第一次只有我們兩個
209640	211640	帶她出去玩
211640	212640	是去玩的
212640	213640	不是去醫院什麼的
213640	214640	不是去醫院
214640	215640	也不是說回娘家幹嘛
215640	216640	不是有什麼特定的
216640	217640	沒有目的的
217640	218640	對
218640	219640	有目的地
219640	220640	因為我那時候就想說
220640	221640	難度不要太高
221640	222640	OK
222640	223640	就挑一個公園
223640	224640	她說去公園走一走就好
224640	225640	對
225640	226640	就去走路
226640	227640	我們就有兩個選擇
227640	228640	一個就是離我們家
228640	230640	大概一個15分鐘路程的
230640	232640	那種地方的那種小公園
232640	233640	對
233640	234640	然後一個就是
234640	236640	差不多開半小時吧
236640	237640	有一點距離
237640	238640	公園
238640	239640	就蠻大的
239640	240640	我就想說都要出門
240640	242640	你知道帶小孩出門多麻煩嗎
242640	243640	就是要帶蕾夢出門
243640	245640	蕾夢現在六個月嘛
245640	246640	對
246640	248640	她也不會走路嘛
248640	249640	所以說你在車上
249640	250640	你要帶推出
250640	251640	你在車上
251640	253640	我們現在剛好到一個
253640	254640	怎麼說呢
254640	255640	通常那個什麼
255640	256640	那種固定式的安全座椅
256640	257640	你說氣座嗎
257640	258640	氣座
258640	260640	通常是六個月以上到
260640	262640	可能到12歲那種感覺
262640	263640	對
263640	264640	有一個那種
264640	265640	有點像椅子的那一種形狀的
265640	266640	固定式的
