start	end	text
0	8400	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8400	9000	我是翠翠
9000	10280	大家好 我是傑尼薩段
10280	11440	大家好 我是尼森帆
11440	16120	今天呢 其實原本應該要是3月8號的三八婦女節
16120	18800	但是我們又拖超過12點才開始錄
18800	22520	所以現在的時間已經變3月9號了
22520	24200	對 但是不管
24200	27900	因為昨天一個小時前是三八婦女節
27900	30140	然後我最近看到了一個非常
30140	33260	非常需要跟大家分享一個消息
33260	35000	然後現在要來分享
35000	37280	就是我有在追那個怪奇事務所嘛
37280	38520	然後每天都會貼一些
38520	41740	你知道嗎 什麼什麼什麼的一個訊息這樣
41740	43560	最新的這一篇是
43560	46740	你知道嗎 十七時代的獵人有一半是女生喔
46740	48340	你之前在那邊說什麼
48340	51420	什麼什麼 摘水果 什麼買包包理論
51420	52560	喔 說獵人喔
52560	53600	對 打獵的獵
53600	54880	喔 獵人 一半是女生
54880	55820	對對對 他說
55820	57880	那個我們過去可能
57900	60400	會覺得說男生天生就是當獵人的料
60400	61400	男生就是負責輸出
61400	62400	女生乖乖support
62400	64400	好像是天經地義的理所當然的事情
64400	65900	喔 你說 你說
65900	66900	喔 算是這樣 死前的那個年前
66900	69900	喔 所以我們都認為說是男生去打獵
69900	71400	對 然後女生去採集
71400	72700	對 對 對
72700	75500	就是我們之前有一起講到那個打獵理論這樣
75500	77500	然後他說最近有靠谷學家從美國
77500	80100	呃 美洲的死前遺骨裡面發現
80100	83300	一萬多年前獵人根本不是男生限定的職業
83300	87800	他們發現就是有三到五成左右的女生是獵人
87800	89300	喔 所以基本上一半一半的意思
89300	91000	對 差不多一半一半的意思
91000	93400	然後他說一直到農業世界出現之後
93400	97400	好像女性參與獵物的那個工作才比較慢慢的變少
97400	99600	然後人類才開始出現性別分工
99600	100800	大家各做各的吧
100800	102300	才會有你現在這個說什麼
102300	104500	男生就是天生的獵人這個說法出現
104500	106000	你是說開始種 開始
106000	106900	就是開始農作之後
106900	107700	開始農作之後
107700	108200	對
108200	110100	女生就不去打獵了
110100	112500	對 就在家裡就是務農相關的事情吧
112500	113100	我不曉得欸
113100	114700	反正這是一個結果這樣
114700	116600	照這個邏輯去推論的話
116600	117600	不是
117600	118400	女生不會打獵
118400	118800	對
118800	121800	是男生不會種菜
121800	122200	對
122200	124300	仔細想想
124300	126300	有可能喔
126300	127300	有嗎 有可能嗎
127300	128500	又是哪裡來的理論
128500	129600	有可能是男生不會種
129600	131000	我說男生不會種菜這一點
131000	132600	為什麼
132600	133900	種菜就
133900	136100	種菜是精細活動
136100	138100	種菜很
138100	139500	因為我之前才拍過一支片
139500	140900	然後我去種菜啊
140900	144200	種菜是一個就是很沒有及時回饋的事情
144200	144700	是嗎
144700	145800	需要一點耐心
145800	146900	對啊 就慢慢等
146900	147500	好像
147600	150500	然後你如果說隔一個月去看那個菜
150500	151700	就覺得噢這樣很大
151700	152000	對
152000	153100	你每天看的話你就覺得說
153100	154100	很悶這樣
154100	156100	對
156100	159600	所以男生不擅長做這一類就是要等候的事情嗎
159600	160800	你又要開發出一個事
160800	162100	我不知道
162100	164800	男生可能男生就比較不會種菜吧
164800	166200	對 反正它就是一個結論
