start	end	text
0	7100	哈囉 大家好 歡迎來到好味小姐開束
7100	8800	我還你原型 我是雖雖
8800	9900	大家好 我是金子大段
9900	10900	哈囉 我是林聖凡
10900	14100	我看到留言好像發現我之前某一集的我沒有講
14100	14700	嗯哼
14700	16800	但是我沒有發現 你們也沒有發現
16800	17900	沒有
17900	18800	好
18800	22400	本集節目呢 有陽澀鮮羊乳贊助播出
22400	24500	羊奶就是小時候回憶的味道啊
24500	26900	就是小時候每天都在等那個家門口
26900	29000	有沒有 會有那個羊奶來放
29000	32200	早上拿的時候會溫溫熱熱的這樣 然後再去上學
32200	33000	喔
33000	34200	對不對 很懷念欸
34200	36900	所以我收到這個羊奶的邀請的時候 我覺得超級懷念的
36900	39700	而且他有寄那個樣品還是公關品給我們喝
39700	40200	對
40200	42600	就跟小時候長得一模一樣的玻璃瓶
42600	43500	喔 沒錯
43500	44900	看了就覺得很開心
44900	47500	我小時候超級喜歡那個 所以我每天早上都會去門口等
47500	50800	好 等好 回歸正傳喔
50800	54300	就是很多人會害怕羊奶是因為它有那個羊騷味嘛
54300	56100	就是很多小時候的不敢喝
56100	58000	然後後來我才知道是因為小時候喝的時候
58000	59000	好像會二次假
59000	59800	熱
59800	61700	所以那個味道就會更出來
61700	63000	所以大家喝到的時候就覺得
63000	63700	呃呃呃
63700	64900	那味道怎麼那麼重這樣
64900	66300	喔 我小時候印象就是
66300	66900	因為味道很重
66900	68300	其實我真的蠻不喜歡喝那個
68300	69000	喔 真的假的
69000	70200	我很喜歡羊奶欸
70200	72100	比起牛奶我更喜歡羊奶欸
72100	73500	但是羊舍鮮羊乳呢
73500	76000	他們是主打就是新鮮的冰羊奶
76000	77700	所以就是幾乎會沒有什麼騷味
77700	79000	然後堅持殺菊完之後
79000	80200	當天馬上配送
80200	83700	就是希望大家就是如果你是害怕那個羊騷味的聽眾
83700	85400	就也可以喜歡上羊奶
85400	86600	我那天有喝那個冰過的
86600	87300	我真的覺得
87300	88000	冰的
