start	end	text
0	8000	哈囉 大家好 歡迎來到好味小姐開束
8000	10000	我還你原型 我是翠翠
10000	12000	大家好 我是阿段
12000	14000	我是攝影師 很煩
14000	16000	今天要不要把大家講話前面
16000	18000	耳朵臉都剪掉
18000	20000	我是配合他這個節奏
20000	22000	大家好 我是剪輯師
22000	24000	煩耶 你是剪輯師啊
24000	26000	呵呵呵
28000	30000	幹嘛 為什麼 幹嘛啊
30000	32000	不是你要開始嗎 你不是主持人嗎
32000	34000	蛤 今天 今天要幹嘛
34000	36000	今天明明就已經討論好要講什麼了
36000	38000	我們先講我們上個禮拜去寵物展啦
38000	40000	通常我們都要講一下近況
40000	42000	對不對
42000	44000	複習個屁為什麼 第一次錄是不是
44000	46000	對啊 我就想說他今天為什麼這麼的外
46000	48000	就是外 狀況外
48000	50000	我們上禮拜不是去寵物展
50000	52000	然後寵物展回來之後呢 我就是有發文說
52000	54000	我們寵物展圓滿落幕了 吧吧吧
54000	56000	然後底下就有很多留言說
56000	58000	希望這次寵物展回來的話 攝影師沒有生病
58000	60000	現場有很多人提醒我說
60000	62000	欸 不要感冒囉 加油喔
62000	64000	喔 他全程攜帶
64000	66000	口罩喔 應該還好吧
66000	68000	他今年真的因為全程攜帶口罩
68000	70000	沒有任何外物病毒可以侵入他
70000	72000	然後還一直用噴那個酒精嘛
72000	74000	他今年真的既沒有流感
74000	76000	也沒有感冒 但他靠自己發病了
76000	78000	喔 非常的厲害
78000	80000	在那邊就已經發病了
80000	82000	對 他第幾天
82000	84000	第二天就掰咖啦
84000	86000	我們攝影師現在是處於一個
86000	88000	揮抓狀態
88000	90000	就是
90000	92000	這叫什麼啊 俗稱的長蛇喔
92000	94000	皮蛇啦
94000	96000	學名叫做袋狀皰疹
96000	98000	袋狀皰疹
98000	100000	就是他會長一點點像水泡的東西
100000	102000	一小片 小小顆的水泡
102000	104000	然後那個東西是神經病毒吧
104000	106000	這個很複雜啦
106000	108000	這就是那個 其實應該就是水痘吧
108000	110000	對 他是水痘的那個病毒
110000	112000	潛伏在你的體內
112000	114000	小時候長過水痘 啊好了之後呢他就被壓制下來
114000	116000	對對對
116000	118000	他其實還是一直住在你生活裡面
118000	120000	對 然後他就住在
120000	122000	好像是住在神經裡面
122000	124000	集水喔
124000	126000	就是神經系統裡面
126000	128000	然後平常都沒事
128000	130000	當你就是身體真的是
130000	132000	破到一個不行
132000	134000	壓力太大啊 或者是什麼
134000	136000	什麼最近太虛啊
136000	138000	虛到一個程度
138000	140000	他就會偷偷的跑出來
140000	142000	就像那個貓的那個貓泡疹一樣
142000	144000	然後就會開始酸麻
144000	146000	超痛
146000	148000	我覺得那感覺很像是有一個人一直用
148000	150000	用指尖的 然後很小塊很小塊
150000	152000	在捏你的皮那種痛
152000	154000	啊 是嗎
154000	156000	我覺得蠻精準的啊 有點灼燒感
156000	158000	對啊 刺刺的這樣
158000	160000	所以是那種肉痛 皮表皮
160000	162000	皮皮的痛
162000	164000	啊 很像凍傷的時候
164000	166000	就是你拿冰 一直握著冰塊
166000	168000	然後你手表面不是會有點刺刺痛痛的那樣
168000	170000	喔 你說被蚊子咬到 然後你抓太用力
170000	172000	然後傷到真皮 就是變得白白的
172000	174000	很多種類的營養程度
174000	176000	不是 不是那種熱熱的痛
176000	178000	不同種形容方式啊
178000	180000	被蚊子咬到應該比較常見吧
180000	182000	因為很像肌肉酸痛
182000	184000	所以我就以為我是站太久肌肉酸痛
184000	186000	很像拉傷
186000	188000	有一些部分就是它會混合的
188000	190000	因為它是感染神經的
190000	192000	而且很少人年紀這個
192000	194000	就是三四十歲這種正值
194000	196000	青壯年的時候在得
196000	198000	很多好不好 很多都是小朋友跟老人
198000	200000	過老的上班族們
200000	202000	就會得
202000	204000	然後因為它是感染神經的嘛
204000	206000	所以就是這個
206000	208000	是不由分說 它也不管你傷口怎麼樣
208000	210000	不管你有沒有傷口
210000	212000	你怎麼使勁的去擦藥
212000	214000	會痛就是會痛 它直接痛進去就對了
214000	216000	痛在靈魂深處
216000	218000	然後就有那個
218000	220000	就是我之前就聽那個老人家說
220000	222000	不是我說嗎
222000	224000	長一圈你就會死掉
224000	226000	因為它會慢慢蔓延
226000	228000	很多人都長在背上啊
228000	230000	腰側上
230000	232000	你就會變成一個鹹尾蛇
232000	234000	就會死掉
234000	236000	鹹尾蛇 好可怕
236000	238000	沒錯 它如果它的頭跟尾巴
238000	240000	砍著會 你就會死掉
240000	242000	所以那時候那個
242000	244000	攝影師老婆回來就跟我們說
244000	246000	說
246000	248000	那個不是繞一圈就會死掉嗎
248000	250000	他說對啊 他說現在它長在哪裡
250000	252000	他說長在小腿肚上
252000	254000	小腿肚那邊 我說那一圈不是小圈嗎
254000	256000	它很容易就死掉
256000	258000	它不是啦 它好像會
258000	260000	漸漸的往那個中央軀幹長
260000	262000	因為我記得我小時候
262000	264000	長是長在那個
264000	266000	往中央軀幹長喔
266000	268000	我小時候第一個發病的發現是
268000	270000	脖子後面那一小塊
270000	272000	它好像是病毒從末梢冒出來
272000	274000	所以才長水泡
274000	276000	然後它會慢慢的往中間大著神經跑
276000	278000	所以你是說你從腳的話它就會從腳慢慢往上
278000	280000	對 它可能會繞到大腿上
280000	282000	如果它真的都不理它的話
282000	284000	最終的目標是就是脊椎
284000	286000	我不太確定
286000	288000	不知道具體會怎麼樣 總之會長一圈
288000	290000	那個腳上很灰耶
290000	292000	它要長很遠
292000	294000	它要跑很久才會跑到
294000	296000	通常這個療程它一個禮拜就會好了
296000	298000	你如果沒有好 哪有那麼快
298000	300000	醫生跟我說的 真的假的
300000	302000	開了一個超猛的藥給我
302000	304000	一顆藥68塊
304000	306000	一天要吃六顆
306000	308000	你跟蛋捲的沙米一樣貴
308000	310000	這個不是
310000	312000	我記得以前不會抓 要去那個
312000	314000	要去很厲害的老師傅那邊看
314000	316000	他不是會用一個什麼東西
316000	318000	然後放在你的背上然後點火燒嗎
318000	320000	蛤 不是嗎
320000	322000	你是不是去錯地方了
322000	324000	沒有啊 我就記得用燙的啊
324000	326000	不是因為
326000	328000	因為有水泡小朋友會去抓
328000	330000	然後有的老師傅會稍微幫你燙一下
330000	332000	燙一下讓他結痂
332000	334000	你就比較不會一直去摳水泡
334000	336000	是這個道理嗎 對
336000	338000	因為他就是稍微用一個藥讓你的那個
338000	340000	那個水泡趕快破掉那一塊
340000	342000	擦止癢藥膏也是一樣的效果
342000	344000	我記得是有一個超級猛的一個
344000	346000	療程嗎 很可怕像是
346000	348000	用燒的還是怎麼樣 反正跟火油
