start	end	text
0	7800	哈囉 大家好 歡迎來到好味小姐開速服務
7800	9000	我還你原型 我是翠翠
9000	10000	大家好 我是金金山山
10000	11000	大家好 我是尼森帆
30000	31600	還有一些限時下載書
31600	33400	以及生力起勁 互動感十足的
33400	35600	哎呀 擴增時間電子書
35600	39000	那在4月23號當天通通都免費讀免費聽
39000	41400	今天開啟APP還有機會抽HomePod mini
41400	44200	共三個名額 幸運的你趕快去下載體驗吧
44200	48000	那連我們自己的好味小姐日常貓限時料理的電子書
48000	51200	這個月也可以在限時下載書裡面找到喔
51200	54600	哈密書城也有提供好味聽眾專屬的購書優惠券
54600	56400	即日起到4月30號
56400	59400	在哈密書城購買任何100塊以上的電子書
59400	60000	結帳的時候
60000	62400	輸入折價序號哈米Lady
62400	64400	就是H-A-M-I-L-A-D-Y
64400	65800	就可以限折50塊
65800	67800	也可以上去買我們的書啦
67800	69200	那如果想要看久一點呢
69200	70800	現在訂閱哈密閱讀寶
70800	72600	第一個月只需要49塊
72600	74600	還可以參加抽好禮的活動
74600	76600	只有在4月 錯過就沒有囉
76600	78800	那詳細情形大家可以點資訊欄內連結
78800	81600	到哈密書城官網去看說明喔
81600	83000	不管聽幾次
83000	85200	就是我預錄起來的廣告
85200	89400	我都會很想要揍這個聲音的主人
89400	89900	我怕大家
89900	90800	是不是都這樣
90800	92700	就是聽自己的聲音的時候會特別煩躁
92700	94700	可是因為每次你這種預錄的東西齁
94700	96200	都是你一個人的關係
96200	97500	就是會很尬嗎
97500	98800	就是你自己會
98800	100400	有一點在演戲的感覺
100400	101700	喔 對對對對
101700	103200	有時候會有一些語氣
103200	105100	是為了要呼應那個字
105100	106600	但是就是
106600	107600	就是另外在聽的時候
107600	110100	我就會很想要揍他
110100	111800	所以以後你每次自己來預錄這些東西的時候
111800	113900	我們通常都是一票人跟著
113900	114400	也不要啦
114400	116300	大家在旁邊嗑瓜子這樣
116300	117200	自己在那邊錄
117200	117800	也不要啦
117800	118900	我會慢慢習慣
118900	119700	慢慢習慣
119900	120500	好
120500	122200	為什麼今天會突然多一集Podcast
122200	123000	為什麼
123000	125000	就是因為我們剛剛說的這個原因
125000	125700	欸
125700	128900	就是因為4月23號是世界閱讀日
128900	130300	有贊助所以多一集
130300	130700	對
130700	131400	我們剛剛說
131400	133100	啊我們現在只有一根欸
133100	134400	那下禮拜一才可以嘛
134400	135300	他說不行
135300	135700	對
135700	136700	就是23號
136700	137500	世界閱讀日
137500	138100	就過了
138100	138700	就是世界閱讀日
138700	139200	對
139200	142100	所以我們硬強撐著身體在錄一集
142100	142700	對
142700	143400	好累
143400	144400	疲倦
144400	146100	本來剛剛已經要去休息了
146100	147600	啊不行今天要錄
147600	148200	對然後
148200	148900	一開始啊
148900	149900	他跟我們聯繫的時候
149900	150500	嗯
150500	152500	在思考這件事情就是說
152500	153200	應不應該
153200	154000	我們有沒有資格
154000	155400	來宣傳世界閱讀日
155400	156800	來討論這個主題這樣
156800	157600	來討論這個主題
157600	158100	對
158100	159600	我想說靠杯這
159600	161700	我都不記得我上次讀書是什麼時候
161700	162000	對
162000	163100	對啊就是
163100	164400	會不會很丟臉
164400	164700	欸
164700	165700	欸會不會心虛
165700	167100	我們算不算是一個閱讀人
167100	167900	後來我發現你
167900	168800	你剛剛
168800	170300	攝影師這個想法就錯了
170300	172300	世界閱讀日是為什麼你知道嗎
172300	172500	為什麼
172500	173700	怎麼來的你知道嗎
173700	174800	欸我還真的不知道欸
174800	175300	你不知道嗎
175300	175700	對
175700	176800	把人家的稿念完了
176800	178400	你都不知道世界閱讀日怎麼來的
178400	179700	對我一直想說應該是一個宣傳
179700	180500	學術宣讀啊
180500	182000	你看就不是個讀書人
182000	183900	我公佈很多欸
183900	184400	蛤
184400	185800	啊你都不用知道自己的那個
185800	186400	講的那個
186400	187400	那個稿裡面到底是寫些什麼東西
187400	190100	我只要知道我講的稿對的器官中就好了
190100	190800	他騙你怎麼辦
190800	192000	就其實不是在4月23號
192000	192400	欸
192400	192600	蛤
192600	193800	是在4月25號
193800	194200	然後
194200	195400	就是讓我故意講出來
195400	196100	以笑大方
196100	196700	因你這樣
196700	197200	對
197200	198000	蛤
198000	198200	對啊
198200	198800	那這個廠商
198800	200000	笑你沒文化這樣
200000	200400	蛤
200400	200600	好兇
200600	201400	太陰森了
201400	202800	好過分
202800	203500	好過分
203500	204400	何必呢
204400	204700	好
204700	205800	好快說
205800	206400	好
206400	207600	4月23號呢
207600	207900	對
207900	209400	是世界閱讀日這件事情
209400	209900	對
209900	212600	是聯合國教科文組織
212600	213100	嗯
213100	213500	好
213500	214300	他們訂的
214300	214700	為什麼
214700	216100	從1995年就訂了
216100	216600	哦
216600	217300	很早欸
217300	218900	他們希望把它訂成這個世界閱讀日呢
218900	219800	向大眾
219800	220000	嗯
220000	221700	尤其是青年人和兒童
221700	222200	對
222200	224000	推廣閱讀和寫作
224000	224200	嗯
224200	226500	然後跟宣揚閱讀關係密切的
226500	227600	就是版權意識啊
227600	228500	等等之類的
228500	228800	嗯
228800	229400	對
229400	230000	好
230000	231300	所以說他是為了
231300	232600	宣傳
232600	233200	廣傳
233200	235300	就是閱讀和寫作的美好
235300	237600	所以肯定是宣傳給那些沒有在閱讀的人
237600	238200	沒有
238200	238800	說到那裡
238800	239300	哈哈哈哈
239800	242700	如果說你本來就是一個有穩定的閱讀習慣
242700	243100	嗯
243100	244700	甚至還是在寫作的人
244700	245400	對
245400	246600	就覺得何必呢
246600	247000	對啊
247000	247800	就是我們沒有
247800	249800	不會有一個世界空氣日
249800	251500	或者是世界蛋糕日
251500	252200	欸可能有
252200	253100	哈哈哈哈
253100	253800	可能有
253800	255200	世界吃飯日
255200	255400	哦
255400	255700	之類的
255700	256200	可能不會有
256200	256600	對
256600	257600	太普通的東西
257600	258100	對對
258100	259000	跟空氣一樣
259000	259800	跟呼吸一樣
259800	261600	不需要推廣的東西不會有特別的節日
261600	262500	沒錯
262500	263300	就是這個道理
263300	263500	嗯
263500	265200	所以那些說現在的小孩都不念書
265200	265500	沒有
265500	266500	以前的小孩就不念書
266500	267300	哈哈哈
267300	269000	從1995年開始
269000	269200	哈哈哈
269200	269900	哈哈哈
269900	270700	就不太念了
270700	271400	沒錯
271400	271700	哦
271700	272300	對
272300	272900	所以說呢
272900	274500	世界讀日的重要性來說
274500	275000	是
275000	277500	比起那些原本就有在讀書寫作的人來講
277500	278200	對對對
278200	278500	欸
278500	279100	不重要
279100	279400	欸
279400	280700	但是對像我們這種
280700	281300	不讀書的人
281300	282100	沒有在讀書的人
282100	283500	哈哈哈
283500	284200	格外有意義
284200	284700	嗯
284700	285900	這是為我們而設的節日
285900	286100	欸
286100	286500	沒錯
286500	287200	哈哈哈
287200	287700	沒錯
287700	288300	你看
288300	290300	如果我有太有求之慾
290300	290500	欸
290500	292700	你還有時間來宣傳這一段嗎
292700	292900	哦
292900	293600	就輪不到你了
293600	294300	對啊
294300	295600	如果陳川是一個
295600	296900	超級強的讀書人
296900	297900	都看經典文學的
297900	298200	對
298200	298900	都不讀那些
298900	300100	那些網路小說
300100	300400	對
300400	300900	跟一些
300900	302200	大家的破小說
302200	303400	什麼宅豆公豆
303400	304200	對對對
304200	305000	他都不讀這些的
305000	306700	他就不會來找我們分享這件事了
306700	307300	對
307300	308300	我不是他的受眾
308300	309300	他覺得我們沒有資格
309300	310100	對
310100	311600	我們現在太有資格了
311600	312700	哈哈哈
312700	313300	然後為什麼
313300	315100	世界讀日會定在4月23號
315100	315900	哦是有緣由的是不是
315900	316600	有緣由
316600	317600	不是隨便找一個沒有間接的一篇嗎
