start	end	text
0	4000	哈囉 大家好 歡迎來到好味小姐開評
4000	5000	要開什麼東西
5000	8000	好味小姐開束服我 還你原型
8000	9000	我是翠翠
9000	10000	大家好 我是剪輯師阿斷
10000	11000	大家好 我是顏聖凡
11000	12000	我剛剛是想要講
12000	14000	會來到好味小姐開頻道
14000	16000	想說什麼東西
17000	20000	OK 今天呢 也沒有業配
20000	21000	也沒有贊助
21000	23000	但今天也是有一個東西想要跟大家分享跟宣傳
23000	24000	就是這個
24000	25000	好味小姐
25000	26000	好味小姐
26000	27000	好味小姐
27000	28000	好味小姐
28000	29000	好味小姐
29000	30000	我們今天也是有一個东西想要跟大家分享跟宣傳
30000	32060	就是我們家品轩 Not
32060	33000	對啦
33000	34000	生了啦
34000	35000	我們已經太誓誥了
35000	36000	沒錯
36000	37000	其實她跟我一樣
37000	38000	就是時間到了
38000	40000	然後他們家孚子户我不出來
40000	41000	�等一下
41000	42000	等一下
42000	43000	有些人可能不知道
43000	44000	唉
44000	45000	唉 我怕有些人不知道
45000	47000	以為...... generitor那是誰
47000	49000	置宣我們家 slightest貓生的
49000	50000	我們那個營養師品行
50000	51000	他生小孩
51000	52000	喔對
52000	53000	生一個女兒
53000	55000	好味營養師的品轩
55000	56000	他們家那一隻跟我們家一樣啦
56000	57000	啦就跟雷utar Peters
57000	58000	x水 Bel knapp
58000	60200	可是一直放到期滿醫生跟他說
60200	62100	欸我覺得你可以直接來大催生了
62100	63560	不然可能會過期
63560	67360	但是你們生小孩的時候的那整個流程是很不一樣的
67360	70660	應該是那個媽媽的那個反應跟體驗好像差很多
70660	72640	因為翠翠當初生的時候是
72640	74460	欸進去之後然後症痛嘛
74460	76060	症痛她是一副好像
76060	77640	就是沒什麼感覺
77640	81040	覺得好像應該要承受症痛好像沒有那麼厲害
81040	82960	然後就是之後就生了
82960	84960	她生的時候也是生都很順利啦
84960	85800	就生完
85800	87260	然後周一個每月就生出來了
87260	88020	欸對
88020	90820	生完之後翠翠就直接躺在床上
90820	92560	三天都沒有辦法動
92560	93760	她那三天就像是
93760	95720	就像是一個108歲的婆婆一樣
95720	96260	你知道嗎
96260	97400	沒辦法下床
97400	98220	沒辦法下床
98220	99400	然後要去上廁所
99400	100600	風就要大一點就閃掉了
100600	101160	對對對
101160	101900	要去上廁所
101900	104020	然後走到廁所去走兩個半小時
104020	105260	就是很誇張這樣
105260	105760	超誇張
105760	107000	而且我本來應該
107000	109320	應該是有生產過媽媽可能會有經驗
109320	111420	就是你差不多生完過幾個小時
111420	113020	護士下來就說你要下來走喔
113020	114020	你要排氣喔
114020	115500	不然你會怎麼樣怎麼樣之類的
115500	116560	護士說你要下來走
116560	116820	對
116820	117220	我說不對啊
117220	117720	我說不對啊
117720	119080	成就那個狀況
119080	121120	你完全不像是可以下來走的樣子啊
121120	123720	對然後護士小姐來看了幾次就說
123720	125220	嗯我覺得你放棄好了
125220	127820	你明天再說好了
127820	129980	她是直接就是跟我說不用下來走了
129980	131980	對但是品萱她就是正痛的時候
131980	132780	好像很痛
132780	133180	對
133180	135480	因為她在影片裡面就是痛到落淚這樣
135480	136460	哭這樣子
136460	137420	就是她那個時候
137420	139060	其實她有打無痛分娩
139060	141180	但是說好像是她那時候還
141180	142420	不到可以打的時候
142420	143780	對因為你太早打的話
143780	146560	你可能會不知道痛好用力或怎麼樣的
146560	146780	你就沒有辦法配合
146780	147820	你沒有辦法配合醫生
147820	148280	對對對
148280	149740	後來好像是那個護士看她可憐
149740	151480	所以才提早罵她
151480	152580	因為她真的太慘
152580	153780	她看起來就太痛了
153780	155680	因為她痛到整個人在顫抖
155680	158020	她說會全身冒冷汗耶
158020	159480	超可怕的
159480	160620	但是她生完之後
160620	161980	因為是這樣子就是說
161980	163420	她生完之後
163420	164680	就趕緊一起跟我說她已經生了
164680	165840	生完了這樣子
165840	166940	然後說她有拍片
166940	168680	我們可以去跟她拿那個
168680	169220	片回來剪
169220	170440	因為說我們的剪輯師剪的嘛
170440	171220	對對對
171220	171680	然後我就跟她說
171680	173180	妳有沒有辦法拍一個結尾
173180	175340	不好像結束的太突然什麼之類的
175340	176120	生完就沒了這樣子
176120	177660	然後她就說好好好
177660	179060	讓她補拍一個結尾
179060	180260	馬上就拍完了
180260	181980	拍完之後我們就去跟她
181980	182880	是她老公啦
182880	184680	拿給我們拿卡片
184680	185680	我們看了之後
185680	187660	就發現品萱的結尾是
187660	188960	作者拍的
188960	189480	怎麼說呢
