start	end	text
0	7520	哈嘍 大家好 歡迎來到好味小姐開束
7520	9280	我還你原型 我是翠翠
9280	10400	大家好 我是阿端
10400	11760	大家好 我是聖聖梵
11760	14960	幹嘛F想要看我好戲的樣子
14960	18560	好 我們這一集邀請了一位來賓
18560	20480	誰 誰啊 我沒有看到
20480	21600	這四個椅子是空的啊
21600	25520	我會邀請到這個91年度
25520	29200	新竹市
29200	30880	斜崖大隊
30880	31920	對 隊長
31920	32800	隊長
32800	35360	陳春安小姐在我們現場
35360	37360	我們要第一次開錄訪談了嗎
37360	37680	對對對
37680	39200	Oh my god 好榮幸喔
39200	40720	成為你們第一個來賓
40720	41360	真的真的
41360	42720	好 所以我今天就只好放空
42720	43680	做自己就好了是不是
43680	44320	大概這種感覺
44320	45760	好好好
45760	47680	所以你是這個新竹市
47680	48880	斜崖小隊隊長
48880	50880	不是不是 這不是這個邏輯
50880	53440	我是先 先室內競賽
53440	54960	室內競賽的前三甲呢
54960	56800	再去去那個參加
56800	58560	去劍壇青年紅樓中心
58560	59040	參加
59040	59160	去
59160	59960	全國競賽
59960	61560	所以你最後是有進全國競賽的
61560	63240	對呀 我有去劍壇住一晚
63240	64280	斜崖這件事情
64280	65560	沒有進軍全國
65560	67640	進軍全國
67640	68600	所以說斜崖
68600	71160	斜崖這件事情是像那種日本動畫一樣
71160	72760	你要先在學校裡面
72760	74200	對 校內初選
74200	75080	校內先打贏
75080	75400	對
75400	77240	先打贏縣級的這個冠軍
77240	78520	對對對 我們是新竹市
78520	79320	所以是市級
79320	80040	市級的冠軍
80040	80600	對對對
80600	83000	區域冠軍拿到之後再進軍全國
83000	85640	通常劇情都是演你們是前三四名這樣
85640	86280	對 我們就是
86280	87720	因為他 他好像是
87720	88280	我不曉得欸
88280	89000	小學有一段時間
89000	91160	流行部公佈那個名次
91160	92360	只有優選啊
92360	93640	什麼嘉選什麼那種
93640	94200	喔 這樣子
94200	95960	對對對 那你就是前三甲
95960	98120	就是前三名就是可能是優勝
98120	100920	然後前三名再一起去比全國這樣子
100920	101400	好
101400	101800	對
101800	102520	先打住
102520	103160	好好好
