start	end	text
0	30000	哈囉 大家好 歡迎來到好味小姐開束 훨
30000	32000	今天雷夢在我們的現場
32000	34000	雷夢說 抱抱
34000	36000	不要 他不要說話 他好不容易現在不說話
36000	38000	說話 說話 說話
38000	40000	你把那一種吸回去
40000	42000	不要cue他辦事喔
42000	44000	大家都上個禮拜都在問啊
44000	46000	說能不能聽雷夢說抱抱啊
46000	47000	蛤?
47000	48000	就有很多人留言啊
48000	50000	說你有提到說他現在已經可以
50000	52000	就是要求說他要說抱抱了
52000	54000	不一定 他現在每天會說話都不一樣
54000	56000	像他昨天突然會說奶奶了
56000	58000	而且是真的要喝奶奶 然後說奶奶
58000	58500	對
58500	60500	然後我今天一直就想要問他說
60500	61500	你要喝奶奶嗎
61500	62500	對 今天又不說了
62500	63500	他就一直呃
63500	65500	什麼意思 呃是什麼意思
65500	66500	對 然後就是很尷尬
66500	68500	你昨天才知道他會說奶奶 對
68500	70500	那他今天他突然不說奶奶了 對
70500	72500	那他這個時候到底想不想喝奶奶
72500	73500	對啊 就很奇怪啊
73500	75500	對 就很神秘這樣子 沒錯
75500	77500	但他今天會說又喔
77500	78500	他今天會說又嗎
78500	79500	他今天教會他的 真的假的
79500	81500	他今天花了五分鐘教他說
81500	82500	黃雷夢 又
82500	83500	然後他就取手
83500	85500	真的嗎 又 又要幹嘛用
85500	87500	就是他知道他是誰啊
87500	88500	他知道他是誰
88500	89500	對啊
89500	90500	他知道他是誰啊
90500	91500	他只是原本不會做反應而已啊
91500	92500	就他現在要告訴你說
92500	94500	好啦 我知道我是誰
94500	95500	因為我比較不實用
95500	96500	有沒有什麼比較實用的
96500	97500	很可愛啊
97500	98500	可以先教
98500	99500	好可愛
99500	100500	對
100500	102500	啊 雷夢你有什麼
102500	103500	大便啊
103500	104500	或是尿尿
104500	105500	喔
105500	106500	我覺得如果大便會說也蠻方便的
106500	107500	喔 大便會說超神的
107500	110500	那他就可以去訓練小便那個自己的廁所咧
110500	111500	蛤 真的嗎
111500	112500	進度這麼快嗎
112500	113500	對 他就可以飛躍
113500	114500	他就完全不需要
114500	116500	就是你不會體驗那個炸死的困擾
116500	117500	我可是我的小孩
117500	118500	可是大便
118500	120500	我是大便界的天才
120500	121500	他還沒有學會啊
121500	122500	等下學會再炫耀吧
122500	123500	喔 好
123500	124500	那個今天是禮拜一
124500	125500	對 今天是禮拜二
125500	126500	沒有 禮拜二了
126500	127500	沒錯
127500	128500	我們剛剛好
