start	end	text
0	30000	哈囉 大家好 歡迎來到好味小姐開束厲
30000	60000	
60000	62300	就是就是很好睡很好睡的那個感覺
62300	62800	嘿
62800	64600	然後我們不是那時候覺得很神奇嗎
64600	64900	嗯
64900	67200	然後我們這次收到這個美夢雲寄來這個床墊
67200	67600	欸
68200	70700	發現躺上去好像也有一個很類似的感覺
70700	71400	喔 這樣子
71400	73700	對 就是感覺身體會沉進去的感覺
73700	74700	喔 對對對對
74700	76000	我覺得很神祕
76000	76300	喔
76300	78700	然後她美夢雲這次這個新一代記憶棉床墊呢
78700	80100	她就主打超服貼
80200	82500	超支撐 超透氣跟高穩定
82500	83700	喔 好多頭
83700	85300	她都晒個晒個晒個
85900	88900	對 然後我有蠻認真的每一個特點都體驗一下的
88900	89200	嘿
89200	89600	嗯
89600	92700	因為我覺得它是屬於那個比較柔軟的那種床
92700	93000	嗯
93000	95000	就有的人可能會很怕睡軟床有沒有
95000	96700	會覺得隔天起來可能會腰痠背痛
96700	97700	我自己也蠻怕的
97700	98100	嗯
98100	100700	但是但是我覺得這次躺是不是覺得這個床雖然比較軟
100700	102100	但支撐感蠻好的欸
102100	103100	有點神祕啊
103100	105300	就它好像一開始躺上去的時候表面很軟
105300	105900	對對對
105900	109500	但是到中間好像有不知道有一層什麼東西把你拖住的那種感覺
109500	109900	對對對
109900	110900	多層次的感覺
110900	111900	不會讓你直接
111900	112200	就是
112200	113200	沉到最底下去這樣
113200	113700	嗯
113700	115200	你就會覺得躺平的時候
115200	117000	我就突然有種感覺的到
117000	119000	因為他們以前說那種什麼支撐感
119000	119200	嗯
119200	120200	有人拖著你的腰
120200	121200	我就覺得那個很懸
121200	121600	嘿
121600	122600	欸突然有一點
122600	123400	喔
123400	124700	好像有這個感覺
124700	125700	對 就是那個感覺
125700	128200	然後這次我有叫你在旁邊滾來滾去嘛
128200	128600	嗯
128600	131100	因為他是說比較不會打擾你旁邊睡覺的那個人
131100	131800	喔
131800	132300	有沒有
132300	132800	嘿
132800	135200	這我覺得要蠻認真就是到很靠近
135200	137600	或是你故意就在那邊旁邊撲上來的時候
137600	138000	我才
138000	140000	我覺得才會比較有明顯的震動欸
140000	140400	嘿
140400	141500	對 這方面我覺得
141500	141900	欸
141900	142100	也是不錯欸
142100	142200	對 這方面我覺得欸也是不錯欸
142200	143300	這個蠻明顯的
143300	144400	因為現在
144400	146100	我們都是一個人跟雷夢睡
146100	146900	然後一個人自己睡嘛
146900	147500	對 對 對
147500	148100	啊這個床呢
148100	149800	他新進來的床是放在我們的
149800	151500	就是我們以前的那個房間
151500	152400	沒有雷夢那個房間
152400	154800	所以基本上現在是一個人跟兩隻貓在睡
154800	155100	對
155100	156600	跟DECO還有馬虎在睡
156600	157200	對 對 對
157200	158200	馬虎反正就很明顯
158200	158900	哈哈哈哈
158900	161100	馬虎現在都會躺在那個雙人床的位置
161100	161600	對
161600	161900	對
161900	162800	然後以前呢
162800	163800	因為他們就是
163800	165500	我們人動的時候他們就會覺得很煩
165500	167700	他就覺得你就是會打擾到他睡覺啊
167700	169200	對 他們就會睡在床
169200	169800	床腳
169800	170600	腳的 對 對 對
170600	171300	腳旁邊
171300	171700	嗯
171700	172500	對 但是現在
172500	174100	馬虎都直接睡在我頭旁邊
174100	176100	就是睡在另外一個枕頭下面那個位置
176100	176800	對 對 對
176800	177500	應該是有
177500	178400	應該是有感
178400	179400	嘿 有感
179400	180200	馬虎有感
180200	181000	哈哈哈
181000	182900	好 而且美木雲他們這個床墊呢
182900	185000	有提供120天的安心試睡
185000	186200	不滿意可以全額退費
186200	188000	加上十年保固還蠻貼心的
188000	188700	因為我們覺得
188700	190700	床墊真的是蠻需要試睡一下的
190700	191000	嗯
191000	192600	才會知道適不適合自己
192600	194800	然後廠商這次還另外送了我們兩個枕頭
194800	195000	嗯
195000	195600	然後一個呢
195600	198600	是鑽石級舒眠護頸兩用記憶枕
198600	201200	跟極致透氣護頸記憶枕
201200	201700	喔
201700	203300	然後那個鑽石級就是主打它就是
203300	204700	兩面東下兩用
204700	205000	喔
205000	206600	對 然後另外的是主打透氣
206600	208600	然後我自己是因為我喜歡比較軟
208600	209600	然後比較低的枕頭
209600	211200	所以我就選那個鑽石級的
211200	212600	那你呢就是很容易流汗
212600	214200	所以我就把透氣那個留給你用
214200	214400	嗯
214400	216300	那推薦大家就是看到你的需求呢
216300	218000	你可以選自己喜歡的枕頭喔
218000	219800	好 那相關的商品連結呢
219800	221200	我們就會放在資訊欄裡面
221200	222800	有興趣的人可以去看看喔
223600	224500	好啊
224500	225400	好啊
225400	226800	好啊 講到這個床啊
226800	228900	床 嘿嘿嘿
228900	230200	就會很想睡覺
230200	231200	就會很想睡覺
231200	232200	嘿嘿嘿
232200	233200	現在時間齁
233200	234200	這個
234200	235200	3點05分
235200	236200	剛好過3點了
236200	237200	我剛想說2點多
237200	238200	沒有沒有3點
238200	239200	7月13日星期二
239200	242200	距離可以躺到床大概還有3 4個小時
242200	243200	嘿 我 我
243200	244200	嘿 我要解釋
244200	245200	你的話
245200	247200	喔 我們這個今天齁
247200	248200	為什麼會這麼晚
248200	251200	為什麼每個禮拜都是這樣開頭
251200	253200	今天我們不是在打混呢
253200	254200	很認真
254200	255200	認真在工作
255200	256200	也不是雷夢在吵呢
256200	257200	也不是
257200	258200	首先今天下午的時候呢
258200	260200	我們帶我們的狗狗去回診
260200	261200	其實不是我們
261200	263200	你跟那個攝影師還有老婆
263200	264200	帶小狗去回診
264200	266200	帶4隻小狗去
266200	267200	反正這個是蠻長時間的
267200	269200	因為他一直一直看
269200	270200	理論上這段時間齁
270200	272200	我應該是很悠閒
272200	274200	好好地跟我媽吃個飯
274200	275200	對啊
275200	277200	然後好好的看大家留言
277200	278200	玩一下雷夢
278200	279200	那我們回來之後
279200	280200	馬上開錄
280200	281200	簡單輕鬆
281200	282200	就解決了
282200	284200	我們還想說錄完之後呢
284200	285200	可以再拍個片
285200	286200	拍個片
286200	288200	拍完之後剛好11 2點
288200	289200	輕鬆充實
289200	290200	煮個貓飯
290200	291200	煮個貓飯
291200	292200	剛剛好
292200	293200	再放一次狗
293200	294200	可以去睡覺
294200	295200	可以去睡覺
295200	297200	四月尾
297200	298200	看小狗花了比想像中
298200	299200	更多的時間
299200	300200	超久
300200	302200	因為我們還做了斜剪啦
302200	303200	然後就要等報告
303200	304200	就等滿久的
304200	305200	對
305200	306200	然後呢回來之後呢
306200	307200	我們想說齁
307200	308200	有沒有安排這個時間
308200	309200	有點問題
309200	310200	因為我最好是
310200	311200	趕快錄完pocket之後
311200	312200	我就可以去剪了嘛
312200	313200	對不對
313200	314200	所以我們就把那個
314200	315200	我們原本要拍一支腦波羅的片
315200	317200	往前移
317200	318200	這腦波羅的片呢
318200	319200	也是有一個故事的
320200	321200	就是我們最近收到了一個
321200	323200	做紀念品的一個
323200	324200	小文創商品的感覺
324200	325200	對
325200	326200	一個小廠商
326200	327200	他們開發了一個
327200	329200	一些小玩具類的商品
329200	330200	寄了一套過來
330200	331200	寄了一些過來
331200	332200	原本他們那個email是說
332200	333200	選個幾個
333200	334200	選幾個
334200	335200	然後你如果喜歡的話呢
335200	336200	就是可以幫我們分享
336200	337200	看嘛
337200	338200	他也沒有說要
338200	339200	影片業配什麼的
339200	340200	就是很客氣的
340200	341200	想要跟我們分享他們的新品
341200	342200	出去看到就很興奮
342200	343200	說喔好可愛喔
343200	344200	對啊超可愛
344200	345200	然後就回信說
345200	346200	你們能不能全套都寄給我們
346200	347200	我們可以
347200	348200	說不定可以拍一個開箱影片
348200	349200	三小
349200	350200	對啊
350200	351200	全套寄過來
351200	352200	對他們就真的全部寄過來
352200	353200	很有心
353200	354200	寄了一大堆
354200	355200	就是其他的周邊商品
355200	356200	總共有12個
356200	357200	然後後來想想說
357200	359200	這件事情好像以前發生過
359200	361200	然後我仔細回想
361200	363200	就好像在我的那個座位後面
363200	365200	有一疊那個書
365200	367200	書中間夾了幾個
367200	370200	很像美勞作品的工具包的感覺
370200	371200	對
371200	372200	摺紙玩具這樣
372200	374200	就是大概去年
374200	376200	9月8、9月的時候
376200	377200	就萬聖節之前
377200	378200	對
378200	379200	也有一個這樣子的廠商
379200	380200	就他們可能沒有什麼
380200	381200	比較預算
381200	382200	但他們就想說
382200	383200	是出版社之類的
383200	384200	對對對
384200	385200	想說他們有這個
385200	388200	一個立體的摺紙的一個玩具就對了
388200	389200	對
389200	390200	很大型的
