start	end	text
700	1120	ohhh
5300	7700	哈囉 大家好 歡迎來到好味小姐開束 sovere
7700	8200	我
8460	8960	還你原型
8960	9560	我是翠翠
9840	10340	到底
10640	13160	我剛剛在想說我是翠翠要先講還是我還你原型
13160	14000	我就 啊
14000	15960	還有我還你原型的部分啊
16500	17540	大家好 我是射雕彈
17540	18400	大家好 我是射雕彈
18600	20200	幹嘛你們每次都要把我講錯
20200	22060	都弄得好像很大事件一樣
22700	24860	好啦 本集節目有乾爹贊助喔
24860	26100	那我們這次有先預錄
26100	27400	接下來是預錄的片段
27400	28900	本集节目由
28900	30140	魏丹多喝水MORE
30140	31660	气泡水赞助播出
31660	32900	多喝水MORE
32900	34520	是一种生活态度的追求
34520	35420	This is more
35420	36860	少了不必要的添加剂
36860	38900	多了健康与质感的追求
38900	42080	这句很棒
42080	44580	我一直在脑内排悬说
44580	45640	我要怎么去念这句
45640	46440	才会很有feel
46440	47060	有没有feel
47060	47600	还行
47600	50040	多喝水MORE
50040	50540	plus
50540	52820	维他命气泡水
52820	53520	谢谢
53520	56700	还在等很久
56700	60560	现在有百香果风味
60560	61600	以及奇异果风味
61600	62740	那含有微量果汁
62740	64820	会让果汁果味升级
64820	65940	那也含有人体
65940	67380	每日所需的维他命C
67380	68440	B3 B6
68440	69200	适当补充
69200	70040	可以让你随时保湿
70040	71160	在最佳状态哦
71160	73100	有吗你有感觉到吗
73100	74880	你说适量补充吗
74880	75460	对对对
75460	77040	身体的最佳状态
77040	77620	有啊
77620	79060	他没有腹泻
79060	79540	有啊
79540	83300	多喝水MORE
83300	83920	气泡水
83920	85020	气泡细致
85020	86360	口感再升级
86360	88600	饮用时气泡会在口中绽放
88600	90140	让你享受盛夏解暑
90140	91140	清凉又充快
91140	92700	然后现在目前呢
92700	93980	7-11全年各大店商
93980	94800	以及量販通路
94800	95820	都有在热卖中
95820	97460	更多优惠及抽奖资讯
97460	99560	请想进我们的资讯栏哦
99560	100980	这次说到这个气泡邀请
100980	101860	你们两个应该瞬间
101860	102800	就跟我说好了吧
102800	103500	蛤
103500	104920	对啊因为那时候我就说
104920	105740	我们有气泡水
105740	106560	你们两个根本就每天
106560	107760	都要喝气泡水啊
