start	end	text
0	30000	哈囉 大家好 歡迎來到好味小姐開束 훨
30000	34680	那從女孩到女人都可以找到又好看又好穿的內睡衣喔
34680	38840	那目前有台北新衣威秀跟台中勤美成品兩間門市
38840	41860	那無法前往市集店面的話也可以在官網購物喔
41860	45580	有興趣的可以到網站裡面挑選自己最適合的貼身衣物喔
45580	47720	這次找我的是內衣
47720	51020	我老實說我真的超級討厭穿內衣
51020	54340	我是那種一回家就要解開束縛那種人
54340	56920	我也超級不喜歡穿褲子
56920	60640	我以為你要說你也不喜歡穿內衣
60640	63400	那你就很適合來分享這個
63400	66200	對 這個是他之前來找我的時候
66200	68840	就是我在還沒有決定要接這個業配的時候
68840	71320	我就先去他的門市逛過一次
71320	73280	對 就是在 好像他們蠻早就在問了
73280	74720	三四月的時候就在問了
74720	75720	然後那時候就去了
75720	77120	喔 你原本就已經先買過了
77120	78320	對對對 我已經先買過了
78320	79960	所以他這次就是來找我業配的時候
79960	81800	我就覺得非常的心安理得
81800	82440	無壓力
82440	84360	對 因為我已經穿過了嘛
84360	85720	而且我還穿了我想多了
85720	86840	兩三個月 三四個月
86840	88200	就有了 蠻久的
88200	90160	對 我跟他老婆一起去逛街的時候看到的
90160	90680	OK
90680	95040	對 然後他們家就是有很多五綱圈跟軟綱圈的內衣
95040	95720	我剛剛不是說了嗎
95720	97960	我是那種一回家就要解開束縛的人
97960	100440	因為我才很討厭那個勒勒的感覺
100440	103080	但是很多軟綱跟五綱都容易變形
103080	104840	或是 或是 或是怎麼說呢
104840	107000	就是你會覺得你的胸型會包不住
107000	108480	喔 這好難跟你們
108480	111000	你現在在場 你在場的所有人當中
111000	112320	你覺得是內衣專家沒有關係
112320	114200	欸 對 對
114200	114880	你說什麼就是什麼
114880	116760	我認真覺得他是
116760	118160	既Hold得住胸型
118160	120560	又會讓你覺得不太有存在感的內衣
120560	120960	是
120960	121760	你這麼說就這麼說
121760	123160	我這麼覺得
123160	127400	我覺得我是穿到目前為止就是還算不錯的五綱內衣品牌
127400	128200	喔 很棒
128200	130840	對 然後我覺得他們家最棒的就是他們的那個造型
130840	132120	我覺得都很可愛
132120	134040	不知道是不是日系品牌的關係
134040	136160	就是帶一點可愛 然後小性感
136160	137840	不會太誇張這樣
137840	141080	好 內衣專家發表了我的就是高談闊論了
141080	143120	推薦給大家 我真的覺得好穿
143120	143560	喔
143560	145120	嗯 造型也喜歡
145120	146720	好 現在時間這個
146760	151160	8月3號凌晨2點47分
151160	152280	今天真的比較晚
152280	153240	感謝PitchJung
153240	154520	感謝PitchJung
154520	155600	如果不是PitchJung
155600	156200	對
158320	160360	大家就會在明天下午3點
160360	160920	感謝他
160920	161680	感謝他
161680	162440	欸
162440	163440	如果不是PitchJung
163440	164560	我們今天是
164560	166480	欸 你禮拜二是看不到東西了
166480	167000	對
167000	168400	要不是我們跟Jung約好了
168400	170000	我們絕對不會
170680	171240	謝安如
171240	172040	喔 累死了
172040	172640	累死了
172640	174120	上個禮拜到現在
174120	175560	我們連續工作了
176080	176720	九天有沒有
176760	177600	我有感覺
177600	179280	我感覺我好像這兩個禮拜都沒休假
179280	179880	對啊
179880	181640	整個週末都在工作
181640	181880	對
181880	183920	就是主要是因為主時空要上架的關係
183920	185040	對
185040	185400	然後
185400	185960	唉唷
185960	186760	我們今天
186760	187360	蛤
187360	188480	那個有業配
188480	189880	我們要講自己的東西
189880	190640	這樣會不會那個
190640	191720	因為對不起Jung
191720	192760	對啊
192760	194240	我們可以不要用業配的
