start	end	text
0	30000	哈囉 大家好 歡迎來到好味小姐開束厲
30000	32560	很難把你自己的東西講出來嗎
33080	33600	可以吧
33600	35240	好有近鄉情趣的感覺
37080	37960	好我要講這個呢
37960	40160	是我平常就是很常在錄廣告啊
40160	41360	或是錄什麼口播的時候
41360	43240	會常常講到的第一個特點
43240	43560	對
43560	44440	所以我來講這個
44840	45480	就是
45480	48240	就是1加1呢指的就是一罐料理罐
48240	50800	加上一包營養粉的搭配組合
50800	51240	喔
51240	51600	對
51600	53400	因為如果你先把營養粉呢
53400	54880	加進那個罐頭裡面
54880	56760	那罐頭製成會有高溫嘛
56760	58960	那這些營養成分就會被耗損掉
58960	59240	喔
59240	60920	所以我們就把它獨立出來
60920	62400	這樣子貓咪在吃罐頭的時候
62400	63760	再把營養粉加進去
63760	64960	攪拌均勻的時候呢
64960	67280	它就可以攝取到完整的營養配方
67280	67880	喔
67880	68720	非常的棒
68720	69160	喔
69160	70720	推薦給大家
70720	71720	好換你
71720	74080	喔我們這一款這個肉泥主食罐
74080	74480	嘿
74480	76920	跟之前我們做過一款肉塊版的
76920	77520	對對對
77520	79120	為什麼這次要做成肉泥版呢
79120	79600	嘿
79600	80920	就是因為我們發現啊
80920	83320	大家的貓都比我們想像中還要更挑食
83320	85240	哈哈哈哈
85240	86440	都不喜歡咬東西
86440	87760	好像是好像是
87760	88960	貓很懶這樣子
88960	90560	欸所以我們這次肉泥版之後呢
90560	90960	對
90960	92520	欸我們已經推出一個多月了
92520	93000	嘿
93000	95000	欸我們發現就是各種回饋
95000	96400	喔限動超多的
96400	97240	欸超多限動
97240	99400	欸那個限動啊都不是我們說
99400	101160	就是給大家折扣啊什麼之類的
101160	101720	叫大家回的
101720	102280	沒有沒有
102280	103320	發現都沒有折扣
103320	104800	哈哈哈哈
104800	105680	對真的
105680	106480	欸都是大家吃的
106480	108200	然後覺得說貓咪很喜歡
108200	109760	對我聽到很多就是說
109760	111200	蛤沒想到我們家跳水貓
111200	112920	竟然也會吃的類似的回饋
112920	113400	欸對對對
113400	114000	超興奮
114000	114920	然後發限動給
114920	115720	然後Tag我們
115720	116920	啊我們都會把它存下來
116920	117440	對對對
117440	118600	這樣以後蒐集起來
118600	119840	就可以發一篇
119840	121760	很有這個說服力的廣告
121760	122360	感謝大家
122360	123480	哈哈哈
123480	125120	給了我們很良好的資訊
125120	126440	欸給了我們很棒的素材
126440	127080	沒錯
127080	128200	感謝大家的支持
128200	129480	好啦剩你了吧
129480	131480	好我們的這個肉泥罐呢
131480	132040	嗯
132040	135160	不只經過營養師的配方計算
135160	135640	對
135640	137320	喔還經過獸醫師的審核
137320	137880	喔真的
137880	138400	嗯
138400	139640	貓孩吃得開心
139640	140000	對
140000	141160	家長也放心
141160	142160	哈哈哈哈
142160	142760	什麼
142760	144120	這好像補習班
144120	146360	而且我們在獸醫師不是那種
146360	147720	橡皮圖章那種隨便審審的
147720	148480	喔不是蓋個章
148480	148560	就給他審喔
148560	148600	不是蓋個章就給他審喔
148600	148840	喔不是蓋個章就給他審喔
148840	150560	他打敲我們配方打敲很多次
150560	151880	哈哈哈哈
151880	153560	會拖到8月才上市就是因為他
153560	154760	嘿嘿沒錯
154760	155800	金雕細琢
155800	156840	大家會想說為什麼
156840	158400	我們明明8月1號就上市了
158400	158800	嘿
158800	160600	啊我們現在8月31號了
160600	161160	對
161160	162680	才廣告才在這個時候上來
162680	163160	為什麼
163160	164040	因為我們原本
164040	165200	以為很早就會上市了
165200	166320	沒錯
166320	167240	所以
167240	168040	所以這個時候
168040	169400	那個業配的檔期都已經排滿了
169400	171040	我們那時候特地讓出
171040	172320	7月之前的檔期
172320	173360	對所以7月的時候
173360	174040	沒什麼業配
174040	174560	嘿
174560	176000	嘿我們特別留空間出來
176000	176160	嘿
176160	177840	就是想要來好好跟大家介紹一下
177840	178560	我們自己的東西
178560	179560	想不到我們的配方
179560	180800	一直被Soyz打槍
180800	181760	哈哈哈哈
181760	182960	拖拖拖拖拖到8月
182960	183680	沒錯啦
183680	184560	啊上市的時候才發現說
184560	185280	喔靠搖
185280	186800	我們都已經排滿了
186800	187400	哭
187400	187920	嘿
187920	188560	嘿
188560	189840	好不容易敲到一個空檔
189840	191040	嘿上市一個月後
191040	191760	沒錯
191760	192960	跟大家真心推薦
192960	193320	好
193320	194000	可以回購了
194000	194880	嘿可以回購了
194880	195600	對差不多欸
195600	196200	可以回購了
196200	196720	嗯
196720	197880	今天這個時間啊
197880	198680	是這個
198680	200480	8月31號的3點
200480	201920	喔3點15分
201920	202800	今天比較晚
202800	203880	因為我們剛才拍了一支片
203880	204400	對啊
204400	205600	絕對不是因為偷懶
205600	206360	沒有沒有沒有
206360	207640	也不是吃飽睡著
207640	208280	沒有
208280	208520	欸
208520	209360	,吃飽睡著
209360	209880	有
209880	210680	確實是有發生
