start	end	text
0	30000	哈囉 大家好 歡迎來到好味小姐開束munition
30000	60000	
60000	90000	
90000	120000	
120000	121540	對
121540	122820	誒 陳翠蘭真的是
122820	125640	她都不喜歡在拍片之前洗頭
125640	126920	因為很花時間啊
126920	128960	拍片之前一定要化妝
128960	130760	然後她就拍完片之後
130760	132040	卸完妝
132040	133320	然後順便洗頭
133320	134080	這不是很棒嗎
134080	135880	拍片完之後就會整個頭是
135880	137660	就是很清爽
137660	139200	最完美的狀態在拍片完之後
139200	139960	拍片完之後
139960	142020	拍片的時候就是處於一個
142020	144840	有上妝然後就油膩膩的這樣
144840	146360	我哪有油膩膩
146360	147640	那個風塵味很重的那種感覺
147640	148680	你很棒
148680	151240	你說的是沙塵味很重嗎
151240	152520	對啦 煩欸
152520	153800	反正就是我之前有幾次
153800	155600	有時候會亂買一些開架的髮品
155600	157380	我覺得可能不適合我
157380	158920	所以就是會有你說的那種
158920	159680	洗完的時候
159680	161480	瞬間那個時候看起來頭亮亮的
161480	164040	但到晚上之後我們要拍片的時候
164040	164800	她就會塌下來
164800	166080	你就又叫我去洗頭
166080	167880	我就跟你說我明明就洗過了
167880	169160	你就死活不相信
169160	170440	她都會跟我說她洗過了
170440	172240	我都已經照鏡子乾乾
172240	172740	對啊
172740	174800	但是她們家就是就不會
174800	176320	她們家就是我洗完都覺得頭髮
176320	177860	就是看起來是蓬蓬的
177860	178640	就是我
178640	179660	身為一個
179660	181200	就是護髮重度愛好者
181200	183500	我非常喜歡她們這次的洗護系列
183500	184280	OK
184280	185040	滿意
185040	186320	然後她們那個養髮液的味道
186320	188620	我覺得她也還蠻喜歡的啦
188620	190420	就是很清爽的那種氣味
190420	191700	不會很香
191700	193480	所以我覺得她們這次那個洗髮跟護髮
193480	194760	搭配的效果非常棒
194760	195800	推薦給大家
195800	196820	如果你跟我一樣是那種
196820	199640	下午就被你男朋友說你頭是不是沒洗的話
199640	200400	非常適合
200400	202200	以上就是我這次的使用心得
202200	203480	其實你們兩個也有用啊
203480	203980	那個
203980	204760	她跟我說
204760	205780	攝影師跟我說
205780	208600	她也很想要來分享這次的使用心得
208600	209120	對
209120	209620	真的假的
209620	211920	這是我人生第一次使用潤髮乳
211920	214480	因為我人生第一次去燙個頭髮
214480	216020	喔對對對
216020	217820	然後沒有很捲
217820	220120	然後設計師跟我說
220120	221920	用潤髮乳用一些髮品之後
221920	223200	會讓它看起來
223200	224220	比較正常一點
224220	224980	比較捲
224980	226000	嗯哼
226000	226780	用了之後
226780	227800	真的滿澎的
227800	229080	她很興奮跟我說
229080	231120	我也要來分享我這次的使用心得
231120	231640	喔
231640	232160	對啊
232160	232920	真的很誇張
232920	234460	我必須要讓她就是插一句
234460	236000	其實我要講的我已經講完了
236000	238560	特地做一個橋給她搭一句這樣
238600	239880	好啦那他們這次呢
239880	242960	Dr.CYJ也有給我們的粉絲專屬的優惠碼
242960	245520	是他們中秋嫦娥99購物節的
245520	248080	中秋嫦娥99購物節
248080	248580	對
248580	252940	優惠碼一張輸入090799再折99元
252940	254480	哇這好像
254480	256000	很複雜很難記
256000	256520	反正
256520	257800	我們會把這一串東西
257800	259080	跟購買連結
259080	260360	放在資訊欄裡面
260360	261900	090799
261900	262660	欸對
262660	263440	對對對
263440	264200	折扣多少
