start	end	text
0	5600	為什麼是P 因為為什麼是
5600	35600	大家好 歡迎來到好味小姐開束ittee
35600	38360	甲菇北歐家具工廠贊助播出
38360	41040	那甲菇其實就是台語的家具的意思
41040	43440	雖然他們是一家擁有35年成熟經驗
43440	45040	但是設計風格還蠻年輕
45040	47440	蠻北歐風的一間老店就對了
47440	49640	那他們這次是邀請我們到他們台中設立
49640	52600	那個甲菇旗艦店試坐沙發
52600	53640	我覺得很好玩耶
53640	55360	從來沒有吃到過這種邀請
55360	57720	然後他們的沙發是有一百天的試坐體驗
57720	59680	所以如果你買回家你不喜歡
59680	61960	你是可以免費退貨的
61960	63960	然後他們店面超美超舒適
63960	65960	我歡迎大家覺得可以去看看
65960	67640	去坐坐看我覺得不錯
67640	70560	跟我原本想像中那個家具行有點不太一樣
70560	72160	對想像中是那種很傳統
72160	73760	然後一百坪然後全部都是那種
73760	75720	就是家具放滿地這樣子
75720	77640	結果他們是分樓層
77640	79080	一樓是辦公室
79080	81160	然後從二三樓開始就展示
81160	83040	然後每一樓都是一個風格
83040	84560	他是按照風格去分的
84560	85760	我覺得這感覺還不錯
85760	88600	因為傳統家具通常會一大堆混在一起
88600	90600	就是一套一套不一樣的放在一起
90600	92680	對但是他整個用風格去分之後
92680	93520	你就可以
93520	94800	感覺到那個
94800	96000	你放這些家具的時候
96000	97040	放一套的時候
97040	99000	空間會是一個什麼樣的氣氛
99000	101760	然後你其他東西可以放什麼類型的家具
101760	102720	的那種感覺
102720	103920	就是不小心就是
103920	105200	買大票這樣
105200	106800	欸好可怕
106800	108240	我是覺得還蠻不錯的
108240	111440	那他這次要求我們去試坐那個沙發的名字很可愛
111440	112760	叫碰1
112760	113240	喔
113240	114320	欸你不知道齁
114320	117200	他那時候貼給我說我們這組沙發叫做碰1
117200	119480	就是那個台語的沙發的意思
119480	119840	對
119840	121440	他們就是走這個流派的
121440	123520	這隻沙發是多功能兩桿沙發
123520	125920	然後就是坐起來
125920	127360	我們那時候我一開始聽到兩桿
127360	129520	我就擔心說那個布料是不是那種滑滑的
129520	131520	有點像塑料感那種感覺
131520	133400	你說像是那種運動服的
133400	133920	欸對對對
133920	135040	機能運動服的材質
135040	136360	海漢山的材質
136360	138400	我就覺得坐起來不會很不舒服嗎
138400	139440	結果我去坐不會
139440	141160	他是那種很軟很細
141160	143160	那種有點麻布感的觸感欸
143160	143480	喔
143480	144680	就是很舒服的觸感
144680	146320	所以我自己是蠻喜歡的
146320	148120	然後我覺得有一個地方超酷的
148120	149520	就是我在試坐的時候
149520	151600	右海凡他老婆不是也跟我一起去嗎
151600	151800	對
151800	153040	他老婆就比較小隻
153040	153280	嗯
153520	154800	那時候在介紹那小姐就說
154800	155240	喔
155240	157440	如果你就是身高比較小或是什麼
157440	158760	你離桌子比較遠
158760	161280	你那個位置可以獨立往前滑欸
161280	161640	喔
161640	163120	就是他的這個
163120	165400	沙發的座面是有點移動式的
165400	165920	對對對
165920	166960	可以往前一點點這樣子
166960	167760	對對對
167760	169120	就是比如說三人座
169120	171240	然後你可以你自己那一小區塊
171240	173360	三分之一塊稍微往前推一點
173360	173680	喔
173680	175960	我覺得對女生來說差蠻多的
