start	end	text
0	1000	我是翠翠
1000	2000	大家好 我今天是阿段
2000	3000	大家好 我攝影師很煩
3000	6000	本集節目 誒 也有贊助
6000	7000	誒
7000	9000	本集節目有
9000	13000	好味營養師品萱的寶寶豆贊助播出
14000	16000	就是自家人的東西啦
16000	19000	就是因為我們前一陣子品萱生小孩的時候嘛
19000	22000	我們有做一個就是買一送一的一個大活動
22000	24000	我們有做一個就是買一送一的一個大活動
24000	26000	我們有做一個就是買一送一的一個大活動
26000	27000	我們有做一個就是買一送一的一個大活動
27000	29000	我們有做一個就是買一送一的一個大活動
29000	30000	我們有做一個就是買一送一的一個大活動
30000	32000	誒 銷售一空
32000	34000	托大家的福
34000	36000	對 然後那時候就斷貨了一陣子
36000	38000	那最近呢 我們終於把貨全部都
38000	40000	不不不 補上去了
40000	41000	補貨完成就對了
41000	43000	重貨新生 大家可以再點進去選購了
43000	44000	OK 每次
44000	46000	品萱小孩好像最近才剛
46000	47000	剛十萬多
47000	49000	剛十萬多
49000	51000	剛四個多月而已
51000	53000	幸好不是抓之後的時候才補
53000	55000	很好 進度早淺
55000	57000	稍微跟大家介紹一下 怕大家不知道齁
57000	59000	寶寶豆是什麼勒
59000	61000	我們是用100%的果汁
61000	63000	無香料 無添加
63000	65000	充滿了滿滿的膳食纖維的一個果凍條
65000	67000	充滿了滿滿的膳食纖維的一個果凍條
67000	69000	我個人覺得 如果你半夜有點餓的話
69000	71000	我個人覺得 如果你半夜有點餓的話
71000	73000	我自己的經驗啊 大概是吃到第二條
73000	75000	搭配一杯水歐真的就不行了
75000	77000	就會有點飽足感
77000	79000	會讓你說真的就是覺得撐這樣
79000	81000	會讓你說真的就是覺得撐這樣
81000	83000	會讓你說真的就是覺得撐這樣
83000	85000	會讓你說真的就是覺得撐這樣
85000	87000	會讓你說真的就是覺得撐這樣
87000	89000	會讓你說真的就是覺得撐這樣
89000	91000	會讓你說真的就是覺得撐這樣
91000	93000	所以推薦給大家 如果你半夜
93000	95000	肚子餓的時候 他會是你的好朋友
95000	97000	不知道大家聽到這個podcast喔
97000	99000	就是這個
99000	101000	可怕的情況解決沒有
101000	103000	就是我們現在在一個 這個時空
103000	105000	是一個沒有FB跟IG的時空
105000	107000	是一個沒有FB跟IG的時空
107000	109000	FB跟IG現在正在大浪跡當中
109000	111000	沒錯 已經大很久了欸
111000	113000	大好幾個小時咯
113000	115000	然後IG會一直那個 你就滑更新
115000	117000	然後它會跑一陣子之後
117000	119000	然後我跟妳說它沒有辦法更新
119000	121400	對 我已經看一張同一張照片了
121400	123000	不好意思
123000	124100	就不要開就好了
124100	126100	我現在非常的焦慮
126100	128300	所以我們就趕快來錄個Podcast
128300	129300	沒錯
129300	131200	今天時間其實也不早了
131200	131900	不早了
131900	133900	是不是因為你一直在重新整理你的IG
133900	134700	有可能
134700	137200	就想說到底什麼時候會修好這樣子
137200	138500	也是剛剛
138500	141100	剛剛雷夢學會了一個很可怕的技能
141100	142000	不知道跟誰學的
142000	144400	我覺得他昨天就有一點端倪
144400	146800	但是那時候我們以為他只是偶發性的
146800	148400	沒有阻止他
148400	150100	好 他學會的事情是
150100	151600	他最近會說
151600	152400	水水
152400	153400	他很愛喝水
153400	154600	對 他會要喝水
154600	156600	他現在的水壺是那種
156600	157900	兩個把手
157900	160100	然後一個粗粗的吸管 軟的那種
160100	161600	然後就是他可以握著把手
161600	163000	然後自己吸這樣子
163000	164300	滿愛喝水的
164300	166400	他會一邊運動 一邊跑
166400	169700	然後一手拿著水 一手吸這樣
169700	171700	他想喝水就會跟我們說水水
171700	173600	我們就拿水水給他
173600	175000	那雷夢一切都很香
175000	178000	他其實已經喝水水喝了一個月有囉
178000	179500	滿認真喝
179500	181300	然後一直到剛剛
181300	183000	他突然發現
183000	184800	他可以把水喝進去之後
184800	186400	吹出來
186400	187600	所以他剛剛跟我說
187600	188200	叫我給他水水
188200	189700	他不是用吹的
189700	190200	不是用吹的
190200	191500	他是嘴巴張開
191500	193300	然後讓水流出來
193300	194600	對
194600	196100	超級莫名其妙的
196100	197400	所以他剛剛就跟我說要水水
197400	197900	我真的跟他
197900	200900	首次發現水可以回去
200900	201400	會流動
201400	202800	可以用另外一個方向
202800	204600	對 然後他就給他水水
204600	205900	他就這樣吸吸吸吸
205900	207400	吸了一大口
207400	208000	然後就
208000	209500	拔掉那個吸管
209500	210500	然後嘴巴就張開
210500	212000	然後就
212000	213000	有沒有流動
213000	215000	他今天晚餐的時候就流了一次
215000	216000	然後我就說不行
216000	217300	你看你衣服都濕掉了
217300	218500	我不給你水水了
218500	221300	他就一直跟我說開
221300	222300	然後後來我又給了他一次
222300	223300	他有喝
223300	224000	那是有喝
224000	225500	對 我就想說
225500	228000	那應該也是偶發性的行為
228000	228800	他剛剛就是這樣
228800	230000	剛剛他就先用一次
230000	231200	我就說你怎麼可以這樣
231200	232500	這樣是濕掉不行
232500	235000	然後就把他的水壺拿走
235000	236100	拿走之後他又
236100	237400	過一陣子他又跟我說要水水
237400	238400	然後我說不行
238400	239400	你一定又是要玩
239400	241400	他又去忙自己的事情
241400	242400	過一陣子又回來
242400	243400	他是有什麼事情
243400	245400	他就在地上跑啊
245400	246400	之類的啊
246400	246900	又回來
246900	248400	他跟我說他要水水
248400	249400	然後我就想說過那麼久了
249400	250400	可能真的要水水
250400	252400	應該是真的要喝水
252400	253400	真的口渴
253400	254400	再給他
254400	255400	他又是很認真的吸一大口
255400	257400	他超狂的耶
257400	258400	他給我蹲在地上
258400	259400	然後咩
259400	261400	然後不是地上就只有一灘水
261400	262400	沒有流在他衣服上
262400	263400	流在地上對不對
263400	264400	他開始狂拍那個水
264400	267400	他找到新的玩水方法了
267400	268400	哇
268400	269400	好可怕
269400	270400	好慘喔
270400	271400	我最近都不知道要不要給他水水
271400	272400	對啊
272400	274400	就不知道他真的口渴
274400	275400	還是說他是怎樣
275400	277400	我們關照他的嘴唇
277400	279400	他嘴唇乾裂了我們再給他水
282400	284400	也是一個指標
284400	285400	很困擾
285400	287400	然後上禮拜一直到今天
287400	288400	我都處在一個不停的
288400	291400	維護我的門牙的狀態
291400	292400	大家都很關心我的門牙
292400	295400	你現在吃飯跟雷夢是同一套耶
295400	296400	真的
296400	297400	沒有
298400	299400	我現在吃飯喔
299400	300400	從頭開始講
300400	302400	上禮拜我們錄完Podcast隔天
302400	304400	那天好像是我爸有來
304400	306400	然後跟我媽已經提前吃飯
306400	308400	然後他們就照顧雷夢跟雷夢一起吃
308400	310400	跟我們說我們晚餐自己解決
310400	312400	所以我們難得可以出去外面吃飯
312400	315400	我們一群人就去吃一個炸串
315400	318400	那個就是大阪那一代的料理
318400	319400	有點像串燒
319400	321400	但是他是拿去炸的
321400	322400	日本料理
322400	324400	因為我的門牙現在是假的門牙狀態
324400	325400	門牙的門牙
325400	326400	假牙的假牙
326400	328400	所以我就特別小心
328400	329400	我就很謹慎
329400	330400	所有東西
330400	331400	我看到覺得硬的
331400	332400	我那時候是這樣
332400	333400	我看到覺得硬的東西
333400	335400	我就先不要吃這樣子
335400	336400	炸串其實有很多選擇
336400	338400	很多蔬菜或什麼
338400	339400	他有很多軟軟的東西
339400	340400	說實在的
340400	341400	我就挑著吃
341400	342400	結果
342400	345400	在我吃炸茄子的時候
345400	347400	是茄子是不是
347400	348400	茄子
348400	349400	是炸茄子
349400	350400	怎麼想都是軟的
350400	351400	軟綿綿的東西的時候
351400	352400	突然我一咬
352400	354400	然後我的門牙就砰一聲
354400	355400	而且那個聲音是大聲的
355400	357400	很大聲
357400	358400	大家都聽得到
358400	360400	我們三個都同時轉頭看你
360400	361400	我以為他咬到竹籤
361400	362400	還是什麼東西
362400	364400	結果我就只咬了茄子本人
364400	366400	那個假門牙就又裂開
366400	367400	我就傻眼
367400	368400	我想說什麼情況
368400	370400	為什麼咬個茄子這樣子
370400	372400	趕快緊急掛了明天的號
372400	373400	要去把它修好這樣子
373400	374400	那個炸串店有個店員
374400	376400	他好像認出我們
376400	377400	他就說他們最近
377400	378400	都在聽我們的Podcast
378400	379400	他離開前
379400	381400	他有一個店員還特別跑過來
381400	382400	跟我分享他的牙齒
382400	383400	他說你那個
383400	384400	門牙也斷過
384400	385400	對
385400	386400	斷過
386400	387400	我之前去做那個
387400	388400	你說應該是什麼陶瓷
388400	389400	什麼東西
389400	390400	對
390400	391400	我說那個不能吃太硬的東西
391400	393400	我之前就吃很硬的東西
393400	394400	然後就又裂開這樣子
394400	395400	對
395400	396400	我說喔
396400	397400	真的
398400	399400	不好意思
399400	400400	我剛吃茄子就裂開
401400	402400	看來炸過的面衣
402400	403400	也算是太硬的東西
404400	406400	然後我隔天就去掛號
406400	408400	就緊急回去把那個修好
408400	409400	那個牙醫也傻眼
409400	411400	想說也太快了吧
411400	412400	馬上就回來了這樣子
412400	414400	然後就把那個牙齒拆下來看
414400	415400	我說
415400	417400	你是吃什麼硬的東西嗎
417400	418400	我說
418400	419400	茄子
419400	420400	超爆軟
420400	421400	超爆軟
421400	422400	牙醫你覺得
422400	423400	你是不是覺得怕丟臉
423400	424400	跟他說茄子
424400	425400	沒有
425400	426400	茄子
426400	427400	那個牙醫就
427400	428400	冷笑一聲
428400	430400	他說你最近還是不要用到門牙
430400	431400	太難了吧
431400	432400	所以
432400	433400	從那個時候開始
433400	434400	對
434400	435400	我吃飯就非常非常的慢
435400	437400	因為我就要像一個
437400	439400	再過幾個月的雷夢
439400	441400	或是再過90年的雷夢這樣子
441400	442400	就是我所有東西
442400	443400	我都要先用剪刀
443400	444400	對
444400	446400	把它剪成入口的大小
446400	448400	對沒想到你家第一個要用食物剪的人
448400	449400	竟然是你
449400	450400	竟然是我的
450400	451400	提前練習
451400	452400	因為我在分析就是
452400	454400	為什麼我那天會把那個牙齒崩斷
454400	456400	因為吃的是茄子
456400	457400	沒有道理
457400	458400	軟的
458400	459400	對
459400	462400	所以我想說應該是用我的下指
