start	end	text
0	30000	哈囉 大家好 歡迎來到好味小姐開束 carbohyd
30000	31900	對 因為大家都已經出了你知道嗎
31900	33200	大家就有點就想說
33200	34700	今年好味會不會出呢
34700	36600	所以我們是拖最晚的嗎
36600	37100	對
37100	38900	欸其實我們每年都是十月上啊
38900	39700	我們就沒有覺得自己比較晚啊
39700	41000	我們每年都是拖最晚的嗎
41000	41900	我們每年都是拖最晚的嗎
41900	43500	今天已經比去年還要早了捏
43500	45100	早了兩個禮拜
45100	47400	我記得去年好像是十月中才上
47400	49400	我們今年大概早了一個多禮拜就上了
49400	51400	我們大家要這麼早買明年的年曆啊
51400	52700	我怎麼知道欸
52700	54200	迫不及待 買回去又不能用
54200	55000	還有三個月欸
55000	56600	還有三個月
56600	57600	對啊 放著幹嘛
57600	58400	我不曉得
58400	60500	就是大家都很早開始這一場廝殺
60500	62000	但我們每次都是最晚一個
62000	63100	就好像悠悠哉哉的這樣
63100	63700	所以我們要提早
63700	66200	就要現在開始賣2023年的
66200	67500	直接跳過一年
67500	68300	好有想法喔
68300	70100	好認知喔
70100	71800	嘿 總而言之我們
71800	74500	大家敲手以盼的週曆終於來了
74500	76700	我覺得這次我自己最喜歡的一個特色
76700	78500	就是我們上次每一張小考上面
78500	80300	都多了一個插圖
80300	80800	喔
80800	81900	超可愛的欸
81900	83600	我覺得我們那個好味的插畫
83600	84700	是太了不起了
84700	85900	就是我們每一張
85900	86600	每個月份
86600	86900	對
86900	87700	上面都會有一個
87700	88400	貓在睡
88400	89300	睡覺的小插圖
89300	91000	因為我們這次的主題是貓睡覺
91000	91500	對
91500	93100	然後呢上面那個插圖
93100	94300	六個月一組
94300	96700	然後六隻貓會剛好在不同的位置
96700	98300	有像標籤頁的標籤那樣子
98300	98800	喔
98800	99300	對對對
99300	100000	不管怎麼抽換
100000	101700	他們都會完整的露在外面這樣子
101700	102900	對 你就會看起來
102900	105700	我們家難得六隻貓齊居一堂的樣子
105700	106300	喔
106300	107200	當然我們這次這個
107200	108800	2022年好味貓週曆
108800	109900	其實不是要拿來賣
109900	111400	主要還是想要送給大家啦
111400	112000	好不好
112000	113300	那你只要在好味商店呢
113300	114500	消費滿1200元
114500	116000	週曆就會送給你喔
116000	118100	那當然也是有提供單買的部分
118100	119700	所以我真的覺得很可愛
119700	121200	如果你也有心動的話
121200	123100	我們會把資訊放在資訊欄裡面
123100	124600	大家可以點進去看看喔
124600	128800	好 今天是10月11號連假的最後一天
128800	130100	我們就開始工作了
130100	130700	沒有錯
130700	132100	嗯 非常的
132100	132900	Good night
132900	135700	但是其實10月11號也只剩下最後10分鐘了
135700	136300	對 對 對
136300	137300	所以其實我們可以說是
137300	139300	我們是就是連假過完才開始工作
139300	140200	嘿嘿嘿
140200	141100	可以嗎 大概的感覺
141100	143200	然後呢這個整個連假呢
143200	144700	我們就只忙了一件事情
144700	147000	我覺得你們很精實的過了這個連假
147000	148700	超多精實
148700	149100	超多的
149100	150100	必須
150100	152000	我覺得我未來一個月都再也不會說
152000	153000	你們很廢了
153000	153700	喔 真的嗎
153700	155000	真的 湧出滿滿的敬意
155000	157000	只能維持一個月嗎
157000	158300	我覺得可以
158300	161200	好 我們這個週末執行了一個
161200	163400	已經籌備了兩三個月的計畫
163400	164300	對 對 對
164300	164900	就是我們
164900	165800	其實不是我們
165800	167100	我跟宥偉帆
167100	168100	還有富二代 富二代比
168100	168900	還有我弟
168900	169400	對
169400	170200	對 我們
170200	171300	五位男士
171300	173000	騎腳踏車去日月潭
173000	173800	從台中
173800	175100	從我們家出發
175100	176600	平地出發
177000	178300	騎腳踏車去日月潭
178300	179300	這樣子一個計畫
179300	179600	對
179600	181500	就是大家可能沒有概念
181500	182200	就是呢
182200	183700	從台中
183700	185000	騎腳踏車到日月潭
185000	185900	全長
185900	186900	幾公里啊
186900	188400	78到80
188400	189100	大概80公里左右
189100	191000	大家就想說從台中到南投
191000	192700	好像還好一個縣市而已啊
192700	193900	沒有 但是對騎腳踏車來說
193900	194900	大概80公里
194900	195200	80公里
195200	196100	但是80公里
196100	198400	對真的很認真在騎腳踏車的人來說
198400	199400	也不算太遠
199400	200000	喔 是喔
200000	201300	但是重點是呢
201300	203600	它的上下這個海拔的坡度
203600	204400	900多
204400	205100	960啊
205100	205800	960公尺
205800	206900	快1000公尺這樣子
207000	208600	是一個很陡的高度嗎
