start	end	text
0	2000	大家好 我是傑尼斯大段
2000	4000	大家好 我是尼森帆
4000	6000	好 本集有預錄的廣告喔
6000	9000	本集節目由星光三月贊助播出
9000	12000	百貨年度購物盛會 星光三月週年慶來囉
12000	14000	我唸這個就很像那個
14000	16000	你去逛週年慶 在逛花車的時候
16000	18000	上面就會一直有那個重複的廣播有沒有
18000	20000	北部最強檔 台北星營
20000	22000	台北最強檔 台北星營
22000	24000	台北最強檔 台北星營
24000	26000	台北最強檔 台北星營
26000	28000	台北最強檔 台北星營
28000	30000	北部最強檔 台北星營
30000	33000	新天地週年慶 10月21號將隆重登場
33000	35000	化妝品單品滿2000 送200
35000	37000	圈關累積滿5000 送500
37000	39000	貴賓卡可以獨享更多優惠喔
39000	41000	大家可以把握這次五倍券的專屬回饋
41000	43000	那趁週年慶的時候呢
43000	45000	可以放大手中的五倍券
45000	47000	那如果你逛完以後發現
47000	49000	有些東西沒買到
49000	51000	還想再買 沒關係 好不好
51000	53000	他們現在可以回家上網網購
53000	55000	網購也算週年慶
55000	56000	對 超萌的
56000	58000	星光三月SKM online的
58000	60000	週年慶也是24小時不打烊
60000	62000	我今天在念那個稿的時候啊
62000	64000	那個滿2000 送200
64000	65000	滿什麼什麼送多少
65000	66000	我之前有一段時間不是說過
66000	68000	我在百貨公司打工嗎
68000	70000	然後就一直很佩服其他姐姐們
70000	71000	為什麼有辦法背
71000	72000	這麼這麼多不同的優惠
72000	73000	你知道他們每一層
73000	74000	有不同的優惠
74000	75000	就是比如說女裝
75000	77000	他自己有一個滿多少送多少
77000	79000	然後姐姐他們全部都會記得耶
79000	80000	然後我們就是
80000	81000	有週年慶的時候
81000	83000	我們就收到一個叫戰守則有沒有
83000	85000	他就跟你說不同的信用卡
85000	86000	不同的樓層
86000	87000	還有各式各樣的優惠
87000	88000	什麼什麼之類的
88000	89000	不同的信用卡
89000	90000	也會有不同的折扣嗎
90000	91000	對 對
91000	93000	好像我被這樣搭配這個優惠
93000	94000	之類的
94000	95000	然後還有什麼你的
95000	96000	你如果有會員卡
96000	98000	會員卡就自己有一個累積的
98000	99000	什麼鬼的
99000	100000	然後你就要記得
100000	101000	然後那個早上
101000	103000	我們不是有時候固定會有晨會嗎
103000	104000	我就會很緊張
104000	106000	因為我剛好遇過一次週年慶
106000	107000	然後晨會的時候
107000	109000	我就看姐姐他們一直在念念有詞
109000	110000	因為我就是菜逼吧
110000	111000	我就不知道他們在幹嘛
111000	112000	你知道嗎
112000	114000	我昨天才拿到那個優惠的那個單子
114000	115000	然後我在想說
115000	116000	我就把它貼在桌上好了
116000	117000	這樣才不會忘記
117000	118000	結果我就會
118000	119000	就發現那個樓管
119000	120000	就晨會開完以後
120000	121000	我就說
121000	122000	好 接下來是週年慶
122000	124000	大家應該知道這是非常時刻吧
124000	125000	然後就突然點了一個姐姐說
125000	126000	你記得
126000	128000	哪一哪一哪一家的卡
128000	130000	它滿多少送多少嗎
130000	131000	我想哇靠
131000	133000	沒有人告訴我
133000	135000	對
135000	136000	我覺得那些姐姐們
136000	138000	早知喜半島走進來的時候
138000	139000	誰當小靠
139000	140000	對啊
140000	141000	我就傻眼
141000	142000	還有後來沒有抽到我
142000	145000	所以我都非常佩服這些那種貴姐們
145000	146000	貴多貴姐們
146000	148000	你們的腦子實在是太好使了
148000	149000	好啦
149000	150000	那星光三月呢
150000	152000	這次有給我們專屬的那個優惠折扣
152000	156000	那你從10月19號到10月27號到SKL online
156000	158000	就他們的線上消費的話
158000	160000	你輸入專屬的折扣碼
160000	162000	一樣也是個Lady100
162000	163000	很好
163000	164000	我們都是這個邏輯
164000	165000	折100吧
165000	166000	對折100
166000	167000	那滿2000的話呢
167000	168000	就能再折100塊
168000	169000	那其他更多的活動內容
169000	171000	大家就可以參考我們的資訊欄內文喔
171000	174000	可以到星光三月看看更多的優惠吧
174000	175000	好
175000	176000	今天這一集呢
176000	178000	大家可能會覺得我講話聲音很奇怪
178000	181000	因為我在不久前的大概幾個小時前
181000	184000	我很用力的把我的嘴巴咬破一個洞
184000	185000	我現在就是講話的時候
185000	186000	牙齒會刮到嘴唇
186000	189000	所以我今天一整個晚上都有點大河頭
189000	190000	然後一整天都含爐蛋就對了
190000	191000	沒錯
191000	192000	剛剛齁
192000	193000	剛剛我
193000	194000	我們要來錄Podcast嘛
194000	196000	然後我進來之後呢
196000	197000	進到我們錄的地方
197000	198000	我想說啊
198000	199000	我手機沒帶
199000	201000	那我要去拿手機
201000	202000	然後我就走回去
202000	204000	走回去的時候突然尿急
204000	205000	就尿個尿
205000	207000	然後我就再走回來
207000	208000	進來就啊
208000	209000	我忘了拿手機
209000	210000	我忘了拿手機
210000	211000	粗老
211000	212000	超誇張的
212000	213000	就是粗老
213000	214000	對
214000	215000	他以後就是帶他女兒去逛街之後
215000	217000	上個廁所然後就回家
217000	218000	這種事情就是這類的
218000	219000	就是走到一半
219000	221000	然後忘記要幹嘛這種事情
221000	222000	真的就是在
222000	223000	我有印象以來
223000	225000	就是在30歲之後才慢慢出現的
225000	227000	就是很頻繁的出現
227000	228000	我超常這樣子的
228000	229000	我現在就覺得有點恐慌
229000	231000	我現在還有那種就是
231000	232000	去尿完尿之後
232000	233000	然後就出來
233000	235000	然後就忘記我剛剛是從哪裡來的
236000	237000	太誇張了吧
237000	239000	就是我尿完尿從廁所出來之後
239000	241000	我要決定我要往哪裡去嘛
241000	244000	那我剛剛是從辦公室來的呢
244000	246000	還是是從廚房來的呢
246000	247000	還是從客廳來的呢
