start	end	text
0	7420	哈嘍 大家好 歡迎來到好味小姐開束
7420	9280	我還你原型 我是翠翠
9280	10280	大家好 我是簡宜詩阿段
10280	11280	大家好 我是林聖凡
11280	13240	嘿 本集呢 沒有乾爹
13240	15880	但是我們想一想 欸 好像可以來預告一下
15880	17280	喔 為什麼沒有乾爹呢
17280	17720	為什麼
17720	20840	想必是因為啊 我們原本在這個時候
20840	23360	有排了我們自己想要講的東西
23360	25440	我們自己這個時候本來要出個產品什麼之類的
25440	27000	特地空下來的
27000	28500	但是延誤了
28500	30140	延到不知道哪去了
30140	31300	所以這天就空下來
31300	33620	但是可以稍微透露大家一下
33620	36860	我們接下來要的一些出的新品跟計畫
36860	38780	乾脆我們先來做個預告
38780	40820	對 我們大概在計畫中
40820	42940	11月初 馬上就要來的東西
42940	45140	我們會推出我們的好味貓凍桿
45140	47820	對 這個我們真的已經化修很久了
47820	48820	真的很抱歉
48820	50820	在半年前做過一個
50820	53620	在我們的社團做過四次的活動
53620	56500	高達96%以上的貓咪都很喜歡吃
56500	58460	沒錯 大受好評
58460	58480	大受好評
58480	59920	然後時不時就來私訊
59920	61600	嘿 到底什麼時候要出
61600	63520	快了快了
63520	64280	11月中
64280	66160	對 我們就要上架了好不好
66160	68840	接下來我們營養師品萱的品牌
68840	71360	會推出一個這個奶茶包
71360	72760	嘿 我很期待
72760	73920	因為要冬天了
73920	75440	然後我是一個沖泡人
75440	77760	就是冬天很愛沖泡各種東西來喝的人
77760	79680	所以我萬分的期待這個
79680	81560	理論上應該會在12月中
81560	83160	沒有意外的話
83160	84200	在天氣很冷的時候
84200	85760	各種打印方針
85760	87200	我們這個奶茶包
87200	88440	因為是營養師的品牌
88440	90400	我們就一直覺得奶茶包太甜
90400	92280	我們之前有開箱過
92280	93760	每個都覺得甜到一個不行
93760	94280	甜到不行
94280	95800	對 拍完全不糖暈
95800	96720	我們原本計劃
96720	98240	我們乾脆我們就不放糖
98240	98840	沒錯
98840	99320	就不放糖
99320	100760	然後我們用天然的奶粉
100760	101080	對
101080	102320	奶粉一點點甜味就好
102320	103800	就是奶粉本身的乳糖
103800	104160	對
104160	104440	再甜
104440	105280	宣言覺得不錯
105280	106200	我們就都不要放糖
106200	107560	都不要
107560	109200	我們之後樣品打出來
109200	109840	我們自己泡來喝
109840	111040	覺得喔 還不錯
111040	112480	對 我也覺得還不錯
112480	114240	然後就給我們公司美眉喝
114240	116560	美眉多說難喝了唷
116560	118280	欸 現在美眉趁勢
118280	119080	口味很重欸
119080	120320	對啊 一年輕人
120320	122040	真的很不愛惜自己的身體
122040	123120	對啊 老了就知道
123120	123400	對啊
123400	124360	沒味道
124360	125280	對啊
125280	125920	然後
125920	127000	所以我們在這個
127000	129160	我們的價值觀的衝突之下
129160	130960	沒錯 做了一點點的妥協
130960	133000	決定我們最後成品的奶茶包
133000	135200	我們還會每一個附一包糖包
135200	136200	一小包糖
136200	137680	但是我們也給你們很少糖
137680	139520	很少 對
139520	141040	讓你加了之後覺得
141040	142480	好像有一點甜味
142480	142880	對
142880	144440	欸 但是就算整包加下去
144440	146320	欸 也是比一般的不甜很多
146320	147200	欸 大概這個感覺
147200	148240	一個微糖的感覺
148240	149800	接下來大概到12月底的時候
149800	150560	嘿
150560	151600	我們差不多要過年了嘛
151600	152800	嘿 就會推出我們
152800	154600	每年固定的好味貓年菜
154600	155400	對
155400	156920	然後今年比較特別
156920	159600	今年還有品萱也會出過年禮盒
159600	160520	喔 營養飾品
160520	162000	會出一個人的過年的禮盒
162000	164000	所以今年人跟貓都有得吃
164000	164360	嘿
164360	166160	可以直接一起帶回家
166160	166680	大概這個感覺
166680	167240	很棒
167240	167680	好
167680	168480	好 預告結束
168480	170320	希望到時候都能夠如期的完成
172000	173680	都在進行中了啦
173680	175240	會啦 會如期啦
175240	176120	對 然後呢
176120	177400	現在的時間非常厲害
177400	177880	嗯
177880	178960	嚇死你們
178960	180040	對 11月2號
180040	181040	星期二
181040	182200	下午3點
182200	183480	莫名其妙
183480	184880	在天還是亮著的時候
184880	185720	對
185720	187320	光天白日都好妙
187320	188800	天已經亮了
188800	190560	喔 已經亮了的時候
190560	192160	對 因為我們今天早上有客人
192160	194480	太陽這麼大錄Podcast好沒有安全感喔
194480	196720	覺得沒有被黑暗包裹的感覺很奇怪
196720	197200	欸 對
197200	198360	因為我們今天早上有客人
198360	199120	對 對 對
199120	200680	所以說我們昨天晚上想說
200680	201320	不要太晚睡
201320	202040	不要太晚睡
202040	202480	對
202480	203800	等於早上爬過起來精神不好
203800	205080	滿臉憔悴這樣
205080	206200	跟對方一起合作的時候
206200	207840	還就是一直打哈欠很失禮
207880	208760	對 對 對
208760	210160	結果你昨天幾點睡
210160	211640	嗯 快4點
211640	212200	喔
212200	212640	嗯
212640	213720	我5點半左右
213720	215080	哈哈哈哈
215080	215720	下不醒欸
215720	216920	你幹嘛那麼晚睡啊
216920	217920	睡不著啊
217920	219920	你是怕早上要早起睡不著是不是
219920	220920	對啊 我還想說
220920	221520	因為我
221520	223440	我在每次錄Podcast剪完的時候
223440	223840	欸
223840	225760	我就會發一下我自己的IG
225760	226240	對對對
226240	227920	就說 喔Podcast剪到幾點啊
227920	228360	對對對
228360	229160	然後昨天我想說
229160	230760	啊 今天可能會延後
230760	231080	嘿
231080	232240	所以我還發了一個IG
232240	233880	有喔 看到 呼呼的照片嘛
233880	234640	4點的時候
234640	235800	對 莫名其妙
235800	237480	發了一個IG說 欸 今天
237480	238440	說要早睡
238440	239240	早點睡
239240	240960	可能一整4點說要準備要睡
240960	241480	嗯 對
241480	242400	底下的留言都說
242400	243600	你在跟我開玩笑嗎
243600	245480	現在這個時間算早睡
245480	245880	對
245880	246920	然後在0點5點半的時候
246920	247800	我就看了一下留言
247800	249000	說早了 早了睡不著
249000	250920	哈哈哈哈
250920	251280	對
251280	251840	行欸
251840	252760	我是睡前的時候
252760	254600	還拍了一小段影片
254600	254840	喔
254840	255840	之後的影片
255840	257760	對 所以我又也是晚睡了
257760	258280	喔
258280	259320	但是我們今天都
259320	260480	比客人還要
260480	262000	早到的時間我們就起床了
262000	262400	沒錯
262400	263200	裝點好
263200	264120	嘿 非常認真
264120	265560	對 在門口迎接
265560	267000	嘿 消防班很擔心
267000	269000	早上起床來打電話沒人說
269000	270680	哈哈哈哈
270680	271960	對 他就默默走進來說
271960	273440	那個 翠翠你醒了嗎
273440	274400	我說我醒了
274400	275520	那時候我已經坐起來了
275520	276800	喔唷
276800	277720	非常感人
277720	279040	所以我們現在雖然是在早上
279040	279520	對
279520	280960	但是我們的頭腦的狀況
280960	282160	我只能說微ㄎㄧㄤ
282160	283760	是一個熬夜的感覺
283760	285000	對 對 對 對
285000	286200	睡眠不足的感覺
286200	287000	微ㄎㄧㄤ
287000	288440	然後我之前看帕克斯的留言
288440	288880	嗯
288880	289840	有一則留言講到說
289840	291680	因為我之前聊過我爺爺奶奶的事情
291680	292120	嗯
292120	293960	就很想到她阿公以前都會買那些
293960	295440	網路上的藥什麼之類
295440	295960	喔
295960	296840	聽廣播嗎
296840	297080	對 對 對
297080	298280	因為我有講到那個嘛
298280	300560	聽電台然後看大神這件事情
300560	301000	對
301000	302400	就很提到說她阿公也是聽電台
302400	303000	然後買很多藥
303000	304240	跟家裡的人吵架什麼
304240	304680	喔
304680	306720	我之前要去買雷蒙的尿布的時候
306720	307760	經過一間藥局
307760	308640	然後我就問他說
308640	309760	為什麼這個藥局上面
309760	311760	還寫一個超級大紅色的字
311760	313440	寫什麼電台指定
313440	314160	喔 對啊
314160	315320	我就不知道那是什麼意思
315320	316200	我就沒看過啊
316200	318200	喔 所以你在北部
318200	318640	我沒有看過欸
318640	319440	新竹沒看過
319440	320120	沒看過
320120	320800	我就覺得
320800	322280	為什麼還要寫什麼電台指定
322280	323760	他們是有什麼合作關係
323760	324280	還是有業配嗎
324280	325520	他有一個指定通路啊
325520	325920	對啊
325920	326200	喔是這樣喔
326200	327480	你可以跟電台訂藥
327480	328480	然後去那邊拿
328480	328920	好酷喔
328920	329680	或是電台會跟你說
329680	331600	他們藥在哪一間藥局買得到
331600	332520	喔是這樣喔
332520	333080	對
333080	334200	很猛的
334200	335880	那你阿公買藥很方便欸
335880	337120	就在我們家附近欸
337120	338040	欸對
338040	338800	我那時候說
338800	340960	我阿公不是在我們家大掃除的時候
340960	342120	聽收音機聽很大聲
342120	342640	對 對 對
342640	344200	然後跟我弟吵架這樣子
344200	345080	然後他那個時候
345080	346960	其實就是在聽電台的廣告
346960	347880	喔
347880	350040	他們那個地下電台
350040	351800	都不是廣告這麼簡單
351800	352760	他有很多
352760	353800	其實我覺得跟現在
353800	355520	我們大家流行的東西是有
355520	356200	相結合的
356200	356600	你知道嗎
356600	357200	是嗎
357200	357880	嘿
357880	359040	你有認真聽過嗎
359040	360080	阿我阿公在那邊聽
360080	361480	他覺得我阿公在聽的時候
361480	362680	全家都聽得到了嘛
362680	363320	喔
363320	363600	好
363600	364040	他有很多
364040	364960	比如像是
364960	367080	現在的一些直播節目
367080	367600	嗯
367600	368320	就是
368320	369280	唱歌
369280	369960	他會唱歌
369960	370200	對
370200	370800	唱歌
370800	371160	欸
371160	371960	唱歌幹嘛
371960	372360	很等調
372360	373080	他是唱歌
373080	374960	比如說主持人開場的時候
374960	376360	主持人就先唱一首歌
376360	376720	欸
376720	379080	你聽的人可以call in進去
379080	380680	call in
380680	381840	call in進去唱歌
381840	382960	嘿
382960	384960	好符合阿公阿嬤的需求
384960	385640	對
385640	386160	欸
386200	387200	the 超熱烈
387200	387800	很創新欸
387800	388480	像我阿公
388480	389520	就有人call in進去
389520	391000	然後唱日文歌什麼的
391000	392840	我阿公就會跟著在那邊唱這樣子
392840	393720	好酷喔
393720	394480	然後還有的是
394480	394680	嗯
394680	396240	有點像廣播劇
396240	396680	嗯
396680	398480	他就是每天連載
398480	399320	喔講故事嗎
399320	400240	一個劇情這樣子
400240	402880	他都是找一些就是黏著度很高的事情
402880	403320	在做欸
403320	404800	對所以你一定要一直跟著聽嘛
404800	406200	然後講一段之後呢
406200	407720	他就開始進入他賣妖的環節
407720	408680	然後我阿公那時候
408680	409960	他聽的那個妖
409960	411000	我印象很深刻
411000	411440	嗯
411440	412840	因為他
412840	413960	不太普通
413960	415000	不太普通
415000	415680	通常喔
415680	417200	你阿公就不做普通的事
417200	417600	對
417600	419400	通常那種老人家賣妖
419400	419800	嗯
419800	420720	像我阿公愛聽的啦
420720	421120	嗯
421120	422840	我覺得大概有三大走向
422840	423560	嗯
423560	424480	第一種是
424480	426520	你說妖的屬性有三大類是不是
426520	426840	ok
