start	end	text
0	30000	哈囉 大家好 歡迎來到好味小姐開束 훨
30000	60000	
60000	65440	我們一起試用 試用完之後我就跟我們的企劃說接 非常的滿意
65440	66440	喔
66440	68440	好煩喔
70040	72880	我不管 我會自顧自的把它講完
72880	77960	好 那古木木他們家那個吸血內褲呢 其實是有獨家專利的那個販摺邊工法
77960	83000	就是他的內褲的薄邊是販摺進去的 這樣就可以防止經血滲到那個車縫間外面
83000	86280	保護你的褲子 懂懂懂 喔 是不是聽不懂 懂欸
86280	89200	然後呢 他們的內褲底褲呢 其實總共有三層
89200	92560	首先第一層就是親膚層嘛 就是靠近你身體那一層
92560	95840	那可以抑郁減少異味 那第二層呢 就是吸收層
95840	101000	他的吸收量 我蠻意外的蠻多的欸 是那個大概三片一般日用衛生棉的量
101000	104320	三片蠻驚人的欸 因為一個女生大概四個小時
104320	107080	兩到四個小時換一片 這樣就頂一個工作天欸
107080	110720	欸 真的假的 對 我覺得很誇張
110720	114360	喔 真的假的 好創新的反應喔 等一下也要來
114360	118120	好 第三層最外層呢 是防水透濕膜
118120	119120	喔 它是用一個
119120	123120	小於0.05mm的機能透氣薄膜 喔
123120	126040	超透氣 不會悶 又可以阻絕液體露出
126040	129560	喔 真的假的 人家又哭了
129560	132200	但是我自己認真用了三個月呢 真的就覺得很棒
132200	134360	所以才就是來這邊推薦給大家
134360	137160	那其實因為每個人身體血量不太一樣的關係啊
137160	139360	所以你可以自己斟酌你要怎麼用它
139360	142080	那我自己是頭三天的時候 因為我量會比較多一點
142080	145600	所以我就會洗洗內褲 然後搭配衛生棉一起用
145600	147680	那有時候呢 就是睡覺的時候
147680	148040	就算它不小心超過我棉片的時候呢
148040	150160	就算它不小心超過我棉片的位置
150160	152080	還是會被內褲接住 喔 真的假的
152080	153440	欸我用過一次 多一個保險這樣子
153440	155760	對對對 用過一次就驚為天人
155760	157640	因為睡覺真的很難捉摸
157640	160880	尤其是我睡覺就是不是那麼好 會很會煩
160880	162600	對我就覺得這個真的超棒的
162600	164960	然後後三天 因為我是屬於後三天量比較少的
164960	166880	我就會只穿內褲
166880	168600	第一次用的時候很擔心
168600	171480	就會一直忍不住想要去廁所看 就是觀察
171480	174280	有沒有弄到衣服弄到褲子什麼之類的
174280	176600	到第二個月之後我就發現三個月下來
176600	178040	完全沒有任何的悲劇發生了
178040	180080	就是接好接滿
180080	181520	而且很多女生會在意那種
181520	183720	可能生理期會有一個悶悶的味道啊
183720	186320	就是我覺得穿下來也不太有什麼血的味道
186320	187560	蠻透氣的
187560	188760	認真分享給大家
188760	189920	那清洗就很方便嘛
189920	190960	就跟一般洗內褲一樣
190960	193960	就是輕輕搓揉 然後用清水沖洗就可以了
193960	195320	然後我覺得額外的好處是
195320	197320	他沒有講到 然後我自己發現的
197320	199360	就是布料乾得很快
199360	201120	我覺得以女生生理期的內褲來說
201120	202320	這個應該非常棒
202320	205040	然後又減少了很多衛生棉的垃圾
205040	207800	目前我跟他老婆已經是愛用者
207800	208040	分享給大家看
208040	209880	好 那古木木他們呢
209880	210920	也有給我們優惠碼喔
210920	212040	所以大家只要在結帳的時候
212040	214880	輸入LADY80就可以折抵80元
214880	216400	相關資訊我們會放資訊欄裡面
216400	217680	大家點進去看看喔
217680	220840	好 今天這集要廢話不多說
220840	223440	我們從一個留言開始
223440	226040	對 這個是我上個禮拜結了
226040	227800	後來沒有念到一個留言
227800	229040	為什麼沒有念到呢
229040	231640	因為我覺得這個主題實在是太值得
231640	233840	我們好好來說到說到
233840	235880	這個事情太嚴重了
235880	236920	不是說在留言的階段
236920	237800	然後隨便一兩句話
237800	238640	帶過就可以
238640	240040	沒錯 不行
240040	244760	必須要被重視的好好念出來
244760	246120	你是不是有點瑟瑟
246120	247680	因為你不知道什麼事對不對
247680	249680	好 我要來念這則留言了
249680	250960	這則是上個禮拜貼文
250960	252480	那個YT貼文裡面的留言
252480	254520	他叫蘇C張
254520	256080	然後他這是在講我們那個啦
256080	258840	就是早上起床暗鬧鐘的那一集的留言
258840	259960	他就說說到起床
259960	263360	想跟大家分享一個大學室友的起床經歷
263360	264600	那時是大一
264600	266280	所以大家都互相超不熟
266280	266560	然後他們是五個人一起去睡覺的那一集的留言
266560	267560	然後他們是五個人一起去睡覺的那一集的留言
267560	267800	然後他們是五個人一起去睡覺的那一集的留言
267800	269720	睡在一個八人間
269720	270560	那這個室友呢
270560	273640	他每天早上都會訂一個大概六點就開始叫的鬧鐘
273640	274240	六點喔
274240	274800	六點
274800	275320	六點
275320	276680	早八的課訂個六點
276680	277680	我也是不懂
277680	278480	這麼早要幹嘛
278480	279960	要起來運動喔
279960	282200	對 反正他就訂一個超級早的鬧鐘
282200	284280	然後他會一直磨磨蹭蹭到八九點
284280	286360	然後那鬧鐘就會一直重複的響
286360	287400	你說他
287400	288240	訂六點
288240	288680	對
288680	289640	是因為他
289640	292200	覺得他自己八九點才會起來
292200	292680	哇
292680	295600	所以他就訂一個六點的鬧鐘
295600	296760	然後他說
296760	297400	常常有時候會說
297400	299920	會誇張到他第一小節的課已經上完回來
299920	301560	那個人還沒有起床
301560	302760	所以鬧鐘還在響
302760	303360	還在響
303360	303760	哇
303760	304680	沒錯
304680	306280	然後常常是他們所有的人啊
306280	307120	都已經被吵醒
307120	308240	然後互相面面相覷
308240	309160	不知道怎麼辦的時候
309160	310400	那個女生還沒有醒
310400	310760	哇
310760	312840	他說最誇張的是有一天早上
312840	314600	他鬧鐘已經響了持續喔
314600	316080	大概一個多小時之後
316080	316400	哇
316400	317880	然後他們室友已經放棄了
317880	319080	我覺得應該是習慣了
319080	321080	然後就迷迷糊糊決定要接著睡
321080	321400	哇
321400	322840	我覺得也是蠻猛的
322840	324160	這時候呢有一個人
324160	325960	他說不是他們房間的一個女生
325960	326320	對
326320	327400	突然超大力的
327400	329080	一推開他們的房門衝進屋裡面
329080	330240	然後對著他室友大叫
330240	332400	你給我起床
332400	333880	為什麼要念這則留言呢
333880	335880	因為我們這個行為實在是太過分了
335880	336440	太過分了
336440	337280	太可惡了
337280	339520	我非常可以同情這個人
339520	339960	對
339960	340440	沒錯
340440	342840	他的其他四個室友都非常的慘
342840	343280	沒錯
343280	344160	日子都沒法過
344160	345800	怎麼會有人這麼沒有道德
345800	346680	這麼沒有道義
346680	347680	這麼沒有良心
347680	348120	對啊
348120	348920	老人親夢
348920	349800	結果他要睡覺
349800	351120	結果他不用睡覺
351120	352120	對啊
352120	353840	劉海寬你覺得
353840	354760	你覺得呢
354760	356080	我覺得這種未雨綢繆
356080	357200	跟把大家叫起床
357200	357360	是
357360	360320	非常值得珍惜
360320	361080	好我要來跟大家講
361080	362320	到底發生什麼事情
362320	363520	人生共憤的事情
363520	364720	上個禮拜二
364720	366080	應該是禮拜二了
366080	367280	那天應該是我
367280	368840	錄Podcast那一天
368840	369480	所以那天晚上我要剪Podcast
369480	370680	大夜很晚睡
370680	371040	對對對
371040	372280	我要剪Podcast
372280	373760	那天應該就是翠翠跟內蒙睡
373760	374320	對對對
374320	375640	那我就是好不容易剪完Podcast
375640	377320	早上六七點
377320	378040	我就去睡覺了
378040	379000	對
379000	379840	睡睡睡
379840	381400	睡到早上十點的時候
381400	382240	差不多
382240	383960	然後我就隱隱約約的
383960	384800	聽到那個
384800	386040	Apple的鬧鐘的聲音
386040	387160	Apple鬧鐘的聲音是
