start	end	text
0	30000	哈囉 大家好 歡迎來到好味小姐開束CUBE
30000	32000	愈長也愈來愈健康
32000	33000	喔
33000	35300	唉 我覺得我這一類的詞念愈來愈好了
35300	35800	嗯
35800	37000	很棒 好
37000	39600	那其實我覺得女生的頭髮真的是要滿認真保養
39600	41300	因為如果你有時候太毛躁
41300	43700	你就會覺得今天看起來精神很差
43700	44000	喔
44000	46200	或者是覺得最近是不是氣色不太好
46200	46700	嗯 對不對
46700	47500	尤其是光澤
47500	49700	就是沒有光澤看起來就很亂亂的
49700	52200	那我自己比較明顯覺得我髮質比較差
52200	54100	可能是在我懷孕後期吧
54100	54400	嗯
54400	55700	還有剛生完那個雷夢的時候
55700	58100	我是不是有跟你講說我覺得頭髮很粗
58100	58400	喔
58400	58900	然後會有一種
58900	59900	分差很多
59900	61900	對 然後會掉髮什麼之類的
61900	63700	洗頭的時候都覺得很焦慮這樣
63700	64100	嗯
64100	67000	對 那段時間我就覺得頭髮看起來毛毛躁躁的
67000	68600	然後這次要跟大家分享這個
68600	71000	Plantool 21 營養與咖啡因洗髮露呢
71000	72000	嘿
72000	74700	非常適合這個階段的年輕女生
74700	76400	那他說這個咖啡因複合物
76400	78400	會讓頭髮強韌有彈性
78400	79500	搭配護髮素
79500	81300	可以讓頭髮柔順不打結
81300	82300	那他還有一個另外一個
82300	83500	他這個系列第三品就是
83500	85000	如果你沒有天天洗頭
85000	85400	嗯
85400	86300	然後也不用擔心
86300	87900	因為他可以保養你的頭皮
87900	89200	用他們的Plantool 21
89200	89800	頭皮護理
89800	90700	精華露
90700	91200	喔
91200	93700	沒有天天洗頭都考慮進去了
93700	95200	對
95200	97000	全部都照顧到就對了
97000	98300	所以他就是你出門前啊
98300	98900	或是睡覺前
98900	101300	就像我們平常會幫臉上保養品一樣
101300	101600	嗯
101600	103100	對 你就用他的那個精華露
103100	103900	塗在頭皮上
103900	105300	然後按摩這樣子
105300	105600	喔
105600	106800	那你的頭皮呢
106800	107200	健康
107200	108400	你的頭髮就會健康
108400	108600	嗯
108600	109900	那我覺得他這個還蠻好用的
109900	111700	他是有點像筆狀的
111700	113100	所以可以直接督上去這樣子
113100	114600	一條一條一條這樣劃
114600	115200	喔
115200	116000	超好用
116000	116800	我用了以後覺得
116800	117200	欸
117200	118700	很清爽而且不會黏黏的
118700	119700	而且還不用洗頭
