start	end	text
0	30000	哈囉 大家好 歡迎來到好味小姐開束ffffff
30000	35760	年紀還有想要投保的方案進行保險試算完全可以針對個人需求選擇投保內容
35760	41560	接著準備好寵物登記證信用卡還有貓孩的生日不到5分鐘即可投保完畢真的很方便喔
41560	46940	我記得以前呢都是一定要跟業務員然後約到家裡然後投保然後看一大堆的單子
46940	49660	沒有想到現在連網路上就可以超方便的投保
49660	52900	而且我們一直都有跟大家說啊就是你一定要記得存一筆錢
52900	57760	免得貓咪如果有一些生病或是不舒服的話你就拿不出錢去看醫生很辛苦
57760	59380	就是看醫生是一筆很大的開銷
59380	64940	我印象最深刻是有一次好像是Deco有一天早上莫名其妙
64940	66220	突然那個菸嗓
66220	69140	對他就突然就是聲音變成沙啞
69140	71620	沙啞就算了重點是他那天就不吃飯
71620	73920	然後不吃飯呢是一個警訊
73920	75120	就對貓咪來說
75120	76520	就好像就是身體真的不舒服
76520	78180	他才會不想吃飯
78180	79820	然後所以我們就帶他去看醫生
79820	82740	在醫生那邊的時候Deco他都不叫
82740	83440	都沒有出聲音
83440	87140	所以你沒辦法判斷說他菸嗓到底嚴不嚴重
87140	88980	所以就先從不吃飯這件事情
88980	89380	下手
89380	91120	對就先做全套檢查
91120	92040	比如說先血檢
92040	93720	血檢出來沒什麼問題
93720	94620	對蠻健康的
94620	96220	但他就是不吃飯就是有問題嘛
96220	98180	然後就做到超音波幹嘛的
98180	99080	也沒怎樣
99080	102120	對然後就是整片都排除之後都沒什麼問題
102120	104240	對最後呢還去打了麻醉
104240	106620	因為要微微的麻醉才看得到他的喉嚨
106620	108820	因為我們堅持跟醫生說他的喉嚨絕對有問題
108820	110680	對因為他聲音真的很快
110680	112020	只是他現在不叫而已
112020	113320	對後來就打了麻醉
113320	115220	然後醫生就是用內視鏡去看
115220	116540	看他的喉嚨才發現說
116540	118980	喉嚨好像有一點點發炎的狀況
118980	121880	然後可能是有一點點那種小時候那種泡疹
121880	123880	然後微微的復發的那個
123880	125240	反正那時候判斷可能是這種感覺
125240	127480	對然後他是發在喉嚨比較少見這樣
127480	128240	對對對
128240	129640	就這樣啊就是掃線而已
129640	131880	結果從頭到尾檢查費用大概花了五六千塊
131880	132780	對超級多
132780	133880	因為做了全套嘛
133880	134880	證明他很健康
134880	137280	對對對
137280	139320	然後那時候我們就也沒有保險嘛
139320	140240	那個時候不流行
140240	142580	然後也比較沒有那麼多人在推這個東西
142580	143220	大家想想喔
143220	144980	如果這樣就花這麼五六千塊
144980	147040	如果你們家貓咪可能需要動個小手術
147040	148180	或拔個牙的話
148180	148880	就很嚇人
148880	148920	就很嚇人
148920	148940	就很嚇人
148940	150400	就很可怕沒錯
150400	152000	那這次跟這個國泰產業合作呢
152000	154900	我們就有到他的官網上稍微看了一下
154900	157040	然後就想說看看能不能看得懂嘛
157040	159240	因為保險以前都覺得好像很難
159240	161680	結果欸我實際看了一下他的網頁配置
161680	162980	還蠻好懂的
162980	164580	就是你選項填進去之後
164580	165780	他就會自動幫你都生好了
165780	167080	就是你照他的步驟
167080	167340	對
167340	169080	把所有需要的資訊一步一步填
169080	170340	然後選擇你要什麼方案
170340	170740	對
170740	171340	就是這個感覺
171340	171580	對
171580	172480	他就自動幫你算出來
172480	173980	對然後你最後只要按完成
173980	175240	嘿就超簡單的
175240	175480	沒錯
175480	176400	對總而言之呢
176400	177680	現在只要線上就可以了解
177680	178880	淘寶內容非常的方便
178880	180680	推薦大家可以到國泰產險的網站
180680	182140	去看看他們的寵物險
182140	183140	那國泰產險這次呢
183140	185640	也有給我們的觀眾一個專屬的好禮
185640	187720	就是即日起到1月14號前
187720	189080	只要使用我們的專屬活動碼
189080	190320	Lady Flavor
190320	192380	線上淘寶寵物險就可以抽
192380	194780	IRRS的智能儲滿機
194780	197340	然後還有淘寶前20名還有機會獲得
197340	199340	限量款好威貓聯力
199340	200040	喔
200040	201980	他三個月前就跟我們訂了
201980	202480	喔
202480	204580	最後碩國精神
204580	206180	最後最好貓聯力
206180	208180	沒錯這裡還有20份
208180	208780	對
208780	208820	對
208820	208840	對
208840	208880	對
208880	211520	,那還有很多其他詳細的好禮呢
211520	214280	大家可以到活動資訊的連結裡面去看看喔
216080	217780	現在時間12月14日
217780	218680	星期二
218680	220920	上午3點09分
220920	221440	啊
221440	222480	好早喔
222480	222940	超爆炸
222940	224080	我覺得這是我們就是
224080	225580	LUFACAS一年以來
