start	end	text
0	30000	哈囉 大家好 歡迎來到好味小姐開束klore
30000	60000	對 雖然禮拜一的凌晨了現在是12點47分從我們上一次說就是從我們第一次說好小姐已經進入到公說準備要生小孩的階段到現在已經一個禮拜了第三集了 第三集了連續三集了感覺這個連續劇可以氣坑太久了太久了我們先跟大家說明一下她現在肚子的狀況沒有我覺得我們一直缺少一個完整的對於你現在肚子狀況的論述什麼意思啊就是大家不清楚你肚子的狀況
60000	90000	你肚子現在到底會發生什麼事情只知道我們一直在說公說而已其實是這樣現在雷夢在好味小姐的肚子裡面是呈現一個就是倒立的狀態對 她的頭的那個位置其實已經卡到很下面超音波已經快照不到了就是說原本她小孩在肚子裡面的時候她會就是她是在裡面亂滾的還小的時候飄來飄去 飄來飄去她越長越大之後她的形狀就不是形狀她的那個位置就會被越來越固定
90000	120000	因為太窄是不是對 就是她越來越大然後只用那個空間有限接下來就理論上狀況好她就會慢慢變成倒立的就是頭下腳上然後頭下腳上穩定之後呢就會慢慢的往下降對 這個過程她會一直旋轉就是左右轉她就有點像螺旋鑽一直往下鑽的感覺感覺是一個很急然後一直翻身好急好急然後慢慢往下慢慢往下慢慢往下等到最後真的到很下面之後就會開始一連串的反應
120000	150000	然後攻縮等等破損什麼的然後就會升下來沒錯啦對那好位小姐她現在那個雷夢在她肚子裡面的姿勢是很棒的姿勢100分姿勢100分對但是好像沒有很有企圖企圖性不足對但是有人說就是你產期到後面就是你的姿勢比較固定之後其實你的胎動會比較少對因為她就是被夾住了對然後那個活動範圍比較少但是我覺得雷夢沒有在跟我開玩笑了
150000	180000	她出來我要找準機會揍她兩拳對然後現在會面臨到兩個狀況第一個狀況就是普通的攻縮攻縮就是假性攻縮對 子宮縮縮嘛然後就有就是肚子緊緊的痛痛的然後硬硬的這樣對對啊這是一個擠擠看看擠不擠得出來啊這個感覺有一點對對試試看現在行不行啊不太行就算了嗯這樣然後非常不積極的子宮對然後再來就是雷夢她會一直踢因為她手已經固定位置了
180000	210000	腳可以動對她腳就一直往上踢一直往上蹬然後那個位置所以她也想把自己頂出來不知道有一點這個感覺有可能然後不知道像小雞在做蛋殼一樣就是大家如果沒有家裡如果沒有人生過小孩什麼的嗯沒有體驗過沒辦法想像那個那個洞的洞徑有多大因為因為我胖的不多所以我的皮很薄對所以真的會很像是那個大家看異形電影異形要從裡面串嘴的那個感覺就是肉眼可見她會一直脫不規則狀這樣子
210000	240000	整個肚子會變形然後你就會看到她的腳跟從右邊滑到左邊再滑回來對非常噁心我們現在很多那個親戚朋友來家裡嗯然後好小姐就會表演一個她現在才不是我表演是你會強制我表演對就好小姐她坐著有沒有我們就拿一顆抱枕或者是什麼東西對然後放在好小姐肚子上對然後那個雷夢在踢的時候呢抱枕就會很劇烈的晃動她她樂在其中我是覺得很creepy啦超可怕一個一個宴會表演
240000	270000	對大家看到都會很很興奮很開心很好笑對那雷夢她一直踢一直踢而且踢得很用力嗯應該是很健康很好動非常皮的感覺對好像覺得說她現在好像覺得她自己的肋骨被踢瘀青了對現在就是自己稍微壓一下肋骨下緣都會有點痛對但是好像是很多媽媽都會有這樣的問題哦真的哦因為她的腳就是在那個位置她不是踢你的胃就是踢你的肋骨哦然後那個還有一個很特殊就是隨著小孩慢慢往下降你的身體的一些肌
270000	300000	機智 機能就是你的症狀會改變原本會吃不下因為你的胃被壓迫嘿對然後現在慢慢往下之後食慾就開始變好沒有錯胃的空間出來哦滿有道理的啊因為你可能隨時要生嘛除備能量啊嘿對最近就比較愛吃對但是她的頭會徹底的壓住你的膀胱對所以超頻尿一直跑廁所一直跑廁所對然後又有很多那種就是好小姐她的勺子
300000	330000	她是你大嫂之前不是不小心在廁所裡面生出來哦對啊對啊她那個我覺得她那個經驗實在是太可怕了她那我哥哥到現在想起這件事情還會很生氣嘿所以她去醫院她其實已經破水她完全沒正痛然後早上起床梳個頭髮就破水這樣嗯然後她就很慌張下來跟我媽說那個媽我破水了然後我們就趕快要送她去醫院然後去醫院因為她完全沒有供縮然後就完全沒有供縮對因為她不就不會痛她就但是已經破水了所以小孩很容易窒息
330000	360000	那個催產針嗯然後就是強制她供縮這樣嗯然後她期間護士會一直來內診就是看你那個子宮頸開多少然後醫生那護士就來說說你跟大家說明一下子宮頸開多少是什麼意思就是就是欸不是都會說一指兩指嗎對出口的寬度是不是對對對對對就是子宮頸跟子宮連接子宮跟產道中間那個地方它會慢慢的擴開對然後它會用把手指頭探進去的方式對為什麼是指
