start	end	text
0	30000	哈囉 大家好 歡迎來到好味小姐開束klore
30000	60000	對 到時候我聖鴿還要去百合年都過完了還堆在那裡就被圍困擾所以我們做比較少一點然後結果一天就賣完了對 有點尷尬所以我們這一集就 嗯?不用欸?沒有椰杯沒有椰杯 不需要說什麼但是喔 我們這個版位很貴對啊這版位好幾萬塊浪費對 我們隨便來講一些東西好了就是最近覺得還不錯傻福利是不是傻福利 最近隨便推薦些什麼首先最近最近天氣很冷我們那個品萱的那個什麼
60000	90000	奶茶賣得超級好欸對 無糖奶茶已經又補貨然後又賣得很好了對 我覺得真的是不錯就是大家都覺得喝了之後欸其實奶茶不加糖也還可以就有甜了對對對奶粉真的有甜對我覺得要特別講一下南非國寶茶喔 我也是這樣子因為很多人一開始都很不敢買這個口味因為可能有喝過像我自己啦以前有喝過別家的就覺得有一個味道喔 草味但是我們家真的是不會我今天去刷了新的留言嗯就是我們補貨之後的留言嗯
90000	120000	很多人出來推南非國寶茶是不是他說都沒有怪味所以拜託如果還在觀望的人真的可以試試看南非國寶茶欸這是我四個裡面我最喜歡的欸沒有錯嗯然後呢還有什麼可以推薦的我想一下好 我現在我想推薦這個嗯李斯德林的漱口水我最近買到一罐紫色的喔他在家裡還推了三罐你知道嗎這麼誇張他沒有我覺得他李斯德林好像搞錯了什麼嗯他好像不知道自己產品的優勢在哪裡你知道嗎你知道推薦嗎對就是大家在喝漱口水的時候嗯
120000	150000	可能真的在在乎什麼就是什麼口齒清晰啊殺菌什麼的嘴巴裡有細菌都吃不出來嗯又不會影響你的生活嗯什麼口臭你最近遇到什麼真的口臭的人嗎一般不會跟別人靠得那麼近吧一般不會跟你講對啊不會跟你講對總而言之齁我覺得漱口水最重要的嗯就是那個口感一定要刺激喔你說提神醒腦的部分嗎不知道反正就是口感要刺激到讓你我覺得你才搞錯了什麼哈哈哈我就用到這個是不是要他真的在你嘴巴裡面
150000	180000	自殺的感覺啊對對對當然是這樣子讓你殺菌感殺菌感喔這說明也是這樣子點酒點下去你點我泡泡對就去逛小北百貨嗯我想說我買漱口水嗯之前平常有接到李斯德林的業配嗎對然後我們家有很多他有送我們幾罐試用品都是比較小罐小罐的嗯啊我就用完了他那時候送的齁就是那種他那那次剛好強打的是比較沒那麼辣的小朋友也不會怕的溫和無酒精的那一種對我那時候都是覺得有點燒不到氧處
180000	210000	哈哈哈我就去小北百貨然後我就去買漱口水嗯我就特別挑那個愈傳統的愈原味的強調什麼清潔度的什麼之類的就是有那種這是什麼什麼刺激度降低溫和殺菌什麼都直接淘汰嗯我選一罐紫色的齁看起來最兇的哈哈哈哦買回來之後哇真的很刺激就是那個辣真的不是普通的辣很辣很辣一含下去你就覺得整個嘴巴裡面就是在燃燒Burning這樣嗎然後他還跟你說一定要速30秒
210000	240000	加的這個殺菌效果對啊然後在那邊忍住然後在那邊漱嗯因為我想說齁我以前的經驗是你通常漱了一陣子之後哦他一開始會辣很辣後來就不會辣了對那個刺激度慢慢減低對哦但是紫色這一罐不會哈哈哈他會一直累積上去因為在那裡之後好像就是覺得說我好像舌頭快壞掉了這樣嗯我一開始使用嗯拼命的忍最多也是只能含大概10秒鐘嗯就忍不住要把它潰掉忍不住把它潰掉嗯後來我就是越來越試越久嗯最近開始一兩個禮拜之後什麼什麼耐力
240000	270000	20幾秒的程度嗯這樣子然後他還有一個重點是我覺得很厲害就是他會讓你有成就感的什麼意思就是就是你覺得說漱口水就漱一漱吐掉了對啊但是沒有他那個漱口水你漱越久吐掉的時候裡面有一些像是那種渣渣你知道嗎他不是紫色的嗎嗯吐出來之後你就會看到一些像是紫色膠狀的那種凝凝膠之類的東西這樣有點雜質跟你的口水作用了嗎之類的你就覺得說會不會他就是把細菌真的就是包裹在那個雜質裡面之類的洗掉了
270000	300000	但是也有可能你就是漱越久之後他就越多泼在裡面whatever反正反正你就覺得你漱越久之後你吐出來的東西好像就成效越好這個感覺哦就一直這樣自己去挑戰就是可以漱越久越好哦ok你就覺得不錯我覺得這才是漱口水應該我的樣子好可怕好可怕好我自己呢就是我剛剛本來想要來推薦那個晚安睡覺的衛生棉褲結果你們兩位男士都說太無聊無法共感所以我想了另外一個我覺得你們可以
