start	end	text
0	7100	哈囉 大家好 歡迎來到好味小姐開束
7100	8900	我還你原型 我是翠翠
8900	9900	大家好 我今天是阿段
9900	10900	大家好 我今天是阿凡
10900	16100	本期節目由恢復正常出貨的好味商店贊助播出
16100	17100	過完年了
17100	20600	開工了
20600	21500	開始上班了嘛
21500	23500	所以我們這是在過年期間
23500	27300	停止出貨的好味商店跟營養師品圈的商店
27300	28900	已經開始正常出貨了
28900	29700	沒錯
29700	31900	那過年期間下單應該差不多這兩天
31900	33900	就可以開始陸續出給大家了
33900	35900	所以覺得之前因為沒有出貨
35900	36900	所以沒有下訂單的
36900	37900	嗯 你現在可以準備好
37900	38300	可以了
38300	40100	可以把訂單交出來了
40100	42600	想必紅包錢還沒花完吧
42600	44500	今天是開春第一集嘛
44500	46900	想說在這一集的前面這一段時間呢
46900	48500	可以來許個願
48500	49800	又要許願
49800	51100	今年許滿多願的
51100	52800	好 就想說我們可以來跟大家分享一下
52800	54400	我們這個對於好味小姐
54400	57600	這個這麼多複雜的頻道跟各式各樣的東西
57600	58100	沒錯
58100	59400	我們今年計劃打算
59400	60400	要做些什麼事情
60400	62200	姑且先稱之為許願
62200	62600	好
62600	63300	首先呢
63300	66300	我覺得可以先講我們的好味頻道
66300	66600	嗯
66600	68100	嘿 就是我們的主頻道
68100	69300	貓咪頻道這邊
69300	71400	就是我們之前一直不是有人在問說什麼
71400	75400	喔 喔 好味小姐煮飯的料理好像影片少很多
75400	76400	確實是少很多沒有錯
76400	77100	嘿 對
77100	78000	但是還是有
78000	78700	對 其實還是有
78700	80000	還是有 對
80000	82200	只是因為我們現在就是會跟日常
82200	83200	就是包在一起
83200	84400	就是我們在日常影片中呢
84400	85800	可能會分享個一兩道
85800	88800	就是我們平常會做給貓咪吃的日常性的料理這樣子
88800	89000	喔 就是我們平常會做給貓咪吃的日常性的料理這樣子
89400	92100	比較不像之前會專門拍一支做料理的影片
92100	92600	對
92600	94800	所以大家有時候可能看封面沒有發現
94800	96000	就是我們之前發現
96000	98500	就是那種專門做貓鮮食料理的影片
98500	98800	對
98800	100300	其實觀看的數字是蠻固定的
100300	100700	好
100700	102100	就是固定的一群人在看
102100	103800	就是喜歡看料理的那一群人
103800	104500	對對對
104500	106200	但是如果我們想要吸引更多人來
106200	107700	就是做做看貓鮮食的話
107700	107900	對
107900	109900	我們應該要在他初步急防的時候突然
109900	111000	喔 業配一波
111000	111800	貓鮮食很棒喔 先把他給他
111800	112700	先把他騙進來
112700	113500	嘿 先把他騙進來
113500	114600	對 對 對
114600	115400	所以我們後來想想
115400	117900	我們應該跟這個日常影片做一個結合
117900	121000	嗯 其實我覺得也蠻像我們本來的初衷
121000	122100	就是其實我們貓鮮食
122100	124100	就是希望大家在日常過程中
124100	126500	你可以 本來就可以在生活裡面要做的事情
126500	128400	然後而且他們都很簡單
128400	129900	所以我覺得因為我們現在這個調性
129900	131200	其實也是蠻符合的
131200	132100	啊 只是說呢
132100	135100	因為無論如何要拍料理的影片
135100	135400	嗯
135400	136400	就是會比較麻煩一點
136400	136900	工程就是浩大很多
136900	138400	費時費力 對
138400	138900	對
138900	140500	啊去年呢 因為檸檬還比較小
140500	140900	嘿
140900	142700	所以說這個料理的比例比較少
142700	143100	嗯
143100	145300	啊今年的檸檬應該稍微
145400	146400	穩定一點吧
146400	147400	至少大了一倍了
147400	147900	嘿
147900	148400	所以
148400	149700	哈哈哈哈哈
149700	150400	對 所以我們想說
150400	152200	我們可以把貓鮮食料理的影片
152200	153200	比例提高一些
153200	153900	嘿嘿嘿
153900	154900	這是我們的一個期許
154900	156400	紅院欸 紅院 紅院
156400	157200	蠻紅的
157200	158200	超紅
158200	159700	對 但是我們應該還是會就是
159700	161800	用比較日常一點的性質啦
161800	164100	來跟大家分享不一樣的料理方式這樣
164100	165400	可能我們以後的片都是
165400	166900	日常不單純只是日常
166900	167300	對
167300	169400	可能就是會有點混合的感覺
169400	170400	對對對對對
170400	171900	然後好味商店的部分呢
171900	172500	嘿
172500	174100	哦 這個就是比較計劃性的
174100	174600	好好好
174600	175100	就是我們
175100	175900	預計呢
175900	177600	在年初就會推出一款
177600	179100	幼母貓的主食罐
179100	179900	但是我們之前呢
179900	181400	罐頭可能沒有特別針對說
181400	182900	是小貓設計的
182900	183800	所以我們今年就想說
183800	184400	欸
184400	184700	嗯
184700	186900	我們應該要服務更廣大的族群
186900	187500	然後呢
187500	189600	我們預計在今年年
189600	190600	中嗎 中吧
190600	191100	嗯
191100	191900	嘿嘿嘿
191900	193800	我們都給大家一個超級大Rage
193800	194800	連中三個月
194800	196300	我們想要推出一個
196300	197800	針對半獅使的
197800	200300	比較便宜的貓的主食罐
200300	200700	哦
200700	203600	其實這是好像是養貓人飼養的大宗欸
203600	204300	好像是欸 就是
204300	205000	一半乾乾
205000	206900	一半獅食的這種形式
206900	207500	對對對
207500	209500	那它罐頭可能就是熱量比較低
209500	209700	對
209700	210700	啊 水分比較高一點
210700	211300	對對對
211300	212000	這樣子的感覺
212000	213600	那它價格就會比較低一些
213600	213700	對
213700	215000	所以大家可以當日常的
215000	217300	主要的飲食的一部分的感覺
217300	218600	然後營養師品萱的頻道呢
218600	219200	嘿
219200	221300	哦 品萱她最近這幾個月以來
221300	221800	嘿
221800	222700	生了小孩之後
222700	223200	嗯
223200	225300	她有點就是做菜做上癮的感覺
225300	226300	呵呵呵
226300	227500	從魔入魔
227500	228500	對 她每次都跟我們說
228500	229800	她想拍料理的影片
229800	230500	欸 對對對
230500	231800	她之前拍便當菜啊
231800	232400	或什麼之類
232400	232800	哼
232800	233900	所以品萱的計劃是
233900	234900	她打算今年要
234900	235000	嘿
235000	236700	就是磨練自己的廚藝
236700	237700	呵呵呵
237700	237800	然後
237800	238700	做更多菜
238700	240300	嘿 多拍一些帶便當的
240300	241200	便當菜的影片
241200	241800	嗯
241800	242900	嘿 這樣子
242900	244800	然後品萱的這個商店的部分
244800	245000	嗯
245000	247800	也會推出一些滿特殊的商品
247800	248000	嗯
248000	250500	首先有預計在排成上的是一款這個
250500	251500	原本想要做泡麵
251500	251800	對
251800	253700	但是品萱她早便的市面上
253700	254900	說我的泡麵麵體
254900	255500	沒錯
255500	256300	嗯 她都覺得
256300	257700	嗯 果然還是不太妙
257700	258100	對
258100	259700	都是很多油炸的什麼的啦
259700	260300	對對對
260300	261600	所以泡麵做到最後呢
261600	263100	最後做出來是泡冬粉
263100	263700	對
263700	264800	是冬粉的泡麵
264800	264900	嘿
264900	265400	春芋
265400	265700	喔
265700	266400	這叫春芋
266400	267000	這叫春芋
267000	267500	對 春芋春芋
267500	267800	嗯
267800	268200	然後呢
268200	269900	她也想要做一款沒有負擔
269900	270900	然後鈉含量很低
270900	272200	吃了不會水腫的
272200	272600	對
272600	272900	嗯
272900	274200	原本我們聽到的時候
274200	274700	嘿
274700	275200	我們就覺得說
275200	276100	哇 一定
276100	276900	很難做
276900	278300	一定很難吃
278300	279200	我覺得一定很難吃
279200	280500	一定很難吃
280500	281100	對
281100	283200	因為泡麵就是要吃到鹹鹹嘛
283200	283600	對
283600	285300	欸 但是最後做出來成果不錯
285300	285800	對
285800	287000	我們應該會做兩個口味
287000	288800	一個是番茄的口味
288800	288900	嗯
288900	290300	一個是辣香菇口味
290300	291100	嘿 對 對 對
291100	292100	那像番茄口味啊
292100	293800	因為你不能加一些調味劑什麼的
294900	296600	加那種番茄乾
296600	297300	對
297300	298800	我覺得那番茄乾超好吃的耶
298800	299100	就是
299100	299900	就是蠻特別的
299900	301800	最後好像真的做出了一點什麼東西來
301800	302300	嘿
302300	303100	非常意外
303100	303400	嗯
303400	305000	品薰每次開發產品都會讓人家很意外
305000	305500	意外
305500	306200	原本
306200	306800	原本都覺得說
306800	307600	喔唷 這個沒辦法吧
307600	308400	這個能吃嗎
308400	309500	這個一定很噁心吧
309500	309900	嗯
309900	310600	做出來都還行
310600	311000	嘿
311000	312300	再來比較計畫的呢
312300	313300	是
313300	314700	品薰想要做辣椒醬
314700	315500	這個我很意外
315500	316700	她當初提案的時候我也覺得
316700	318300	她怎麼會想要做辣椒醬
318300	319900	欸 她覺得醬料類的東西
319900	321000	其實大家很常用
321000	322000	但是其實都
322000	322900	太油太鹹
322900	323800	都很邪惡
323800	325500	她想要做一款負擔比較低的
325500	325900	嘿
325900	327000	原本的計畫是做一個
327000	328300	真刀真槍的對決
328300	328700	嗯
328700	329700	就是我們就只要
329700	330800	就是真的用辣椒
330800	331300	調味都
331300	331900	丟掉
331900	332900	把它裝在罐子裡面這樣
332900	333400	嗯
333400	334600	做出來之後超爆難吃
334600	335500	超難吃
335500	336100	嚇死人
336100	338500	哈哈哈
338500	339200	超爆難吃
339200	340600	所以現在的走向呢
340600	341200	應該會
341200	343000	朝向一些比較特殊的
343000	344200	辣椒醬的口味的感覺
344200	344700	喔
344700	346600	比如像現在最近做了一款樣品
346600	348000	是用薑當底的
348000	349200	這個我也覺得很好吃
349200	350100	這個就蠻特殊的
350100	351700	真的很莫名其妙耶
351700	352900	突然就冒出來了
352900	353800	品圈的東西都是這樣
353800	354200	嗯
354200	354700	就是當你
354700	356400	就是不能加調味料啊
356400	356800	嘿
356800	358100	不能加一些味精什麼之後
358100	358600	嘿
358600	360200	你就只能找一些奇奇怪怪的
360200	361000	奇奇怪怪的東西
361000	361300	對
361300	362500	絕處逢生的感覺
362500	363800	絕處逢生的感覺
363800	364300	沒錯
364300	365900	然後再來問題比較大的東西
365900	366200	嘿
366200	368300	就是我們腦波羅的頻道
368300	370100	腦波羅頻道我覺得現在很好
370100	371200	現在很穩定啊
371200	371700	很好
371700	372000	對啊
372000	373600	我怎麼都想不出來有哪裡要改變
373600	375500	腦波羅頻道現在最大的問題
375500	376200	欸
376200	377900	就是我覺得我實在是就是
377900	378500	太棒了
378500	381700	哈哈哈
381700	382900	大家最近真的很煩
382900	383300	欸
383300	384900	一直很關注你的體重欸
384900	385800	我也覺得不行
385800	386800	欸我現在齁
386800	387800	過了這個年之後
387800	388500	欸
388500	390900	我已經確定了就是是我
390900	391900	此生
391900	392500	欸
392500	393600	體重最重的時候
393600	394500	那很好笑
394500	396800	他今天在早上呢就跟我說
396800	398300	我今天穿這件褲子一直掉欸
398300	399300	到底是我瘦了
399300	401100	還是我胖到我的褲子就是一直
401100	401800	把它穿鬆了嗎
401800	402600	對對對
402600	403500	穿鬆了
403500	404300	那他就說
404300	405500	到底是我瘦了還胖了
405500	407200	我說你的體重幾位告訴你
407200	407800	不是我是真的
407800	408300	他不肯去量
408300	409300	不是
409300	411200	我是最近覺得說我每次
411200	412100	只要蹲下的時候
412100	412700	嘿
412700	413400	會有一種
413400	414100	會有一種
414100	415000	露屁股的感覺
415000	415900	就是沒有安全感
415900	416200	你知道嗎
416200	417400	就是褲子被拉下來
417400	417900	欸
417900	418800	啊以前不會欸
418800	420400	同一件褲子以前穿的時候不會啊
420400	420600	喔
420600	421700	不會覺得屁股上面
421700	422600	溝溝那邊涼涼的這樣
422600	423100	對對對
423100	425400	再過一陣子你洗澡的時候看不到腳趾
425400	426000	屁咧
426000	426600	不會啦
426600	427500	誇張吧
427500	428500	啊就有兩種可能嘛
428500	429000	欸
429000	429700	一種就是說你
429700	430400	你瘦了
430400	430700	嗯
430700	431300	褲子掉下來
431300	431700	嗯嗯
431700	433200	另外一種我想說是不是屁股變大
433200	434700	所以說你蹲下來的時候呢
434700	435200	喔
435200	437000	不被撐的那個量比較多
437000	438300	就是不知道哪個地方的這個
438300	439600	就是這樣褲子還變瘦嗎
439600	440800	還是圓周不一樣
440800	441500	你很煩
441500	442000	喔
442700	443400	我被撐開
443400	444100	那我這樣
444100	445500	確實這樣會不會撐開沒有錯
445500	446000	嘿
446000	446600	之類的所以
446600	447100	嗯
447100	448400	所以我就有點擔心害怕
448400	450100	喔所以腦波若今年只許一個月
450100	451400	需要改良的部分
451400	451900	嘿
451900	452800	我覺得現在遇到
452800	454800	腦波若頻道最大的危機是這一點
454800	455800	是你的下巴
455800	457300	呵呵呵呵
457300	459300	因為大家看不到你的下半身啊
459300	460000	看不到下半身
460000	462200	對大家看得到胖的地方只有下巴
462200	464200	嘿對然後現在就是
464200	464900	怎麼說呢
464900	468100	對於一開始拍攝的角度的設定越來越嚴苛
468100	468300	對
469000	470100	現在以前都是我在說
470100	471400	你可不可以把相機加高一點
471400	472000	我現在看起來比較爽
472000	472600	一直在抱怨
472600	474000	這樣你角度太低欸
474000	474500	對啊
475400	477000	腳架都快不夠高
477000	478200	然後屁咧
478200	479600	靠妹啊
479600	481300	然後我們最近有在拍雷夢的日常嘛
481300	481700	對
481700	482300	每天拍
482300	482700	嗯
482700	484700	雷夢日常常常需要一些自拍的畫面
484700	485400	嘿
485400	486300	對然後有這個
486300	487200	我的下巴也造成了
487200	488600	我拍攝上的大困擾
488600	490000	因為你要針對雷夢
490000	490300	對
490300	491900	所以對人來說是一個不太友善的角度
491900	492300	欸滿
492300	493400	確實欸
493400	495700	因為他頭會剛好在你的下巴附近
495700	497300	所以你會其實是有點就是
497300	498100	從下面往上
498100	498600	上拍的
498600	499300	就基本上是雷夢的
499300	500300	特寫你的下巴
500300	500700	對
500700	501200	就是基本
502200	503100	對
503100	503300	對
503300	503900	基本上是
503900	505900	基本上就是拍雷夢跟我的下巴合影
505900	506300	對
506300	507300	喔真的是不行了
507300	508100	好瘋狂喔
508100	509100	你的下巴很強勢
509100	511100	最近這一兩集我跟雷夢拍的對不對
511100	513100	喔就是雷夢頭都放得特別大
513100	513800	特別可愛
513800	514500	欸雷夢頭
516000	517000	原始畫面裡面呢
517000	518900	我們兩個是都有入鏡的
518900	520300	沒有我都特寫雷夢頭
520300	522500	這樣就看不出那一塊到底是下巴還是脖子
522500	523400	即使這樣子呢
523400	524200	還是有很多人說
524200	525700	喔下巴真的是無法忽視呢
525700	526100	什麼之類的
526100	527900	很壞欸
527900	528500	不行
528500	530900	大家倒著你好大的心理負擔喔
530900	532700	沒有我的負擔我自己會給我自己
532700	534400	欸其實我在過年之前喔
534400	535000	本來就
535000	535500	等一下等一下
535500	536400	完全
536400	537000	離題
537000	538300	完全離題欸
538300	539100	好總而言之呢
539100	540600	我在過年之前
540600	541600	我就已經發現說
541600	542900	喔我現在的這個
542900	545600	欸不是發現說我的體重已經變得很重
545600	546000	嘿
546000	547400	我是發現說我已經找到了
547400	549300	我這個年齡的體重的上限
549300	550400	喔你說你可以
550400	552100	自己可以忍受的上限是不是
552100	553900	不是忍受的上限是生理的上限
553900	554200	為什麼
554200	555500	就是我現在這個生活型態
555500	557200	那我都不去做任何改變的話
557200	557860	對體重就慢慢
557860	558560	穩穩的
558560	559060	把把把把把把把
559060	560260	爬到這邊
560260	560560	對
560560	561760	就停住了
561760	563760	喔停住那不是很好嗎
563760	566260	欸我發現這個上限有點太高
568360	569460	本來想試試看說
569460	570860	比如說原本70公斤
570860	572060	你會說你現在的代謝
572060	573560	就可以讓你維持在這個體重
573560	574660	我想試試看啊
574660	575760	就之前我都什麼都不管
575760	576260	嗯
576260	577460	比如說之前為什麼少吃澱粉啊
577460	578460	或者少小運動什麼的
578460	579360	都不要我都不管
579360	579960	嗯
579960	581560	什麼都不做極限在哪裡
581560	582460	極限在哪裡
582460	582960	你幹嘛
582960	584460	就說不定你的極限是
584460	586160	剛好在一個你可以接受的範圍啊
586160	586560	對啊
586560	588020	如果你很焦慮只是多胖一公斤
588020	588880	你有开心的生活
588880	589720	多胖一公斤
589720	590240	多胖一公斤
590240	591220	然后其实你可以接受
591220	592560	但是你就是一点压力都没有
592560	594580	然后就咚咚咚咚
594580	595860	其实我不能接受
595860	598240	我也要来试试看
598240	600160	不好喔
600160	602360	你的极限会超越你的想象
602360	604220	其实我知道我的极限在哪
604220	605300	没有吧你不知道吧
605300	606880	我怀雷梦之前
606880	609320	就一直很固定的在某个体重
609320	610280	那个就是一个
610280	612060	让人无法接受的极限值了
612060	613280	确实你们那时候都跟我说
613280	614200	我的角度很少
614200	617220	然后我们最近在想
617220	619360	老婆是不是也要找个副业
619360	620640	就是我们都会想
620640	622280	帮我们的频道找另外一个副业
622280	624160	当作它主要的收入来源
624160	625100	这样子的话
625100	626400	你就不用借业配干嘛了
626400	627640	对不会被业配绑架
627640	629040	对你就想拍什么就拍什么
629040	630780	但是目前的现况是
630780	632180	我们各自有各自的提案
632180	632880	没错
632880	634320	但是我们都没办法说服彼此
634320	635260	有点焦灼
635260	636560	比如说我都想说
636560	638360	我们应该一定要来做个
638360	639920	我们就来做个
639920	640800	我就不信你讲出来
640800	641540	大家会同意
641540	642580	我们就来做个
642580	643800	浓缩青草茶
643800	645220	谁要
645220	646800	浓缩青草茶一定可以
646800	647440	谁要
647440	649100	就是自从我们一直
649100	649800	之前在老婆
649800	651160	你要认知到喜欢这种东西
651160	652080	是非常少的
652080	652100	没有
652100	654480	我们俩只有你的始终粉
654480	656640	我们的观念落差就会变
656640	658520	自从我之前推荐过
658520	659960	这个悟堂的那个
659960	661740	悟堂青草茶之后
661740	663580	那明明难喝要死的东西
