start	end	text
0	2300	好 我開始錄了
4600	6660	所以今天算是我們正式的第一集嗎
6660	9980	對 你那個OP的聲音是你早上在拍
9980	11780	DECO屁股的時候拍的那個
11780	12540	對啊
12540	14600	用手機錄的
14600	17400	我就想說每一次我們去拍他的屁股
17400	19720	我平常沒事就會拍他屁股好不好
19720	20480	哪有
20480	22520	只是頻率沒有你們那麼高而已
23560	24840	反正他也不愛你
24840	27140	他知道你有求於他之後才去找他
27140	28160	我覺得你這樣不行
28160	30200	我覺得你找不到放OP的時間點
30200	30980	真的假的
30980	32000	那補我現在就放
39160	39680	唉唷
39680	40440	好可愛唷
41220	42760	所以那個啪啪啪是拍屁股的聲音
42760	43780	對 那是拍屁股的聲音
43780	44540	我好對拍
45560	46840	那你有配著音樂弄喔
48120	49160	音樂是後來加的
49660	50940	已經OP了
51200	52480	所以你現在應該要開始講
53000	53500	節目的名字
54520	55300	哈囉大家好
55560	57340	歡迎來到好味小姐開束縛
57340	58120	我要
58160	59180	還你自由
60200	61480	為什麼我每次都唸不出來
61480	63540	唸了幾百遍為什麼你就是唸不出來
63800	65320	再給我一次機會拜託
68400	70700	哈囉大家好歡迎來到好味小姐開束縛
71480	73260	我還你原型啊
76080	77620	很難耶
77620	79920	我知道以後就是我唸第一句然後讓你唸第二句
79920	81200	不要那很奇怪
81460	82220	好啦好啦
82220	83000	第一次就這樣
83240	84780	大家好我是好味小姐翠翠
85040	87080	大家好我是前級是阿段
87080	88120	大家好我是攝影師
88160	88680	大家好我是前級是阿段
90460	92260	好總而言之呢我們現在開始
92520	94040	突然要錄podcast
94300	96360	為什麼會這樣子呢就是
97120	98140	今天早上我突然覺得
98400	100200	錄個podcast好像不錯
100700	101980	在洗澡的時候
102240	104800	對我們去買設備然後我們就來試試看這樣子
106600	107360	今天就是
107620	108640	昨天我遇到一個
109400	109920	事情啊
110180	111460	奇怪的事情
111720	113500	就是我的一個遠房親戚
114020	114780	應該這樣講
115040	116060	就是早上我爸突然打電話給我
116320	117080	上班日的時候
117080	117600	上班日的時候
117600	120400	說有一個遠房親戚突然要來找我
120800	122100	因為他的兒子
122500	124700	就是剛考完那個指考
125000	126500	哦對現在是指考季耶
126500	127100	剛考完
127300	129200	然後他好像17號放榜吧
129200	130400	好像還有兩個禮拜這樣子
130400	132400	嗯然後就在思考說要填什麼志願
132400	133700	然後很迷惘這樣子
133900	135400	然後說他兒子想要來找我聊聊
135400	136600	我想說怎麼可能
136700	137900	為什麼會找你啊
138900	139700	我想不是
139700	140700	重點不是為什麼會找我
140700	141900	重點是怎麼可能會有高中生
141900	143500	然後突然就是覺得好迷惘
143500	145500	然後想要找一個遠房親戚聊聊
145500	146800	所以你已經算是你
146800	148400	家族裡面的成功人士了嗎
148400	150600	我應該算家族裡面比較奇怪的人士
150800	152600	就是就業方法很奇怪
152900	155000	我覺得應該是他媽媽問他說
155200	156900	啊你是想好志願了沒他說
157300	158200	我不知道啊
158200	159400	然後他媽媽說你這樣不行
159400	160200	然後就在跟
160400	162900	自己的那個朋友鄰居聊天的時候
162900	165600	然後說啊你兒子是選什麼系的啊
165600	167200	哎呦我兒子都不知道選什麼系
167200	169000	是一個家長安排的企業參訪
169000	169900	大概是這種感覺
169900	170700	有點這種感覺
170700	172800	然後我們就聊了一下要選志願的事情
173200	175100	對然後就勾起一些回憶
176200	176800	好久哦
176800	178900	我們上次在經歷這件事情的時候
178900	180500	是不是大概十年前了
181000	182300	七八年前吧
182800	183900	總而言之就是
184000	184600	哎你
185400	187400	啊我們先跟大家說明一下
187400	188700	我們三個都是
189200	192800	那個高雄師範大學工業設計學系畢業
192800	195400	對然後一起考中了
195800	199500	雲林科技大學工業設計所畢業研究所
199500	201200	對所以我們三個學歷一模一樣
202000	205000	這樣子但是我們就是好像我印象中
205000	205500	我記得
205500	206200	我們
206200	207300	蠻特別就是說
207300	208200	好小姐是
209000	210500	哎你是新竹人嗎
210500	211200	對我是新竹人
211200	212000	我是台中人
212000	212900	我是高雄人
212900	213200	對
213200	214600	所以南北差距
214600	218400	然後我們的那個高中的那個志願好像也差很多
219200	219700	會嗎
220300	221200	你不是竹女
221200	221800	對我是竹女
221800	222300	你是第一志願
222300	222900	第一志願啊
222900	223800	哦
223800	226300	為什麼覺得這個哦感覺有點
226800	227800	有點討厭
227800	229000	那你是
229000	230200	我是鳳興的
230200	233600	鳳興算那個時候我考的算第三第四
234100	234700	第三第四
234700	235200	可是高雄人
235200	238100	高雄的雄女也比竹女的分數高啊
238600	239400	哎對
239400	241900	但是我那時候是可以錄取第二志願左右
241900	244000	但是我是高分第一報這樣
244000	244600	哈哈哈哈
244600	245900	你現在在唱旧嗎
245900	246700	好好笑
246700	248500	我也是哎我也是可以
248500	250000	我那時候也是可以錄取二中
250000	251500	然後我高分第一報這樣子
251500	252800	你之後是哪一所啊
252800	254800	我之後是讀台中市的中民高中
254800	255700	市立高中
256300	257300	所以也是公立的啊
257300	258500	對是公立的嗯
258500	258900	那很酷
258900	260700	我的高中好像說聽說在那個
261300	262900	國中還要考試的那個年代
262900	263400	嗯
263400	265100	因為那是很厲害的學校
265300	266200	很厲害的國中
266200	266600	嗯
266600	268400	好像出了兩個槍擊要翻
270400	273400	從此一蹶不振的那個感覺
273400	275300	是不是風水不太好
275500	276500	對那個感覺
276700	277200	哦
277200	278500	那這感覺不錯啊
278500	281500	感覺我們算高中都算還讀的還行的吧
281500	282700	都是普通啊
283000	283500	沒有沒有啦
283500	284200	你第一志願啊
284200	284800	不好意思
284800	286200	你第一志願我們普通
286200	286800	普通啊
286800	288400	我們普通高中而已
289500	290800	這樣大家會以為我很唱秋
290800	292300	我沒有要這個這個意思
293100	295000	那你高中成績好嗎
295800	296400	其實
297100	298800	我覺得可能因為第一志願
298800	300200	大家真的都很會讀書
300400	301800	所以一開始進去的時候
301800	305200	我大概是一直都維持在班上的中間這樣
305200	306300	不用說特別好
306300	307900	但也沒有特別差這樣
308100	310100	哦我當初國中是讀那個
310300	311400	民道就是
311600	312800	私立國中
313400	314000	所以
314200	315600	就是好像剛考進高中的時候
315600	317500	好像大家都有一個一樣的眼光
317500	318400	你知道嗎就是
318900	320300	民道有點貴族學校的感覺
320300	321500	好像大家都會讀書這樣
321600	323100	哦對結果
323200	325200	第一次我那時候也有一種好像會讀學校
325200	326500	不是大家都很有錢的感覺
326700	327800	就一樣
327800	329300	對然後好像
329300	330300	我那時候進去好像也有一種
330300	332300	好像我與眾不同的那個心態
332700	334500	對結果第一次斷口好像
334600	336000	就是我們班好像三十
336000	337800	我們班要接近40個人
337800	339800	我好像是35名之類
340800	341900	就一個爆爛
342300	344600	但不是所有人同學都開始對民道
344600	346400	這個學校有奇怪想像嗎
346500	347400	沒有啊就是
347800	349700	就是一樣彌揚百樣人的感覺
349700	350300	啊
350700	352700	哦我也是差不多感覺
353800	355000	因為我高分低報嘛
355200	355800	對嗎
355800	356600	覺得自己很屌嗎
356600	357700	對覺得自己很屌
357700	359100	不是不是我覺得自己很屌而已
359100	360200	我們老師還那個
360300	362300	就是他知道看看過我們分數
362300	364300	對所以他在剛入學的時候
364300	365200	就覺得就哦
365200	366800	大家就是偽凡這樣哦
366800	367300	很厲害
367300	368600	然後大家多發錢
368600	371600	我好像全校第一第二高的分數進去了
371800	373400	對因為我低報蠻多的
373700	375900	哦對然後也是30
376000	376900	35個
377800	378600	35個同學
378600	380900	所以你人生最瘋狂的時間就是進高中
380900	381700	第一次斷考
381700	382200	厲害
382700	383900	34名厲害
385200	386100	斷考還不錯
386100	389900	我第四段我班快38個人我考第五名
390800	391800	在竹女那不是
391800	394300	對啊就是還光宗耀祖這樣
394300	396100	對然後我就想說啊
396300	398100	是不是其實我還是算程度不錯
398100	399100	其實我很會讀書這樣
399100	399800	對對對
399800	402000	然後第二次又第十名第三次15名
403400	405200	然後之後我班只有30個人
405200	407100	我就一直都在15名左右
407100	408100	中間水準
408100	409500	對對對沒有特別突出
409500	411400	但也沒有當會非常關切
411400	413100	就是我是落差很大
413100	413700	就是
414000	414900	如果說那次斷考
415200	416600	就是數學很難
416600	418000	我那次就爛到爆炸
418000	419200	我就是不管在哪裡
419200	421100	然後就會慢慢變成普通人
421800	423200	跑跑衝進去
423200	424100	好可憐
424100	425400	好悲傷的屬性哦
425400	427300	但是我覺得好像真的有點這樣哎
427300	430200	就是你的程度其實真的沒有說真的超級強
430400	431400	最後就會變這樣
431400	431900	這樣講起來
431900	433500	所以其實大家就是
434800	439100	就是那個你的學校的那個排名不太一樣
439100	441800	但是大家都是在各個學校中間的感覺
441800	444000	因為你會掉後面就覺得嚇趕啊
444000	445100	哈哈哈
445200	446600	就覺得很丟臉
446600	447200	然後就努力一點
447200	449500	我們都知道可以出現嚇趕這兩個字嗎
449500	454000	但是但是我們後來全部都考上同一個大學
454400	455800	沒有沒有你跟我們不一樣
455800	456800	你對你不一樣
456800	457200	不太一樣
457200	458200	你們兩個都考直考
458200	459400	對我們都有考直考
459400	461200	我是考完學測
461200	465200	然後去我是申那時候分申請跟推整嘛
466000	467800	申請推跟還有繁星
467800	468800	還有分發
468800	471600	但是但是我因為就像剛剛說我校內成績超爛
471600	473400	但是我的學測是考很好
473400	474800	我學測號最後是考
475200	477000	然後校排名20名之類的
477000	478100	我好像也是這樣
478100	479600	對但是校排名20名
479600	482900	但是其實就是放在全國水準也沒有說真的
482900	485200	也是只能算高師大的程度而已
485200	487100	我那時候好像是因為我學測
487100	489700	我平常考試其實都就是在中間嘛
489700	491300	然後我們老師就對我不期不待
491300	496400	結果我好像考學測跟考直考都是我們班的前五名吧
496400	497200	喔
497200	499700	對然後我們老師就很意外把我叫去約談
499700	501200	我的學測是我們班第一名
503200	504900	真的假的你數學這麼爛
505200	505700	第一名
505700	507100	對但是我分數還是比你低喔
507100	508100	所以學校成績都差
511600	514100	我的學測就是在正中間這樣
514100	515200	喔如此
515200	516800	喔你真的是一直維持這個俗氣呢
516800	517600	不是開玩笑的
517600	519600	我覺得有的人就是比較會考大考
519600	523200	然後有的人就是比較會考平常那種小考學校的那種
523200	526100	試問會考平常小考有個屁用
526100	527200	你這樣校成績很好
527200	528700	你就可以繁星跟分發
528700	529900	對我剛講到繁星
529900	530300	對啊
530300	532500	因為我就是考全班第一名嘛學測
532500	534000	然後校排20很屌
534000	535200	然後後來繁星的時候
535200	536700	我就很風光就去
