start	end	text
0	10000	嗨 大家好 歡迎來到好位小姐開束服我 歡迎你圓心
10000	12000	我是
12000	14000	我是翠翠
14000	16000	大家好 我是剪輯師阿端
16000	18000	大家好 我是攝影師很煩
18000	21000	今天是超課難的開場方式
21000	23000	為什麼課難 開場方式一樣啊
23000	26000	我們是連線online耶 很難耶
26000	28000	就是現在我們真的是在月子中心
28000	31000	然後攝影師在家裡
31000	33000	所以我們是突破了一個
33000	34000	無法連線錄製的方法
34000	36000	試試看 如果延遲
36000	37000	或者是笑點跟不上
37000	40000	應該就是LINE的問題
40000	44000	我剛剛跟翠翠去樓下看雷夢
44000	46000	雷夢現在是被
46000	47000	藍光籠罩
47000	49000	因為他有點黃膽
49000	50000	你知道什麼是黃膽嗎
50000	51000	我大概知道
51000	53000	就是嬰兒小時候的時候都會
53000	55000	有的一個現象
55000	57000	然後就要照紫外線才會好
57000	58000	不是紫外線
58000	59000	是藍光
59000	61000	它是特定波長藍光
61000	62000	是嗎
62000	63000	我一直以為是紫外線
63000	64000	我一開始也以為是紫外線
64000	65000	沒有錯
65000	66000	我一直很好奇
66000	67000	它照藍光的時候需要
67000	69000	戴護目鏡或什麼之類的嗎
69000	70000	要
70000	71000	不是
71000	72000	它是要隔離頭
72000	73000	沒有
73000	74000	就是說我們那一種
74000	75000	它是比較簡單的
75000	77000	它是只有一單片
77000	80000	就是下面發光板
80000	81000	它是一個籃子吧
81000	83000	下面有一片發藍光的發光板
83000	84000	這樣子
84000	86000	會閃過他的頭這樣
86000	88000	它就是會把他頭照起來
88000	90000	就是要把他的身體照起來
90000	91000	露出頭
91000	92000	所以頭照不到藍光
92000	94000	其實就是穿著一件衣服
94000	96000	然後他背部的地方是
96000	97000	鏤空的
97000	99000	然後照得到後面的藍光板
99000	100000	對
100000	101000	但是頭的地方是有墊布
101000	103000	把它隔開來的
103000	105000	黃膽它是說
105000	106000	它是一種
106000	108000	某一種東西沒辦法代謝
108000	109000	然後那個東西就會導致
109000	111000	你整個皮膚看起來
111000	112000	黃黃的
112000	113000	然後照藍光之後
113000	114000	那個藍光會去
114000	116000	幫助分解那個沒有辦法代謝的東西
116000	117000	藍光會分解那個
117000	118000	沒辦法代謝的東西
118000	119000	對
119000	120000	不厲害藍光這麼屌
120000	121000	對
121000	122000	對
122000	123000	藍光把它分解完了之後
123000	124000	膚色就會變回來
124000	125000	就會變北濤濤
125000	126000	嗯
126000	128000	那現在就是整個嬰兒房裡面最黃了
128000	129000	對它現在就是個黃雷夢
131000	133000	其他小孩都北濤濤又迷迷
133000	134000	沒錯
134000	135000	好了今天就是要來跟大家
135000	137000	分享我們的這個
137000	139000	生小孩的奇幻旅程
139000	140000	那我覺得我們相對
140000	142000	好像算是蠻
142000	143000	還好吧
143000	144000	我覺得我們還好吧
144000	145000	對啊我們跟那種
145000	146000	吃全餐的比起來
146000	147000	超幸福的
147000	148000	對啊
148000	149000	嗯
149000	150000	那還有跟那種
150000	151000	超級在計程車上
151000	152000	破水的
152000	153000	對對對
153000	154000	不緊急
154000	155000	我們是一點都不緊急的
155000	157000	對我們是非常和緩的
157000	159000	然後我們還是要前行提要一下
159000	160000	就是
160000	162000	我們家在生小孩的同時
162000	164000	現在正在裝潢
164000	165000	哦
165000	167000	裝潢我們跟攝影師夫婦的房間
167000	169000	對還有後面的辦公室
169000	170000	我後面的辦公室
170000	171000	大家看影片就知道
171000	173000	就是是一片工地狀態
173000	174000	倉庫感
174000	175000	早之前就是對倉庫
175000	176000	對倉庫
176000	177000	所以我們就是想說
177000	178000	趁這一次的機會
178000	180000	一次把它全部做更新
180000	182000	沒想到全部的事情都擠在一起
182000	183000	超累
185000	186000	因為就是習俗上說
186000	188000	你如果說家裡有孕婦是不能
188000	189000	動工
189000	190000	動工嗎
190000	191000	不能釘釘子啊什麼的
191000	192000	嗯
192000	193000	所以說我們就想
193000	194000	就是
194000	196000	等那個好小姐去生的時候
196000	197000	她去住月子
197000	198000	兩個禮拜的時間
198000	199000	有空檔
199000	200000	對剛好我們就趁這個時候
200000	201000	在家裡施工
201000	202000	施工完之後
202000	204000	好小姐回來就是新的這樣子
204000	205000	沒錯
205000	206000	非常完美
206000	208000	那就可以回去開箱房子
208000	209000	對然後我們那個有一個朋友
209000	211000	她是招我們兩個禮拜生嘛
211000	212000	嗯
212000	214000	她的預產期招我們兩個禮拜
214000	216000	然後她又提前了
216000	217000	一個禮拜生
217000	218000	對
218000	221000	所以提前兩個禮拜
221000	223000	對38週多就是了
223000	224000	提前兩個禮拜生
224000	226000	她又是跟我們一樣是女生
226000	227000	年紀一模一樣
227000	230000	我們想說我們家雷夢最差最差
230000	231000	就是比人家玩一個禮拜嗎
231000	232000	到底在比什麼
232000	235000	比快到有什麼意義
235000	236000	對啊
236000	238000	所以我們想說就是雷夢
238000	240000	她原本預產期是8月17號
240000	242000	那提早一個禮拜8月10號
242000	243000	對不對
243000	244000	然後再晚個三天
244000	245000	妳住院那三天
245000	246000	對
246000	247000	剛好妳進月子中心
247000	248000	我們開始施工
248000	249000	太完美了
249000	251000	所以我們就定13號開始施工
251000	252000	對太完美了
252000	255000	結果好小姐是8月14號生
255000	257000	8月13號去生
257000	258000	她就讓我們住飯店
258000	259000	要住到那個
259000	260000	Buffet都放棄
260000	262000	早餐Buffet都直接放棄
262000	264000	然後睡到那個夫人來敲門那種
264000	265000	對
265000	266000	真的是敲門敲進的
266000	267000	不開玩笑
268000	273000	然後那天就是8月13號進去產房
273000	274000	然後生了很久
274000	275000	生了14號生
275000	277000	那前一天就從8月12號開始
277000	280000	其實我晚上就睡不著
280000	281000	其實我不知道她睡不著耶
281000	282000	對
282000	283000	因為我就是一個特性
283000	285000	我只要遇到重大事件
285000	286000	我都睡不著
286000	287000	那妳有胃痛嗎
287000	290000	有她就不敢吃東西啊
290000	291000	胃痛還好
291000	292000	她就不敢吃東西
292000	293000	超可憐
293000	294000	索性我們就不吃東西
294000	296000	我就是遇到重大事件
296000	297000	比如說像是
297000	298000	訂婚
298000	299000	結婚
299000	300000	這兩天的前一天我都沒有睡
300000	301000	都是
301000	302000	都是通宵
302000	303000	熬夜到天亮
303000	304000	太糟糕了
304000	305000	索性了吧
305000	306000	超可怕
306000	307000	沒錯
307000	308000	她都拖著疲憊的身去
308000	309000	去進行一些重要的事情
309000	310000	然後就是如果說你通宵
310000	311000	有的人會這樣子
311000	312000	就是你如果說睡眠不足
312000	314000	就會想上廁所
314000	315000	就會拉肚子
315000	316000	沒有有的人
316000	317000	就你
317000	318000	就是有些人
318000	319000	不只是我
319000	321000	你就是腸躁症啊
321000	322000	你就是你的壓
322000	323000	加焦慮都會表現在你的肚子上
323000	324000	所以說我
324000	325000	所以說我就是
325000	326000	如果說我今天是
326000	327000	重大的事件
327000	328000	那我前一天一定
328000	329000	就是沒有睡
329000	330000	那我當天就會
330000	331000	盡量不吃東西
331000	332000	欸她真的
332000	333000	真的都沒有吃東西
333000	334000	所以會又累又餓
334000	335000	對我就會又累又餓
335000	336000	然後
336000	337000	然後因為又很冷
337000	339000	所以她又累又餓又冷
339000	340000	飢寒交迫
340000	341000	飢寒交迫
341000	343000	對對對真的
343000	344000	因為我沒有睡嘛
344000	345000	所以早上等於說
345000	347000	工人都很早就來
347000	348000	那個裝潢工人
348000	349000	8點半
349000	350000	有的7點就來了
350000	351000	所以從他們一來
351000	352000	我就在現場
352000	353000	然後
353000	354000	因為我沒有睡
354000	355000	然後
355000	356000	難得有跟到
356000	357000	對我就從頭到尾
357000	358000	就是跟他們在那邊弄
358000	360000	然後看要改什麼這樣
360000	362000	所以一直到你睡醒
362000	364000	12點多我們要去
364000	365000	欸一兩點的時候
365000	367000	我們要去看醫生的時候
367000	368000	對
368000	369000	其實我已經很累了
370000	371000	那你還疲勞駕駛
371000	372000	好不怕
372000	373000	正要開始而已
373000	374000	欸正要開始
374000	375000	一切都在正要開始
375000	376000	對啊
376000	377000	對然後我們就去看醫生嘛
377000	378000	對啊
378000	379000	然後原本的計畫
379000	380000	是
380000	381000	14號
381000	382000	就是過了12點
382000	383000	是在
383000	384000	13號過了12點之後
384000	386000	14號再去報導
386000	387000	對我們再進來住院
