start	end	text
0	7600	好囉 大家好 歡迎來到好威小姐Castle
7600	9000	我懷孕月星 我是翠翠
9000	10100	大家好 我簡傑是阿段
10100	11400	大家好 我是林正凡
11400	14100	好 本集節目有預錄的廣告喔
14100	17300	本集節目由Vtex防水鞋贊助播出
17300	19000	Vtex今年改版再升級
19000	21200	推出了NEXT 21系列鞋款
21200	24100	鞋底面為全橡膠 讓鞋子更耐用更穩定
24100	26200	內裝改用立體包覆雲朵鞋墊
26200	28100	人體工學加上記憶緩震
28100	29900	可以讓你更貼合你的腳心
29900	31800	減少雙腿的疲勞感
31800	33200	專利的四層編織技術
33200	34600	除了可以防水透氣之外
34600	37200	還能抗菌 抗汙 防沙 防寒 防風
37200	38100	還有耐熱喔
38100	40300	12大特點 特地的防護你的腳腳
40300	42000	One shoes for all
42000	43700	這是Vtex第二次回來業配
43700	44600	對 回購了
44600	46800	然後又送給了我們新的鞋子
46800	48500	而且這次我也有 我有雙新的
48500	52100	我必須說這鞋子來的稍微晚了一點
52100	54400	因為我上次他送我們那一雙
54400	55900	就是基本上變成我的常備鞋嘛
55900	56700	對 每天去都穿
56700	59000	大概在一個月前吧
59000	59800	就其中一隻
59800	61200	被他把我咬走
61200	62500	然後就消失了
62500	63700	就跟我以前的鞋子一樣
63700	65100	我現在加上這一雙
65100	66200	被他把我咬 去買起來
66200	68400	然後今天的鞋子加起來應該破萬了
68400	68900	應該有
68900	69400	非常可怕
69400	70100	夾在旁邊走
70100	71900	路上就被鞋子絆倒
71900	73700	前一陣子不是剛好就是都在下雨嗎
73700	74700	對
74700	76700	我發現防水鞋真的是一個
76700	78100	平常穿沒什麼感覺
78100	79500	但是移到雨季的時候
79500	81200	不是 防水鞋是一種像是
81200	82900	就是那個需求是被發掘出來的
82900	83300	你知道嗎
83300	85200	就是你沒穿過防水鞋的時候
85200	86400	你出去外面走啊
86400	87400	下雨天鞋就濕掉
87400	88200	你就覺得說
88200	89100	理所當然
89100	89600	痛苦
89600	91900	但是覺得是自然現象
91900	92100	對
92100	93600	但是當你穿過防水鞋之後
93600	94600	你就發現說
94600	96800	其實可以不用這麼痛苦
96800	99000	那當你鞋子被狗咬走的時候
99000	100200	像前一陣子就是下雨
100200	100900	然後我出去
100900	103100	去身邊買個啤酒什麼之類的時候
103100	104500	然後就鞋子就會濕掉什麼
104500	105600	然後我就
105600	106200	更痛苦
106200	107700	有一種
107700	110200	沒有穿內衣出門的感覺
110200	111600	你本來就不用穿內衣出門
111600	112900	就非常沒有安全感
112900	114000	就是能體會那種
114000	114900	沒有穿內衣的感覺
114900	117100	赤裸的感覺
117100	117400	好啦
117400	118600	所以他們現在呢
118600	119500	VTX全家
119500	121800	取貨一雙極免運
121800	122800	很貼心喔
122800	124900	然後鞋類享2%的紅利回饋
124900	126100	注射官網的新會員呢
126100	127800	也會享100元的紅利喔
127800	128700	那結帳的時候
128700	130700	輸入我們好位的專屬優惠碼
130700	132200	LF88
132200	133700	立享88折
133700	134900	這次不用記這麼長
134900	136100	就LF而已
136100	136800	好不好
136800	138400	那詳細的商品資訊跟優惠呢
138400	139900	我們就會放在資訊欄裡面喔
139900	141200	大家記得去點來看看
141200	141900	好
141900	143300	好
143300	144300	現在時間
144300	145200	尬巴好啊
145200	146300	你是主持人嗎
146300	147800	3月8號
147800	148500	Yes
148500	151000	凌晨2點14分
151000	151800	還行齁
151800	153500	沒有說特別的晚齁
153500	154900	而且我們剛剛還有工作
154900	156700	對我們剛才拍了一支影片
156700	158600	剛剛拍了一支非常非常精實的影片
158600	160400	非常累人的影片
160400	162200	然後呢今天是這個
162200	163400	我們的第一百集
163400	164400	對
164400	166200	而且我是今天早上才想到這件事情
166200	167000	對
167000	168600	就跟之前的集數一樣
168600	169000	對
169000	171300	我們都完全沒有做任何的準備
171300	171800	然後呢
171800	173300	沒有我們之前就有跟大家說過啦
173300	175100	我們100集不會有什麼特別的東西啊
175100	177500	但是這個心情有點不一樣你知道嗎
177500	178500	大家是不是會很期待
178500	179800	我們有點負擔啊
179800	180600	不是
180600	182000	欸有可能可以這樣講
182000	183000	之前就已經提過說
183000	184600	我們不會做什麼特別的節目
184600	185100	或什麼之類的
185100	185900	所以感覺就像是
185900	187600	你男朋友跟你說
187600	189100	你生日不要太期待喔
189100	190100	我不會送你什麼禮物
