start	end	text
0	7560	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
7560	8140	我是翠翠
8140	9580	大家好 今天是阿段
9580	10320	大家好 我是翠翠
10320	12860	好 本集有預錄的業配廣告喔
12860	16880	本集節目由明華園戲劇總團贊助播出
16880	20100	傳統戲劇無敵小生孫翠鳳演技大爆發
20100	23560	陳勝福 黃志凱雙強聯手再創歌仔性新飾演
23560	26700	海賊之王鄭志龍傳奇由孫翠鳳領銜主演
26700	28900	詮釋鄭志龍波瀾壯闊的人生
28900	33280	聯手明華園總團盛大在線驚濤駭浪海上戰役史詩
33280	35720	當一切秩序尚未建立沒有規則
35720	38500	台灣這片土地從一座孤懸於海上之島
38500	40540	變成兵家必爭的戰略要地
40540	43780	看各路豪傑如何在人性征伐中殺出血路
43780	46660	明華園戲劇總團創立於1929年
46660	49060	歷經歌仔戲發展的興衰陳福至今
49060	51880	呼應時代脈動的戲劇內容以及表演形式
51880	56120	讓來自草根的歌仔戲從外台登上了國家藝術殿堂
56120	57360	4月12及4月17
57360	58700	海賊之王鄭志龍
58700	62060	傳奇將於高雄衛武營國家文化藝術中心演出
62060	65660	那明華園總團呢有給我們的粉絲專屬的折扣
65660	67940	就是七折優惠購票表單
67940	69880	那連結以及詳細的介紹呢
69880	71120	我們都會放在資訊欄裡面
71120	73340	有興趣的人一定要記得點開來看看喔
73340	76100	好這次的業配是這個歌仔戲
76100	77560	對明華園
77560	79020	就是講鄭志龍的故事
79020	79300	對
79300	80240	我看到這個
80240	81060	我覺得很酷耶
81060	82940	我就很好奇我去搜尋一下鄭志龍
82940	83320	嗯
83320	84400	就鄭志龍印象是什麼
84400	85240	海賊王
85240	86160	對海賊王
86160	87340	台灣海賊王
87340	88000	對
88000	88240	對不對
88240	88680	對
88680	88700	對
88700	90020	基本上是海賊王沒錯
90020	90380	對啊
90380	92100	大家可能只知道他是鄭成功老爸
92100	92660	對
92660	94980	對但是他真的算是海賊王
94980	97040	台灣海峽戈爾羅傑那個程度
97040	98060	戈爾羅傑
98060	99940	大於四皇
99940	101080	的那個程度
101080	102040	我後來查一下資料
102040	102740	看一下他的身體
102740	104160	海賊王內梗了嗎
104160	105680	還突然講出一大堆名字
105680	107640	就是我查一下他的身體
107640	109900	他就在台灣海峽跟日本啊
109900	111540	東南亞這一帶活動嘛
111540	113480	後來就是被清朝招輔
113480	113860	對
113860	116760	就變成他們清朝的海上力量的一支部隊這樣
116760	118080	後來變七五海了
118080	118680	大概這個感覺
118680	119800	大概這個感覺
119800	121060	他被招輔的時候呢
121060	122960	是一千多艘船
122960	124500	三萬多個人被招輔
124500	125100	蛤
125100	127060	他一個人有一千多艘船
127060	128300	對他管一千多艘船
128300	129300	好有情喔
129300	129920	我的天啊
129920	131680	不是你想像中的那個海賊
131680	132400	不是像那個
132400	133260	一艘船破破爛爛
133260	134720	不是像那個Jack Sparrow那樣
134720	135560	就那一艘
135560	137600	他擺出來的時候是看不到鏡頭的
137600	138440	哇
138440	139280	白鬍子等級
139280	139800	對白鬍子
139800	140600	好酷
140600	141440	四皇以上
141440	142760	四皇以上
142760	144000	大家可以參考一下
144000	144880	很酷
144880	146360	然後今天我們有一個
146360	148040	我覺得算是很嚴肅的主題
148040	148600	對我覺得
148600	149600	太嚴肅了
149600	150880	會不會跟我們的頻道
150880	151960	調性不合啊
151960	152320	知道
152320	154280	他上個禮拜就跟我們討論過這個主題
154280	155120	對對對對
155120	155880	我很緊張
155880	157160	我直接跟大家講
157160	158840	我們今天要來聊這個
158840	160120	偏心這件事情
160120	161720	欸我覺得一定馬上
161720	164600	很多聽眾聽到這裡心裡有一揪
164600	165200	真的嗎
165200	167480	因為我覺得一定只要不是獨生子女
167480	169640	多多少少都一定有這個經驗
169640	170760	喔我就是被這個
170760	172160	有點嚇到欸
