start	end	text
0	8320	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8320	9200	我是翠翠
9200	10420	大家好 我是尖尖沙端
10420	12020	大家好 我是尖尖沙端
12020	18500	本集節目由好味營養師品宣新產品 宣春雨贊助播出
18500	19640	好啊 好啊 好啊
19640	22140	大家都已經先留言說我們這集一定是這個了
22140	24540	我們這東西也是搞了非常非常的久
24540	25960	沒錯 非常之久
25960	27040	六七個月有吧
27040	27960	對 這是泡麵嘛
27960	31120	所以我們原本理想是在冬天剛開始的時候要出的
31120	32400	對 現在都要轉
32400	34920	趕上最後一波寒流
34920	37120	真的耶 就是這個禮拜
37120	38460	聽說會下最後一波雨
38460	39880	太巧了吧
39880	42400	好啦 簡單介紹一下
42400	45280	這是這個新品呢 是叫做宣春雨
45280	47640	那什麼是宣春雨 就是沖泡的冬粉
47640	48180	冬粉
48180	51460	超棒的耶 超適合熱愛吃宵夜的本人我
51460	52680	這時候可能大家會有疑惑
52680	55320	因為品宣他以前的影片都告訴大家說
55320	56680	吃冬粉不好
56680	56880	對
56880	57940	但是其實吃冬粉
57940	61140	不好的主要原因是因為冬粉很容易吸附湯汁
61140	62660	所以如果吃火鍋裡面的冬粉
62660	64500	它就會吸很多火鍋的湯
64500	66340	就會吸收很多的鈉
66340	69060	你會吃到很多的調味料等等的進到身體裡面
69060	72060	然後你就會超級無敵水腫
72060	72860	就是因為這個原因
72860	76200	我們把我們整包春雨的鈉含量控制在600毫克以下
76200	77980	就是一包600毫克以下
77980	79380	對比一般泡麵那種
79380	81460	隨便的一兩三千的
81460	82380	低很多
82380	85420	然後再來就是說熱量也只有150大卡
85420	86700	就沒有負擔
86700	87340	品宣說
87340	88740	你很放心的在宵夜吃
88740	90860	也不用擔心你隔天會水腫
90860	91820	非常優秀
91820	94100	然後因為品宣的這個要求
94100	96340	所以一般大家想像中泡麵的成分表
96340	97140	就已經超長
97140	98980	然後超多看不懂的複雜的東西
98980	100820	什麼瓢瓴的之類的
100820	102780	什麼那什麼有的沒的
102780	103620	反正品宣就是說
103620	105580	只要是你看不懂它是什麼的
105580	106540	我們就盡量都不要加
106540	107340	對都不加
107340	109460	所以大家看我們宣春雨的成分非常的單純
109460	111020	超級少行的
111020	111700	超級少行
111700	112220	對
112220	114780	然後因為說什麼都不能加的關係
114780	116460	到最後我覺得廠商也是拼了
116460	117180	像我們
117180	119500	有一個青酸番茄口味
119500	121100	那裡面最後廠商就放了
121100	122420	烘乾的番茄乾
122420	122940	對
122940	124140	附了一包蘋果醋
124140	125340	超奢華
125340	126340	超奢華
126340	129180	去弄出它那個水果果香的風味來
129180	129820	對
129820	130740	你講到那個番茄醋
130740	131460	我來稍微講一下
131460	133220	我們這次總共有兩個口味
133220	134180	第一個口味就是你剛剛講的
134180	135940	那個青酸番茄春雨
135940	136300	對
136300	138860	裡面就是特色就是有番茄乾跟蘋果醋
138860	139180	對
139180	141860	然後因為我跟品宣都很愛吃辣
141860	142180	對
142180	143300	所以我們兩個堅持
143300	145260	不行一定要出一款有辣的
145260	146940	他們就是說我們一定要出一款
146940	147140	很香的
147140	148860	像是那個辛辣麵的口味
148860	149940	然後還只有600大卡
149940	151660	因為辛辣麵太負擔了
151660	152180	對
152180	153660	吃完罪惡感爆棚
153660	154260	對
154260	155980	所以在我們兩個的堅持之下
