start	end	text
0	8280	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8280	8900	我是翠翠
8900	10020	大家好 我今天是阿段
10020	10980	大家好 我是林聖凡
10980	13500	好 本週也有預錄的廣告喔
13500	17840	本集節目由戴安芬自在零著感系列贊助播出
17840	19180	夏天就要到了
19180	22980	女生最擔心的就是穿貼身 淺色 材質較精薄的衣服
22980	24200	會顯內衣痕跡
24200	26140	德國百年內衣品牌戴安芬
26140	28680	推出全新的自在零著感系列
28680	32080	舒適平滑的無痕罩杯挑戰最輕薄的零著感內衣
32080	34500	讓你夏天再也不怕顯內衣痕跡
34500	36160	因應台灣春夏天氣
36160	38880	透氣罩杯跟結合創新抗菌材質
38880	41000	穿一整天都能維持優雅又美麗
41000	42560	簡約百搭的裸色系
42560	45080	還有鋼圈款及無鋼圈款可以選擇喔
45080	47720	依照場合以及穿著喜好四溢搭配
47720	50820	即日起至6月5號購買第二套七折
50820	54320	讓成套的舒適內衣給你獨一無二的自信魅力
54320	58280	趕快去戴安芬全台櫃點門市以及官網體驗看看吧
58680	60080	好 今天超級早
60080	61340	嗯 超級早
61340	62380	嚇死人的早
62380	63140	我們竟然
63140	64840	禮拜一 4月25號
64840	66620	11點34分
66620	68760	我們禮拜一就開始錄了 我要哭了
68760	70320	簡直是提早一天錄了
70320	72760	然後自己算早
72760	74580	但是我們討論今天的主題討論非常久
74580	75260	非常久
75260	76880	主要就是因為我們就是不太知道
76880	78580	自己要講什麼
78580	81920	所以我這幾天就問翠翠說
81920	83620	欸 三串人有什麼想跟大家分享的啊
83620	85080	然後三串人就是很
85080	86980	應該說我有點貼心
86980	88260	就是通常這種
88260	88660	一開始
88660	90480	現在稱讚我 等一下
90480	95520	這一開始這種就是起承轉合的這個起的這個角色
95520	97940	是我 我要想辦法先挾扯一下
97940	99100	然後想辦法帶入話題
99100	100900	對 通常是你會負責這個工作
100900	101980	翠翠這時候跟我說
101980	104020	之前那個我們上一集不是說
104020	106300	那個品怡最近就是運勢很差
106300	107320	對 中傷
107320	110860	就是她那個泡麵被吃掉是她最後一根稻草
110860	112540	但是之前她就有受傷
112540	112840	對
112840	115060	就是她去開我們家的鐵門大門的時候
115060	115660	刮到腳
115660	117480	腳被刮到這樣 受傷
117480	118660	然後又會反應 運勢也不好
118660	119160	對
119160	120260	又反正之前就是
120260	121200	那到底是怎麼樣
121200	123760	就是我們本來不是寵物展回來以後
123760	125760	大家就一直關心她會不會破病
125760	127060	結果一陣子都沒有
127060	128660	我們就想說她就是safe
128660	130940	那一陣子反而是聯盟跟我在感冒
130940	132020	對對對對對
132020	133060	然後突然有一天
133060	134560	她老婆起床的時候就跟我說
134560	136060	哎呦反正今天起不來
136060	136660	我說怎麼了
136660	137560	怎麼可能起不來
137560	138120	她是她怎樣
138120	139400	昨天太晚睡嗎
139400	140320	她說不是
140320	142460	她微微的在發燒
142460	143540	我就說嚇爆了
143540	144860	我想說毫無預警
144860	145660	然後沒有徵兆
145660	146580	然後再發低燒
146580	147820	這件事情很恐怖
147820	148660	我很喉嚨痛
148660	150060	我怕什麼
150060	150960	誰知道啊
150960	151960	然後就是問她說
151960	152820	到底徵兆是什麼
152820	153260	對對對
153260	153860	然後說發燒
153860	154700	然後有點想吐
154700	155700	然後有點拉肚子
155700	157160	然後她說喔沒事
159160	159900	沒事沒事
159900	160720	對
160720	163000	然後反正就是那時候在懷疑說
163000	164160	我在懷疑
164160	165320	是不是懦弱病毒
165320	167520	你知道她本來死都不肯去看醫生
167520	169960	她說我就是腸胃型感冒沒事啦
169960	171700	對她覺得說多喝水多休息
171700	172000	對
172000	172620	長個幾天就好了
172620	174800	然後吃的清淡一點這樣就可以了
174800	175920	就是因為你一直跟她說
175920	177320	我覺得有可能是懦弱
177320	178160	我覺得有可能懦弱
178160	178660	她最後
178660	179700	就想去了
179700	181300	就那天早上遇到她老婆
181300	183060	對然後去她老婆臉色不好
183060	184760	一大早就是臉色很差這樣
184760	185960	我就說怎麼了
185960	187120	然後我就說呦瑋凡在哪裡
187120	187420	對
187420	188660	然後說呦瑋凡在床上
188660	189900	然後說是喔她還沒好
189900	191560	然後對她死都不去看醫生
191560	192100	這樣
192100	192860	氣爆
192860	194520	對我想說哇這個
194520	196760	拉個肚子拉到家庭失和了
196760	197600	不幫不行
