start	end	text
0	6200	哈囉大家好
6200	7660	歡迎來到好位小姐哥束縛
7660	8760	我還你原型
8760	9660	我是翠翠
9660	10220	大家好
10220	10980	今天是阿端
10980	11340	大家好
11340	11880	時間真的很煩
11880	12520	好
12520	14560	本集有預錄的廣告喔
14560	18020	本集節目由阿嬤的配方贊助播出
18020	20600	阿嬤的配方跟YouTuber陳彥廷
20600	21820	聯名推出了木竹袋
21820	24160	以及竹語言的木竹系列產品
24160	25100	那木竹袋呢
25100	27760	他們主打是使用跟收納都非常方便
27760	29740	然後可攜式的提袋設計
29740	31300	還有獨特的袋式竹語筒
31300	33360	然後跟寬提把的加厚設計
33360	35000	讓大家在家裡每一個地方
35000	36900	都可以方便的享受竹語喔
36900	38700	那泡好之後的木竹袋呢
38700	39840	是可以折疊收納的
39840	41580	然後折疊之後只有2公分厚
41580	43740	所以很輕鬆不會占空間喔
43740	45940	那42公分的加高筒身呢
45940	47560	可以浸泡到整個膝蓋以下
47560	49020	那有助於血液循環
49020	50260	幫助體內的循環
50260	52480	那內層鋁波層加上保溫棉呢
52480	55560	可以讓竹湯保持30分鐘的溫暖喔
55560	57100	搭配竹語言一起使用
57100	58340	香香的精油以及海鹽
58340	60020	就會幫大家放鬆身體
60020	61300	舒緩壓力喔
61300	62480	我呢
62480	64860	本來就是一個極愛泡腳的人
64860	65980	然後我之前就在
65980	67200	彥婷她自己的影片上面
67200	68440	看到她跟阿嬤配方
68440	70000	聯名推出的那個木竹袋
70000	71520	喔 為之心動
71520	72880	我當初看到這個泡腳桶
72880	73960	邀約的時候嚇了我一跳
73960	75360	怎麼會 很棒欸
75360	76580	更多泡腳桶
76580	77980	我應該已經丟了
77980	79560	8 4 5個泡腳桶去了
79560	81560	我每年中間都要買
81560	83160	在我們家那個泡澡的東西
83160	85060	是一個拋氣式的
85060	87980	曾經都會買那種塑膠桶
87980	88320	喔
88320	90080	我都有泡腳夢欸
90080	91840	然後那個東西就會堆在浴室裡面
91840	92560	然後很頂
92560	94560	你就是走路就會踢到
94560	96520	然後它還會長一些就是積水啊
96520	97160	然後長一些那種
97160	97760	水溝
97760	99200	對 菌斑之類的東西
99200	100120	然後我就哪天受不了
100120	101040	我就把它丟掉
101040	102200	然後隔天就再買一個新的
102200	103800	每天冬天都會長一個新的出來
103800	105800	沒錯 我嚇了一大跳
105800	107880	對 但是我們這次收到那個木竹袋
107880	108920	它可以收納
108920	109520	哎呀
109520	110200	可以了吧
110200	111840	這東西本來就應該要收納啊
111840	112720	欸 確實欸
112720	114000	就應該要好好地收起來
114000	114880	桶丟在地上
114880	116680	根本就是一點一點都不用心欸
116680	117480	找麻煩欸
118320	120680	對 反正我這次因為知道它可以收納之後
120680	122120	就很放心
122120	123720	不用擔心我會被你碎唸
123720	124040	沒錯
124040	126280	欸 我就很開心地接下這個邀約
126280	128920	然後我自己泡起來是覺得高度很夠
128920	130480	就是整個膝蓋以下的小腿
130480	132240	全部都可以泡進去
132240	132640	喔
132640	134040	超舒服的
134040	135160	喔 跟大家說齁
135160	137600	就是我們這個跟阿嬤的配方的合作呢
137600	137960	嗯
137960	139040	除了Podcast以外呢
139040	140320	還有一支腦波羅的影片
140320	140880	嘿嘿嘿
140880	143040	喔 所以我們這個腦波羅影片在體驗的時候呢
143040	143440	嘿
143440	146080	我們是處在一個極度
146080	146680	疲憊
146680	147960	極度疲倦的狀態
147960	148280	對
148280	149760	極度勞累
149760	150880	累得好飽
150880	151720	跟極度疲倦
151720	152960	欸 然後去使用它
152960	153560	嗯
153560	155600	然後真的會讓人家覺得
155600	157960	就是有一種回血的感覺
157960	159320	就是很舒服
159320	161760	然後泡完之後覺得全身都清清的
161760	164440	然後精神就會變得比較好的那個狀態
164440	166680	可以有一種吊命的感覺
166680	167600	療癒
167600	169560	療癒
169560	170440	然後我這次泡腳啊
170440	172080	我有加他們的那個竹芋鹽
172080	174400	然後我這次使用的是佛手甘精油味道
174400	175000	喔
175000	177200	是香香甜甜很少女很舒服的味道欸
177200	177920	竹芋鹽
177920	179200	我覺得蠻驚訝的
179200	181880	我一直以為加竹芋鹽這個東西是加辛酸的
181880	183160	怎麼這樣說
183160	184920	就想不到他加了之後是真的有味道
184920	185640	有感覺的
185640	185920	對
185920	189440	然後你會覺得就是整個人的整體體驗很舒服
189440	189760	喔
189760	190160	嘿
190160	190640	所以呢
190640	192800	推薦給很想在家裡泡湯
192800	194120	但是很怕定微的人
194120	194320	嗯
194320	194560	喔
194560	195720	很推薦給你們喔
195720	197040	那目前阿爸的配方呢
197040	198920	他們有週年慶正在熱賣
198920	201880	就是你木竹帶來跟兩款竹芋鹽一起帶回家的話
201880	203800	是有組合價77折的
203800	206480	然後阿嬤也有給我們那個專屬的優惠碼
206480	207760	就是結帳的時候輸入
207760	209160	FLAVOR2022
209160	211120	那你只要結帳滿1200元的話
211120	215720	他就會另外再贈送給你雪融化嫩腿膜一雙
215720	216320	蛤
216320	217520	嫩腿膜
217520	218720	每個字都認識
218720	219800	但是連在一起
219800	220600	不知道是什麼東西
220600	221840	還是什麼形狀
221840	222880	反正總而言之呢
222880	224200	他所有東西連送的東西
224200	226640	就是要讓你的人的小腿脫胎換骨
226640	227000	喔
227000	227440	對
227440	227720	好
227720	229040	推薦給大家喔
229040	229360	好
229360	231760	現在的時間是5月10號
231760	233480	12點50條
233480	233760	喔
233760	235160	快一點了
235160	237280	我們本來明明就大概11點的時候就說
237280	237720	就說要
237720	238480	到路了
238480	239600	奇怪莫名其妙
239600	241520	然後我現在非常非常疲倦
241520	242000	對
242000	243320	大家應該聽聲音
243320	245480	咻咻的可以聽出一點點
245480	246640	大家聽剛剛的業配嘛
246640	247000	欸
247000	248440	是這個泡酒桶
248440	249600	一個泡酒袋的業配
249600	250360	對對對對
250360	251400	那我剛剛有提到說
251400	252200	這個業配呢
252200	254480	其實還綁著另外一支腦波肉的影片
254480	254960	嘿
254960	256960	那這個影片大概要再過個一兩個禮拜
256960	258480	大概5月底的時候
258480	259560	嘿大家才看得到
259560	260760	才知道我們到底是做了什麼
260760	261400	嗯
261400	262880	但是呢
262880	263960	我們不應該破梗啦
263960	265160	我們先不要劇透
265160	265640	喔對
265640	267240	但是最近這幾天的生活
267240	269040	都跟這支影片有非常大的相關
269040	270760	受到很大的影響
270760	272720	通常呢這種Podcast業配的口播稿
272720	273160	對
273160	275320	我們都會提前一個大概一個禮拜給廠商
275320	277880	就是這樣聽一下有沒有哪裡講錯啊什麼的
277880	278720	喔可以重錄這樣子
278720	279600	對對對對
279600	281200	但是這一次的這個口播稿呢
281200	281360	嘿
281360	282600	我們是昨天
282600	283680	才給人家
283680	284800	嘿沒錯
284800	286000	只有一天可以提
286000	287360	連確認的時間都不給
287360	287800	對
287800	288480	喔這樣子
288480	289280	為什麼會這樣呢
289280	289760	就是因為
289760	290960	就是因為我們要業配這個產品
290960	292000	我們要先試用過嘛
292000	293800	才能跟大家說我們的心得啊
293800	295240	喔對對
295240	297000	但是因為我們要拍這支影片的關係
297000	297200	嗯
297560	299360	我們那支影片呢是我們要先
299360	300960	完成某件事情之後
300960	302200	然後再去泡這個腳
302200	302840	欸對對對
302840	303760	使用這個產品
303760	304200	嗯
304200	306240	那是我們一直沒有辦法完成我們的任務
306240	308080	各種天才人活
308080	308360	對
308360	308960	然後
308960	309880	拖拖拖拖拖
309880	310120	欸
310120	311400	所以我們到禮拜天
311400	313200	才有真正的使用過這個產品
313200	313680	對
313680	314520	才有心得嘛
314520	315160	嗯
315160	316680	然後那支影片呢原本的主題
316680	319040	我的預設是有點像是一個
319040	319520	呃
319520	321040	手作類的影片的感覺
321040	322320	嗯哼
322320	325000	然後我們硬是把它拍成了一個生存挑戰
325000	325720	哈哈哈
325720	327000	極限挑戰
327000	328920	喔好像非常非常的累
328920	329160	欸
329160	330320	完全就是體力活
330320	330720	嗯
330720	332000	像你有時候去爬山的時候
332000	332480	嗯
332480	333840	你可能爬山的時候不會覺得很累
333840	334280	嗯
334280	335760	但是你隔天就開始
335760	336680	喔踢腿
336680	337560	喔這個感覺
337560	340160	啊有時候呢你如果去做一些強度更高的運動
340160	340640	嗯
340640	341400	爬更高的山
341400	341880	嘿
341880	343360	可是你隔天還不會踢腿
343360	343920	嗯
343920	345560	啊你後天才開始踢腿
345560	346120	哈哈哈
346120	346760	是喔
346760	348560	我現在就屬於那個後天才開始踢腿
348560	349560	哈哈哈
349560	351560	我們是禮拜天的淋晨啊
351560	353120	就是六日交接觸
353120	353720	拍完那支片
353720	354240	對
354240	356480	然後禮拜天一整天我沒什麼感覺
356480	356920	嗯
356920	359240	然後今天早上開始我就全身
359240	360120	酸痛到不行
360120	360680	啊發軟
360680	361280	哈哈哈
361280	362600	我完全沒辦法從床上爬起來
362600	365000	你今天整天都像個遊魂一樣飄來飄去
365000	368280	而且我們還有更多的這個問題還沒出現
368280	368800	嗯
368800	370480	因為我不是說我禮拜天的時候
370480	371320	淋晨拍完片
371320	371560	嗯
371560	372960	啊那天我們還很晚睡喔
372960	373760	淋晨拍完片之後
373760	375240	然後東西收拾收拾
375240	376480	已經快要天亮了
376480	377760	對已經五六點了
377760	378280	嗯
378280	379760	然後禮拜天是母親節嘛
379760	380240	對
380240	381960	然後隔天呢這個中午的時候
381960	382400	嗯
382400	383480	欸陳春安就來叫我起床
383480	384360	他跟雷夢睡嘛
384360	384840	對對對
384840	386840	然後說欸拔給你兩千塊錢
386840	386880	是嗎
386920	389800	那時候晚餐的時候讓他表示一下心意
389800	390560	喔母親節
390560	391080	對對對
391080	391680	我們晚餐吃好一點
391680	393000	我爸覺得我們要叫外送嘛
393000	393480	欸
393480	394360	欸叫好一點的這樣子
394360	395320	他還出這樣子
395320	395800	喔
395800	396280	然後我說好
396280	397760	然後我想
397760	400080	兩千塊錢要叫好一點的外送
400080	401280	嗯
401280	403280	就是其實叫外送有一些限制
403280	403800	嗯
403800	406000	比如說就是我們一定只能叫附近的餐廳嘛
