start	end	text
0	9760	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型 我是翠翠
9760	11880	大家好 我今天是阿端 我是也是很煩
11880	14000	本集有預錄的廣告喔
14000	19020	本集節目呢 受到司法院的廣告邀請 要來分享國民法官的資訊
19020	23160	那2023年1月 國民法官制度就會開始實施囉
23160	25720	那什麼是國民法官制度呢
25720	29000	國民法官制度就是有一群來自各行各業的民眾
29000	32460	跟法官一起坐在法台上 共同審判的一個制度
32460	34800	那大家可能會跟我一樣 就是聽到說
34800	37540	我要踏進法庭 就會有一點點緊張
37540	39700	也會擔心說自己沒有審判經驗啊
39700	41940	是不是會對審判造成不好的影響
41940	44500	那這一則司法院的廣告呢 就是想要跟大家說
44500	48340	大家不要緊張 國民法官雖然可能沒有法律的專業知識
48340	52240	但是你可以把不同的生活經驗啊 價值思考 帶進法庭裡面
52240	54620	讓審判的視角呢 能夠更多元
54620	57880	那此外 擔任國民法官呢 是全體國民的權利
57880	58980	所以學校 團體 學校 學校 學校 學校 學校
58980	60880	團體 公司都要給予公價哦
60880	63400	也不能做出任何職務上的不利處分
63400	66660	最重要的是 擔任國民法官是有薪水的哦
66660	69560	法院會依照日數核實支付日費 旅費
69560	71980	以及其他必要的費用 一定有三千元
71980	75340	相信大家的參與 一定能夠讓司法變得更完善哦
75340	76960	有薪水啊
76960	79060	當我們辦公室的小夥伴聽到這個
79060	80780	有資金 一個人三千元
80780	83480	還有公價 哇 每個人都愈來愈遇事
83480	86800	然後呢 因為這是一些跟法律相關的事情
86800	88440	我弟在當律師嘛
88440	88880	對 對 對
88880	89880	問一下他的這個意見
89880	90520	嘿嘿嘿
90520	92820	哦 他回很認真 他跟我說
92820	94360	以律師的角度來說
94360	96060	參與這種有國民法官的案件
96060	96360	對
96360	97780	一定會特別的忙碌
97780	98260	為什麼
98260	100020	因為你就必須要跟很多
100020	102360	可能不是法律專業背景的人
102360	103900	解釋說他的主張是什麼
103900	105540	然後講到大家就可以理解
105540	107500	哦 用淺顯的方式
107500	111060	然後這個過程呢 也會訓練律師就是跟大眾溝通的能力
111060	111360	哦
111360	112900	然後大眾對法律的認知等等
112900	114180	他說久而久之
114180	116680	覺得會有助於一般人去了解法律事務
116680	116840	哦
116840	118740	因為你自己本身就參與進去了嘛
118740	118880	嗯
118880	121320	慢慢的就會改善人民對法律的信任
121320	121820	嗯
121820	124660	哦 讓我也會知道說這個法律真的是一門專業
124660	125880	哦 他業務量就會變多
125880	127060	哦 他很支持
127060	127960	大概是這樣子
127960	130160	哦 他在律師的角度也很開心就對了
130160	131400	對 對 我律師很開心
131400	132360	OK OK
132360	134760	好 我們一開始就來一個重大的這個
134760	135660	消息宣布
135660	136300	不要
136300	137060	重大消息宣布
137060	138500	不要 我覺得一定沒好事
138500	139960	沒有啊 我剛剛跟你講過啊
139960	141300	啊 哦
141300	143500	就是陳傳在這幾天
143500	144700	生理期了
144700	146380	哈哈哈哈
146380	147940	哦 陳傳的
147940	148740	我一定要生
148740	150380	就是水瓶座的計畫
150380	151740	正式的一個
151740	152720	欸 也不能說正式
152720	153920	今年失敗
153920	155080	今年失敗
155080	156420	這個學年已經結束了
156420	157420	哦 這學年結束了
157420	159020	不過最近我在想這件事情
159020	161260	就是我覺得其實孟蒙最近開始
161260	163760	就是學習力跟活動力都有大暴增
163760	164120	嘿
164120	166620	我最近覺得照顧他起來有一點點吃力
166620	167260	嗯
167260	169820	然後我就懷疑說我要在今年生第二胎胞
169820	171520	哈哈哈哈
171520	173000	他前幾天不是這麼說的
173000	174400	哦 他生理期來之前
174400	174560	嗯
174560	176060	前幾天就一直覺得說好像怎麼
176060	177000	肚子悶悶的
177000	177640	欸 悶悶的不舒服
177640	178600	好像生理期快要來了
178600	178900	對
178900	180400	我說啊 也有可能是這個
180400	182440	著床的時候稍微會有點出血
182440	184040	好 懷孕出血的前兆
184040	185300	他就一直有這個念想
185300	185880	嗯
185880	187740	然後那天真的生理期來的時候
187740	188200	嗯
188200	189280	他就很沮喪
189280	189680	嗯
189680	191520	很沮喪地說失敗了
191520	192820	水瓶座寶寶走掉了
192820	193720	哈哈哈哈
193720	194820	我說看
194820	195440	沒有
195440	196080	我跟你講
196080	198520	這個絕對是一個絕對失敗的方式
198520	200120	哦 欸
200120	201960	我覺得要努力看看啊
201960	202860	不是期待
202860	204420	陳傳那個不是期待
204420	205660	陳傳他那個是
205660	206620	就是這種事情是
206620	208460	我覺得我那個程度有點像考指控
208460	208600	對
208600	211200	小孩這種生理是命運自然
211200	211700	嗯
211700	213480	對 他是該來就會來的事情
213480	214540	對 但我把他當作指控的時候
214540	216380	當你要把他順其自然的時候
216380	218340	你真的要順其自然才可以
218340	218880	嗯
218880	219880	我那時候想說
219880	220920	陳傳說想生水瓶座
220920	221720	我想說還可以啊
221720	223240	因為感覺是這個月嘛
223240	223480	嗯
223480	225580	結果陳傳嚴格限制到
225580	226820	就是他一定生出來
226820	227280	穩穩的
227280	228880	不會說突然往前就會變什麼
228880	229980	往後變什麼
229980	232420	然後又加上生理期的時間什麼
232420	233660	配合下來只有三天
233660	235020	三天
235020	235820	博士
235820	237500	就是要配合排卵期啊
237500	238460	對 因為他配合排卵期
238460	239820	然後什麼
239820	241560	那你就要不經意的在那三天
241560	243400	再補一個蜜月啊
243400	244660	我們很忙碌
244660	245500	很忙碌
245500	246100	沒有辦法
246100	247640	突然需要出去玩這樣子
247640	249040	我的那個感覺有點像是
249040	250780	我跟你講我這一路原來心路歷程
250780	252680	謝謝
252680	255220	注意我們的那個收聽年紀
255220	256640	陳傳一開始講的時候
256640	258720	我就以為他在開玩笑講講的這樣
258720	260240	然後直到他開始把這些事情
260240	262220	放上那個行事歷程
262220	263760	我之前講過了啊
263760	264380	講過了啊
264380	265580	好像有
265580	266520	我以為是講講的
266520	267360	真的有放上去
267360	268120	有放上去
268120	268460	但是我覺得
268460	270460	那可能是一個提醒的效果
270460	271860	就是我怕我忘記啊
271860	272300	對嘛
272300	273140	就提醒的效果嘛
273140	273840	就比如說
273840	274900	比如說我想在今年五月的時候
274900	277140	我想要建立一個新的運動習慣
277140	280140	我就去行事歷上面寫個踢足球
280140	281580	這樣子或是做運動
281580	282440	那種這種
282440	283140	對
283140	285220	那時候想說他應該是這個類型
285220	286140	就下面寫說
286140	286980	水瓶做寶寶
286980	289920	我們從這個時候開始努力這樣子
289920	291640	直到我後來有一陣子呢
291640	293560	我就認真的看了一下行事歷
293560	295020	我發現說有時候你行事歷
295020	296660	一直安排那個日程的時候
296660	297380	你可以點一下
297380	298320	然後在那邊新增一單
298320	298920	新的嘛
298920	299180	對
299180	300520	那你可以拉動
300520	301860	比如說這三天這五天
301860	303360	都是這個行事歷
303360	304320	對
304320	306560	我就發現說這件事情是有形成的
306560	309440	有開始時間跟結束時間的
309440	310700	我拉了三天
310700	311640	拉了三天
311640	313160	我想說哇
313160	314260	這個是
314260	315700	這麼嚴謹喔
315700	316740	對啊不然咧
316740	317980	然後我就問陳春春說
317980	320500	這個是不小心拉到還是說怎麼樣
320500	321240	他就解釋給我聽
321240	322320	這是怎麼計算的
322320	322640	對
322640	325240	首先他不希望攔到前面那個星座
325240	326580	然後
326580	326780	好
326780	328320	水瓶經驗是什麼
328320	331260	我不要這樣子
331260	333260	我就是prefer水瓶
333260	334960	他是prefer水瓶以後
334960	336800	他純水瓶最好
336800	337960	對
337960	339600	然後你要扣掉這個
339600	340960	因為我還有算那個跟
340960	342840	某某的年齡差的問題
342840	343700	對
343700	345640	你要算身體習的時間嘛
345640	345940	對
345940	348280	然後你再來你要扣掉那個入學有沒有
348280	351340	跟雷某某的入學要不要剛好分別在一個學年
351340	352320	對對對學年
352320	353720	不小心會變成差兩屆
353720	354080	對
354080	355440	就沒有達到我們的要求
355440	356820	早一點就變兩屆了
356820	357420	太難了吧
357420	358180	就是這種各種要求的事情
358180	358320	就是這種各種要求的事情
358320	360080	要求這樣子錯綜複雜結合起來
360080	360560	然後你還要算說
360560	363420	光要求到水瓶座已經夠難了
363420	364720	你還要要求到說
364720	367320	這個最佳的這個桌窗的時間
367320	367860	對
367860	369700	你如果剛好在排卵期的那個時候
369700	370560	那個不好
370560	372260	那很容易過期還是很小的
372260	372900	他說的啦
372900	373500	然後所以說最好是
373500	374240	要前一天
374240	375200	前一天之類的
375200	377480	反正被他弄起來就是走那三天的扣打
377480	378340	對
378340	380880	那三天還不一定在週末喔
380880	382120	就走那三天喔
382120	382640	對啊
382640	385580	我從那個時候開始我覺得這件事情
385580	386480	有一點壓力嗎
386480	387380	怪怪的對
387380	388180	就是隱隱約約
388180	388980	有壓力
388980	390620	但是我這個壓力不是說
390620	391680	就是說哇這三天要很努力
391680	393820	我一直以為是因為你怕我失望
393820	394760	所以你才一直跟我說
394760	396060	這件事情不會成功
396060	398260	來降低我到時候的失落感
398260	400360	我跟妳講這件事情不會成功
400360	403360	是因為我真的覺得這件事情不會成功
403360	404900	我就覺得這事情不是這樣子安排的
404900	407040	然後我就跟他說你都沒有努力看看
407040	408300	你怎麼知道
408300	409460	對
409460	411300	因為努力看看啊
411300	412340	對啊他快放棄了吧
412340	412940	對啊
412940	413800	我有努力看看好不好
413800	415800	因為讓這件事讓我感覺到壓力了
415800	416740	我覺得這種事情
416740	418040	如果讓其中一方
418040	419480	感覺到壓力
419480	421580	然後一方感覺到身體壓力
421580	422840	另一方感覺到時間壓力
422840	424040	有壓力的狀況下
424040	426280	就很難真的成功
426280	427380	確實啦
427380	429980	以我們就是聽到的一些經驗來說
429980	431620	就覺得陳春涵這個心態
431620	433420	然後我現在的這個身體的感受
433420	435060	我覺得大概沒戲
435060	436060	但是
436060	437420	但是我又不能跟他說
437420	438900	我覺得這樣不行
438900	440960	我覺得不能這樣搞
