start	end	text
0	8000	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8000	9120	我是翠翠
9120	10220	大家好 我今天是阿段
10220	11060	大家好 我是聖聖凡
11060	12880	本集有預錄的廣告喔
12880	19060	本集節目由DAC,BioLite,醫院及UVC紫外線空氣吸氣機贊助播出
19060	23360	台灣呢 是屬於氣候中年溫暖潮濕 然後住家隔間多
23360	25260	喜歡飼養毛小孩的人也比較多
25260	30140	那這種自成一格的生活方式呢 也就造就我們對於居家空氣品質的影響
30140	33720	那這樣獨特的環境 當然也要一台專屬的空氣吸氣機囉
33720	40140	生活用品首選品牌DAC 致力提供規格Double 價格Beautiful的居家良品
40140	46620	這次呢 更以防疫國家隊華新集團 就是BioLite
46620	52380	聯名推出了催電40年的光學經驗的醫院及UVC紫外線空氣吸氣機
52540	54640	那這也是第一台為了國人生活
54640	56640	專門打造的空氣吸氣機喔
56640	59040	他說你家的空氣吸氣機夠乾淨了嗎
59040	63440	其實被濾掉的一些病毒跟細菌啊 就很容易會沾附在我們的濾網上面
63440	65120	並沒有真正的消失喔
65120	69680	那DAC BioLite的空氣吸氣機呢 他們內建有UVC的紫外線燈管
69680	73040	模擬陽光的照射 被證實是擁有最佳的滅菌效果
73040	77440	而且超靜音21分貝 讓家人每天晚上都能睡得安心又舒適喔
77440	81040	其實空氣吸氣機呢 DAC大概一個月之前就寄過來了
81040	83040	對 然後因為它真的好小
83040	84640	然後我們放在辦公室裡面
84640	86640	都沒有 大家都沒有發現它的存在
86640	90640	就它會融入在你的生活周遭裡面
90640	94640	因為我印象中空氣吸氣機都是 恨不得別人知道它是空氣吸氣機
94640	96640	就是走路都會踢到的那種
96640	98640	就是跟生活的各種百事各個不入
98640	100640	但是這台不會這樣子
100640	103840	它就是很完美的融入在我們辦公室的某個角落裡面
103840	106640	它大概放了一個多禮拜 我才發現它
106640	109440	我覺得另外一個會讓我這麼晚發現它 是因為它真的很安靜
109440	110640	喔對 沒聲音
110640	111440	對 沒聲音
111440	113440	它旁邊都放著蛋捲的飲水機
113440	114240	飲水機
114240	116240	比它大太多了
116240	119440	沒錯 最後一點我覺得自己也覺得還蠻優秀一點
119440	122640	就是它算是市面上比較少見的就是有雙重殺菌
122640	124640	就是我們一般常見是有濾網的嘛
124640	127040	然後它還多了那個UVC紫外線的殺菌
127040	129840	所以就會感覺好像多一層保護 更安心的感覺
129840	132240	有了DAC Biolay的空氣吸氣機呢
132240	134240	家裡就會一直像曬過陽光的杯子一樣
134240	136240	很舒服的感覺
136240	138240	那目前正在折折預購中
138240	140240	那原價17,990元
140240	143040	那超早鳥優惠只要4,990元
143040	145840	然後當然也還有兩入三入四入的組合
145840	147840	你可以揪團一起買更划算喔
147840	150240	那有興趣的人記得要點開我們資訊欄裡面看看喔
150240	155840	現在的時間是6月14號凌晨12點15分
155840	157040	還行 還行
157040	158240	然後昨天啦
158240	160240	所以我這一兩個禮拜以來
160240	162240	應該是唯一沒有下雨的一天吧
162240	164240	對 已經下了一個多禮拜有了吧
164240	166240	我們那個房間超級潮濕
166240	167040	對
167040	169040	平常沒有下雨的時候就已經夠潮濕了
169040	171040	對 就會比別間還要稍微有點冷一點的感覺
171040	172640	下一個禮拜雨之後呢
173040	173840	大家形容一下
173840	175840	這是我現在裡面放了一台超大台的
175840	177040	應該是最大台的那種除濕機
177040	179040	我記得我們買最大公升數的
179040	181040	對 然後它一次出來那個水
181040	183040	25公升吧
183040	184040	沒那麼重啊 25公升
184040	185040	25公升誰搬得動啊
185040	187040	整台
187040	189040	25公升
189040	193040	但它那個水箱我覺得大概是一個5公升到8公升左右
193040	195040	反正拔出來的時候是有點重的
195040	197040	就我換那個水箱的頻率
197040	199040	跟我倒掉的水
199040	201040	已經讓我產生了我的浪費水的罪惡感
201040	202040	哈哈哈
203040	204040	很多的水
204040	206040	欸 一天至少有兩次以上欸
206040	207040	然後每次都很滿嘛
207040	208040	那我以前的習慣
208040	210040	就是我有時候我把它拔出來要倒那個水的話
210040	213040	我想說那我順便來就是尿個尿
213040	214040	喔 沖個廁所
214040	215040	然後把它沖掉嘛
215040	216040	嘿嘿嘿
216040	218040	就換水的頻率已經高過我尿尿的頻率
218040	219040	哈哈哈
219040	221040	就是導致我產生的罪惡感
221040	222040	負罪
222040	223040	對 我覺得這太可怕了
223040	224040	嗯
224040	227040	然後跟大家分享一下我們在雨季開始之前
227040	228040	嘿
228040	229040	我們之前做了一個
229040	230040	怎麼說呢
230040	231040	就是我們之前喔
231040	232040	嗯
232040	234040	大家就說這個夏天要來了
234040	235040	對
235040	236040	端午節過了嘛
236040	237040	大家就說夏天就來了
237040	238040	對
238040	240040	我跟陳春環想像中那個光光明媚的樣子
240040	241040	然後熱死人的
241040	242040	對
242040	243040	鳥語花下的那個夏天要來了
243040	244040	對
244040	245040	陳春環想說啊
245040	246040	我們去把那個雷夢的
246040	247040	之前
247040	248040	我們之前拍過一支影片
248040	249040	對對對
249040	251040	是那個把貓砂倒到游泳池裡面
251040	252040	做一個很大的貓砂盆
252040	253040	對 大家就很喜歡的那個
253040	254040	對對對
254040	255040	陳春環就想說
255040	256040	喔 我們把那個游泳池拿出來
256040	257040	對 游泳祭到了啊
257040	258040	沒錯
258040	259040	我們可以讓雷夢去游泳了
259040	260040	很靠玩欸
260040	261040	很棒
262040	263040	陳春環覺得可以開始玩水了
263040	265040	對 然後也可以穿得下就是
265040	266040	小孩子的泳衣
266040	267040	最小的泳衣
267040	268040	對
268040	269040	陳春環就說喔
269040	270040	我們趕快來
270040	271040	我們要準備來游泳
271040	272040	對
272040	273040	畫面都已經出來了
273040	274040	但是我們缺了一個東西
274040	275040	嗯
275040	276040	他想要去買那個小孩子的游泳圈
276040	278040	對 就是感覺好像剛開始學游泳會用到啊
278040	279040	就是我們去年啊
279040	280040	嘿
280040	281040	去年夏天的時候
281040	282040	我讓雷夢就是
282040	283040	游泳嗎
283040	284040	陳春環游泳嗎
284040	285040	就是讓他去玩泡水
285040	286040	泡水 對
286040	287040	他會有點害怕
287040	288040	在戶外洗澡
288040	289040	他會有點害怕那個
289040	290040	浮起來的感覺什麼的
290040	291040	他不敢坐下來
291040	292040	嘿 對
292040	293040	陳春環想說
293040	295040	他去幫雷夢買個小游泳圈之類的東西
295040	296040	嗯
296040	297040	在某一天晚上突然這樣想
297040	298040	對啊
298040	299040	我想說
299040	300040	擇日步撞日步
300040	301040	我們現在去逛迪卡農
301040	302040	嗯 賣體育用品
302040	303040	對 那時候大概七八點
303040	304040	哼
304040	305040	然後說讓我們去逛
305040	306040	然後兩個人就興致勃勃
306040	307040	對
307040	308040	然後我們兩個就跑到迪卡農去
308040	309040	沒錯
309040	310040	對
310040	311040	說去就去
311040	312040	我就跟我老婆說
312040	313040	你看黃姐會帶多少
313040	314040	她用不到的東西回來
314040	315040	哈哈哈哈
315040	316040	對 然後我們去很興奮到迪卡農嘛
316040	317040	對
317040	318040	一開始就很理智
318040	319040	對
319040	320040	然後我們就先游泳去
320040	321040	嘿 游泳區
321040	322040	嗯
322040	323040	什麼登山啊 露營啊
323040	324040	對 就是我們都會說
324040	325040	釣魚啊
325040	326040	我們都沒有去看
326040	327040	先不要
327040	328040	對 先不要
328040	329040	我們就先去游泳那邊
329040	330040	嗯
330040	331040	結果一看之後發現說
331040	332040	欸
332040	333040	所以他設計給小孩子那種游泳用具喔
333040	334040	就是游泳圈啊
334040	335040	護具啊
335040	336040	什麼之類的
336040	337040	好像都三歲以上才開始游
337040	338040	哈哈哈哈
338040	339040	雷夢就是
339040	340040	他套上去就直接穿過去的那一種
340040	341040	哦
341040	342040	太小一點
342040	343040	對啊
343040	344040	對於迪卡農來說
344040	345040	覺得雷夢還太小了一些
345040	346040	沒錯
346040	347040	所以我們就很失望
347040	348040	嗯
348040	349040	挑不到半件
349040	350040	什麼都沒有買
350040	351040	什麼都沒有買啊
351040	352040	對啊
352040	353040	對啊
353040	354040	他還說
354040	355040	那不然你買個泳衣好了
355040	356040	我說泳衣我去年就買好了
356040	357040	所以都沒有買到東西
357040	358040	嗯
358040	359040	那怎麼辦
359040	360040	就很鬱悶啊
360040	361040	嗯
361040	362040	但是你來都來了
362040	363040	有錢沒地方花
363040	364040	哈哈哈
364040	365040	對
365040	366040	他就說來都來了
366040	367040	嘿
367040	368040	不然我們就四處逛逛
368040	369040	對
369040	370040	然後我發現喔
370040	371040	我不知道別的縣市的迪卡農是怎麼樣
371040	372040	嘿
372040	373040	但是台中南屯這間迪卡農
373040	374040	最近把他的整個動線做了一個翻新
374040	375040	嗯
375040	376040	變成一個U-turn嗎
376040	377040	不是
377040	378040	就它變成一個運動一區一區的感覺
378040	379040	哦
379040	380040	像是一個大賣場
380040	381040	嗯
381040	383040	它現在比較像是有一區一小區一小區的主題這樣子
383040	384040	嗯
384040	385040	然後
385040	386040	我發現
386040	387040	我們上次去的時候是那個
387040	389040	去騎腳踏車之前
389040	390040	對
390040	391040	我們在騎腳踏車的前一天
391040	392040	前兩天
392040	393040	前兩天
393040	394040	對
394040	395040	我們就一群人
395040	396040	四個男的
396040	397040	對
397040	398040	去那個迪卡農大採購
398040	399040	對
399040	400040	所以我們連全車上下
400040	401040	對
401040	402040	腳踏車設備都是迪卡農設備
402040	403040	都在那裡買的
403040	404040	對
404040	405040	然後我記得我們去買腳踏車的東西的時候
