start	end	text
0	9240	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型 我是翠翠
9240	11440	大家好 我是尼尼斯拉段 大家好 我是尼森帆
11440	14800	好 本集節目想要來做個公益宣傳喔
14800	19480	唐氏政基金會想要邀請大家分享他們今年推出的中秋禮盒
19480	23460	那唐氏基金會呢 主要就是幫助唐跑保養還有身葬者
23460	25860	擁有獨立而且自主有尊嚴的生活
25860	30180	那從早期治療呢 日間照護到才藝訓練 社會融合等等
30180	34020	他們希望智力可以打造出一個全生涯的照顧服務
34020	38960	那這次主要是想要跟大家分享唐氏政基金會呢 有推出他們的中秋禮盒
38960	41700	那除了這次有愛不囉嗦這個中秋禮盒呢
41700	44960	還有由唐寶寶製作的愛照式手工照禮盒
44960	47700	還有多款名店合作系列的禮盒喔
47700	51280	那如果你今年中秋節還不知道想要送給家人朋友什麼的話
51280	53940	也可以到唐氏政基金會的網頁去選購喔
54060	55300	8月12日以前
55300	58520	也就是這個週五前預購還有找鳥優惠喔
58520	60900	那相關的連結呢 我們就會放在資訊欄裡面
60900	62460	大家記得要點開來看看喔
62460	67160	現在時間8月9日1點49分
67160	68920	嗯 父親節剛過
68920	69440	啊 沒錯
69440	71580	啊 我們已經在這邊啊 空坐
71580	75300	討論一件很嚴肅的事情討論了 大概快要40分鐘吧
75300	77280	有這麼久 很嚴肅
77280	78200	非常的久
78200	80760	就是走中中正啊 那個最佳女主角這樣
80760	81100	對
81100	82220	對 然後我們突然發現說
82220	84640	欸 那東西是要投票了
84640	85000	對
85000	89440	欸 陳春蘭在就是大概凌晨大概1點多的時候發現這件事情
89440	89820	嗯
89820	91580	因為有人去投票 然後就是分享
91580	92960	限動tag我們這樣子
92960	94620	她看到這樣 她在這邊糾結說
94620	97640	喔 到底需不需要就是分享讓大家知道這件事情
97640	99620	但她就覺得這樣好像就是很麻煩大家
99620	101100	然後覺得歹勢感
101100	103140	覺得情緒勒索 覺得很羞恥這樣子
103140	103780	對
103780	104880	就在這邊討論說
104880	106940	喔 我到底要不要分享這件事情
106940	108660	40分鐘
108660	109760	40分鐘
109760	111360	那是因為你們兩個也很糾結
111360	112280	我們才會討論這麼久
112280	114140	我準備來錄拍給自己 飲料都喝完兩邊
115000	116000	哈哈哈哈
116000	117000	還去上一次廁所
117000	118000	還去上一次廁所
118000	119400	她現在還沒有發
119400	120660	她還沒有做完決定
120660	121160	嗯
121160	121600	對
121600	123060	啊 反正投票到月底
123060	125100	我們看她什麼時候會
125100	126480	會決定這件事情
126480	127500	哎呦
127500	129800	好啦 大家如果有想投的話就去投一下
129800	131540	哈哈哈哈
131540	132600	你是什麼
132600	133760	要出去玩的媽媽嗎
133760	134260	蛤
134260	135540	青少年要出去玩 沒關係啊
135540	136600	你想去就去啦
136600	137940	好啦 沒關係啦
137940	139340	對啊 沒關係 我自己在家就好了啦
139340	140240	嘿 沒關係啦
140240	141160	我蛋都已經煮完了
141160	142240	沒關係啦
142240	144840	好啦 我其實沒有這麽在意這些事情啦
144840	145540	是
145540	147340	沒關係嘛 長大了 長大了
147340	149340	哈哈哈哈 好煩
149340	150500	好 我們現在嚴肅
150500	151280	嗯 嚴肅
151280	153740	這次要跟大家分享一個很重要的事情
153740	154840	我認為喔 個人認為
154840	155240	嗯
155240	157440	可能是我們這幾百集的最重要的一集
157440	158840	哈哈 通常都很
158840	159840	通常都很 通常都很
159840	161240	真的啦 真的啦
161240	162040	通常都很屁
162040	164240	這件事情我思考了大概兩個禮拜
164240	166200	欸 他今天完全沒有跟我說今天要錄什麼欸
166200	166740	真的啊
166740	168640	他一間扛起今天這個主題
168640	170640	我今天要錄什麼 我跟你講
170640	172780	我要跟大家分享
172780	174800	獲得幸福人生的秘密
174840	175740	太難了吧
175740	176340	真的 太難
176340	179440	不行吧 這集質量太多了吧
179440	180240	沒有沒有
180240	182140	真理就是一個看起來複雜的東西
182140	183180	對
183180	185900	有時候突然把你手機的手電筒打開
185900	186700	製造一個氣
186700	188580	他要把他自己打死扒來
188580	189440	製造一個氣氛
189440	190940	好 嚴肅嚴肅
190940	191600	真理就是這樣
191600	192200	欸
192200	194400	就是像就是一些物理定律一樣
194400	194700	嗯
194700	195940	都是非常簡明的
195940	196480	對
196480	196840	對不對
196840	198200	E等於MC平方重
198200	199640	喔 很簡明的東西
199640	200040	是
200040	201600	然後前面推導的過程可能複雜
201600	202180	對
202180	203180	最後非常的簡明
203180	203680	嗯
203680	204180	好
204840	206440	好 我直接跟大家講結論
206440	207480	好
207480	208040	這麼快
208040	209040	你已經推導完了
209040	210040	你中間的最好心
210040	210640	我以為我今天要來推導
210640	211080	沒有沒有
211080	211980	我直接跟大家講結論
211980	214140	然後我再來跟大家講推導的過程是什麼
214140	215800	OK
215800	218180	這個如何獲得幸福的人生
218180	220340	我跟你講我們只要
220340	222780	學原始人就對了
222780	223440	這是結論
223440	224240	結論
224240	226480	跟原始人學習
226480	228480	原始人幹嘛你就幹嘛
228480	229380	大概是這個感覺
229380	230200	大概是這個感覺
230200	231240	還蠻簡明的
231240	231940	很簡明
231940	232640	只有六個字
232640	233240	對
233240	234340	學原始人
234340	234740	四個字就好了
234740	236640	學原始人
236640	236980	好
236980	238100	為什麼我這麼說呢
238100	238440	對不對
238440	238840	好
238840	239880	首先
239880	241540	就是我們最近開始運動
241540	241800	對
241800	242940	我跟宥偉帆開始
242940	244340	我們組織了就是
244340	245680	打羽毛球的那個
245680	246240	團隊
246240	247480	小社團的感覺
247480	248440	在我們公司裡面
248440	248940	是
248940	250080	原本
250080	251140	原本這件事情的一開始
251140	252300	是我想要打羽毛球
252300	252800	對
252800	253700	然後我就在那個
253700	254940	硬逼著宥偉帆陪你去打
254940	255880	不是
255880	256440	沒有
256440	257780	他硬逼其中一個人去打
257780	258140	不是
258140	259400	他原本這樣計畫
259400	261440	原本是在我們自己的一個耐群裡面
261440	262380	工作群組裡
262380	262600	對
262600	264040	然後那個群組裡面就是
264040	265140	應該是企劃的群組
265140	265580	對
265580	266940	所以是我們三個人
266940	267240	對
267240	269280	跟一兩個企劃相關人員
269280	269600	對
269600	271040	這一兩個企劃相關人員呢
271040	273240	就是說他們的工作跟我是最接近的
273240	273840	對
273840	275800	比如說我等於像他們的直屬上司
275800	276200	對
276200	277780	照理說他們應該比較聽我的話
277780	278600	他們壓力很大
278600	279740	這個感覺
279740	281100	所以我就在裡面PO說
281100	282240	有沒有人想要打羽毛球
282240	283380	中午12點的時候
283380	284700	我就問有沒有人想要打羽毛球
284700	285580	就這樣子
285580	286340	我之前提過嘛
286340	286980	對
286980	287880	沒有人圍我
287880	289800	對 合理
289800	291400	但是我並沒有放棄
291400	293640	我們也是去台北參加一個商展
293640	294780	就是看什麼什麼展
294780	295880	食品設備展什麼東西的
295880	297200	反正看一個展覽就對了
297200	298980	是我跟尤偉帆
298980	300540	跟另外一個
300540	301240	開發
301240	302340	嘿 女同事去的
302340	302740	對
302740	303780	我們去逛完的時候
303780	304600	吃晚餐的時候
304600	305240	嗯
305240	306140	我就問那個
306140	308300	因為尤偉帆我就覺得他絕對拉不動
308300	308840	嗯
308840	309680	覺得他不會想去
309680	311280	對 他就是像顆爛柔跟屍體一樣
311280	312200	基本上不會動
312200	312540	好
312540	314540	所以說我就問那個女同事說
314540	314980	嗯
314980	316440	欸 你要不要打羽毛球
316440	317680	你是不是架著人家問的
317680	318080	沒有沒有
318080	319040	哈哈哈
319040	320180	很公正 我在吃飯的時候問
320180	321280	就說你要不要去打羽毛球
321280	322940	你快走 堵到人家面前
322940	323640	他跟我說
323640	325440	欸 他覺得還行
325440	325940	喔 是喔
325940	326740	然後我們有另外一個同事
326740	327940	他會不會客氣而已啊
327940	328240	沒有沒有
328240	329440	他說我們有另外一個同事
329440	330240	他很喜歡打羽毛球
330240	331240	他怕你不載他回家
331240	332280	沒有
332280	334200	他會把你丟包在高鐵站
334200	335900	他提供了我一個資訊
335900	337040	告訴我一個key man
337040	337440	嗯
337440	338880	這是我們有另外一個那個女同事
338880	339280	說我幫你
339280	340980	我接到補習班打來推銷電話
340980	341500	我也會給他
341500	342940	我另外同學電話
