start	end	text
0	9560	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型 我是翠翠
9560	11520	大家好 我是聖聖凡
11520	18180	好 本集節目由好味商店海陸貓凍乾 鮮食調味料 滿額贈 贊助播出
18180	21000	這次的贊助者是我們自己
21000	24180	就是我們要辦一個感恩酬謝的活動
24180	25560	喔 感恩酬謝
25560	27560	對對對 就是要送大家東西
27560	33000	就是現在這個時候 其實夏天是很多貓咪食慾比較不好的時候
33000	37880	所以我們就想說 這個時候要送大家東西 當然一定要跟這個主題有一點貼合
37880	41320	對 那大家都知道 我們的那個貓凍乾賣得非常好
41320	44400	對 就是很多貓咪吃了以後 就食慾大開
44400	46960	鮮食調味料呢 其實也有一樣的感覺
46960	49720	對 那我們這次呢 就把兩個東西combine在一起
49720	51040	結合在一起 沒錯
51040	54400	做一個海陸貓凍乾口味的鮮食調味料
54400	56480	那現在呢 就是只要在好味商店
56480	57520	你消費滿一千元
57520	57540	對 那現在呢 就是只要在好味商店你消費滿一千元
57540	59180	兩百元 不含孕
59180	61340	就馬上送一瓶給大家
61340	62620	沒有其他任何條件
62620	63340	沒有 就這樣
63340	64260	滿額直接送
64260	65860	沒錯 是不是很阿莎利
65860	67460	沒有錯
67460	69340	好 那相關的活動資訊呢
69340	70780	我們也會放在資訊欄裡面
70780	73700	所以大家記得一定要去點開來看看喔
73700	78580	現在時間8月16號 凌晨2點17分
78580	80180	哎呀 被我耽誤了一些時間
80180	81340	我們幾點就在這裡
81340	82780	我們幾點就在這裡 自己說
82780	84780	我們大概12點半就在這個地方
84780	86060	沒錯 集合
86060	87500	那時候有委訪人在睡覺
87500	89220	對 他剛還沒有醒來
89220	90340	眼睛都還沒張開
90340	91540	對對對 先把他叫醒
91540	93180	他還在那邊架設備
93180	95300	我想說這個時間不能浪費
95300	96580	所以呢 我就
96580	97220	就是我之前
97220	99860	我把他花15分鐘架好了
99860	102460	所以我之前買了一個新的那個伏標
102460	104100	我們掉下來的伏標
104100	105140	我想說趁這個時候
105140	106940	短短的這小段時間裡面
106940	109740	我就把我那個伏標的線組先綁起來
109740	111820	喔 因為我們上個禮拜
111820	113500	應該說這幾個禮拜來
113500	115780	發生了一些意外事件
115780	117340	就是每次我們都約好
117340	119020	我們是現在跟富二代比
119020	121300	我們約好說我們禮拜三固定去釣蝦
121300	122180	對 晚上
122180	124380	我們把這個時間侷限起來
124380	125740	那這樣我們也不會說
125740	127500	太沉迷於這個活動
127500	128220	對對對
128220	129620	穩定的這個有一個娛樂
129620	131340	調劑生活這樣就好了
131340	132540	對 喔 每次都想說
132540	133940	我們年紀又這麼大
133940	134940	早去早回
134940	137260	不要搞太晚熬夜又要被罵
137260	138780	我們每次都
138780	139860	對 我們每次都想說
139860	141780	我們7點去開竿
141780	142700	7點開始釣
142700	143780	釣到10點
143780	144340	剛剛好
144340	145820	然後吃個宵夜
145820	147140	在那邊帶客料理
147340	149940	然後吃完之後11點回來
149940	152100	秋秋的還可以洗個澡
152100	153060	玩一下小孩睡覺
153060	154020	大家都不用熬夜
154020	156140	每天就有精神的洗床上班
156140	156700	這樣子
156700	158660	我們每次都是這個計劃
158660	160860	然後每次都會有一兩個人
160860	161900	突然說
161900	164100	我今天這個線組需要調整
164100	166100	我們就到某一個人的家裡面
166100	167060	每個調一下線組
167060	168260	到底是有什麼好調的
168260	169740	加個一兩個砝碼
169740	170940	加一點重量
170940	171540	他就說
171540	173420	我這個線頭好像綁的沒有很緊
173420	174940	我重綁一下這個線
174940	175780	對 我也不知道為什麼
175780	176340	綁一兩個截
176340	177300	每次都花一兩個小時
177340	178420	綁截到底是難在哪
178420	179100	不就打死截
179100	179740	把它固定住
179740	180980	不要掉就好了嗎
180980	182740	打完截之後你會很
182740	183580	很擔心
183580	184420	很擔心什麼
184420	186980	因為擔心那個截到底就是緊不緊
186980	188500	拉一拉拉拉看啊
188500	189700	拉一拉之後你還是會那個
189700	191260	你就是在那邊琢磨
191260	192460	因為黃衣鞋不止一次
192460	194060	把它東西噴掉
194060	195580	就是截沒綁緊
195580	196980	然後就整組那個
196980	198780	就是釣蝦前面有一個那個天平
198780	199780	你知道嗎
199780	201140	他有一個像天平的裝置
201140	202660	可以讓你掛兩個鉤子
202660	203940	我就噴掉一組那個天平
203940	206020	然後加兩三個那個鉤子
206020	207180	都在那個蝦池底部
207340	208540	兩三百塊
208540	209620	所以有人釣到就是
209620	211100	被我鉤住的那個蝦子的話
211100	213820	他就直接釣上來直接賺三百
213820	214940	對就是我噴裝
214940	216140	因為我這個噴裝的關係
216140	218580	搞得大家就是神經緊繃
218580	221180	每次都要調整釣花很多時間
221180	223300	像上禮拜就是我們原本想說
223300	224740	上禮拜稍微晚了一點
224740	225940	原本想說我們八點開竿
225940	227180	對你跟我說八點去
227180	228460	十二點回來
228460	229220	對對對
229220	231620	對結果也是去綁了個線
231620	232100	這樣子
232100	234660	結果我們開竿的時候已經快十一點
234660	235380	完全不知道中間
235380	236300	這中間怎樣
236300	237300	中間這個時間去哪
237300	238060	不知道
238060	238860	到底發生什麼事情
238860	240140	對時間都去哪了
240140	240940	沒有人曉得
240940	242140	什麼東西也沒有多出來
242140	242940	什麼東西也沒有少
242940	244660	但是時間就這樣不見
244660	246900	那天我們也是最後釣完蝦
246900	248180	然後吃完飯
248180	249460	回家的時候凌晨三點
249460	250420	對
250420	251140	四個人
251140	251900	沒錯
251900	252820	每個人都被罵
252820	254580	活該
254580	255940	不應該的
255940	257500	所以我們今天講好
257500	260420	就是我們一定要在禮拜三之前
260420	262940	本來我們都是想說在去之前
262940	264420	把你的線綁好就好
264420	264780	不行
264780	266580	我們要在禮拜三
266580	267260	那一天之前
267260	268820	禮拜一禮拜二
268820	269100	對
269100	270340	就要把線綁好
270340	272540	我們禮拜二晚上要做一個晚點名
272540	273100	對
273100	275420	輕點裝備
275420	276300	輕點裝備
276300	277700	隔天出發
277700	278380	這樣子
278380	279740	所以我就利用剛剛的時間
279740	280500	有掌勁很棒
280500	281500	利用
281500	283540	利用剛剛那個一小段空檔的時間
283540	284860	想說我來綁一下我的線組
284860	285500	對
285500	287860	結果這種奇異的現象又發生了
287860	288580	什麼現象
288580	290020	時間都去哪的現象
290020	291780	我也是綁了兩個節而已
291780	293060	怎麼就過了兩個小時呢
293060	294340	對啊莫名其妙
294340	296860	這節是怎樣是要怎麼綁出花來是不是
296860	297900	你所知
297900	300220	我們今天想要來討論一件事情
300220	301900	就是我們前兩天在討論說
301900	303500	我們這禮拜的Podcast要聊什麼
303500	303980	對
303980	305340	然後陳村在提到說
305340	306900	現在是八月底
306900	307340	對
307340	308300	快要九月了
308300	310340	這現在是一個畢業季節
310340	310700	對
310700	311300	差不多
311300	312900	你可能畢業生畢業之後
312900	314780	然後就放暑假想說放鬆一下
314780	315300	對
315300	317380	然後玩個一兩個月的時間
317380	320380	整理一下自己的身心靈跟過去的生活
320380	321380	現在已經八月中了
321380	322980	差不多要收心了
322980	325460	就是差不多開始找工作什麼之類的
325460	326700	或甚至有人可能已經開始上班了
326700	327220	這樣子
327220	327820	沒錯
327820	328500	陳村就說
328500	331420	我們是不是來聊一聊這個求職相關的主題
331420	332140	是
332140	333500	我想一下說
333500	337420	求職對我們來說這個太俗氣了
337420	338300	太適快了
338300	339100	為什麼
339100	341260	我們不講這種求職的
341260	342780	我們不講這種主題是不是
342780	344740	不講這種求職工作的
344740	345380	我們要談
345380	348660	我們就應該要談夢想
348660	349380	有沒有道理
349380	349860	有
349860	350260	有沒有道理
350260	352060	好像我們會討論的事情
352060	353980	就應該談夢想
353980	355460	你現在好不容易畢業了
355460	355980	對
355980	356460	對啊
356460	360540	你這個世俗大家規定你的這個學業已經完成了
360540	360940	對
360940	362580	為什麼這時候一定要去工作呢
362580	364980	這時候應該是你實踐夢想的時間點
364980	365660	沒錯
365660	365940	對嘛
365940	366940	沒什麼好失去的時候
366940	368180	就是往前衝的時候
368180	371700	不是這時候放下夢想好好工作的時間點嗎
371700	372100	沒有
372100	373500	你這就狹隘了
373500	375140	我們來聊聊夢想
375140	376420	聊聊我們小時候的夢想
376420	379980	就是我們希望以後成為一個什麼樣的人
379980	382700	然後我們現在就是做到了什麼程度
382700	383780	給大家當一個參考
383780	384580	好
384580	385780	現在會講出來的夢想是不是都是沒事的嗎
385780	386260	好現在會講出來的夢想是不是都是沒事的嗎
386260	387100	可以實現
387100	387860	不一定
387860	388420	真的嗎
388420	389700	不可能在實現的路上
389700	390420	對啊
390420	391220	不可能
391220	393860	比如說陳春安你有什麼小時候的夢想
393860	396420	小時候夢想成為什麼樣的人物
396420	397460	我覺得好下感
397460	400020	我有很長一段時間
400020	403380	大概在我就是成年之前
403380	404220	成年之前
404220	405100	對我印象中
405100	406060	18歲之前
406060	408940	大概是一個到個國中的感覺
408940	411540	我都覺得
411540	412780	好難以啟齒
412780	413500	怎麼辦
413500	414780	我現在在狂扣我自己的腳
414780	415340	我現在在狂扣我自己的腳
415340	415940	我現在在狂扣我自己的腳
415940	419220	我就覺得我未來一定會成為一名
419220	421620	一名什麼
421620	424300	一名成功的演員或是明星
424300	424860	啊
424860	425980	是
425980	426660	怎麼了
426660	429340	你看起來面有難色
429340	432900	就是小女孩想要成為演員或明星
432900	434180	是很合理很普遍的現象
434180	434860	哪有
434860	435460	我們那個時候
435460	436020	很多好不好
436020	436780	是嗎
436780	437260	每一個都是啊
437260	438620	那時候又不流行
438620	439740	很流行啊怎麼不流行
439740	440540	怎麼會
440540	441460	那時候不是
441460	442340	而且還是我們小時候
442340	443540	我們小時候剛好是一個
443540	445780	一堆桶星爆發的時候
445780	447060	大家都會這樣想
447060	448540	可是我這個夢想是
448540	449900	莫名其妙就覺得我
449900	452100	就是會成為演員的那一種
452100	453460	但是我覺得你比較特殊的點
453460	455780	是你這個夢想一直持續到你就是
455780	456540	國中
456540	456940	對啊
456940	460180	通常大概三歲左右大家就會
460180	461460	小三左右
461460	462740	小三大概是個極限
462740	463420	就是在
463420	464100	就是
464100	467340	就發現說那個很愛表演的小孩很討厭
467340	468220	那個時候
468220	469300	就是女孩子嘛
469300	470940	難免就會有一段時間特別愛現
470940	472300	跟想要當公主
472300	474340	但是我這個時間就是也就是
474340	475620	就是延續了蠻長的
475620	475740	就是我這個時間就是也就是就是延續了蠻長的
475780	477740	所以你到18歲都還就是
477740	480780	沒有18歲我重生國中那個15歲
480780	481380	你看
481380	486060	不是我為什麼會這麼堅信呢
486060	490380	我就一直覺得這件事情會默默的成為一個必然的結果
490380	492340	我甚至不曾為此努力過
492340	494140	我甚至沒有去上過相關課
494140	494940	這麼有自信
494940	495380	沒錯
495380	497140	就覺得老子天生就是來當演員
497140	498700	對就是吃演員飯的
498700	504100	所以我就說我不想講我覺得很丟臉
504100	504740	我現在沒有啊
504740	505620	很好意思欸
505620	507780	因為呢
507780	511580	我覺得這都要拜我有一個非常愛我的媽媽之賜
511580	513580	我媽對我就是一直都
513580	517060	我媽就是一個很樂於讚美小孩的人
517060	519860	就是她對我一直對我的外型啊
519860	521900	一直有彌之自信
521900	523180	特別對你的外型
523180	523940	對對對
523940	528020	我媽一直都覺得我天生就是長得又可愛又活潑機靈
528020	529500	然後人見人愛
529500	530220	我未來呢
530220	531820	一定會吃演員這一行飯
531820	533500	不然就是去當明星
533500	534740	然後她就一直跟我說
534740	535460	小時候齁
