start	end	text
0	8400	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8400	9160	我是翠翠
9160	11160	大家好 我是阿段 大家好 我是林聖凡
11160	15240	本集節目由營養師品宣 寶寶豆買一送一啦
15240	17600	專注播出
17600	19840	這個是有一個故事的
19840	23360	大家一定很莫名想說 怎麼突然有個活動
23360	24720	是這樣子
24720	27280	就是我們這個禮拜
27280	30480	說我們出貨的倉庫那邊 傳來了一個消息
30480	31760	可怕的消息
31760	35000	說有一大批的寶寶凍 快要集齊了
35000	36960	在11月的時候就要集齊了
36960	40600	我就嚇一跳說 為什麼會憑空冒出這麼一大批寶寶凍
40600	44800	因為我印象之中 已經很久沒有聽到寶寶凍缺貨 要買什麼的消息
44800	46560	它就一直穩穩的這樣子跑
46560	50720	那怎麼會穩穩的跑到最後 突然冒出一大批 突然要集齊呢
50720	53080	你有沒有發現 我們也很久沒有跟寶寶凍叫貨了
53080	55400	沒錯 所以我們就很緊張
55400	57120	然後去做一個深入的調查
57120	59560	之後發現 在去年
59560	61880	就是品萱剛生小孩的那個時候
61880	64600	我們做了一個寶寶凍的買一送一的活動
64600	67560	然後那時候得到了非常非常好的響應
67560	71680	這個是一個生小孩級的這種促銷
71680	73120	普天同慶級的
73120	75160	普天同慶級的這種促銷
75160	77040	瞬間寶寶凍就賣完
77040	81040	我們好像兩週就把一個月 本來預計要跑一個月的活動跑完了
81040	82320	這時候我們的夥伴就很緊張
82320	84760	然後趕快去找那個廠商再叫貨這樣子
84760	86080	然後這個時候
86080	88040	負責叫貨的那個夥伴
88040	89800	就是優惠凡
89800	92920	大家可能有看到我們把他貼文說小夥伴
92920	95560	就是優惠凡
95560	96920	然後他就訂貨嘛
96920	98320	然後他的這個訂單呢
98320	99840	出了一點點的差錯
99840	100640	很小啦
100640	101640	我贏哥說小之後
101640	104680	很小一個差錯
104680	107640	結果他在訂單叫的數量呢
107640	108560	多達一個零
108560	113520	對 差不多0.3公分的錯誤
113520	115200	就比如說你本來要叫五千盒
115200	115680	對
116080	117600	一種叫五萬盒
117600	118040	對
118040	119600	多達一個零
119600	124640	這個我想說江果的那個周碎也要普遍同情
124640	125840	真的差不多
125840	129160	你知道多達了一個零會造成什麼樣的後果嗎
129160	130160	首先
130160	131440	那個廠商啊
131440	133040	變得很好配合
133040	134560	樂歪
134560	136440	就是他其實是一間很大間的公司
136440	137360	幫我們代工的廠商
137360	138880	他平常都是幫一些什麼
138880	139720	桶衣啊
139720	141200	那些大企業
141200	142960	像我們這種小公司
142960	144800	然後要做很特殊沒見過的產品
144800	146000	然後有一大堆什麼東西
146000	148240	都要去盯那個成分比例什麼
148240	149720	一直都覺得我們很煩
149720	151040	很麻煩這樣子
151040	152320	結果突然
152320	153840	最近變得很好配合
153840	154840	這幹嘛都好
154840	155880	開發寶劍寶藕
155880	156760	說一路順暢
156760	157880	一路順暢
157880	159200	快龍抵董
159200	160320	原本跟他們說就是
160320	161400	我們那個倉庫很小
161400	162760	能不能這個貨先
162760	164160	裡面倉庫借放一下
164160	164920	他說不行
164920	165920	我們倉庫也很滿
165920	166560	很擠喔
166560	168320	不行喔
168320	169760	今年突然配合我們
169760	171480	就是這個我們這個出貨
171480	172840	分批出
172840	174840	我想說為什麼他們突然答應我們分批出
174840	175120	對
175120	177880	因為是交友量太大
177880	179280	必須分批出
179280	180080	我想說
180080	181280	我們建立了一個良好
181280	182480	這個善意的循環
182480	183960	交到了一個好朋友
183960	184880	那種感覺
184880	186560	原來我們變大客戶了
186560	187640	我們自己都沒有發現
187640	188240	對
188240	189520	然後今年就一直想說
189520	191840	這個品萱的這個品牌
191840	192560	成長很不錯
192560	193160	對
193160	196240	那個倉庫越來越就是沒有空間
196240	198360	然後我們還換了一個比較大的倉庫
198360	199440	怎麼奇怪了
199440	200680	就是也沒開發什麼產品
200680	201880	為什麼倉庫越來越滿
201880	203200	很多產品
203200	204320	真真正正上
205120	206760	那突然發現
206760	207360	哇
207360	208720	整個倉庫堆滿了包包凍
208720	209960	沒錯
209960	212440	所以我們在這個危機的時刻
212440	214120	就再做了一次
214120	219360	這種普天同慶的這個促銷活動
219360	221360	就是我們等同於
221360	222560	萍萱又生了一個小孩
222560	224800	我們就當薑果週歲
224800	226040	週歲慶
226040	227480	那個包包凍就是
227480	228000	買一送一
228000	229320	週歲也是一生只有一次
229320	229680	確實
229680	230320	好啦好啦
230320	231320	誰不是每個生日
231320	233120	每年一年最生都走一次
233120	234720	所以我們就是從昨天開始
234720	234960	嗯
234960	235800	這個活動就開始了
235800	237600	就是包包凍買一送一
237600	238720	就你下單買一盒
238720	240160	我們就直接出兩盒給你
240160	240720	對對對
240720	241880	非常的簡單
241880	243640	然後這個時候有人就不開心了
243640	244760	有人不開心
244760	246600	因為我們前一個月
246600	249240	萍萱這個品牌剛好連續出了兩個新品
249240	250600	對辣椒醬
250600	251920	還有這個保健包包凍
251920	252960	沒錯
252960	254360	這些我們一出新品
254360	255800	他就趕快來嘗試的人
255800	258400	其實是我們最忠實的好客人
258400	259520	然後他們就想說
259520	260920	突然冒出一個這麼大優惠
260920	262680	我之前就已經買過了
262680	263280	這樣不是很虧嗎
263280	263840	剛補貨
263840	264800	對剛補貨
264960	266040	這個我們都想好了
266040	266680	沒錯
266680	270000	所以你從8月1號到這個9月初
270000	272440	只要你曾經在萍萱的商店下單
272440	275280	我們都偷偷的把這個優惠碼寄到你的信箱
275280	277000	還有手機的簡訊裡面
277000	277880	傳給你
277880	279480	你只要拿這個優惠碼
279480	281600	在萍萱的商店裡面買任何的東西
281600	282320	任何的東西
282320	283720	我們都直接免運
283720	284920	然後你就可以參加一個
284920	286960	包包凍的一個這個
286960	288680	抽獎活動
288680	290200	抽獎有點不精準
290200	291400	這是一個像是
291400	292840	手遊抽卡的活動
292840	294560	轉蛋活動
294560	296200	轉蛋很精準
296200	298600	所以你至少可以抽到一盒包包凍
298600	301400	運氣好你可以抽到最多三盒包包凍
301400	302800	這個是人人有獎
302800	304280	你只要有參加抽獎的話
304280	305280	最少都有一盒
305280	306360	對你去買一個最便宜的
306360	307800	比如說買了一個這個
307800	308680	爆米花
308680	309880	198塊錢
309880	311160	突然就收到一大箱
311160	312280	三盒包包凍
312280	312840	超棒
312840	313680	賺翻
313680	315200	然後大家趕快去看看
315200	316760	然後這個我們活動
316760	319680	目前已經開始大概兩個小時
319680	321480	那個蜂蜜檸檬已經賣完了
321480	322400	已經沒有了
322400	324160	瞬間就被搶完了
324160	324520	有的人
324560	326520	可能會說我下單的時候沒有
326520	327560	怎麼我回去重新整理
327560	328800	又突然跑出來了
328800	330680	那怕大家會誤會
330680	331600	我們偷補貨
331600	331960	沒有
331960	333960	是因為有可能剛好有人退單
333960	335200	他就會突然再冒出來
335200	336680	或是他的刷卡沒有過
336680	337640	他又再冒出來
337640	338000	這樣子
338000	338560	這種活動
338560	339360	買一送一這種活動
339360	340240	都是一個緣分
340240	341680	對緣分
341680	343080	你也不要苦蹲
343080	345080	退單的人很少
345080	345440	這樣子
345440	346680	然後大家把握機會
346680	349640	這個應該不會再出現
349640	350360	應該吧
350360	352000	應該不會再出現
352000	353200	好我們最後
353200	354320	我們請這個活動的
354320	356160	這個主辦單位
356160	358400	主策劃人
358400	359800	來發表一下他的高見
359800	361840	來對我們講幾句話
361840	365560	我這個週年慶策劃一年
365560	367120	驚喜週年慶
367120	367880	真的
367880	370160	對我們來說也好驚喜
370160	372360	那我們今天就順著這個主題
372360	373840	順著這個事件
373840	375000	我們來聊聊
375000	376280	驚喜嗎
376280	378080	我們要聊出包的經驗
378080	381160	你剛才說是驚喜
381160	382960	我剛剛這個事情一發生的時候
382960	383360	對
383360	384160	就有一個這個
384160	385400	我小時候的一個事件
385400	387680	直接進入我的腦中
387680	389000	就是粗暴這件事情
389000	390840	一個直接聯想
390840	392800	就是我在國小大概
392800	395000	我記得是小學三年級的時候
395000	398120	我在班上我是屬於那種
398120	399840	自然宅的小孩
399840	401000	什麼叫自然宅
401000	402360	就大概小三小四之後
402360	404000	那個國小班級就會開始
404000	405240	分成各種各種的
405240	406840	不同類型的小朋友
406840	408760	有一種是這種體育型
408760	411280	下課就趕快去搶球場打籃球那種
411280	413000	有一種就是這個屬於這個
413000	413800	讀書型的
414160	417640	下課就在互相看對方的答案的那種
417640	418080	還有這種
418080	419520	讀書型的下課就在寫作業這種
419520	420000	對
420000	422200	還有一種是這個家裡有錢型的
422200	423320	就下課的時候就在玩
423320	425400	帶大家去那個合作社那種
425400	426000	不是
426000	426880	什麼買這個
426880	428520	它會有各種華麗的玩具
428520	429520	高級玩具
429520	430360	對
430360	431800	我是屬於那種就是
431800	432920	最邊緣的那種
432920	433560	自然宅
433560	434680	什麼叫自然宅
434680	435440	去抓青蛙那種
435440	436120	之類的
436120	436600	蛤
436600	436920	就是
436920	437680	好怪
437680	440760	對這個自然科學有很有興趣
440760	441880	然後自然課
441880	443920	那個自然考試都考一百分
444160	445000	就這種
445000	447440	是讀書沒有讀書宅搶
447440	449400	跑又跑不贏運動宅
449400	451440	只能去抓蟲
451440	453080	自己進入一個獨特品項
453080	453600	對
453600	454800	比較專業的這個類型
454800	455880	OK
455880	459200	所以我在這個自然課之前
459200	460560	我就習慣就是
460560	462840	跑去那個老師辦公室晃晃
462840	463800	就是跟老師聊聊天
463800	465920	跑桃葉
465920	467600	幫老師休息好不好
467600	468400	馬屁精
468400	469160	這種
469160	472120	問看今天自然課要上些什麼之類
472120	473840	幫老師拿東西這個類型
474160	475920	這一天很特殊
475920	478080	這自然課之前我去找老師
478080	479120	老師就跟我說
479120	480960	剛好我們接下來要驗收的
480960	482960	我們一個實驗的成果
482960	484480	就是我們大概一個禮拜前
484480	485960	上到這個
485960	487400	增善
487400	489000	增善作用
489000	491640	增善作用
491640	494000	就是這個你把一杯水放在空氣中
494000	496480	它就慢慢的水會蒸發掉
496480	497680	所以我們就有做一個實驗
497680	499840	就是拿了兩杯水
499840	502960	一杯水放在這個窗台太陽底下
502960	503920	一杯水放在
503920	505640	這個櫃子裡面
505640	508680	然後看兩個的蒸發量什麼的
508680	510520	有沒有差別的東西
510520	511640	上禮拜就做了這個實驗
511640	512200	就是把杯子
512200	514040	兩個杯子放在辦公室那裡
514040	515440	然後放了一個禮拜
515440	516400	所以說很明顯
516400	517880	就是那個在窗台上
517880	519200	那個水就會少一點
519200	521640	櫃子裡面那個水就會多一點
521640	522480	然後老師就跟我說
522480	523760	黃菲姐你來得剛好
523760	526200	幫我把這兩個杯子拿回教室
526200	527560	等一下上課要用
527560	528520	這樣我就
528520	529120	很開心
529120	530720	被賦予重任
530720	533800	我就小心的端著這兩個水杯
533920	535560	我們那個辦公室在二樓
535560	537400	我們的教室在三樓
537400	539400	我就拿著這個兩個杯子
539400	540240	很謹慎
540240	541360	然後走樓梯
541360	543640	走走走
543640	544560	結果就在這個
544560	545680	樓梯不是都會上去
545680	546960	然後有一個轉彎一個平台
546960	547760	然後再上去嗎
547760	548600	對
548600	549520	不知道為什麼
549520	550480	這是我那個人生
550480	552040	活到那個時候十幾歲
552040	553080	第一次
553080	555560	我在樓梯上摔了個狗屎
555560	557800	就在那個轉彎的地方
557800	559640	會不會太小心盯著那個杯子
559640	560520	沒有看腳下
560520	562720	而且我腦中還有一個這個畫面
562720	563360	就說哇
563360	564200	如果我在這邊跌倒
564200	565080	那就挫賽了
565080	566240	然後就跌倒了
566240	567040	然後腳不知道怎麼樣
567040	567800	我就撲倒
567800	568920	而且是
568920	569320	撲倒
569320	571240	就是我兩個雙手往前伸兩杯水
571240	572440	然後就整個灑在
572440	574120	那有撥著打破之類的嗎
574120	575720	沒有那是塑膠杯
575720	577320	對我就把所有的水全部灑出來
577320	578720	所有的實驗數據
578720	583400	全都摧毀在我手上
583400	584760	那時候我就嚇傻了
584760	585240	我說哇
585240	587120	那個時候一片慌亂
587120	587880	然後我就
587880	589520	就是趕快跑去那個系統
589520	590120	就像你說的
590120	590440	對啊
590440	591360	我開始偽造數據
591360	592360	對啊
592720	593680	偽造數據
593680	594680	我會跑去洗手台
594680	596520	然後兩個都裝一點點
596520	596960	這樣子
596960	599320	但是就是我不知道他到底
599320	601120	準確來說是在哪個地方
601120	602440	我知道哪個比較多
602440	604440	但是到底原本裝了多少
604440	605160	然後灑了多少
605160	606080	我不曉得
606080	608360	我這樣就是隨便裝了兩杯
608360	609200	然後我就拿回教室
609200	611440	當作什麼什麼也發生
611440	612520	然後開始上課了
612520	613120	對啊
613120	615160	然後上課的時候就看那個杯子
615160	616640	然後就看一看
616640	618480	就覺得說哪裡不太對勁
618480	620200	可是我裝了水量問題
620200	620880	然後說黃燕姐
620880	622680	你這個杯子是不是有
622720	623360	撒出來
623360	624120	嗯
624120	624800	然後我就跟老師說
624800	625480	啊
625480	625920	沒有啊
625920	627840	哈哈哈哈
627840	630000	老師都欺負了
630000	630680	沒有啊
630680	632080	你們是不是開冷氣了
632080	633760	哈哈哈哈
633760	634960	裝傻
634960	636640	對我這是人生第一次
636640	638480	你擦的誤差那麼多
638480	639600	老師都看出來
639600	640520	看得出來那種
640520	641080	裝傻
641080	641680	死不承認
641680	642680	沒有沒有沒有
642680	642880	OK
642880	644360	沒有我就這樣直接走上來
644360	644920	我怎麼走
644920	646000	下雨吧
646000	647520	下雨
647520	648880	對這是我人生第一個
648880	650080	就是覺得自己
650080	651280	大粗暴的經驗
651280	652280	哦
652720	654440	我覺得關於粗暴這個經驗的話
654440	657120	比較有印象是在我高中的時候
657120	659360	就是我們學校是你高一運動會
659360	660200	第一屆運動會
660200	661680	全部的高一的班級
661680	663040	都要以班級為單位
663040	666560	進行一個原油會的化妝舞會的感覺
666560	668400	就是我們每班要有一個主題
668400	669720	然後你要去走那個
669720	671520	操場適應台前面那一段路
671520	672280	就是進場嘛
672280	672880	對對對
672880	674360	就是我之前跳那個
674360	675920	跳那個斧頭幫的那個
675920	677200	對對對對對
677200	678720	然後我們那時候就是我就
678720	679600	自薦
679600	680280	蛤自薦
680280	681000	對我說
681000	682040	我覺得我自己很強
682040	682600	因為我覺得我
682600	683600	國小國中的時候
683600	685520	都在做那種班級的布告欄
685520	685840	嗯
685840	686920	對我覺得這個這個
686920	687920	pick for cake
687920	689720	很小很小的事情
689720	690320	我就說
690320	690880	欸
690880	693000	我覺得我有信心來做這件事情
693000	693760	啊這個環節呢
693760	694320	其實有很多
694320	695640	你還要想表演的類型啊
695640	697080	可能要跳的舞啊
697080	698760	然後或者是隊形要排啊
698760	700400	然後有些人是負責服裝啊
700400	701880	你是主動去做這件事情哦
701880	702680	對
702680	704440	這個不是通常都是就是時缺
704440	705200	然後別人要
705200	705800	不會啊
705800	706720	因為欸我跟你講
706720	709560	竹女對於各種活動的參與度都非常高
709560	710120	是竹女
710120	710600	對對對
710600	711920	所以大家就是很自動自放
711920	712880	竹女怎麼了
712880	713640	怎樣
713640	714680	竹女
