start	end	text
0	8700	大家好 歡迎來到好味小姐開束縛 我還你原型
8700	9400	我是翠翠
9400	10520	大家好 我是林思達段
10520	11300	大家好 我是振帆
11300	14540	本集節目由Zanyam讚牙贊助播出
14540	17780	來自新加坡的隱形牙套品牌Zanyam讚牙
17780	22260	是力量每個人都可以以合理的價格獲得專業的牙齒矯正服務
22260	24740	我覺得這常常找我的原因非常明確
24740	28100	因為他知道我有微笑的時候會有完美的八顆牙
28100	33260	我當初可是靠這個進入結牙小隊
33260	37600	成為當年該年度競賽唯一登報選手
37600	41240	是不是牙齒美還是可以得到一些好處的
41240	44020	所以這個是什麼 那個隱形牙套
44020	44880	對 隱形牙套
44880	45680	那是什麼玩意兒
45680	47020	他就是可以戴你的牙齒上
47020	50140	然後就是別人不會發現你有一袋牙套
50140	53200	然後矯正你的牙齒 讓你的牙齒嘴型越來越漂亮
53200	55120	確實人家看牙套我想要一直聽他看
55120	57900	我弟以前就有戴過牙套
57900	58080	好
58080	60620	我跟我弟從小到大其實牙齒都算亂的
60620	62460	確實好像是 聽你們說過
62460	64780	就是我跟我弟的門牙都很大顆
64780	66700	會擠到旁邊的牙齒
66700	68700	所以我小時候的門牙是就是有點
68700	69160	就是
69160	70660	這樣倒到一半的骨牌
70660	73380	有點V型的 反正有點亂就對了
73380	75840	對 我的處理方式就是那個把它弄斷
75840	78580	然後做新
78580	80380	但是我弟就沒有辦法
80380	81820	所以他就有戴牙套
81820	83140	他是不是戴很多年
83140	85280	戴很多年 有多少年我也搞不好清楚
85280	87580	我覺得可能戴個七八十年
87580	87880	戴到大了
87880	89180	大家都忘記他有戴
89180	92300	這種會變成說以後就是同學會的時候就會想說
92300	94260	就是當你有戴牙套那個你記得嗎
94260	96880	他的記憶點只剩牙套
96880	98760	所以這個是硬型牙套
98760	100540	是不像以前那種金屬的看起來
100540	101880	不會亮晶晶這樣子
101880	103760	不會看起來有點恐怖恐怖的
103760	105260	不會那麼容易就讓人家發現
105260	108080	你戴了牙套在矯正牙齒這個感覺
108080	109580	那他們這個ZENIUM戰牙
109580	113680	他們現在目前是市面上唯一做到可以均一收費的品牌
113680	116580	就是你很多時候是要去門市去諮詢
116580	117720	然後你就不知道到底會多少錢去賺錢
117720	117860	然後你就不知道到底會多少錢去賺錢
117880	118460	然後你就不知道到底會多少錢去賺錢
118460	122120	我弟當初去諮詢這個牙套也是一樣的感覺
122120	124720	就是有點像是在開獎你知道嗎
124720	126500	你先去看一次醫生
126500	128000	看一次牙醫之後
128000	129340	下一次他就會估價
129340	130880	告訴我弟一個價格
130880	131880	然後我弟就哇
131880	133180	然後回來告訴我們價格
133180	135680	說這一次醫生估這個九萬
135680	137300	然後我們就哇好貴的九萬
137300	139960	恭喜你你的牙齒有過亂
139960	140800	就是之類的
140800	142080	就是很刺激
142080	144720	對那他們的牙套是透明價格
144720	147720	就是比如說微矯正處理上下排前八克的牙齒
147720	148300	就是微矯正處理上下排前八克的牙齒
148300	151380	那他們叫Zenium Clear是收費六萬元
151380	152840	那如果你是全口矯正處理
152840	156480	就是你是屬於中高複雜程度的這個Zenium Plus
156480	157960	固定收費十二萬
157960	161840	所以你去之前你就知道你要花多少錢這樣子
161840	162840	分兩個等級而已
162840	165020	對對對會讓你比較安心一點點
165020	166840	那相較於傳統的療程陰性牙套
166840	169800	他是對日常生活影響度比較低一點點的程度下
169800	171380	你就可以完成你的矯正
171380	175520	然後他貼合牙齒設計也比較不會刮到你的口腔內壁
175520	177560	因為我知道以前很多人戴那個鋼線的
177560	177720	因為我知道以前很多人戴那個鋼線的
177720	179720	那個都會一直狂嘴破
179720	180520	喔是喔
