start	end	text
0	8820	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8820	9640	我是翠翠
9640	10640	大家好 我是阿段
10640	11440	大家好 我是林聖凡
11440	16940	本集節目由2023好味貓年曆預告贊助播出
16940	18900	還沒出 還沒出 還沒 還沒 還沒 還沒 還沒
18900	24280	我們今年的好味貓年曆呢 應該會在11月初的時候上架
24280	25940	對 因為實在太多人來問了
25940	27960	所以我們就決定要趕快跟大家預告一下
27960	31800	然後今年的貓年曆呢 應該跟之前一樣還是會做一個滿額證的形式
31800	34720	所以我們搭配這個貓年曆呢 我們還會推出一個
34720	40420	怎麼說呢 應該是一個我們的養貓的經驗的幾大成的一個產品
40420	44120	我覺得我們養貓這個八年下來 觀察他們的一個結晶
44120	48140	我們觀察他的日常生活的各種作息 他的喜好
48140	51900	最後我們統整出了一個精華 然後把它凝聚起來
51900	53260	變成一個商品
53260	55080	貓咪生活中最重要的一件事情
55080	57080	我覺得可以這麼說
57080	61260	那為了配合這個商品 我們這個年曆的滿額證的價格
61260	62880	也比去年低一點
62880	63740	這麼划算
63740	65620	沒錯 因為這東西不是很貴
65620	68120	希望大家可以輕鬆入手
68120	69120	非常的推薦
69120	71820	對 我個人覺得美的不可房屋
71820	74280	真的是 敬請大家期待11月初
74280	76420	我們好味貓年曆正式上架的那一天
76420	79880	對 也會同時有一個新產品問世
79880	84380	然後現在的時間是10月4日 凌晨3點11分
84380	86780	我們今天其實一直都還不知道錄什麼
86780	89940	那剛晚上我打完羽毛球累得要死的時候
89940	92940	就問陳春蘭說 我們今天來聊點什麼好呢
92940	96940	然後陳春蘭就說 不然我們來聊一下關於承諾的事情
96940	98080	哇 這麼嚴重
98080	100740	沒錯 我今天想了一整天
100740	102480	她就是 她有罪惡感
102480	105480	因為上個禮拜天我們要回家拜拜
105480	106900	好像是重陽節是不是
106900	108700	就是重陽節應該是禮拜二
108700	110860	但爸說我們禮拜二不可能早起
110860	114200	提早拜拜 所以就全家要被叫回家拜拜
114200	116780	然後我們就跟雷夢說 我們明天禮拜天回家拜拜
116780	118780	然後下午我們去
118780	120280	我們好像帶她去公園
120280	122780	好像是要想去公園放風箏的樣子
122780	124780	我們帶妳去公園放風箏
124780	125780	然後她就很興奮
125780	126780	然後前一天晚上的時候
126780	129780	因為她最近有時候晚上就是乾爹他們如果都在的時候
129780	130780	她會有點捨不得睡
130780	132280	然後我前一天晚上跟她說
132280	135280	你明天不是要跟爸爸去公園還要去拜拜嗎
135280	137780	你還不趕快睡覺 你這樣明天起不來喔
137780	139280	我就跟她說 對 對 對
139280	141280	她就碰碰碰碰碰就跑在旁邊躺
141280	143280	然後就是很乖就是睡覺這樣子
143280	144280	對 就睡覺
144280	146780	然後我們就中午的時候就回家拜拜嘛
146780	149780	拜拜會有很多那個貢品啊菜啊
149780	151780	所以我們中午就在家裡吃飯
151780	152780	吃完飯之後吃很飽
152780	154780	突然一陣睡意起來
154780	156780	我就躺在我家沙發上
156780	158780	從下午一點睡到下午五點
158780	160780	沙發上一覺不行
160780	162780	直接睡到太陽下山
162780	163780	這段時間呢
163780	166780	就是其實雷夢她也沒有閒著啦
166780	168780	她就是在家裡跑來跑去
168780	169780	然後跟阿公阿嬤玩
169780	171780	然後吃水果吃零食這樣子
171780	175780	她也不一定有記得就是我們要帶她去公園
175780	176780	答應她這件事情
176780	177780	因為她也沒問
177780	179780	對 她隔天其實也沒問
179780	181780	對 但是就是陳翠蘭就一直覺得
181780	184780	這是我一個答應雷夢的事情沒有做到
184780	187780	對 因為其實我還蠻努力出生到現在
187780	190780	盡量答應她的事情我都要想辦法達成
190780	192780	所以說我們就是平常在家裡是不能亂講話
192780	193780	對
193780	194780	你不能說你現在乖乖坐著
194780	195780	我等一下給你吃巧克力
195780	196780	不行 不行
196780	197780	不能講這種話
197780	198780	你一定要給她吃巧克力
198780	199780	對 但她又不能吃巧克力
199780	200780	對 所以你就會陷入兩難
200780	202780	所以你要想辦法讓自己不要脫口而出
202780	203780	對 對 對
203780	205780	然後我們就在討論說拍個照錄這件事情
205780	206780	對
206780	207780	然後她就問我說
207780	209780	你小時候有沒有什麼大人給你什麼承諾
209780	210780	我說沒有實現
210780	211780	就爽你約
211780	212780	對 然後你就記在心中
212780	213780	沒辦法釋懷這樣子
213780	214780	對 對 對
214780	215780	然後我就仔細想想
215780	218780	我小時候好像沒有什麼太大的印象
218780	220780	我只記得一件很小很小的事情
220780	221780	很小很小的事
221780	222780	但你沒有
222780	223780	很小很小的事
223780	224780	但這就是問題
224780	225780	對啊
225780	226780	就是這件事情很小
226780	227780	小 那麼小你還特別記起來
227780	229780	對 她就放在我心裡了
229780	230780	所以說
230780	231780	真的不行亂講
231780	232780	真的不能亂講
232780	233780	對
233780	234780	這種小批次會被記起來
234780	235780	那件事情多小呢
235780	236780	是小到就是有一天
236780	237780	下午
237780	239780	就是我跟我弟在家裡玩
239780	240780	對
240780	241780	可能太吵之類的
241780	242780	我阿公
242780	243780	他就在旁邊
243780	244780	我阿公都說這幹嘛
244780	245780	我阿公好像在
245780	246780	他好像在
246780	248780	在簽個百家樂還什麼的
248780	250780	阿公那個時期是百家樂是不是
250780	251780	對對對
251780	252780	就是他回一張
252780	253780	六合彩
253780	254780	六合彩
254780	255780	我們小時候好像
255780	256780	阿嬤他們有流行過六合彩
256780	257780	我阿公是科技派的
257780	258780	對
258780	259780	技術型
259780	261780	他就是會有一個本子
261780	262780	他是用算的喔
262780	263780	用算的
263780	264780	好萌喔
264780	265780	阿公在做什麼事好極致
265780	266780	以前有那種
266780	267780	小報他也會
267780	268780	印出來說幾期之前
268780	269780	圈過這個數字集
269780	270780	對
270780	271780	圈一圈然後會連線
271780	272780	他們好像
272780	273780	不知道他那是什麼邏輯
273780	274780	反正我阿公那個本子上面
274780	275780	就像
275780	276780	應該是沒有邏輯
276780	277780	好像
277780	278780	就像天書一樣
278780	279780	他就會記很多數字
279780	280780	每一期開什麼數字出來
280780	282780	然後可能會算機率什麼
282780	283780	整本上面都是密密麻麻
283780	285780	都是各種數字的組合
285780	286780	也就是像每一顆球的機率
286780	287780	不是一樣的嗎
287780	288780	沒有錯
288780	289780	就是我阿公在破解什麼
289780	291780	宇宙的機密之類的東西
291780	292780	真的沒有
292780	293780	他在算六合彩
293780	294780	在做這件事情
294780	295780	然後算那個好像需要很專心吧
295780	296780	嗯
296780	297780	阿公在那邊算
297780	298780	阿公我第二房邊玩
298780	299780	他會覺得我們太吵了
299780	300780	哦
300780	301780	他會說那個一鞋一熊
301780	302780	你們不要在旁邊吵
302780	303780	好你們安靜一下
303780	305780	等一下阿公帶你們去那個
305780	306780	那個7-11
306780	308780	就是路口便利商店
308780	310780	也沒有講要幹嘛
310780	311780	買什麼東西都沒有
311780	312780	只說帶你們去7-11
312780	313780	對就這樣
313780	314780	然後可能過了一陣子
314780	315780	過了一兩個小時
315780	316780	就是我們安靜了蠻久
316780	317780	好猛喔
317780	318780	小孩還說蠻久的吧
318780	319780	對
319780	320780	然後等到阿公
320780	321780	他好像算完了
321780	322780	想要出門去田裡
322780	323780	還幹嘛的時候
323780	324780	我們就趕快
324780	325780	逼疊逼疊跟出去說
325780	326780	阿公你不知道
326780	327780	嗯
327780	328780	阿公就說那
328780	329780	哈哈哈哈
329780	330780	大人沒說這樣
330780	332780	都說哪有
332780	333780	他說哪有
333780	334780	你們要去這邊幹嘛
334780	335780	他說沒有沒有這件事情
335780	336780	然後他就
336780	337780	他就走掉了
337780	338780	就走掉了
338780	339780	就騎摩托車就去田裡就走了
339780	340780	嗯
340780	341780	我跟我弟就錯愕
341780	342780	嗯
342780	343780	就哈
343780	344780	怎麼可能我們倆都有聽到
344780	345780	對我就說還可以這樣子喔
345780	346780	嗯
346780	347780	還可以就是講話不算話
347780	348780	然後拍拍屁股就走
348780	349780	嗯
349780	350780	就是這件事情是可以的嗎
350780	351780	嗯
351780	352780	就這樣
352780	353780	就讓我們在我們心中
353780	354780	落下了一個就是
354780	355780	深深的印記
355780	356780	傷痕
356780	357780	哈哈哈
357780	358780	這個感覺
358780	359780	但是我覺得我阿公他應該
359780	361780	也不是有意就是要耍你幹嘛
361780	362780	對
362780	363780	那是很多事情就是講了
363780	364780	然後就忘了
364780	365780	他就是脫口而出
365780	367780	他當下只想要叫你們立刻安靜
367780	368780	嘿這樣子
368780	369780	對
369780	370780	然後我記得還有一件類似的
370780	371780	嗯
371780	372780	我有點忘記就是
372780	373780	我們到底有沒有講過這件事情
