start	end	text
0	9200	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型 我是翠翠
9200	10340	大家好 我是阿段
10340	11240	大家好 我是宥帆
11240	13160	本集有預錄的廣告喔
13160	17360	本集節目由元大證券定期訂額贊助播出
17360	20280	今天是一個投資相關的合作
20280	22360	我完全沒有經驗可以分享
22360	26640	我跟宥帆大概是在去年開始有在投資股票
26640	28020	這個時機非常棒
28020	30180	對 所有東西在歷史高點的時候
30180	32580	沒錯 所有東西都買貴了
32580	34960	所以開始做了很多研究
34960	37060	就在那個很火熱的時候 進進出出
37060	40020	但是發現大部分都是賠錢居多 浪費時間
40020	43800	所以後來我覺得是自然而然就會變成一個定期訂額的策略
43800	46640	然後我們不是什麼投資大師
46640	48300	你是不是去年才開始嗎
48300	51080	所以說我不知道你現在就是開始做這件事情
51080	53980	買股票啊 定期訂額這件事情是不是正確的
53980	56860	但是你現在買到的價格肯定比我跟宥帆還要高
56860	58720	已經贏你了
58720	61500	對 開頭一定比我們好
61500	63060	那他這次想要請我們介紹的呢
63060	64700	就是定期訂額存股票
64700	66280	就是你可以在能力範圍內
66280	68800	每個月固定投資大概三千到五千元
68800	70180	然後去買同一支股票
70180	71800	因為是設定成長期投資嘛
71800	73720	你就不用管指數的漲跌
73720	74300	那之後呢
74300	76780	你就可以靠這些股票領股利股息
76780	78460	或是等股價漲了之後就賣出
78460	79660	然後賺那個差價
79660	81580	所以對於有在投資買股票的人來說
81580	84180	今年股市的風險變化太大了
84180	86260	所以大家可以考慮看看分散風險
86260	86860	然後播出一部影片
86860	87900	一部分的資金呢
87900	90600	做定期訂額這種比較穩健的投資喔
90600	91200	那另外呢
91200	93160	元大證券也想要請我們跟大家分享
93160	95600	他們在2023年1月底前
95600	97440	會推出一個兩大優惠
97440	98340	首先第一個呢
98340	100540	就是交易手續費同板價
100540	102240	就是不管你是買一千塊
102240	104040	還是買十萬元的定期訂額
104040	106580	手續費都只要一塊錢
106580	107480	一塊錢耶
107480	108520	真的會省一些喔
108520	109120	對啊
109120	109680	第二個呢
109680	111280	就是只要扣款三次
111280	112060	新客戶呢
112060	115220	就會送七百元的手續費抵用金
115220	116860	那如果你原本就是有在元大證券
116860	117520	開戶的人
117520	120360	就可以獲得兩百元的手續費抵用金喔
120360	123700	那大家記得要點開你的資訊欄看看喔
123700	125960	好 現在的時間是10月11日
125960	128880	凌晨3點04分
128880	129840	算略晚吧
129840	130840	無論我們怎麼努力
130840	131980	都最後都還是3點
131980	133820	現在好痛苦喔
133820	135440	我們現在全家陷入了一個
135440	137180	就是瘟疫肆虐的狀況
137180	138320	瘟疫
138320	139780	感謝我們的瘟疫支援
139780	140780	尤偉凡先生
140780	145460	對 大家看IG還以為是因為雷夢先生病
145460	146820	感謝他又再次的把病
146860	148000	錄再進我們家裡來
148000	148760	沒錯
148760	150360	而且傳播力之強
150360	152540	欸其實就是因為我們現在都睡在一起
152540	153060	對
153060	155160	其實滿難避免的啦確實
155160	156900	對 應該是從我以為凡開始
156900	158300	先給雷夢
158300	159700	然後再傳給陳帥安
159700	160840	然後再傳給我
160840	161300	對
161300	161800	這樣子
161800	163080	然後欸他老婆反而沒事
163080	164140	對 阿嬤也中囉
164140	165020	但是他老婆沒事
165020	166880	睡在他旁邊那個人沒事
166880	168280	好 總而言之大家今天會聽到
168280	170360	就是一個鼻音濃厚的
170360	172060	非常有磁性的嗓音
172060	173020	我們三個人都一樣
173020	173780	沒錯
173780	175960	然後就是因為感冒的關係嘛
175960	176860	所以雷夢就
176860	178100	最近變得比較
178100	179220	歡嗎
179220	180760	就是很難溝通
180760	182400	他最近特別的霸道
182400	183960	欸而且就會欺負阿公阿嬤
183960	185340	就吃飯不吃飯幹嘛
185340	185860	對
185860	187140	我覺得是因為他生病之後
187140	188380	阿公就會很不甘
188380	190380	就覺得他沒吃飽又不舒服
190380	192380	他想幹嘛就幹嘛吧這樣子
192380	193640	因為我最近發現
193640	195240	雷夢他好像在我們這裡
195240	195440	對
195440	196640	就是他爸爸媽媽這邊
196640	197040	對
197040	198420	跟著阿公阿嬤那邊
198420	199520	態度是不太一樣的
199520	200620	是兩面人口
200620	200980	對
200980	201860	雙面人喔
201860	203020	對超誇張
203020	204920	大家看那個雷夢的日常影片
204920	206420	好像在我們這邊的時候就是一個
206420	206860	小天使
206860	207520	天使
207520	208620	乖小聽話的小孩
208620	211100	而且很好溝通很好商量的感覺
211100	213060	在阿公阿嬤裡面不是這麼一回事
213060	213960	因為我以前都不知道
213960	215860	是就是這個週末
215860	217540	然後因為我們家在裝修嘛
217540	217980	對
217980	219340	啊因為就是離那個
219340	221100	月發老婆生產日子越來越接近
221100	221440	對
221440	222700	所以設計師有點緊張
222700	223280	對對對
223280	224420	所以就是叫那個工班說
224420	225220	如果沒事的話
225220	226280	週末也可以來施工
226280	226780	對對對
226780	227940	所以我們家這個週末呢
227940	229420	是有工人來施工的
229420	230860	所以其實早上都很吵
230860	232260	而且大概八點就會開始
232260	232780	嘿對
232780	233860	所以說他一開始之後
233860	235120	我在那邊就睡不著
235120	235460	嗯
235460	236420	啊我就跑去
236420	237360	我媽那邊睡覺
237360	237860	對
237860	239220	然後我睡一睡呢
239220	240460	應該到中午的時候吧
240460	242260	就乘坐在他們這邊睡醒的時候
242260	243860	就把檸檬帶去給阿公阿嬤
243860	244300	對
244300	246200	好像是有流汗還是怎麼樣
246200	247560	反正我還在睡覺的時候呢
247560	248840	就是大概下午兩三點的時候
248840	250400	他就被帶去阿媽那間洗澡
250400	250800	嘿
250800	252160	啊那個時候我還在那邊睡覺
252160	252540	對
252540	253300	所以我就有聽到說
253300	255180	他被帶進來洗澡的聲音
255180	255640	嘿
255640	256580	然後是我爸
256580	257900	就是他阿公在幫他洗
257900	258300	嗯
258300	259940	喔那個歡度真的是
259940	261520	就是超乎我想像你知道嗎
261520	261840	怎樣
261840	262320	他從一進來開始
262320	264980	其實我沒有看過他們單獨洗澡的樣子欸
264980	265720	喔很嚇人
265720	266820	他從一進來開始喔
266820	267360	阿公就說
267360	268520	喔雷伯我們現在來洗澡
268520	268860	嘿
268860	270160	阿公就說我不要我不要洗澡
270160	271360	然後就不要不要不要
271360	271660	嘿
271660	272460	要脫衣服了嘛
272460	272900	嗯
272900	274020	他就脫衣服把衣服脫掉
274020	275200	他說我不要我不要脫衣服
275200	276160	就一直不要不要不要
276160	277560	而且他不要不是只會說不要
277560	278900	他還說我不要咩
278900	280340	就是超前奏的
280340	281060	對
281060	282040	我不要咩
282040	283400	他就不要咩
283400	284740	超想揍他
284740	286740	我爸就叫他說不要掙扎
286740	287080	喔危險
287080	287880	就不要在那邊扭
287880	289880	對地上濕濕的不要扭這樣
289880	290680	然後後來就是
290680	292220	也是順利的把衣服脫完
292220	292480	對
292480	293440	然後就洗澡
295720	296680	出來對不對
296680	297680	他就說我不要出來
297680	299420	哈哈哈哈
299420	301500	然後就是我阿公要拿那個浴巾把他擦乾
301500	301760	對
