start	end	text
0	8500	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8500	9200	我是翠翠
9200	10520	大家好 我請你試下段
10520	11300	大家好 聲音是很煩
11300	13280	本集有預錄的廣告喔
13280	17480	本集節目由蘭蔻超未來基因復活錄贊助播出
17480	19260	我是因為這次的合作關係呢
19260	22040	我才第一次接觸到蘭蔻很有名的小黑瓶
22040	23360	目前我已經用了
23360	24120	因為公關品的關係
24120	25040	他又寄給我們一罐
25040	26060	所以我用了兩罐
26060	27180	我都已經快用完了
27180	29220	我覺得最明顯的感覺應該是
29220	31460	他穩定膚況的效果還蠻不錯的
31460	33300	因為像最近不是忽冷忽熱嗎
33300	35180	所以皮膚有時候會受到影響
35180	37100	會乾癢或是突然覺得出油
37100	40280	但是我覺得我這次的皮膚都還不錯
40280	42380	對 就是還蠻穩定的
42380	44000	然後再來就是用完小黑瓶之後
44000	46120	我覺得我後續擦其他保養品
46120	47380	吸收速度有變快
47380	49140	這個蠻有感的 我覺得很酷
49140	51300	就連質地比較濃稠的一些乳霜類
51300	53120	我覺得吸收效果也都還蠻不錯的
53120	54220	這個你們比較難感受
54220	56760	但是我覺得女生應該會很明顯感覺到這個差異
56760	58860	然後那個皮膚的保水度
58860	60700	跟明亮度我覺得都有變不錯
60700	61800	這個彷彿我們這態度不對
61800	64900	喔 是喔 真的假的
64900	66860	哇 天啊
66860	68560	那我目前自己使用的習慣
68560	71360	我會是在那個化妝水後使用它
71360	73860	就是把它當作一點精華液在用這樣子
73860	75100	SK
75100	76020	對對對
76020	78360	然後因為我覺得它延展的效果蠻好的
78360	79560	延展性知道是什麼吧
79560	80620	知道
80620	81520	就是你滴一滴
81520	82520	很好推
82520	83260	喔 對對對
83260	84200	好推
84200	86860	就是呢 滴一滴基本上你全臉就可以
86860	88620	算是塗得蠻均勻的
88620	92120	對 然後小黑瓶它有專利的自動汲取滴管
92120	93280	就是你每次轉開之後
93280	94960	它就會直接幫你吸滿一管
94960	96620	超方便
96620	97860	這聽起來真的蠻厲害的
97860	99280	對 這超方便的
99280	100780	所以你那個用量就剛剛好
100780	101660	你就一管把它用完
101660	103120	我覺得不用省很方便
103120	105620	然後你一滴管就直接把全臉塗光光
105620	107420	多的你就可以戴到脖子啊
107420	109160	你知道女生有年紀之後
109160	111460	脖子很容易長紋路 很顯老
111460	112280	真的真的
112280	113620	真的個屁
113620	115620	看著我說真的真的
115620	117780	那他們品牌提供的資料還有提到說
117780	118580	他們小黑瓶
118620	120620	是透過蘭蔻獨家研發的
120620	124620	BIO7 維生態修復專利
124620	127620	就是它擁有七種益生菌加益生質
127620	131120	就可以快速的深入你的肌膚底層修護它
131120	134620	同時還可以平衡你的肌膚的維生態
134620	136620	就跟你腸道一樣對不對
136620	138620	就是需要補充益生菌一樣嘛
138620	140620	那你就是讓你的肌膚表面的菌蟲
140620	141620	可以得到平衡
141620	144120	這樣你的肌膚就擁有更強的防禦力
144120	146120	然後全膚質也都可以使用喔
146120	148120	好 最後品牌這次也有提供
148120	149620	優惠給我們的粉絲
149620	151620	蘭蔻小黑瓶好味小姐
151620	154120	週年慶專屬優惠組
154120	156620	就是你購買一個30毫升小黑瓶
156620	159620	他就會送你一個4毫升的小黑安瓶
159620	161120	就是你出門帶很方便
161120	163120	一次性的使用那種感覺
163120	165620	然後還有7毫升的小黑瓶跟兩罐
165620	167120	10毫升的極光水
167120	168620	東西超多的耶
168620	170120	總價值是4903
170120	172120	現在只要2790
172120	174120	超多折扣
174120	176120	現在趁週年慶還有9折的優惠
176120	178120	所以算下來大概打一個57
178120	180120	我覺得以化妝品來說
180120	181120	應該算是蠻少見的
181120	183120	詳細的產品資料跟專屬優惠
183120	185120	都會在我們的資訊欄裡面
185120	187120	大家記得點開來看看喔
187120	191120	好 現在的時間是10月25日
191120	193120	凌晨3點38分
193120	194120	越來越晚
194120	195120	我跟你講這真的很誇張
195120	197120	我們剛剛很早的時候說不可以
197120	198120	我們每次三點錄
198120	199120	這樣我絕對沒辦法
199120	200120	在大家上班時間剪完
200120	201120	對 而且你會很累
201120	203120	就是會到很涼的時候才能睡覺
203120	205120	要很集中精神去剪
205120	207120	所以說我們今天要早點錄
207120	208120	好 那我們剛剛
208120	210120	大概2點半左右
210120	211120	我們想說不行了
211120	212120	不能再拖了
212120	213120	趕快進來錄
213120	214120	結果在我們從廚房
214120	216120	我們本來在煮毛飯
216120	217120	煮好之後從廚房離開
217120	219120	準備要來錄Podcast的時候
219120	220120	對 那個路上
220120	221120	一離開廚房突然發現說
221120	223120	有一股就是
223120	224120	奇異的臭味
224120	226120	就是很像燒塑膠還是什麼的味道
226120	227120	對 然後接下來就聽到
227120	229120	消防車的聲音
229120	230120	很近
230120	231120	很密集
231120	232120	對
232120	233120	而且那個
233120	234120	我那邊有點空曠
234120	235120	你知道嗎 我們是鄉下
235120	236120	很空曠
236120	237120	所以我們聽那個聲音
237120	238120	會從
238120	239120	四面八方而來
239120	240120	對
240120	241120	就像可能在你的左手邊
241120	242120	一個遙遠的距離
242120	243120	有消防車的聲音
243120	244120	對
244120	245120	但它會傳到你的右邊
245120	246120	然後可能就是
246120	247120	像我們右邊有捷運站
247120	249120	就是很像環繞的感覺
249120	250120	要彈回來
250120	251120	要彈回來
251120	252120	所以你就覺得說
252120	253120	哇靠
253120	254120	整個世界陷入一片火海
254120	255120	對 很恐怖
255120	256120	的感覺
256120	257120	我想說怎麼了
257120	258120	這是味道很重
258120	259120	空氣中還濛濛
259120	260120	有一種煙的感覺
260120	261120	對
261120	262120	是不是附近這個
262120	263120	火災了這樣子
263120	264120	是不是準備要跑了
264120	265120	然後陳村突然就說
265120	266120	就在那邊
266120	267120	就是燒的地方
267120	268120	就在那邊
268120	269120	我說那裡橘橘的
269120	270120	那裡橘橘的
270120	271120	就是在那裡燒的
271120	272120	對 我說怎麼那麼近
272120	273120	好可怕
273120	274120	他說超近
274120	275120	它的那個距離
275120	276120	就是在我們家巷口的感覺
276120	277120	對
277120	278120	就在我們巷口那邊燒
278120	279120	他就說你看那邊橘橘的
