start	end	text
0	4300	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
4300	5240	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
5240	6340	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
6340	7340	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
7340	8340	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8340	9000	我是翠翠
9000	9920	大家好 我是阿段
9920	11040	大家好 我是聖梵
11040	14040	本集的贊助就是我們自己家出的新產品
14040	15540	好味貓卵骨頭
15540	16040	好啊
16040	17580	欸 怎麼辦
17580	19260	欸 這一刻真的是噢心瀝血
19260	22700	就是我們觀察了8年我們家貓咪的一些生活習性
22700	26380	我們做出的應該是我們家全家貓咪都超愛的頂級貓床
30000	31620	看到數百次
31620	32380	對對對
32380	34540	因為自從我們把樣品帶回來之後
34540	36200	就基本上我們家貓咪都超愛
36200	37660	就一整天都躺在卵骨頭上面
37660	38200	沒錯
38200	39700	所以你就是避無可避
39700	42340	就怎麼樣你只要拍他們就已經會拍到那個東西
42340	43300	欸 沒有錯
43300	45380	對 然後我覺得可以來簡單跟大家介紹一下
45380	47160	我們這個卵骨頭厲害在哪裡
47160	49660	首先第一點呢 我們卵骨頭的結構比較特別
49660	51120	就是外面是整套嘛
51120	53040	那我們裡面呢 還分了兩層
53040	56840	首先上面這一層呢 是極細發泡顆粒的整形
56840	59760	然後下面呢 還有一層是高密度的支撐泡棉
59760	59960	那另外一層呢 還有一層是高密度的支撐泡棉
59960	63260	厲害就厲害在這個極細發泡顆粒這個整形的部分
63260	65660	那它就是比較特別是你貓咪踩上去的時候
65660	67000	因為它顆粒很細
67000	69120	就會產生一種流動感
69120	70460	所以貓咪不管怎麼躺
70460	73000	它都會完美的包覆住它貓咪的身體
73000	75380	大家知道這個卵骨頭的價格
75380	78460	就是直接反映它裡面的那個整形的粗細
78460	79120	喔 是喔
79120	81380	有的大家看到那種就是大一顆卵骨頭
81380	81620	對
81620	82960	那賣的很便宜的
82960	85000	那可能它裡面的那個發泡力就是很粗的
85000	85760	喔 是這樣喔
85760	89720	所以你躺上去的時候會有一種躺在保麗龍廢料上的感覺
89960	91960	躺在軟軟軟實上面的感覺
91960	94760	對 那個就是它流動性就不好
94760	96460	那有一些很高級的卵骨頭
96460	96960	對 對 對
96960	98580	它裡面的發泡力就是很細
98580	101120	所以才可以給你就是舒適的包覆感
101120	101460	對
101460	102800	貓咪是真的分得出來
102800	105580	像蛋捲它就在我們沒有這個卵骨頭之前
105580	106960	扁的枕頭跟蓬的枕頭
106960	108580	它一定會挑那個蓬的枕頭
108580	109460	對 沒有錯
109460	110960	我們是很挑剔的
110960	112840	所以我們選擇就是最細的
112840	115960	流動性最好的那個發泡力這樣子
115960	116800	然後再來第二點
116800	119340	我覺得也是貓奴們會很在意的部分
119340	119800	就是
119800	122100	萬一我的貓咪在上面吐啊
122100	123600	或者是不小心噴尿啊
123600	124500	怎麼辦
124500	125920	關於這點身為多貓家庭
125920	127920	我們一定也有幫大家設想到
127920	128680	我們特地呢
128680	131340	在布料上面做了防潑水的處理
131340	132640	所以如果你的貓咪不小心
132640	135380	噴到一點尿或是吐之類的
135380	136880	你就趕快把它擦起來
136880	138460	它會直接像是荷葉這樣子
138460	139680	變成一個水珠的上面
139680	140300	對
140300	142260	你可以直接把它就是用位置吸掉
142260	143460	對 對 對 對
143460	145140	這個大家如果有看到我們的影片的話
145140	147040	那個效果會特別的明顯
147040	148500	然後第三個部分我覺得也很酷
148500	149600	就是因為我們那時候
149600	150360	就在設想說
150360	153400	到底它之後會被使用在什麼樣的情境裡面
153400	155360	所以我們在尺寸上也有抓過
155360	158100	就是大部分你在市面上買到的一些櫃子啊
158100	158900	或是層架
158900	160220	它都可以放進去
160220	161560	對 非常的完美
161560	164600	就是跟你的居家擺飾達到一個平衡
164600	166100	融入你的家裡的感覺
166100	166640	好
166640	168100	最後一個就是我們為了
168100	169600	因應大家不同的喜好
169600	171480	然後還有你的居家設計風格
171480	173600	我們總共出了三個顏色
173600	174440	那第一個顏色呢
174440	175520	我覺得是最百搭的
175520	177360	叫做原色奶霜白
177360	178600	就是配什麼貓啊
178600	179560	或是居家擺色
179600	181060	我覺得都很百搭
181060	182060	那再來第二個顏色呢
182060	184220	我覺得是比較一個少女感的顏色
184220	185720	青柚橘
185720	186440	對 那這個呢
186440	187680	我覺得會很適合
187680	190560	那種淡色 木色調的家飾
190560	191600	然後第三個顏色呢
191600	192800	是我個人也很喜歡的
192800	194440	叫做陪茶棕
194440	196180	我覺得它是一個比較沉穩的顏色
196180	197360	所以你們家如果是比較
197360	199300	暗色系的家序的話
199300	201060	我覺得也很適合
201060	202260	那我們出了新品
202260	204800	當然要給大家一點點的優惠跟好康
204800	206800	所以我們這個男骨頭新上架呢
206800	208600	我們有兩顆九折
208600	209560	三顆九折的
209560	211560	多貓優惠
211560	212560	像我們家很多貓
212560	214760	我覺得這個需求就蠻有必要的
214760	215900	然後除此之外呢
215900	216980	第二個好康就是
216980	217720	你現在啊
217720	220440	只要在我們好味官網消費滿990元
220440	222480	我們2023年的好味貓年曆
222480	223640	就會送給你
223640	225220	欸 超多人在問的
225220	226940	已經被留言流到爆掉了
226940	229440	我們這個年曆也有特別的設計
229440	230440	年曆會有一個盒子裝
230440	231060	對對對對
231060	232320	我們裝年曆那個紙盒呢
232320	233860	可以直接變成年曆架
233860	234440	對
234440	236180	然後呢還附贈一個就是
236180	237940	小抽屜的收納功能
237940	239560	所以你放在桌上的話啊
239560	240680	他就是會很自然
240680	242260	然後又可以有實用性
242260	242800	沒錯
242800	244560	那有的人可能去年也有買
244560	245800	然後我們的那個年曆呢
245800	248020	是跟你去年的木座也是fit的
248020	248640	喔 沒錯沒錯
248640	250320	所以不用擔心會浪費
250320	251800	好 那我們的連結呢
251800	252900	會放在資訊欄裡面
