start	end	text
0	9360	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
9360	9880	我是翠翠
9880	11440	大家好 我是年輕小段
11440	12380	大家好 我是尼森凡
12380	14400	本集有預錄的廣告喔
14400	17920	本集節目由國泰證券贊助播出
17920	21080	現在使用國泰證券申購定期定額
21080	23840	台股門檻最低100元 日日都可扣款
23840	26900	不論單品申供多少金額 手續費都是均一價
26900	31160	美股定期定額門檻最低10美金 大概就是300多塊的台幣
31160	35360	每月5號 15號 25號會扣款 手續費也都是均一價喔
35360	39980	那如果你是新戶的話 現在點選資訊欄的專屬連結完成開戶
39980	41500	就有機會抽到iPhone 14
41500	44600	手筆成交還可以再抽1萬元的禮券喔
44600	47420	還有一個不分新舊戶的活動分享給大家
47420	50280	目前只要交易一筆就可以抽iPhone 14囉
50280	52860	現在這個定期定額開始比較流行
52860	55680	不管是因為前幾年這個股市大暴漲
55680	57680	然後今年又大暴跌
57680	60680	像我跟宥偉凡這種屬於菜雞型的
60680	64680	到今年為止我們就已經完全放棄主動選股這件事情
64680	66680	不是我們的天分啦
66680	68680	然後平常我們工作這麼忙碌
68680	71680	根本就沒有時間去研究這些東西
71680	74680	有時候覺得自己去投資好像有點像賭博一樣的感覺
74680	76680	因為你就真的沒有花心力去做這件事情
76680	79680	所以我們現在就是定期定額去買ETF
79680	81680	就是變成是一個最穩健
81680	84680	相對來說風險比較低的一個投資方式
84680	85680	所以說呢
85680	86680	今天體質好
86680	89680	市占高的證券商呢就是一個很好的開始
89680	92680	國泰證券台股定期定額市占率大概40%左右
92680	94680	台股標的選擇多
94680	97680	ETF也有高達92檔真的還不錯喔
97680	99680	還有他的APP設計起來乾淨舒服
99680	103680	像我們這種比較圖像式思考的人就會非常的友善
103680	105680	那以上呢優惠資訊就分享給大家
105680	109680	大家記得要點開資訊欄的專屬連結來抽好禮喔
110680	113680	現在的時間是12月6號
113680	114680	凌晨這個
114680	115680	3點10分
115680	117680	對其實我們2點多就來這裡做了啦
117680	120680	沒有其實我們1點多就要開始錄了啦
120680	122680	對就是喔這個
122680	124680	我們每次都好多起始起始
124680	125680	今天天氣突然變冷
125680	126680	超冷
126680	128680	喔那個一睡下去真的是起不來
129680	131680	好可怕的冷
131680	134680	睡覺起不來之後我發現有分幾個階段
134680	135680	像其實我剛剛我弟鬧中
135680	137680	我們剛剛去外面吃個飯
137680	138680	回來大概10點
138680	140680	然後說喔好想睡覺
140680	142680	我們就是大家都去睡一下
142680	143680	各自去安好一下
143680	144680	就是去休息一下
144680	146680	然後我們1點的時候回來錄這樣子
146680	147680	對
147680	148680	所以我點了個1點的鬧鐘
148680	150680	1點的時候鬧鐘就響
150680	151680	滴滴滴
151680	153680	我就起來探出頭就覺得
153680	155680	好冷
155680	156680	努力的拿起手機
156680	158680	然後傳訊息給陳春涵說
158680	159680	洗床了嗎
159680	160680	問號
160680	162680	然後我就再設了一個1點半鬧鐘
162680	164680	把手機放著
164680	165680	我大概過了10分鐘
165680	167680	你把球拋出去
167680	169680	看他會不會傳回來
169680	171680	我大概過了10分鐘剛好我也醒了
171680	172680	然後我就傳訊息給他說
172680	174680	起床了喔
174680	176680	但他都沒有意圖
176680	177680	沒有後來
177680	179680	就是我就問他說這個
179680	180680	優惠帆起床嗎
180680	181680	對
181680	182680	陳春涵就說
182680	183680	因為蛋捲肚子餓在叫
183680	184680	對他弄一點東西
184680	185680	給蛋捲吃
185680	186680	我說喔好
186680	187680	哇很舒服
187680	188680	就去趕回去
188680	190680	他就說好了叫我
190680	191680	好了叫我
