start	end	text
0	10700	嗨 大家好 歡迎來到好味小姐開束縛 我還你原型
10700	14660	嗨 大家好 歡迎來到好味小姐開束縛 我還你原型
14660	15160	我是翠翠
15160	16580	大家好 我是金金絲阿斷
16580	18200	大家好 我是顏色很煩
18200	21500	為什麼我覺得我今天的聲音特別小聲 是我講話比較小聲嗎
21500	21820	對
21820	23860	那我要講話大聲一點是不是
23860	24700	對 這樣就可以了
24700	24980	好的
24980	25780	好
25780	26760	我怕吵醒雷夢
26760	29340	不會 想醒就醒
29340	31920	他現在難得就是非常的安穩在睡覺
31920	36100	自從我們上次發了一個宏願說我們要一週兩更之後呢
36100	37520	我們維持這個計畫
37520	40020	維持了這個一週
40020	42660	對啊 廢死了
42660	44080	我在這邊慎重的宣布
44080	48980	我再也不提任何跟那個固定更新相關的話題
48980	53120	好像還是有很多人禮拜四還是會傳訊息來問說
53120	55860	我們現在禮拜四今天會發片嗎
55860	57540	會啊 會啊 會啊
57540	58740	有招一日
58740	59320	有招一日
59320	61320	有招一日會恢復禮拜四發片
61320	62320	目前還是禮拜六
62320	64320	雷夢總要上大學了嘛 對不對
64320	66320	沒有 至少
66320	69320	講到這個 就是這個禮拜週末嘛
69320	72320	然後我後來睡了他的大學室友
72320	75320	就是有生過一個小孩的那兩個
75320	76320	對 來找他 小孩已經兩歲了
76320	78320	對 我看到他兩歲的小孩
78320	79320	然後我才突然意識到說
79320	80320	他還沒有兩歲
80320	81320	還沒有兩歲 一歲多
81320	82320	他才一歲多一點而已
82320	83320	兩歲
83320	85320	我突然意識到說小孩會哭到兩歲
85320	86320	還在哭
86320	87320	還在哭
87320	88720	對 他超可愛
88720	90720	他應該還在一半而已
90720	92720	應該就是上幼稚園之後
92720	93720	會好 穩定很多
93720	94720	看你的運氣
94720	95720	幼稚園嗎
95720	96720	對 我就是在想說
96720	97720	很多小孩就是這樣
97720	98720	所以哭到小一就不會哭了
98720	99720	很多小一還在哭
99720	101720	沒有說他會停
101720	103720	我們家是幼稚園之後
103720	105720	基本就不太用哭來表達事情了
105720	106720	就是他那個哭是
106720	108720	就是遇到傷心的事還是哭吧
108720	109720	廢話
109720	110720	被欺負啊 被打啊
110720	111720	灰的那種
111720	114720	你是說就是完全不受控制的就是
114720	115720	想要爭取某件事情
115720	116720	然後用哭來表達的
116720	117720	對 表達意見的
117720	118720	小一就不會
118720	119720	小一
119720	120720	我們在幼稚園就不會
120720	121720	還有
121720	122720	看小孩個性
122720	123720	看小孩
123720	124720	小一幾歲啦
124720	125720	小一七歲啊
125720	126720	七歲
126720	127720	哇
128720	130720	昨天他女兒超可愛
130720	132720	因為他們昨天就住我們家嘛
132720	133720	然後他女兒可能就是
133720	134720	小孩子有時候哭
134720	135720	他是因為
135720	137720	他很多小孩睡前會哭
137720	138720	因為他很累
138720	141720	然後他就知道身體很不舒服很累
141720	143720	但是他不知道為什麼
143720	145720	然後他就一直覺得身體哪裡怪怪的
145720	146720	不舒服
146720	147720	對
147720	148720	很多小孩睡前都會歡
148720	149720	都是因為這樣
149720	150720	然後他女兒超可愛
150720	152720	那女兒睡前的時候就在那邊大喊
152720	154720	好累喔
154720	155720	然後一邊大哭
155720	156720	好累喔
156720	158720	芭比我好累喔
158720	159720	然後他爸就說
159720	160720	對他爸就說
160720	161720	你累你就睡覺啊
161720	162720	死不睡
162720	163720	好累
163720	165720	就那種玩到全身痠痛
165720	166720	那種感覺是不是
166720	167720	對對對
167720	168720	他很不舒服
168720	169720	但他不知道原來睡覺
169720	171720	是解決這件事情的方式
171720	172720	他不知道怎麼讓自己入睡
172720	174720	沒有辦法解決這件事情嘛
174720	175720	塞安眠藥啊
175720	176720	不行
176720	178720	他就是想睡覺啦
178720	179720	對他就是想睡覺
179720	180720	但他就是不知道
180720	182720	他自己原來是想睡覺了
182720	183720	你就轉移他的注意力
183720	184720	讓他慢慢的自然睡著
184720	185720	床邊故事就是這樣來的
185720	187720	所以說你的床邊故事就是為了這個
187720	188720	就是安撫他心情
188720	190720	讓他忘記他正在不舒服
190720	191720	然後他就睡著了
193720	194720	沒錯
194720	196720	這件事情讓我回想起就是
196720	199720	就是我以前覺得小孩有多荒謬的一些回憶
199720	200720	其實也就一件事啦
200720	201720	就是我那個
201720	202720	我姐的小孩
