start	end	text
0	9200	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型 我是翠翠
9200	11060	大家好 你是阿斷 大家好 我是林振帆
11060	14860	本集節目由十月貝贊助播出
14860	20160	十月貝呢 是擁有台灣羽絨50年以上的團隊Easy Life獨家設計製造
20160	26140	扎實的經驗與技術 絕不妥協的羽絨品質造就了每一件無可挑剔的十月貝
26140	31200	它這個十月貝的意思呢 就是一年中可以使用十個月以上的貝子
31200	36920	不開玩笑 這個貝子我們確實是試用了應該差不多十個月
36920	40380	有十個月 然後它是羽絨貝
40380	43620	所以它那個貝子就像羽絨一樣 裡面是羽毛
43620	48940	我覺得這個 我那時候去就是跟他們拿那個貝子去參觀的時候
48940	51240	我說以前沒有人想過這個事情嗎
51240	55040	對啊 這這麼簡單 從穿在身上變成蓋在身上不是很容易嗎
55040	56120	對啊 所以它就有
56120	61780	羽絨衣塑的優點 就是很輕巧 透氣 蓋起來不會覺得悶熱這樣子
61780	64180	然後那時候我們拿了兩條貝子回來
64180	67140	想說我房間一條 悠悠房間一條
67140	70100	然後悠悠房間那一條就一直蓋蓋蓋到現在
70100	73900	我那一條在某一次就是我弟回家住的時候
73900	75360	被我弟拿去蓋 她把他搶走
75360	79480	然後就被她帶走了 她把他帶回台北
79480	81880	這貝子太讚了 我要帶走
81880	86100	因為像其實我們兩家都有一點像是很懶得換貝子的人
86100	89720	我覺得那種夏天冬天要換貝子要收納其實蠻麻煩
89720	93200	像這種十月貝我覺得就長效使用非常方便
93200	96320	真的 悠悠房她就真的用這個貝子用了快十個月
96320	97200	到現在都沒有換
97200	98160	對 到現在都沒有換
98160	100360	然後她老婆也超級熱愛這條貝子
100360	102960	所以如果暖冬的話 就可以直接用一年
102960	104900	直接變十二月貝
104900	106160	然後再來就是我不說不說
106160	108660	我們剛剛講到它像羽絨衣一樣嘛
108660	111920	因為有的人可能會嫌說你冬貝會很重
111920	112960	然後很厚的感覺
112960	115440	早上起來會覺得兇悶 就是不舒服的感覺
115440	117060	它完全沒有這些問題
117060	121200	然後它另外還有一個好處就是它的防蠻抗菌效果也很好
121200	123940	因為它沒有那些布的孔隙之類的東西
123940	124780	所以這個部分呢
124780	128360	你很在意一些家具寢具品質的人也不用太擔心
128360	131340	然後最後啊 就是它們其實很好清洗
131340	135460	就是它是可以直接整件丟到洗衣機裡面去洗的
135460	136720	對 很多貝子很麻煩
136720	139760	你洗跟晾跟曬可能全部都要分開來處理
139760	141720	但它就是直接丟洗衣機就可以了
141720	145100	最後呢 就是它們的款式很多
145100	147480	它有超多花色可以選
147480	151740	我覺得這個非常滿足像我這樣非常熱愛挑情趣的人
151740	154060	好 那即日期呢 到12月31號
154060	155320	大家如果要購買的話
155320	158280	記得要輸入我們的專屬優惠碼LadyFlavor
158280	160480	就會享88折的優惠喔
160480	163200	那以上的資訊呢 我們也會放在資訊欄裡面
163200	165780	大家有興趣記得要點開來看看喔
165780	169300	現在時間是12月13號凌晨1點59分
169300	170960	喔 兩點了
170960	172680	好 那這個
172680	173680	這個禮拜啊
173680	174100	嘿
174100	175100	我這是過得
175100	176140	非常非常辛苦
176140	177520	你過得很混亂
177520	179560	我大概從上禮拜一
179560	181560	剪完Podcast之後
181560	182940	那天我就直接感冒
182940	183360	對
183360	184640	應該是流感的那感覺
184640	185600	因為很嚴重欸
185600	187800	你就是基本上是頭痛到起不來
187800	189260	症狀就是全身痠痛
189260	190760	痠痛到沒辦法爬起床
190760	191100	對
191100	192260	很努力爬起來之後呢
192260	192520	嗯
192520	193760	就會頭暈頭痛
193760	195220	他就是想要把你逼回去啊
195220	195760	這種感覺
195760	196060	對啊
196060	197800	它已經持續了一整個禮拜了
197800	199260	然後上個禮拜大概禮拜四吧
199260	199640	嗯
199640	201220	我們富二代逼來
201220	202140	來我們這邊吃飯
202140	202640	對
202640	203720	然後就發現說 蛤
203720	204480	王俊你感冒了
204480	205060	對
205100	205600	他跟我說
205600	207760	你一定是因為睡太少的關係才感冒
207760	209140	我們也這麼認為
209140	210140	我就跟他說不
210140	213100	我偏偏是因為睡覺了才感冒
213100	213520	為什麼
213520	215140	我後來分析我感冒的原因
215140	215640	嗯
215640	217800	大家知道說最近日夜溫差很大
217800	218400	對啊
