start	end	text
0	9240	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型 我是雀雀
9240	11000	哈囉 大家好 我是雀雀
11000	17800	本集呢 有台灣之星2023浪浪爆新春 義賣最後倒數公益分享
17800	21800	嘿 台灣之星呢 他們我怕大家不知道 所以稍微介紹一下
21800	27200	那他們主要在做的事情呢 就是他們希望可以從源頭來減少流浪犬貓的數量問題
27200	33720	那他們就投入很大的心力跟金錢的部分在關於游浪犬貓的絕育工作上
33720	37360	那他們其實做的事情蠻多的 我們之前有合作過影片的是
37360	41100	他們比如說他們會去一些離島啊 或是偏鄉做住宅計畫
41100	46280	然後來協助一些比較偏遠資源 可能沒那麼好的地方 來去做犬貓的絕育這樣子
46280	51000	那還有大家比較知道的話呢 可能是他們也會有固定的下鄉絕育的計畫
51000	57180	那他們為了要籌措這些經費 所以他們每年呢 都會推出一些我覺得超級可愛的
57180	62680	義賣品 然後我自己呢 每年都很期待他們出的紅包袋
62680	64680	這個是新春一定會有的東西
64680	67680	所以我每年過年的話 基本上都是用他們的紅包袋
67680	71980	然後來包錢給我的子子子女 小孩收到都會超級開心的
71980	75380	那他們今年的義賣呢 可能因為過年的時間比較早
75380	78680	所以義賣時間就比較短一點點 直到1月8號
78680	81680	那現在已經3號了吧 其實是最後一個禮拜了
81680	86180	那像是桌粒啊 年節用品這些 可能是有時效性的商品
86180	87160	所以過了其實就有很多的東西 可能是有時效性的商品
87160	91160	就沒有這個檔期了 那他們的經費就會變得比較拮据一點點
91160	95160	每年的義賣呢 都是他們接下來一年的那個絕育經費的來源嘛
95160	97160	所以如果大家很想要支持他們的話呢
97160	100160	也可以點他們的連結 然後去看看他們義賣的新品
100160	104160	我個人覺得都還蠻值得入手的 都做得很可愛 很用心
104160	107160	那如果你已經買過的人 你也可以跟你的朋友分享
107160	110160	就是有一個很特別的團體 然後他們在做這件事情
110160	112160	然後他們的義賣品也都超級可愛的
112160	116160	好 那我們會把相關的連結呢 放在我們的資訊欄裡面
116160	118160	大家一定要點開來看喔
146160	148160	那你去年許了什麼新年新希望
148160	153160	好像是希望我的辦公桌可以留一塊就是屬於Data的鏡頭
153160	155160	真的假的
155160	157160	不是吧 怎麼可能
157160	160160	我們去年的主題是 我記得是我們說這個
160160	163160	過去我們在許這個新年新希望的時候
163160	165160	都許太大的宏願
165160	166160	所以我那時候
166160	168160	對 所以我記得我們在許一個超級簡單
168160	170160	觸手可及的那種願望
170160	171160	對
171160	172160	你認為你在你桌上
172160	175160	可以留一小塊屬於Data的小鏡頭
175160	177160	這怎麼會是你唾手可得的目標
177160	179160	這算宏願等級了吧
179160	183160	我覺得屬於Data的那個小小的一塊鏡頭
183160	185160	我還是排除的出來的吧
185160	187160	就跟那個去除地球暖化
187160	189160	然後世界和平之類的同等級
189160	191160	差不多的程度了
191160	193160	所以說總而言之你應該算失敗了吧
193160	194160	我現在沒有辦公桌
194160	195160	我很難去定義這些事情
195160	196160	沒有沒有沒有
196160	197160	你現在沒有辦公桌
197160	199160	也絕對沒有這塊地方
199160	200160	是嗎
200160	201160	我記得我都有成功耶
201160	202160	我記得我之前是說
202160	205160	我要把電腦那台PC
205160	206160	好像從
206160	207160	地上嗎
207160	208160	地上搬來桌上嗎
208160	209160	還從桌上搬去地上
209160	210160	之類的
210160	211160	之類的
211160	212160	但是我把它修好了
212160	213160	對你把它
213160	214160	你把它修好了
214160	215160	超額達標
215160	216160	對我超額
216160	217160	而且是超那種
217160	218160	因為當初願望夠小
218160	219160	所以我這個超額是那種
219160	221160	兩萬趴那種超額
222160	223160	超級超額
223160	224160	因為你原本以為
224160	225160	它到2023還會是壞的
225160	226160	對
226160	227160	但是我把它修好了
227160	228160	這是
228160	229160	天壤之別
229160	230160	哇
230160	231160	真的耶
231160	232160	天地之搖耶
232160	233160	所以是不是真的不要定太大目標
233160	235160	反而更容易達成
235160	236160	而且會有意外的收穫
236160	237160	對
237160	238160	我覺得我們這角度是對的
238160	240160	但是狀況是因人而異
240160	242160	我的願望許得是錯的
242160	243160	我記得我的第二個願望
243160	244160	好像是說我要
244160	245160	要幹嘛
245160	246160	我要把一個
246160	247160	壺鈴
247160	248160	拿進來嗎
248160	249160	對
249160	251160	你要從外面移到房子裡面
251160	252160	就是它原本電的
252160	254160	那個秋葵他們的電子
254160	255160	因為你怕它飛走嘛
255160	256160	對對對
256160	257160	對
257160	258160	哇那個壺鈴現在喔
258160	259160	在哪裡啊
259160	260160	這個
260160	262160	我之前也不會再想說在哪裡
262160	263160	對啊
263160	264160	因為我們要錄這一集的關係
264160	265160	我就會找那個壺鈴
265160	267160	結果因為我們現在在裝修嘛
267160	269160	很多雜物都被堆在外面
269160	270160	原本不是說
270160	271160	那個壺鈴被拿來壓住
271160	273160	阿寶他們的電子嗎
273160	275160	現在那個壺鈴被放在
275160	278160	阿寶他們舊的這個窩裡面
278160	280160	要丟掉的舊的窩裡面
280160	282160	然後被堆雜物埋起來
282160	284160	他沒有進到室內啊
284160	285160	還沒有進到室內
285160	287160	對啊那你這怕是失敗了吧
287160	288160	但是就像你說的
288160	290160	現在我們的室內也不存在啊
290160	291160	對不對
291160	292160	確實沒有室內
292160	293160	所以其實你沒有辦法達成那個目的
293160	294160	我沒有辦法達成那個目標
294160	295160	因為外部環境
295160	296160	環境的影響
296160	297160	但他至少會被收起來
297160	299160	彷彿他會被留下吧
299160	300160	下一步
300160	301160	彷彿他會被丟掉
301160	302160	因為你這應該是一個
302160	303160	開始運動的開頭吧
303160	304160	對啊
304160	305160	對是一個開始運動的開頭
305160	306160	對啊
306160	308160	對現在我的壺鈴是被放在就是
308160	309160	即將被丟棄的
309160	311160	要被清運的那堆東西裡面
312160	314160	對啊這後退了吧
314160	315160	這個跟那個
315160	316160	今天天氣好冷
316160	317160	還是不要去健身房
317160	318160	是一樣意思
318160	320160	但是我們未來有一個空間規劃
320160	322160	是要拿運動的啊
322160	323160	是嗎
323160	324160	對啊就是二樓有一個小空間
324160	325160	不是打算
325160	326160	以後可以拿來做個瑜伽
326160	328160	什麼可以運動之類的嗎
328160	329160	是啊有可能啊
329160	330160	這樣算不算是
330160	333160	另外一個方向的小步的達成
333160	334160	至少我們把規劃進去
