start	end	text
0	8280	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8280	8860	我是翠翠
8860	9860	大家好 我是阿頓
9860	10460	大家好 我是翠翠
10460	13920	本集節目呢由天堂天堂贊助播出
13920	17260	那這個天堂呢是台灣精品的黑糖專品牌
17260	20000	他們從研發到製作都是在台灣完成的
20000	24420	那所有的內容成分呢也都是選我們台灣在地的友善跟眾小農
24420	27140	就是堅持希望讓消費者可以喝到最安心
27140	28760	然後喝到最健康的東西
28760	30420	那品牌還蠻貼心的
30420	32920	他們在農曆年前就已經寄給我們來試喝了
32920	34380	大家記得嗎
34380	35020	冷得要死
35020	37220	年初二初三的時候真的是爆炸冷
37220	39320	就是冷到你懷疑人生的那一種
39320	43640	總是那個賣飲料的場上都會很精準的送這種就是救命物資來
43640	45000	對對對對對
45000	48320	欸我覺得在超級冷的時候你泡一個濃濃的黑糖專來喝
48320	50160	真的是跟救命稻草一樣耶
50160	50500	沒錯
50500	51780	非常的舒服
51780	53500	那我們這次收到他們寄來的呢
53500	55680	是他們品牌經典的熱賣三建築
55680	58120	就是包含了黑糖桂圓紅棗
58120	58740	然後黑糖桂圓紅棗
58740	61580	黑糖老家還有黑糖紅藜麥
61580	64500	那我自己其實意外的蠻喜歡黑糖紅藜麥的
64500	65200	欸我也是耶
65200	65800	對不對
65800	68100	因為它藜麥其實相對另外兩個口味
68100	69500	感覺比較陌生
69500	71300	對就是你會一開始有點好奇
71300	73580	但喝到後面覺得欸很順口
73580	74240	欸對
74240	74680	對
74680	76700	然後藜麥其實我覺得應該沒什麼太特別的味道
76700	78100	對它其實自己本身沒什麼味道
78100	79080	欸順順的這樣
79080	81900	它可以襯托出那個黑糖的那個
81900	82640	香味來
82640	82980	對
82980	84100	所以我覺得喝起來有一種
84100	85500	甘蔗汁的感覺
85500	86240	甘蔗汁
86240	86980	真的真的
86980	88700	我就覺得我這次喝到甘蔗汁的
88700	89300	歧視感
89300	90460	喔
90460	91760	總而言之你就是可以在裡面
91760	94600	還可以品到黑糖本身的香氣就對了
94600	95760	那因為它有加藜麥
95760	97940	它本身是算是蠻高膳食纖維
97940	99700	然後有一些好的礦物質
99700	101640	而且這個組合好像還蠻特別的
101640	103440	市面上蠻少看到這個組合的
103440	103860	嘿
103860	105140	然後我覺得這款也算是
105140	108100	男女老少沒有什麼禁忌的感覺吧
108100	109740	就是不管你是孕期啊
109740	110240	經期
110240	111560	或是你在哺乳中的媽媽
111560	112540	你是都可以喝的
112540	112940	喔
112940	115940	那廠商有推薦說你可以還加入熱牛奶
115940	116940	然後熱豆漿
116940	118200	燕麥奶之類的
118200	118660	你就會把它變成
118660	120000	黑糖鮮奶茶
120000	120960	聽起來也很不錯
120960	121360	喔
121360	123500	然後他還分享說他們有人是買回去
123500	125820	把黑糖磚煮成湯圓
125820	127100	喔
127100	128060	是不是也很不錯
128060	128660	蠻適合的
128660	129360	很需要
129360	131000	所以大家就是可以推薦給你們
131000	132460	之後有元宵節
132460	133860	你可以試試看
133860	135460	那他要跟大家分享的好康呢
135460	137860	就是他們另外天堂最近出了新品
137860	140560	叫做健康元氣食堅果
140560	142220	那採用的是無調味
142220	143300	低溫烘焙技術
143300	145660	集結市面上最多種類的堅果
145660	147800	讓你可以得到一次的滿足
147800	148460	那現在只要
148460	149900	加入天堂官網會員
149900	151860	就會送你60元的購物金
151860	153220	那如果你是在2月14號
153220	154360	就是情人節之前
154360	156600	然後輸入我們好味小姐專屬的折扣碼
156600	158060	LADY9
158060	159760	9
159760	162660	就是全系列的商品打9折
162660	164120	那前30名下單的人呢
164120	165600	他們還會在另外贈送你們
165600	169020	市價260元的健康元氣食堅果一包
169020	170460	那消費2000元呢
170460	173020	還會再贈送天堂的皮脂收納盒
173020	173860	那數量有限
173860	175160	送完為止喔
175160	176860	那以上資訊就分享給大家
176860	178420	詳細的資料我們會放在資訊欄裡
178460	180360	大家記得點開來看看喔
180360	182560	好 現在時間是1月31日
182560	184260	凌晨2點16分
184260	186560	正常的Podcast開工時間
186560	188860	所以今天算是上班了
188860	189660	開工
189660	190260	上班了
190260	190760	沒錯
190760	193900	雖然我個人是沒有什麼即視感
193900	194860	特好個人
194860	196660	我不知道大家今年過得怎麼樣
196660	197960	但是我個人
197960	199360	今年這個年
199360	201760	過得非常非常辛苦
201760	203260	因為今年其實很難得
203260	205060	是一個超級長的年假
205060	205760	沒錯
205760	207160	我過年前還在那邊
207160	207960	規劃
207960	209360	跟我弟討論你知道嗎
209360	210560	想說我去年
210560	213160	那種6天啊7天的年假
213160	214160	方浩瀘都不知道要幹嘛
214160	215360	無聊要死
215360	217260	對 我要提早一兩週
217260	218160	就傳訊息給我弟說
218160	219260	我們過年要幹嘛
219260	220360	今天有10天喔
220360	220860	Oh my god
220860	221960	我們一定要想什麼事情做
221960	223960	不然會在家裡躺著發霉
223960	225760	躺著腐爛
225760	227260	結果想不到
227260	228860	在過年前把我們的房子
228860	230460	就是趕工到一個
230460	231960	差不多可以入住的階段
231960	232460	對
232460	234060	因為其實蛋餅要回來了啦
234060	235160	我們也要趕快
235160	236560	接下來這整個年假
236560	237660	我就在收拾
237960	239860	除了大年初一陪我回娘家之外
239860	241960	全部都在這裡忙這個耶
241960	242460	對
242460	243160	跟大家說說
243160	244260	來 陳川你過年這段時間
244260	245060	你在做些什麼
245060	247260	我過年這段時間
247260	249360	就是我大年初一回娘家嘛
249360	250360	怒住了4天
250360	253160	怒住4天
253160	254460	我每天都在問說
254460	255760	陳川不是要回來了嗎
255760	256560	沒有
256560	257360	還沒
257360	257960	明天吧
257960	258860	後天吧
258860	259460	不是
259460	261660	我往常大概是一個住到初三
261660	262860	我就覺得有點歹勢
262860	263860	我就會想要回家
263860	266060	就是幫忙家裡什麼之類的
266060	267360	你就會怕就是大家傳說
267360	268360	喔 回娘家這麼久了
268360	269560	不回來
269560	271960	是不是沒有打算回來
271960	272660	對 其實
272660	274260	其實我婆婆是不太介意
274260	275360	因為她覺得雷夢帶走
275360	277160	她剛好也可以休息一下
277160	277660	對
277660	279360	但是我還是咒郎行步
279360	281260	你知道心裡會有點忐忑
281260	282560	但是我今年就是一回去
282560	283360	我媽就問我說
283360	284760	你今年要住到初九
284760	286360	我說應該一樣是初三吧
286360	287160	然後我媽就說
287160	289660	蛤 可是就是初三是你生日耶
289660	291360	然後初四又是爺爺生日
291360	293460	你不過一過再回家嗎
293460	294720	然後我內心一個忐忑
294720	295860	眨眼看了黃威傑一眼
295860	296660	黃威傑說
296660	297360	比了一個讚
297360	298060	可以喔
298060	299360	我一開始想說
299360	300160	對啊
300160	302560	雷夢要住在外婆家多住幾天
302560	303760	齁 齁 齁
303760	304960	雷夢住個十天八天
304960	306060	十五天十八天的
306060	306660	沒有問題啊
306660	307960	對 我就在家裡
307960	309860	欸 我真的很認真的
309860	312460	睡到中午自然起睡了四天耶
312460	313460	就人家說什麼
313460	315160	過年不可以被叫起床
315160	316160	欸 我們家這貫廁
316160	317660	這個貫廁非常的優美
317660	319260	只有初一好嗎
319260	320460	沒有
320460	321560	初三也是睡到自然起
321560	322660	反正我只有四天
322660	325260	我基本上都算是睡得蠻爽的
325260	326660	好 那優惠凡
326660	328360	這個整個你家在做什麼
328360	329360	我跟你講
329360	330960	他在補課
330960	331560	什麼意思啊
331560	332260	什麼叫補課
332260	333360	喔 補課 趕作業
333360	333960	補課
333960	334860	什麼意思
334860	336560	他這十天啊
336560	338460	在學一些他之前在月中
338460	340860	就應該學的事情
340860	342960	叫你之前不練習
342960	343760	對 真的
343760	345760	回來之後措手不及了吧
345760	346860	哇 很誇張耶
346860	348260	他回來大概第二天吧
348260	349360	晚上
349360	350460	我在收拾嘛
350460	351160	然後我要把一個
