start	end	text
0	29980	大家好 歡迎來到好味小姐開束縛 我還你原型
30020	32620	然後我覺得我們的風水是不是比較奇特
32620	33900	還是你的氣場太強
33900	36120	總而言之就是秉軒這台也是女生
36120	36740	好可怕
36740	39580	你知道 所以說我們現在就是我們這個工作環境
39580	40380	那個同時節
40380	42700	我們已經累積了一二三四
42700	44260	五個
44260	46420	五個 這是第五個女生了
46420	46840	對啊
46840	48640	秉軒女生會比較早生
48640	50100	我會早一個月
50100	51900	所以秉軒這個是第五個女生
51900	52160	對
52160	54520	這個已經讓我從就是說
54520	56140	我們就是生女生很棒
56140	58500	變成我們家這邊是不是有什麼詛咒
60000	62160	這是祝福好不好
62160	64880	就是連寶貝連舞獅都選不贏
64880	67040	對啊 這是祝福
67040	68440	哪裡怪怪的
68440	69760	這種感覺
69760	71200	但是就是反正總而言之
71200	73360	他還是一個巨大的好消息
73360	74680	天大的好消息
74680	76160	所以我們就思索了很久
76160	79560	想說要怎麼樣可以讓大家就是一起同樂的感覺
79560	80240	然後最後呢
80240	83880	我們就是請秉軒選了他冬季最喜歡的三個產品
83880	85320	分別是薇薇奶茶
85320	86160	然後軒春雨
86160	87600	還有好好果乾水
87600	88520	那這三個口味呢
88520	89980	我們都做全品相
89980	92580	全口味的滿一送一喔
92580	94500	是不是很有誠意
94500	95180	說是這樣說
95180	97940	但是我們這個活動大概上禮拜個六
97940	98660	禮拜天
98660	99560	就開始了
99560	102360	所以大家聽到現在時時止刻
102360	103820	禮拜二的凌晨
103820	106680	大概應該只剩下軒春雨
106680	108100	還是一點點
108100	110240	軒春雨的兩個新口味都還有
110240	112100	他們是新產品備貨比較多
112100	113160	其他應該都賣完了
113160	115880	很多人會問說會不會再補
115880	116420	會不會再補
116420	117620	我們真的沒有了
117620	118180	真的沒有了
118180	119260	差不多空了
119260	120540	我們那個這波賣完之後
120540	122540	我們要退租了
122540	124740	倉庫直接大門關起來
124740	128620	然後那個新的薇薇奶茶金軒口味也還有的
128620	129700	對也是新產品
129700	133460	我們是連原本這個時候要退出的新產品
133460	134660	都直接做滿一送一的活動
134660	136580	強制加入活動
136580	138860	然後我們還有另外有一個加購的活動
138860	139980	就是我們薇薇奶茶
139980	145100	他有出一個有點像是咀嚼控最喜歡的那種配料類的東西
145100	146380	就是我們出了兩款
146380	148940	就是可以加在奶茶裡面的鮮鮮系列
148940	149980	首先第一款呢
149980	151900	我們是做紫米紅豆的
151900	152620	然後第二款呢
152620	153700	是做燕麥薏仁
153700	157260	我覺得都是兩個就是大家喜聞樂見的口味
157260	157460	對
157460	159420	然後就是我覺得有時候
159420	161860	你在喝一些奶茶類的東西
161860	164980	吃到一點東西的時候會特別療癒有滿足感
164980	165660	咬感
165660	166340	沒錯
166340	168060	就是整個過程體驗都很棒
168060	169220	所以我們就把這兩個呢
169220	172100	也加入加購價的活動裡面
172100	173460	所以就是推薦給大家
173460	175980	如果你剛好想要試試看新口味的話
175980	178340	我覺得很適合趁現在
178340	179340	有在打折啊
179340	180460	然後有加購價
180460	181900	有買一送一活動的時候
181900	182980	帶回家試試看
182980	183980	也不多了
183980	184660	也不多了
184660	186860	我們有辦法保證你聽到我們的消息的時候
186860	188660	還有沒有
188660	189460	我希望還有
189460	190900	有的話就恭喜你
190900	191380	沒錯
191380	193380	好那相關的連結跟資訊呢
193380	195020	我們都會放在我們的資訊欄裡面
195020	196300	大家記得點開來看看
197740	199340	好現在時間是這個
199340	200420	情人節
200420	201420	2月14日
201420	202100	沒錯
202100	203700	他老婆的生日
203700	205020	你老婆生日情人節
205020	205700	對啊
205700	207660	講過了他都有兩個禮物嗎
207660	208100	哇
208340	209700	凌晨3點48分
209700	211460	你老婆是情人節生日
211460	212060	對
212060	213580	所以你情人節跟生日要一起過
213580	214020	對
214020	216220	然後你還沒有帶老婆去過情人節跟生日
216220	217180	你怎麼說我沒有
217980	218940	你怎麼說我沒有
218940	220580	是嗎你們有要去嗎
220580	222340	有嗎你們今天有要出門嗎
222340	223460	不一定是當天啊
223460	225180	我們就是有一個計劃就可以了
225180	227020	對我聽說他們是事後要補過啦
227020	228180	你們計劃是什麼
228180	229540	計劃什麼這麼這麼大的節日
229540	232540	他是剛生完小孩的第一個情人節
232540	234940	等於是在生命歷程中一個重大的轉變之後的
234940	236740	一個第一個值得紀念的一個節日
236740	237540	想必
237540	238300	肯定
238340	239460	大家有安排嗎
242900	245500	而且你知道我為了要給他施加壓力
245500	246900	其實我本來沒有要發那個
246900	249460	沒有要在我IG發跟我生日相關的帖文
249460	251260	然後思索半天為了他老婆好
251260	252100	我最後還是發了
252100	252780	硬發齁
252780	254060	硬發
254060	255500	明明生日就已經過了兩個禮拜
255500	257260	我還硬發了一個帖文
257260	258020	對嘛不可能吧
258020	259740	就是想要調高他的那個門檻
259740	260780	沒有任何的安排吧
260780	261580	對啊
261580	262060	對啊
262060	263100	不是我們逼你
263100	264220	不是我們逼你知道嗎
264220	265980	為了我們這個團隊
265980	267220	我們這個家庭的和平穩定
267220	268180	和諧對
268180	269020	永續發展
269020	269380	欸
269380	271100	我覺得我們必須啊
271100	273140	要出手甘願
274700	276980	該做的努力要做啦
276980	278460	有啦有啦有準備啦
278460	279700	是嗎你們的計畫是什麼
279700	280140	計畫什麼跟大家分享
280140	281980	我們要去我們那個
281980	284300	第一次紀念日
284300	286460	的那個餐廳去吃飯
286460	287220	吃飯
287220	287860	去吃飯
287860	288580	吃晚餐
288580	289780	吃晚餐
289780	290700	然後呢
290700	293140	然後吃完晚餐再去晃一晃這樣
293140	294860	吃完晚餐之後再去晃一晃
294860	295900	因為現在有小孩要哭
295900	296500	所以
296500	297940	現在是沒有辦法去
297940	299500	進行太盛大的興趣
299500	301980	小孩那天沒有要找人代顧嗎
301980	302980	叫外婆啊
302980	303300	對啊
303300	304500	你之前把他送去外婆家
304500	306380	實習不是為了這樣嗎
306380	307180	對啊
307180	309660	但是你不可能去個台南之類的啊
309660	310420	不一定要去台南啊
310420	312820	但是四五六個小時還行吧
312820	313780	一個半日遊還行吧
313780	316060	下午去爬個山啊幹嘛的
316060	317100	走一走
317100	317740	晃一晃
317740	320300	他都快被憋出病來了
320300	322060	因為反正老婆可能從懷孕到現在
322060	323340	要家裡又裝修幹嘛的
323340	323740	對
323740	325540	說不定也有半年一年沒有出門了
325540	326220	哦真的欸
326220	326420	而且他老婆本來就是一個外向性的女人啊
326420	326940	而且他老婆本來就是一個外向性的女人啊
326940	328460	就是一個外向性的女人啊
328460	328660	對啊
328660	330180	他很愛出門
330180	330780	對啊
330780	331420	現在都被憂悔
331420	332900	反正那向性的人關在家裡面
332900	334180	哈哈哈哈
334180	334900	禁錮
334900	336180	像什麼綿羊一樣
336180	337060	好可憐哦
337060	338300	好可憐哦
339180	340180	好再研究一下
340180	341740	那就不然八個小時
341740	343300	雨田機場來回來不然去
343300	344420	哈哈哈哈
344420	346060	好啦這個壓力有施加到
346060	346980	我覺得應該可以
346980	347380	可以了吧
347380	348180	聊表心意
348180	349140	沒關係我們下一集就約好
349140	349860	我們下一集就
349860	351260	下一集主持就要講這個
351260	352020	我跟你講
352020	353260	來錄音之前我已經送完
353260	354180	情人節巧克力了
354180	354540	真的假的
354540	355420	蛤
355420	355980	已經送完了
355980	356540	我已經送完了
356540	356940	哦真的嗎
356940	357180	真的嗎
357180	357980	對啊
357980	358580	嗚
358580	359300	嗚
359300	359780	嗚
359780	360540	這麼強力哦
360540	361020	對啊
361020	362420	啊我的那個放在哪裡啊
362420	363340	你的那個放在
363340	364380	哈哈哈哈
364380	365180	我等一下給你講
365180	367220	哈哈哈哈
367220	368140	講什麼東西
368140	368940	我們現在
368940	370540	我們現在情人節巧克力是配幾支的
370540	371140	你不知道嗎
371140	372180	哦你說只要有買
372180	373460	只要有買到那個人
373460	374780	就一次要買好幾盒這樣
374780	375620	我們有一個合
375620	376580	我們有一個合作社
376580	377900	合作社
377900	378540	我們有合作社
378540	379260	我們有一個代辦
379260	379820	我們有一個代辦
379820	380580	一個買辦
380580	381020	只要
381020	382580	只要有人有空
382580	383260	對
383260	383860	他就會
383860	384780	就是非常搭
384780	386020	哦你說比如說有一個
386020	386940	其中某一個人
386940	388460	他說欸我現在剛好要買
388460	390340	我女朋友或是我老婆的巧克力
390340	391580	你們有幾個人要劃下
391580	392140	這樣子嗎
392140	393580	之類像這種感覺
393580	394220	嘿
394220	394860	有一個這種
394860	395420	這種
395420	396380	合作組織
396380	396980	哦
396980	397580	嘿
397580	398820	然後每一個東西都
398820	399860	雖然是這個合作組
399860	401820	但他其實只是我們的一個
401820	403180	那個小弟而已
403180	403620	你知道嗎
403620	405580	就是所有東西都還是經過我們就是
405580	406580	精挑細選
406580	407340	他是跑腿的
407340	408340	對所以負責跑腿的人
408340	409020	哦
409020	409660	嘿嘿嘿
409660	410100	這種感覺
410100	411180	不是說我們就隨便丟給他
411180	411900	然後就要隨便選
411900	413180	沒有沒有沒有
413180	413820	我剛才想說
413820	415900	所以我會跟他老婆說到一模一樣的東西嗎
415900	416900	沒有不會不會
416900	417860	沒有沒有沒有
417860	419140	某種程度來說
419140	420500	我覺得還不錯欸
420500	423020	我覺得大家就應該組成這種秘密結社
423020	423460	你知道嗎
423460	423940	對
423940	425820	老公們就應該要組一個群組
425820	427740	能夠改善你的生活品質
427740	430500	跟讓你的未來生活就是更加美好的
430500	431100	對啊
431100	431860	做什麼革命啊
431860	432340	推翻政府
432340	433420	一點屁用都沒有
433420	435300	你就應該組這種
435300	437420	集合就是派一個人去買所有人的
437420	439140	傳遞愛與美好的組織
439140	440900	對麻煩的是一個人去處理就好了
440900	441340	對嘛
441340	442540	一時興起對不對
442540	443260	嗯
443260	444940	誰有空就誰去幫全部人處理
444940	445740	大家的貼圖
445740	446660	不要再傳一些梗圖
446660	448220	跟幹話了
448220	449260	偶爾做一些有用的群組
449260	451140	有意義的事
451140	454300	我剛乍一聽的當下覺得說
454300	456140	好像會有點生氣
456140	456420	我不知道
456420	458740	我覺得可能部分的伴侶會有點生氣
458740	461260	說覺得另外一半他們是用這種形式
461260	462980	來送禮或什麼之類的
462980	463220	沒有
463220	464220	好像不用心
464220	465100	但我仔細一想
465100	466340	我覺得
466340	467420	CP值很高欸
467420	468580	沒有你不會知道
468580	468980	你不會知道
468980	470020	我現在知道了
470020	470460	不是
470460	470940	那是因為我們在
470940	472140	那你倒是別告訴我
472140	473180	那是因為我們在錄節目
473180	474780	所以我們必須把這個非常
474780	475500	我們體驗過
475500	476260	然後覺得說
476260	477940	很偉大的一個
477940	478420	發明
478420	479620	共享這個社群
479620	480300	對
480300	481420	這個種類告訴大家
481420	483420	這要共享情人節禮物
483420	485260	嘿嘿嘿嘿嘿嘿嘿
485260	486100	才突然想到說
486100	486660	欸
486660	487580	我今年
487580	488900	覺得送這個
488900	489420	那個
489420	490580	手套不錯
490580	490900	嗯
490900	491060	哦
491060	491700	要的加一
491700	492660	這樣
492660	493380	哇
493380	494060	就應該
494060	496900	再幅逼開一個這種團購
496900	497260	對不對
497260	497940	哦
497940	498460	在每年
498460	499940	這是逢年過節之前
499940	501740	重要節日團購社團
501740	502740	對
502740	503860	但是你們還是
503860	505860	你們還是不推他們告訴另外一半
505860	506540	當然不用告訴
506540	507460	秘密結社
507460	508300	秘密結社
508300	509340	推翻政府這種事情
509340	510340	能跟大家講嗎
510340	511020	那我以後
511020	513220	那我收到的生日禮物是團購的嗎
513220	513780	不是啊
515460	516860	我很難相信你
516860	518180	我現在已經知道了
518180	518500	對啊
518500	519580	秘密結社你懂不懂
519580	520100	對啊
520100	521460	你有沒有參加這個啊
521460	522540	沒有推翻政府組織
522540	522900	沒有
522900	523500	沒有
523500	523940	沒有
523940	525220	怎麼可能有
525220	526100	我手機裡面那個曲
526100	527540	那個是在討論色情漫畫的
527540	527940	真的
527940	529140	哈哈哈哈
529140	530700	為什麼覺得聽到色情漫畫
530700	531420	好像好一點
532540	532860	哦
532860	533180	但是
533180	534700	但是我身為一個你知道
534700	535660	我是一個生日多位
535660	536460	自己要求人
536460	538300	就是聽到這個當下有點錯愕
538300	539300	但是現在事後想想
539300	540340	覺得也沒什麼不好
540340	540940	這樣可以確保
540940	542580	我可以收到禮物也蠻爽
542580	542820	對
542820	543980	重點是你不會知道
543980	544260	OK
544260	544660	好不好
544660	545220	推薦給大家
545220	546220	我現在假裝我沒聽到
546220	546620	對對對
546620	546900	好
546900	547660	OKOK
547660	548020	哦
548020	548780	然後就是
548780	549020	哦
549020	549700	跟大家分享一下
549700	550900	這幾天發生什麼事情
550900	551380	嗯
551380	553340	從上個禮拜錄完Pockets之後
553340	553660	Yeah
553660	555140	我就先入了一個就是
555140	557180	重感冒的吃禁店
557180	557940	真的欸
557940	558940	你又感冒了
558940	560260	我現在已經很穩定了
560260	561020	我只要一感冒
561020	562580	我就是直接在床上躺一整天
562580	563220	對
563220	563380	不起來
563380	564500	基本兩天不動
565660	566780	但是蠻有良心的啊
566780	568260	馬上就自我隔離啦
568260	568500	嘿
568500	568660	對
568660	569700	因為我們有多個房間嘛
569700	571020	所以我自己去跑去
571020	571940	小房間睡覺
571940	572220	對
572220	572860	然後
572860	573860	一直到
573860	574660	昨天哦
574660	576340	稍微我覺得比較好一點了
576340	577620	藥也都吃完了
577620	577900	嘿
577900	578580	然後我們不是說
578580	579660	我們之前過年的時候
579660	580460	都在搬家嗎
580460	580820	對對對
580820	582020	所以都沒有帶雷夢出去玩
582020	582380	對
582380	584020	我就覺得說有股虧欠之心
584020	584260	嘿
584260	584900	沒錯
584900	586100	所以陳春環找了一個
586100	586820	在
586820	589020	台中市的這個範圍裡面
589020	589700	的一個
589700	590420	草莓園
590420	591300	可以採草莓的地方
591300	591860	嗯
591860	592780	在台中市哦
592780	593220	嗯
593220	593620	在
593620	594620	你不能說台中市啦
594620	595660	台中
595660	595980	都
595980	596700	郊區
596700	597020	嘿
597020	597740	在台中的
597740	598380	潭子
598380	599340	大家不知道潭子在哪
599340	600300	潭子在
600300	601260	台中的北邊
601260	602140	嘿
602140	603180	北屯再上去一點點
603180	603380	對
603380	603900	的一個地方
603900	604300	對
604300	605180	然後很神奇
605180	605940	就是那邊有一個
605940	607340	可以採草莓的草莓園
607340	607980	對對對
607980	608980	那個時候陳春環不是說
608980	609420	過年的時候
609420	610700	帶雷夢去了一次
610700	610900	對
610900	611780	結果那時候剛好採沒
611780	612660	結果都被採光了
612660	613660	只剩兩顆
613660	613980	嗯
613980	614620	現在
614620	615460	此時此刻
615460	617100	好像是那個草莓的
617100	618260	二度成熟期
618260	619060	二期花
619060	619660	第二發
619660	620580	對
620580	621620	所以我們就去
621620	623060	然後去就採了很多草莓
623060	624140	然後雷夢就很開心
624140	624780	這樣子
624780	625260	那一天啊
625260	625700	哇
625700	626540	風光明媚
626540	626940	嗯
626940	627700	太陽超大
627700	628540	早上非常的熱
628540	628860	嗯
628860	629420	我出門的時候
629420	630140	還問陳春環說
630140	630380	哇
630380	631780	今天天氣是不是看起來很好
631780	631940	嗯
631940	632660	陳春環說對
632660	633180	熱爆
633180	634740	那我應該要穿短袖嗎
634740	634820	嗯
634820	636100	陳春環就說我推薦你
636100	637260	短褲短袖就好了
637260	637660	對對對
637660	638460	真的很熱
638460	639140	真的很熱
639140	639620	熱爆
639620	641420	我自己也是短褲短袖啊
641420	642020	我就聽他的
642020	643100	我就穿短褲短袖
643100	644020	雷夢也是啊
644020	644900	嘿雷夢也是
644900	645220	對啊
645220	646020	結果你猜怎麼著
646020	646820	有一個東西叫做
646820	647620	日夜溫茶
647620	649180	哈哈哈哈
649180	650020	因為我們回來的時候
650020	651020	太陽有點下山了
651020	652420	因為我們進去那個
652420	653380	草莓園的時候啊
653380	653780	嗯
653780	654820	它是那種比較現代
654820	656020	就是溫室
656020	656300	對
656300	656780	然後架高
656780	657660	有不同的
657660	658220	嗯
658220	658460	喔
658460	659620	這種種植方式
659620	659820	對
659820	661380	所以你在那個溫室裡面走的時候
661380	662180	很溫暖
662180	662620	對
662620	662860	喔
662860	663540	特別溫暖
663540	663860	嗯
663860	665060	溫室是暖的你知道嗎
665060	665980	嘿嘿
665980	666140	喔
666140	667620	它會延續這個日夜溫茶的
667620	668100	這個效果
668100	668660	對對對對
668660	669820	你就踩著踩著
